frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.045698,0.253335,0.307879,-0.037622,0.096409,-0.718698,0.687578,1.500652984264493,26.5038287445426,-3.908208046990633,0.3922627398291602,9.727774616205693,-1.1776744642701,0.1889887005090713,-0.0399231538176536,0.3112615942955017,0.3597715921649428,0.4309158667021988,0.6118465514902267,0.5572429792509429,0.4518246352672577,0.403660386800766,-0.0878579914569854,21.178665987193583,-17.384050417113304,2.8940298351585865,0.5995032787322998,-0.3312434256076813,17.22515749375224,0.1754698604345321,-2.5091823765546084,0.9876156374685464
1,0.045774,0.245766,0.305416,-0.044209,0.08697,-0.718961,0.688169,2.527224813723564,19.493035790240764,-8.729147024726867,0.4061209135834127,9.757074944970013,-0.8971901741992682,-1.8043125867843628,0.2661195695400238,-0.2075332701206207,0.3649038117355195,0.4254494724577607,0.603934364066082,0.5666580204919618,1.1349934339523315,1.1472283601760864,-0.3136323392391205,16.79801344668865,-16.642703642511368,4.8331098925232885,0.5667018294334412,0.1207087934017181,18.994003734052185,0.2274832129478454,-2.9821435874193907,3.058433046373725
2,0.046073,0.199084,0.305359,-0.054568,0.076955,-0.719503,0.688052,1.0818117783829568,8.041885476055741,0.928304931974411,0.4034911130690947,9.796712543353438,-0.1789194470193237,-1.4540071487426758,0.0929070562124252,0.1602019071578979,0.378380499074091,0.4097340934061812,0.5841577914633165,0.5896659373647329,1.1663107872009275,0.7175599336624146,-0.6341429352760315,8.657230374029279,-11.294124938261508,0.6225045604698359,0.4240081310272217,0.790870726108551,14.05127143729329,0.7142112255096436,-2.211898635113239,3.24870047442466
3,0.045643,0.160645,0.307661,-0.055798,0.075389,-0.719092,0.688556,0.2942045531917363,-4.845046998554468,0.6502747570574283,0.4658048363041132,9.793412332764268,0.2061009387324564,-0.8733523488044739,-0.1025229021906852,0.135156974196434,0.3840696458046574,0.4036849948908653,0.57142821197245,0.60249370272458,0.962458610534668,0.8973044157028198,-0.3375838100910187,-0.0968792425185442,-0.9544014962613582,-0.0295446589142084,0.1473310440778732,2.023218870162964,-2.156700917895883,0.7051584124565125,0.0075713468572619,0.1427360259440727
4,0.044585,0.112556,0.310206,-0.056633,0.075349,-0.718126,0.6895,-2.643369897726178,-12.969147231960296,3.414857543569803,0.2930121650693938,9.74849767076075,1.0253390727937222,0.1547474712133407,-0.1511800587177276,-0.0654448866844177,0.4098089482431132,0.3855869544954423,0.5468500303860089,0.6199470584715507,-0.1394927203655243,0.0653246417641639,-0.1936463415622711,-9.167496940937635,8.635324247169494,-6.912614904144406,-0.0651225373148918,0.4467185735702514,-4.304535515508055,-0.0758823230862617,0.3284473067943007,-0.588637983235903
5,0.03934,0.016308,0.308839,-0.073162,0.060701,-0.711674,0.696048,0.2308085328790359,-13.07714115821123,-2.6570214064598083,0.2736195736668072,9.765363465365766,0.8562821905538439,0.3555505275726318,-0.0576410144567489,-0.1398191899061203,0.408056350340317,0.3894664040964274,0.5519580411135043,0.6141240871319487,-0.3655943274497986,-0.1537078917026519,-0.0308516267687082,-9.684404845556616,8.207935869956016,-5.360260374215245,-0.0179193168878555,0.3611806333065033,-8.837380604952573,0.2166098952293396,2.13816499812156,-1.627081854133308
6,0.039404,-0.011543,0.308734,-0.069934,0.058996,-0.716739,0.691314,-0.146981956418138,-11.371599807608128,-1.1022311738163233,0.2303301017123274,9.776014623239636,0.7395096223026514,0.3921806514263153,-0.1398088783025741,-0.0448039099574089,0.4082713820362684,0.3917600447750056,0.5557153688187974,0.6091132876290708,-0.5342088937759399,-0.3187308311462402,0.2137983292341232,-8.831367043751477,6.258652983006835,-4.0250031193345785,0.0073531167581677,0.1232368201017379,-9.650459321334958,0.0504255518317222,2.856953027173877,-2.777278894217312
7,0.040543,-0.017535,0.308921,-0.065544,0.048811,-0.719857,0.689295,-0.4363878223575651,-10.04639516018629,-1.4161235202312468,0.248442827638518,9.79111399269402,0.4927100135602056,0.6896020174026489,-0.0745449662208557,0.0734140127897262,0.4043410684359113,0.3988938598707754,0.5619274597513529,0.6013564830114199,-0.4957728385925293,-0.3881542086601257,0.2376460880041122,-7.430100900912285,5.961638706156611,-4.216687720707059,-0.0174319799989461,-0.0730218142271041,-9.240550486710667,-0.211772620677948,2.9039518019750714,-3.2442776895463465
8,0.041441,-0.005837,0.308452,-0.06285,0.041714,-0.720163,0.689693,-0.0317308255805633,-9.312976840496065,-2.0245751515597106,0.2695051240853033,9.798699917778372,0.2884798736683093,0.3296875357627868,0.01221140101552,0.068071037530899,0.3996593456791159,0.4038298065102326,0.5676381836451078,0.5958025832226052,-0.2708062827587127,-0.2757423818111419,0.1693224161863327,-6.34573856126368,5.83832504569888,-2.882596002474428,0.0508474558591842,-0.0609938874840736,-9.13463044412434,-0.451370507478714,2.7558590895697472,-3.3137013543844223
9,0.041243,0.034541,0.306867,-0.062471,0.049219,-0.717577,0.691924,0.2553584157132543,-8.010824567359686,-0.2457996196533553,0.2649315142931416,9.80138930299282,0.1816049597762525,0.0326448082923889,0.0310920663177967,-0.0655537396669387,0.3976990290608543,0.4059750970622646,0.5708983657514513,0.5925325855777905,-0.199043408036232,-0.2193463891744613,-0.0490900836884975,-6.424854183554649,5.39335483456552,-1.9141461071163413,0.1458500176668167,0.0316379703581333,-9.060101565101744,-0.4781257212162018,2.458512219764292,-1.8113504801608624
