timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
3670432374,0.023174,0.208072,0.262911,-0.042692,0.019381,-0.70347,0.709177,0
3670465697,0.026528,0.196811,0.264254,-0.043962,0.01697,-0.704785,0.707854,1
3670532344,0.033315,0.139287,0.263836,-0.059824,0.004804,-0.704594,0.707068,3
3670565667,0.036303,0.095852,0.266761,-0.061493,0.004145,-0.702442,0.709068,4
3670598990,0.037626,0.050804,0.27276,-0.04775,0.00926,-0.698839,0.713624,5
3670665637,0.037209,-0.011034,0.2737,-0.049806,-0.011831,-0.68666,0.725174,7
3670698960,0.037248,-0.025125,0.278128,-0.038202,-0.005153,-0.686255,0.726339,8
3670732284,0.037641,-0.03143,0.280103,-0.034308,-8.5e-05,-0.690342,0.72267,9
3670798930,0.040966,-0.041185,0.273744,-0.072284,-0.02255,-0.699866,0.71025,11
3670832253,0.039357,-0.051993,0.273217,-0.069595,-0.02147,-0.698209,0.712179,12
3670865577,0.038887,-0.068735,0.273085,-0.07092,-0.023772,-0.698434,0.711755,13
3670932224,0.038423,-0.104792,0.269971,-0.094899,-0.018603,-0.699791,0.707772,15
3670965546,0.039051,-0.106388,0.2723,-0.091702,-0.013586,-0.703281,0.704841,16
3670998870,0.039321,-0.087685,0.278536,-0.067158,-0.000466,-0.708202,0.702808,17
3671065517,0.04061,0.008395,0.285356,-0.054359,0.012626,-0.711324,0.700645,19
3671098840,0.043175,0.0685,0.286473,-0.058,0.021065,-0.719235,0.692021,20
3671132163,0.044435,0.121909,0.287958,-0.053486,0.02672,-0.723868,0.687343,21
3671198810,0.042947,0.189026,0.294419,-0.029121,0.039852,-0.725042,0.686934,23
3671232133,0.041284,0.202598,0.29472,-0.026887,0.036346,-0.723742,0.688589,24
3671265457,0.039415,0.203358,0.296633,-0.028836,0.037659,-0.720998,0.691312,25
3671332103,0.036907,0.169996,0.299024,-0.033919,0.037739,-0.715728,0.696533,27
3671365426,0.036988,0.13506,0.300954,-0.032222,0.040357,-0.713355,0.698898,28
3671398750,0.035748,0.092047,0.302833,-0.033592,0.039263,-0.709957,0.702347,29
3671465396,0.033807,0.012086,0.301857,-0.040204,0.034174,-0.700646,0.711555,31
3671498720,0.035011,-0.010808,0.296614,-0.061809,0.007739,-0.705571,0.705896,32
3671532043,0.036572,-0.021664,0.300475,-0.050876,0.025457,-0.71106,0.700826,33
3671598690,0.040094,-0.023822,0.303427,-0.054417,0.01115,-0.726674,0.684733,35
