timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
97566925411,-0.008658,0.211751,0.393593,0.021291,0.031763,-0.697509,0.715555,0
97566958734,-0.010947,0.203295,0.387159,0.007701,0.015067,-0.697021,0.716851,1
97567025381,-0.014044,0.149551,0.379241,-0.020775,-0.012316,-0.70224,0.711531,3
97567058705,-0.016274,0.110394,0.380844,-0.025305,-0.017954,-0.701835,0.711663,4
97567092028,-0.018797,0.068984,0.385118,-0.025433,-0.006879,-0.701335,0.712345,5
97567158675,-0.022854,0.013511,0.387663,-0.050638,-0.019966,-0.701928,0.710165,7
97567191998,-0.026787,0.006237,0.390131,-0.0517,-0.019515,-0.698738,0.71324,8
97567225322,-0.027542,0.010505,0.398489,-0.043316,-0.007635,-0.700788,0.712012,9
97567291969,-0.03191,0.028623,0.413375,-0.031547,0.014483,-0.706741,0.706621,11
97567325292,-0.034271,0.030608,0.419438,-0.025453,0.022472,-0.706004,0.707393,12
97567358615,-0.037947,0.024965,0.421136,-0.027704,0.023774,-0.704915,0.708352,13
97567391938,-0.042829,0.010964,0.419269,-0.03634,0.017512,-0.702852,0.710191,14
97567458585,-0.049987,-0.038143,0.41474,-0.055149,0.003473,-0.698299,0.71367,16
97567491909,-0.053298,-0.060501,0.409855,-0.069007,-0.015832,-0.69773,0.712853,17
97567525232,-0.055454,-0.070123,0.407121,-0.078296,-0.037906,-0.695783,0.712964,18
97567591879,-0.05219,-0.017266,0.41374,-0.06894,-0.026827,-0.700141,0.710162,20
97567625202,-0.048134,0.041945,0.422745,-0.044587,-0.017148,-0.706829,0.70577,21
97567658526,-0.044339,0.104531,0.432354,-0.014466,-0.011893,-0.71379,0.70011,22
97567725172,-0.041699,0.197532,0.444881,0.024058,-0.004072,-0.713871,0.699852,24
97567758496,-0.042448,0.218645,0.443378,0.023768,-0.009786,-0.714212,0.699458,25
97567791819,-0.043398,0.223106,0.438326,0.012128,-0.028375,-0.715569,0.69786,26
97567858466,-0.045088,0.192222,0.431318,-0.016336,-0.046785,-0.717158,0.695147,28
97567891790,-0.046765,0.161313,0.431091,-0.02865,-0.058987,-0.714216,0.696847,29
97567925113,-0.047565,0.124319,0.43292,-0.03334,-0.068107,-0.711407,0.698677,30
97567991760,-0.050056,0.044167,0.442836,-0.028908,-0.065191,-0.713089,0.697437,32
97568025083,-0.048746,0.014658,0.446579,-0.039349,-0.072756,-0.7135,0.695755,33
97568058406,-0.048533,-0.000408,0.451706,-0.038975,-0.071183,-0.71371,0.695724,34
97568125053,-0.048328,0.002771,0.45638,-0.041953,-0.070231,-0.715582,0.693722,36
97568158376,-0.049034,0.011386,0.458467,-0.037759,-0.064798,-0.715439,0.694639,37
97568191700,-0.050891,0.01705,0.460088,-0.033948,-0.058,-0.71418,0.696728,38
97568225023,-0.0523,0.014138,0.463497,-0.030225,-0.052643,-0.711191,0.700373,39
97568291670,-0.052576,-0.019778,0.460307,-0.045221,-0.061425,-0.710851,0.699194,41
97568324994,-0.050175,-0.048356,0.457957,-0.061749,-0.067724,-0.713712,0.694418,42
97568358317,-0.048322,-0.075343,0.456226,-0.075636,-0.078362,-0.718073,0.687393,43
97568424964,-0.047965,-0.076765,0.459138,-0.067389,-0.08913,-0.72044,0.684457,45
97568458287,-0.047026,-0.03668,0.463568,-0.045693,-0.075983,-0.723011,0.685124,46
97568491610,-0.044131,0.026308,0.467479,-0.025549,-0.072964,-0.727622,0.681609,47
97568558257,-0.03798,0.163674,0.487836,0.022787,-0.037532,-0.728836,0.68328,49
97568591581,-0.038445,0.211318,0.501382,0.049788,-0.014322,-0.722145,0.689799,50
97568624904,-0.037706,0.237889,0.505533,0.051716,-0.017617,-0.717787,0.694116,51
97568691551,-0.03542,0.236594,0.499867,0.027792,-0.050007,-0.718537,0.693131,53
97568724874,-0.033926,0.215994,0.494363,0.006014,-0.062399,-0.724031,0.686913,54
97568758197,-0.034003,0.186896,0.492928,-0.011245,-0.071883,-0.724221,0.685718,55
97568824844,-0.039503,0.105896,0.500684,-0.029505,-0.068142,-0.714279,0.695911,57
97568858168,-0.042205,0.057013,0.505489,-0.037813,-0.058012,-0.713162,0.69757,58
97568891491,-0.043444,0.014255,0.505895,-0.056423,-0.055838,-0.71262,0.697045,59
97568958138,-0.039473,-0.026207,0.512261,-0.059247,-0.050638,-0.716751,0.69296,61
97568991461,-0.036749,-0.022043,0.513476,-0.070361,-0.030816,-0.721741,0.687888,62
97569024784,-0.033698,-0.009864,0.515314,-0.066829,-0.029945,-0.719715,0.690397,63
97569058108,-0.03221,0.005636,0.516744,-0.063159,-0.021021,-0.717775,0.693086,64
97569124755,-0.029022,0.025247,0.522509,-0.04291,0.003838,-0.716367,0.696392,66
97569158078,-0.026983,0.027256,0.524745,-0.039156,0.005453,-0.716371,0.696599,67
97569191401,-0.025704,0.026774,0.52585,-0.039078,-0.002153,-0.716327,0.696666,68
97569258048,-0.026813,0.020874,0.521822,-0.054107,-0.011861,-0.7167,0.695178,70
97569291372,-0.028042,0.019734,0.519763,-0.06501,-0.010032,-0.714155,0.69689,71
97569324695,-0.0302,0.01965,0.518428,-0.07208,-0.016324,-0.709901,0.700413,72
97569391342,-0.03254,0.021459,0.5193,-0.087227,0.005996,-0.710339,0.698408,74
97569424665,-0.032712,0.022359,0.522411,-0.090419,0.016093,-0.710837,0.697335,75
97569457989,-0.033303,0.021987,0.52394,-0.095152,0.019905,-0.710146,0.697311,76
97569524635,-0.034904,0.019989,0.52433,-0.09498,-0.00735,-0.710632,0.697084,78
97569557958,-0.035813,0.019506,0.524654,-0.096305,-0.016097,-0.710464,0.696927,79
97569591282,-0.036045,0.019177,0.52561,-0.101346,-0.006595,-0.711185,0.69563,80
97569657929,-0.034281,0.019762,0.523904,-0.12392,0.012235,-0.714873,0.688077,82
97569691252,-0.034245,0.019698,0.522426,-0.131567,0.01238,-0.714865,0.686662,83
97569724576,-0.032965,0.021107,0.522879,-0.132538,0.017157,-0.712549,0.688777,84
97569791222,-0.032102,0.023384,0.524017,-0.133836,0.035554,-0.710021,0.690431,86
97569824546,-0.030481,0.024449,0.523595,-0.131241,0.039187,-0.708845,0.691939,87
97569857869,-0.031158,0.025968,0.523369,-0.120565,0.032204,-0.707328,0.695783,88
97569891193,-0.032924,0.027865,0.523327,-0.109356,0.023741,-0.704807,0.700517,89
97569957839,-0.037058,0.033754,0.520944,-0.106105,0.012269,-0.698761,0.707336,91
97569991163,-0.038937,0.036969,0.520874,-0.100258,-0.002302,-0.696837,0.710184,92
97570024486,-0.039296,0.040906,0.520126,-0.092454,-0.010149,-0.695593,0.71239,93
97570091133,-0.040249,0.047014,0.521938,-0.07793,-0.012808,-0.694435,0.715208,95
97570124456,-0.038975,0.050029,0.520808,-0.071827,-0.018914,-0.694648,0.715505,96
97570157779,-0.037689,0.051688,0.519939,-0.066711,-0.031923,-0.69569,0.714525,97
97570224426,-0.03423,0.051333,0.515723,-0.063607,-0.050511,-0.696143,0.713293,99
97570257750,-0.032786,0.051224,0.514949,-0.05949,-0.053933,-0.695163,0.714353,100
97570291073,-0.031733,0.051778,0.515491,-0.056667,-0.055308,-0.694813,0.714818,101
97570357720,-0.030097,0.051514,0.515548,-0.0539,-0.048143,-0.692658,0.717636,103
97570391043,-0.029133,0.052327,0.517275,-0.051371,-0.044964,-0.69346,0.717253,104
97570424367,-0.027111,0.050987,0.520265,-0.051993,-0.042023,-0.694608,0.716275,105
97570491013,-0.025083,0.051047,0.524192,-0.055992,-0.033765,-0.69615,0.714912,107
97570524337,-0.025087,0.048241,0.525063,-0.055524,-0.035238,-0.695469,0.715541,108
97570557660,-0.025567,0.047518,0.525412,-0.059477,-0.037374,-0.693645,0.716884,109
97570624307,-0.027036,0.047237,0.527241,-0.063075,-0.037872,-0.689313,0.720718,111
97570657630,-0.026207,0.046046,0.529144,-0.052754,-0.058762,-0.693562,0.716056,112
97570690954,-0.025526,0.045662,0.530526,-0.04605,-0.083298,-0.69637,0.711343,113
97570724277,-0.025438,0.045794,0.529303,-0.048376,-0.09263,-0.69429,0.712068,114
