timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
98804880306,0.032342,0.2299,0.268555,-0.006002,0.024231,-0.690402,0.722995,0
98804913629,0.03601,0.227563,0.264328,-0.009204,0.021986,-0.696062,0.717586,1
98804980276,0.039219,0.185717,0.259577,-0.017462,0.003566,-0.700357,0.713571,3
98805013600,0.040454,0.146731,0.255472,-0.023667,-0.003609,-0.699539,0.714193,4
98805046923,0.039761,0.097869,0.255405,-0.028157,-0.012608,-0.697083,0.716326,5
98805113570,0.038384,0.010637,0.254571,-0.031567,-0.026087,-0.690749,0.721934,7
98805146893,0.036611,-0.013861,0.2544,-0.034161,-0.026379,-0.68868,0.723779,8
98805180216,0.034417,-0.025397,0.249128,-0.046518,-0.037347,-0.687251,0.723967,9
98805246863,0.033143,-0.026095,0.229965,-0.081686,-0.053652,-0.692468,0.714798,11
98805280186,0.033491,-0.02515,0.227197,-0.087635,-0.049018,-0.694889,0.712072,12
98805313510,0.034369,-0.027979,0.225783,-0.08759,-0.040952,-0.697265,0.710262,13
98805380156,0.0313,-0.055837,0.228099,-0.093533,-0.042518,-0.690443,0.716053,15
98805413480,0.029053,-0.064765,0.22811,-0.088956,-0.054377,-0.687205,0.718944,16
98805446803,0.028932,-0.050447,0.229393,-0.07251,-0.071796,-0.688597,0.717929,17
98805513450,0.03176,0.060061,0.246847,-0.032949,-0.040342,-0.69821,0.713996,19
98805546773,0.028719,0.128136,0.257144,-0.034518,-0.002643,-0.701999,0.711336,20
98805580097,0.024887,0.185833,0.266683,-0.02226,0.025091,-0.698546,0.714779,21
98805646743,0.02063,0.250022,0.267236,-0.028843,0.028945,-0.688217,0.724353,23
98805680067,0.020507,0.260344,0.259561,-0.043877,0.002641,-0.685821,0.726442,24
98805746713,0.02613,0.251313,0.253293,-0.051535,-0.026825,-0.693019,0.718574,26
98805780037,0.029661,0.232421,0.256799,-0.050184,-0.028172,-0.696254,0.715484,27
98805813360,0.032345,0.205838,0.262904,-0.048309,-0.026441,-0.697487,0.714478,28
98805880007,0.034785,0.119575,0.275501,-0.041477,-0.033529,-0.694184,0.717819,30
98805913330,0.037248,0.073263,0.284651,-0.030131,-0.037369,-0.698896,0.713611,31
98805946654,0.040959,0.037213,0.287568,-0.0313,-0.0485,-0.704607,0.707246,32
98806013300,0.045895,0.010414,0.28107,-0.045367,-0.08966,-0.700768,0.706277,34
98806046623,0.048807,0.013409,0.278504,-0.052617,-0.09184,-0.705272,0.700991,35
98806079947,0.048828,0.018193,0.281026,-0.044015,-0.073707,-0.708374,0.700597,36
98806146594,0.047193,0.007757,0.284555,-0.049049,-0.067388,-0.706415,0.702874,38
98806179917,0.043906,-0.008664,0.285333,-0.059071,-0.066958,-0.703135,0.705428,39
98806213241,0.043391,-0.029783,0.289358,-0.066707,-0.069877,-0.702714,0.704883,40
98806279887,0.039692,-0.044371,0.299123,-0.059876,-0.096103,-0.706885,0.698206,42
98806313210,0.041794,-0.019571,0.304294,-0.049084,-0.088313,-0.714839,0.691951,43
98806346534,0.042179,0.032688,0.308367,-0.042119,-0.078581,-0.718252,0.690047,44
98806413181,0.045992,0.168807,0.326647,-0.016174,-0.04091,-0.710858,0.701959,46
98806446504,0.046852,0.223958,0.339258,0.001903,-0.012704,-0.709054,0.705037,47
98806479827,0.044952,0.263465,0.347925,0.013266,0.005094,-0.704911,0.709153,48
98806546474,0.039443,0.295095,0.35092,0.015831,-0.001705,-0.694772,0.719054,50
98806579798,0.036069,0.289872,0.350175,0.00876,-0.008146,-0.69146,0.722316,51
98806613121,0.038039,0.270093,0.350923,9e-06,-0.020816,-0.69056,0.722976,52
98806679767,0.037118,0.197041,0.35299,-0.014567,-0.030979,-0.6901,0.722904,54
98806713091,0.03711,0.143951,0.357258,-0.019549,-0.036565,-0.692149,0.720563,55
