timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
76592647411,-0.039941,0.174425,0.133357,0.039408,0.04526,-0.731872,0.678795,0
76592680734,-0.040576,0.167331,0.128911,0.028716,0.033098,-0.733328,0.678462,1
76592714057,-0.042746,0.146186,0.123888,0.014847,0.018164,-0.732358,0.680515,2
76592780703,-0.045207,0.071148,0.117218,-0.018881,-0.010238,-0.728821,0.684367,4
76592814026,-0.046066,0.024513,0.119677,-0.022345,-0.012502,-0.72622,0.686986,5
76592847349,-0.045475,-0.018726,0.126067,-0.014138,-0.002518,-0.725785,0.687772,6
76592880672,-0.044223,-0.052463,0.127832,-0.017414,-0.005499,-0.726085,0.687363,7
76592913995,-0.043744,-0.072967,0.127977,-0.020258,-0.010347,-0.723841,0.689592,8
76592980641,-0.040164,-0.076326,0.113843,-0.058104,-0.041298,-0.72196,0.688253,10
76593013963,-0.037469,-0.067451,0.107379,-0.06826,-0.047641,-0.726301,0.682318,11
76593047287,-0.037058,-0.058786,0.108639,-0.061202,-0.042596,-0.728095,0.681408,12
76593080610,-0.036803,-0.054804,0.109319,-0.051152,-0.029578,-0.727821,0.683217,13
76593113934,-0.037039,-0.058781,0.107768,-0.049634,-0.02052,-0.726206,0.685376,14
76593180580,-0.040599,-0.092055,0.101932,-0.068251,-0.023051,-0.716655,0.693697,16
76593213903,-0.042532,-0.11978,0.096503,-0.083909,-0.030407,-0.712413,0.696062,17
76593247226,-0.042348,-0.148436,0.095224,-0.096302,-0.034251,-0.713518,0.693141,18
76593280548,-0.041989,-0.168321,0.093982,-0.109064,-0.033375,-0.71861,0.685996,19
76593313872,-0.041027,-0.169924,0.097101,-0.100541,-0.025505,-0.724712,0.6812,20
76593347194,-0.039294,-0.146159,0.101758,-0.086354,-0.008736,-0.728631,0.679385,21
76593413841,-0.036256,-0.034136,0.09487,-0.086728,-0.019764,-0.72558,0.682364,23
76593447164,-0.031224,0.032891,0.096431,-0.066077,-0.019215,-0.726277,0.683949,24
76593480487,-0.02554,0.090655,0.105546,-0.028073,0.003897,-0.730484,0.682341,25
76593513810,-0.020257,0.132461,0.115524,0.010838,0.037132,-0.73433,0.67769,26
76593547133,-0.017222,0.159449,0.11742,0.019016,0.047651,-0.732191,0.679164,27
76593613779,-0.022427,0.163425,0.110086,0.010007,0.034558,-0.717226,0.695911,29
76593647103,-0.025209,0.143177,0.106122,-0.000291,0.030721,-0.713775,0.699701,30
76593680426,-0.027424,0.109445,0.10157,-0.014055,0.019505,-0.712998,0.700753,31
76593713747,-0.028674,0.064744,0.098449,-0.025392,0.007014,-0.714614,0.699023,32
76593747072,-0.028005,0.013916,0.097474,-0.03161,-0.000927,-0.718392,0.694919,33
76593813718,-0.025112,-0.068256,0.093311,-0.040315,-0.022917,-0.724517,0.687695,35
76593847041,-0.023471,-0.086741,0.089203,-0.048842,-0.034663,-0.728148,0.682798,36
76593880364,-0.024465,-0.0878,0.088482,-0.0462,-0.029233,-0.727881,0.683521,37
76593913687,-0.025866,-0.078894,0.085341,-0.054437,-0.032719,-0.728981,0.681581,38
76593947010,-0.027968,-0.069202,0.085555,-0.050975,-0.032432,-0.729906,0.680873,39
76594013656,-0.032546,-0.064052,0.084277,-0.046131,-0.021223,-0.724148,0.687772,41
76594046979,-0.033667,-0.075622,0.084313,-0.048709,-0.018044,-0.721889,0.690056,42
76594080302,-0.03384,-0.096096,0.0807,-0.056317,-0.023229,-0.718623,0.692726,43
76594113625,-0.033182,-0.123687,0.075767,-0.068678,-0.033072,-0.716619,0.693287,44
76594146948,-0.03281,-0.15336,0.07304,-0.084281,-0.045104,-0.717387,0.690086,45
76594213594,-0.031938,-0.167664,0.067382,-0.10122,-0.070858,-0.7247,0.677897,47
76594246918,-0.03401,-0.133212,0.070191,-0.087279,-0.06157,-0.725155,0.680251,48
76594280240,-0.03476,-0.073491,0.070009,-0.076593,-0.056381,-0.72827,0.678659,49
