timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
101857703580,0.027187,0.192632,0.35447,-0.007295,-0.00155,-0.700672,0.713445,0
101857736903,0.027373,0.183255,0.351655,-0.010216,-0.005031,-0.701767,0.712316,1
101857803549,0.025667,0.127453,0.344513,-0.020867,-0.014218,-0.704628,0.709127,3
101857836872,0.024187,0.084961,0.342548,-0.027277,-0.014133,-0.705203,0.70834,4
101857870196,0.021917,0.035586,0.341889,-0.029082,-0.014376,-0.703979,0.70948,5
101857936843,0.015664,-0.051203,0.332205,-0.050499,-0.015667,-0.70181,0.710399,7
101857970166,0.012512,-0.07474,0.326495,-0.057096,-0.02756,-0.699707,0.711611,8
101858003489,0.009866,-0.084524,0.316886,-0.069516,-0.039829,-0.700543,0.709099,9
101858070136,0.00574,-0.083394,0.309785,-0.074793,-0.026921,-0.702988,0.706745,11
101858103459,0.004807,-0.085065,0.306184,-0.074577,-0.022351,-0.703478,0.706441,12
101858136782,0.003984,-0.093062,0.302,-0.07911,-0.023952,-0.703779,0.705594,13
101858203429,0.001039,-0.123098,0.29683,-0.08638,-0.037651,-0.703879,0.704042,15
101858236752,0.000462,-0.130038,0.294764,-0.083442,-0.046567,-0.704229,0.703513,16
101858270076,0.001889,-0.115506,0.293744,-0.067183,-0.047307,-0.708459,0.700952,17
101858336722,0.006008,-0.016727,0.295142,-0.028472,-0.026835,-0.720571,0.692277,19
101858370046,0.003442,0.04652,0.295207,-0.027214,-0.018019,-0.718284,0.694984,20
101858403369,0.000964,0.102487,0.296004,-0.022155,-0.010158,-0.713142,0.700596,21
101858470015,-0.003944,0.174192,0.292487,-0.0183,-0.000751,-0.701652,0.712285,23
101858503339,-0.00417,0.190741,0.284973,-0.023606,-0.008788,-0.701904,0.711826,24
101858536662,-0.003769,0.196376,0.279991,-0.024304,-0.016333,-0.70426,0.709338,25
101858603309,-0.000672,0.17752,0.273445,-0.025307,-0.018114,-0.70851,0.705014,27
101858636632,0.000314,0.15164,0.273065,-0.024245,-0.013363,-0.70791,0.70576,28
101858669955,0.000265,0.113631,0.273394,-0.025295,-0.012414,-0.706484,0.707167,29
101858736602,0.00455,0.014441,0.273061,-0.026265,-0.01457,-0.709213,0.704354,31
101858769925,0.004696,-0.030118,0.270078,-0.039237,-0.024985,-0.707979,0.7047,32
101858803248,0.004413,-0.06314,0.270452,-0.040272,-0.025407,-0.707035,0.705574,33
101858869895,0.001886,-0.090096,0.260009,-0.065239,-0.040889,-0.70558,0.704435,35
