timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
28033998856,0.068479,0.231869,0.12783,-0.011383,0.038295,-0.709412,0.703661,0
28034032176,0.070405,0.231768,0.1223,-0.022581,0.022166,-0.709141,0.704356,1
28034065503,0.073857,0.220372,0.116755,-0.031345,0.005257,-0.710156,0.703326,2
28034132149,0.080273,0.168565,0.113849,-0.041493,-0.00852,-0.709856,0.703072,4
28034165473,0.083779,0.129909,0.114692,-0.042302,-0.009571,-0.709399,0.703472,5
28034198797,0.084938,0.088219,0.115381,-0.040769,-0.006834,-0.707002,0.706003,6
28034232120,0.085599,0.054202,0.111766,-0.050834,-0.015656,-0.705179,0.707031,7
28034265444,0.085126,0.03249,0.109445,-0.054249,-0.011738,-0.708429,0.703596,8
28034332091,0.085758,0.027927,0.114263,-0.043577,0.004934,-0.712876,0.699918,10
28034365414,0.08451,0.033778,0.112617,-0.050443,0.000776,-0.711648,0.700723,11
28034398738,0.083331,0.037691,0.111454,-0.053291,-0.001676,-0.711441,0.700721,12
28034432061,0.082426,0.036515,0.110425,-0.05842,-0.001686,-0.709667,0.702109,13
28034465385,0.081125,0.0297,0.108004,-0.067062,-0.00678,-0.707147,0.703846,14
28034532032,0.080403,-0.008228,0.106012,-0.077217,-0.021568,-0.708706,0.700934,16
28034565355,0.080485,-0.032924,0.106123,-0.078903,-0.027429,-0.710246,0.69898,17
28034598679,0.079819,-0.054352,0.104608,-0.087955,-0.031155,-0.708844,0.699166,18
28034632002,0.078966,-0.059044,0.101816,-0.096547,-0.039574,-0.709235,0.697208,19
28034665326,0.08069,-0.034435,0.103418,-0.080492,-0.039242,-0.711285,0.697177,20
28034731973,0.088375,0.080869,0.115838,-0.046503,-0.028725,-0.725144,0.686424,22
28034765296,0.090731,0.142479,0.12803,-0.01866,0.000235,-0.72905,0.684206,23
28034798620,0.091103,0.190565,0.136386,0.004144,0.020066,-0.730808,0.682275,24
28034831943,0.089395,0.223547,0.136709,0.011987,0.032276,-0.72577,0.687075,25
28034865266,0.088113,0.241321,0.129974,-0.000574,0.024872,-0.71925,0.694306,26
28034931913,0.083233,0.237652,0.119093,-0.022713,0.005981,-0.710105,0.703704,28
28034965237,0.082464,0.218767,0.119944,-0.026071,0.00496,-0.708783,0.704927,29
28034998560,0.082567,0.189955,0.12201,-0.029964,0.005888,-0.709027,0.70452,30
28035031884,0.083116,0.15148,0.124382,-0.032476,0.006723,-0.710509,0.702906,31
28035065207,0.083153,0.103769,0.128801,-0.033423,0.0067,-0.711261,0.702101,32
28035131854,0.079518,0.027453,0.126664,-0.050181,-0.012266,-0.708778,0.703538,34
28035165178,0.07668,0.009843,0.127048,-0.057008,-0.014767,-0.707754,0.704001,35
28035198501,0.075589,0.007416,0.1276,-0.057284,-0.01497,-0.711942,0.699738,36
28035231825,0.07542,0.015201,0.130239,-0.050771,-0.006006,-0.716349,0.695866,37
28035265148,0.074879,0.026901,0.133593,-0.045283,-0.000173,-0.719254,0.69327,38
28035331795,0.075245,0.033743,0.140104,-0.024088,0.008126,-0.721138,0.692324,40
28035365119,0.07518,0.024483,0.137878,-0.026304,0.001666,-0.721162,0.692265,41
28035398442,0.074273,0.006956,0.134006,-0.033104,-0.00528,-0.719205,0.693989,42
28035431766,0.072823,-0.018664,0.128775,-0.044845,-0.015433,-0.716977,0.695482,43
28035465089,0.071498,-0.048325,0.121841,-0.06079,-0.030045,-0.712825,0.698056,44
28035531736,0.068965,-0.078267,0.110493,-0.083559,-0.065061,-0.709149,0.69706,46
28035565060,0.070213,-0.04857,0.111642,-0.073569,-0.053317,-0.713002,0.69525,47
28035598383,0.071385,0.008855,0.120922,-0.045857,-0.031759,-0.715773,0.696102,48
28035631707,0.073809,0.079458,0.131685,-0.02267,-0.006728,-0.719057,0.694549,49
28035665030,0.077341,0.145991,0.139556,-0.005255,0.013609,-0.724336,0.689293,50
28035731677,0.083581,0.233287,0.142946,0.020859,0.034885,-0.729505,0.682767,52
28035765001,0.085291,0.252717,0.136724,0.012475,0.023725,-0.72615,0.687014,53
28035798324,0.08528,0.258544,0.132277,0.008021,0.013402,-0.721385,0.692358,54
28035831647,0.084616,0.252282,0.129339,0.004645,0.004941,-0.716473,0.697582,55
28035864971,0.084972,0.234579,0.126796,-0.002914,0.001871,-0.710653,0.703534,56
28035931618,0.085625,0.168272,0.120954,-0.023108,0.001345,-0.7021,0.711702,58
28035964942,0.086392,0.121736,0.119348,-0.031103,-0.000928,-0.702198,0.711302,59
28035998265,0.08541,0.075943,0.117555,-0.039228,-4e-06,-0.699293,0.713758,60
28036031588,0.084574,0.040396,0.11245,-0.057082,-0.018222,-0.699332,0.712281,61
28036064912,0.084169,0.020291,0.110469,-0.067566,-0.024494,-0.697847,0.712632,62
28036098236,0.083287,0.01494,0.113747,-0.062993,-0.014181,-0.695599,0.715523,63
28036164883,0.082954,0.02934,0.116684,-0.070624,-0.00392,-0.697228,0.713352,65
28036198206,0.083173,0.037688,0.118685,-0.066211,0.00463,-0.698329,0.712693,66
28036231530,0.083497,0.043022,0.118521,-0.067495,0.012455,-0.69868,0.712135,67
28036264853,0.083972,0.043075,0.117042,-0.071644,0.016438,-0.698883,0.711449,68
28036298176,0.084344,0.042234,0.113422,-0.078972,0.015209,-0.700848,0.708762,69
28036364824,0.085058,0.039834,0.108446,-0.086257,0.001284,-0.700168,0.708747,71
28036398147,0.085116,0.040458,0.107732,-0.088346,-0.001647,-0.69667,0.711929,72
28036431470,0.085869,0.041701,0.108456,-0.084618,-0.004664,-0.696877,0.712166,73
28036464794,0.087323,0.042049,0.110472,-0.078803,-0.001331,-0.70216,0.707644,74
28036498117,0.086821,0.042873,0.111641,-0.081356,0.01866,-0.6993,0.709939,75
28036564764,0.087914,0.040651,0.10988,-0.09584,0.035659,-0.700144,0.706641,77
28036598088,0.088447,0.03891,0.106815,-0.107439,0.031413,-0.700931,0.704391,78
28036631411,0.088412,0.037174,0.104598,-0.116056,0.025317,-0.700641,0.703557,79
28036664735,0.088905,0.035399,0.10392,-0.122817,0.020257,-0.701743,0.701471,80
28036698058,0.088514,0.0344,0.104463,-0.127597,0.029251,-0.700967,0.701077,81
28036764705,0.087597,0.033625,0.104953,-0.133484,0.039791,-0.698245,0.702177,83
28036798029,0.087586,0.033525,0.105715,-0.133191,0.046584,-0.69855,0.701511,84
28036831352,0.08774,0.033374,0.105503,-0.136785,0.050284,-0.699013,0.700101,85
28036864676,0.089358,0.03227,0.103385,-0.138009,0.047054,-0.705012,0.694044,86
28036897999,0.09041,0.031785,0.101667,-0.12202,0.025732,-0.712091,0.690924,87
28036964646,0.091033,0.03104,0.09723,-0.093802,-0.013476,-0.718445,0.689098,89
28036997970,0.090331,0.031009,0.095315,-0.096144,-0.017388,-0.715991,0.691238,90
28037031293,0.089354,0.031064,0.094617,-0.092904,-0.017305,-0.71279,0.694982,91
28037064617,0.089694,0.030539,0.094078,-0.091082,-0.019763,-0.711139,0.696846,92
28037097940,0.088943,0.02952,0.092838,-0.087404,-0.032896,-0.707763,0.70025,93
28037164587,0.086394,0.028181,0.090873,-0.082184,-0.074359,-0.697737,0.707729,95
28037197911,0.084585,0.027852,0.089389,-0.084898,-0.085935,-0.69253,0.711203,96
28037231234,0.082691,0.02805,0.089298,-0.084316,-0.086028,-0.689322,0.714371,97
28037264558,0.080705,0.029086,0.091878,-0.083558,-0.087627,-0.686549,0.716931,98
28037297881,0.079035,0.029351,0.092056,-0.082926,-0.093399,-0.683729,0.718968,99
28037364528,0.077308,0.029173,0.094253,-0.081945,-0.096327,-0.680467,0.721783,101
28037397851,0.077182,0.028637,0.094774,-0.080793,-0.097994,-0.680302,0.721844,102
28037431175,0.076996,0.027764,0.094784,-0.081266,-0.101691,-0.679089,0.722421,103
28037464498,0.076655,0.026399,0.094719,-0.084302,-0.104055,-0.677801,0.722947,104
28037497822,0.075934,0.02455,0.09561,-0.086752,-0.103329,-0.676327,0.724141,105
28037564469,0.074513,0.018444,0.101853,-0.092632,-0.095538,-0.676218,0.724584,107
28037597792,0.073813,0.014899,0.10653,-0.092837,-0.093316,-0.675559,0.725461,108
28037631116,0.073409,0.011176,0.111313,-0.090284,-0.08964,-0.675817,0.726006,109
28037664439,0.072841,0.005755,0.116898,-0.089105,-0.088296,-0.675291,0.726806,110
28037697763,0.072466,0.001459,0.121258,-0.086833,-0.088724,-0.673832,0.728381,111
28037764410,0.073477,-0.007885,0.12772,-0.084293,-0.101573,-0.670276,0.730279,113
28037797733,0.074861,-0.011973,0.130573,-0.082564,-0.104928,-0.670716,0.729598,114
28037831057,0.076738,-0.015244,0.133609,-0.081872,-0.102176,-0.671474,0.729369,115
28037864380,0.079291,-0.017558,0.136833,-0.078921,-0.100479,-0.672498,0.728987,116
28037897704,0.081371,-0.019833,0.13916,-0.077692,-0.104162,-0.671334,0.729675,117
28037964351,0.083608,-0.024081,0.142838,-0.075732,-0.09422,-0.66731,0.734904,119
28037997674,0.08485,-0.026217,0.145364,-0.067257,-0.079255,-0.666817,0.737937,120
28038030997,0.087535,-0.029355,0.147524,-0.06014,-0.066869,-0.67508,0.732243,121
