timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
67459038708,0.003014,0.208595,0.396167,0.113018,0.083901,-0.666935,0.7317,0
67459072031,0.00216,0.19359,0.39568,0.107824,0.09213,-0.665523,0.732779,1
67459105355,0.003226,0.167818,0.388542,0.092305,0.0816,-0.672429,0.729836,2
67459172002,0.007931,0.102234,0.366153,0.03316,0.048607,-0.696414,0.715224,4
67459205326,0.01004,0.070022,0.356992,0.004425,0.020359,-0.707654,0.706252,5
67459238649,0.010372,0.043971,0.350508,-0.020033,-0.014309,-0.710678,0.703086,6
67459271973,0.011026,0.024485,0.345554,-0.044662,-0.041978,-0.709557,0.701978,7
67459338620,0.013004,0.003432,0.34276,-0.064213,-0.05711,-0.710637,0.698291,9
67459371944,0.014236,-0.000636,0.343199,-0.064774,-0.054792,-0.713381,0.695621,10
67459405267,0.015339,-0.002259,0.3436,-0.06419,-0.054807,-0.715284,0.693718,11
67459438591,0.014552,-0.003035,0.342044,-0.065525,-0.058144,-0.716368,0.692201,12
67459505238,0.014709,-0.003889,0.33966,-0.068567,-0.062817,-0.714733,0.693188,14
67459538561,0.013213,-0.002577,0.33705,-0.071381,-0.066795,-0.712437,0.694893,15
67459571885,0.012581,0.007993,0.332112,-0.073252,-0.076264,-0.706276,0.699995,16
67459605208,0.012244,0.036856,0.327098,-0.057706,-0.085993,-0.694968,0.711544,17
67459671855,0.006628,0.136107,0.332795,0.011522,-0.033548,-0.689559,0.723361,19
67459705179,0.005161,0.182048,0.345626,0.05385,0.010811,-0.690444,0.721298,20
67459738503,0.00243,0.213625,0.359561,0.088971,0.041817,-0.686913,0.72006,21
67459771826,0.000803,0.227842,0.370137,0.109525,0.058378,-0.684202,0.718654,22
67459805150,-0.000173,0.224704,0.375035,0.112897,0.063969,-0.681507,0.720215,23
67459871797,-0.00227,0.177637,0.367826,0.083694,0.066563,-0.67875,0.726542,25
67459905120,-0.001192,0.143316,0.358025,0.052493,0.061167,-0.683124,0.72584,26
67459938444,0.000498,0.108321,0.347649,0.020792,0.045644,-0.692702,0.719477,27
67459971768,0.002647,0.077076,0.338939,-0.00988,0.016826,-0.703005,0.710917,28
