timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
68615916169,0.065134,0.217617,0.496978,0.141656,0.132274,-0.669914,0.716696,0
68615949493,0.064865,0.211537,0.501279,0.142056,0.145591,-0.671984,0.712082,1
68616016140,0.067468,0.161355,0.484471,0.107466,0.129762,-0.686099,0.70773,3
68616049463,0.070932,0.126711,0.470438,0.073763,0.105879,-0.694437,0.707888,4
68616082787,0.07301,0.09078,0.457075,0.040809,0.078738,-0.700073,0.708543,5
68616149434,0.074231,0.033253,0.438159,-0.016473,0.031142,-0.707331,0.706003,7
68616182758,0.074108,0.014505,0.434788,-0.032733,0.013658,-0.70848,0.704839,8
68616249405,0.07032,0.00133,0.43483,-0.045398,0.001457,-0.702232,0.710498,10
68616282728,0.069395,0.00024,0.436063,-0.045021,0.002454,-0.700646,0.712083,11
68616316052,0.068948,0.000675,0.437414,-0.041666,0.003483,-0.699314,0.71359,12
68616382699,0.06936,0.005157,0.436509,-0.036955,0.006661,-0.699928,0.713226,14
68616416023,0.069657,0.004774,0.436402,-0.037378,0.0063,-0.700496,0.712649,15
68616449346,0.067374,0.008752,0.433619,-0.038421,0.003909,-0.700219,0.712883,16
68616515994,0.069015,0.030483,0.431358,-0.025777,0.003785,-0.699881,0.713784,18
68616549317,0.069516,0.06271,0.4309,-0.0079,0.020422,-0.701156,0.712672,19
68616582641,0.070131,0.104464,0.437576,0.024388,0.046248,-0.700789,0.71145,20
68616649288,0.068219,0.182906,0.461616,0.099184,0.108368,-0.689926,0.708817,22
68616682611,0.065339,0.204829,0.472705,0.121628,0.126664,-0.681616,0.710326,23
68616749259,0.064169,0.200569,0.475513,0.123569,0.142084,-0.68258,0.706136,25
68616782582,0.064099,0.177082,0.468544,0.109572,0.135293,-0.687138,0.705359,26
68616815906,0.064391,0.143969,0.456816,0.082873,0.114659,-0.693428,0.706501,27
68616882553,0.06448,0.072361,0.433907,0.025711,0.04918,-0.701396,0.710609,29
68616915876,0.063597,0.044406,0.425814,-0.002715,0.023326,-0.70177,0.712016,30
68616949200,0.062276,0.026282,0.420105,-0.021376,0.007896,-0.700604,0.713187,31
68617015847,0.060041,0.011065,0.418554,-0.031619,-0.00073,-0.698095,0.715306,33
68617049171,0.059069,0.011473,0.419225,-0.029623,0.001256,-0.699247,0.714265,34
68617082494,0.058089,0.011921,0.419399,-0.028197,-0.001381,-0.697283,0.71624,35
68617149141,0.0593,0.012605,0.417899,-0.028697,-0.004626,-0.698669,0.714854,37
68617182465,0.059617,0.011365,0.416308,-0.032197,-0.007987,-0.699614,0.713751,38
