frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.064505,0.21333,0.5167,0.125474,0.060503,-0.667854,0.731141,1.0639552922401576,12.571114713090658,-3.481613450503349,0.2360964101540855,9.684784784784911,-1.5230160611115395,-1.1941452026367188,0.0304552596062421,-0.0820414200425148,0.5083166950956377,0.58275603215994,-0.4879012385885047,-0.4049220695088303,1.3356022834777832,1.0939476490020752,-1.13958740234375,-1.0269279479980469,0.7406940460205078,-0.3175728321075439,0.1376411914825439,-0.1065936014056205,0.4729845917403698,-0.1364858150482177,0.0615303908376023,0.179876090157032
1,0.065008,0.21083,0.517408,0.12537,0.06172,-0.668013,0.730911,2.122851255264133,10.693623389154672,-5.018384626853465,0.124705233547138,9.769769006848335,-0.8405261838216334,-2.3496556282043457,-0.1405992656946182,-0.5509446859359741,0.5261888803002763,0.5674463294681158,-0.4699569898722663,-0.4245827885009597,1.6189093589782717,0.8968335390090942,-1.903456687927246,-0.6846503019332886,0.6277053356170654,-0.1902719736099243,0.0960503220558166,-0.0916590392589569,0.8007891436517238,-0.0509080737829208,-0.0313031747530214,0.5514230454221367
2,0.070158,0.159005,0.50902,0.099975,0.041182,-0.676345,0.728606,1.2262057824008166,3.4924756207793948,-3.999052685520053,-0.16662183711268,9.80267583567202,0.2239952544013038,-2.836856842041016,-0.4250319302082062,-0.8140341639518738,0.5473183496989579,0.5425251893370213,-0.4407332974101902,-0.4602860390162828,1.141806960105896,0.3889405727386474,-2.196887493133545,-0.1448177099227905,0.3875300884246826,0.1675540208816528,0.0416016541421413,-0.0330353789031505,0.2717956644415855,0.0095251463353633,0.0109109230549074,0.2885094833552837
3,0.074463,0.117964,0.497648,0.077866,0.023518,-0.686695,0.722381,0.566815077680163,-7.10556090375483,-1.8958412196189165,-0.5315007858559488,9.688006669440863,1.424931388325989,-2.028198719024658,-0.4253022372722626,-0.7655661106109619,0.5647619801424065,0.5109809646045445,-0.4077341882387314,-0.5036817109500866,1.5297973155975342,0.1615426242351532,-2.080479621887207,0.520891547203064,0.0334342718124389,0.5040568113327026,-0.0128470100462436,0.0255882814526557,-0.2571101364850998,0.069958359003067,0.0530865885485895,0.0255614344969391
4,0.079949,0.078628,0.489592,0.054201,0.003948,-0.700847,0.711238,0.3746102883584797,-12.710601509714126,-0.8270514198943972,-0.774740875485912,9.552198853591085,2.079817000179738,-1.3356993198394775,-0.3083805441856384,-0.58148592710495,0.5716498815794734,0.493832604687412,-0.3874121878077717,-0.528448143432749,0.6976948380470276,-0.1107717677950859,-1.238913655281067,1.1548558473587036,-0.4856573641300201,0.5214612483978271,-0.0387307330965995,0.0472936704754829,-0.6467325544059276,0.0411001406610012,-0.0105499259890988,-0.3211448017612099
5,0.085079,0.024364,0.482207,0.013331,-0.030205,-0.707136,0.706306,0.4589243560753762,-15.027325962436198,-0.0443010601498186,-0.8725226198021322,9.456467612063884,2.446284021832049,-0.4491218626499176,-0.1419695317745208,-0.0791440680623054,0.5755951018571879,0.4828005835733466,-0.3770647476527209,-0.5416789104385146,0.1641626954078674,0.0654221177101135,-0.2957209348678589,1.239740252494812,-0.4966042935848236,0.5257272720336914,-0.0412935987114906,0.0879397392272949,-0.7047668102234601,0.0170532632619142,-0.0598004252398386,-0.5742752209603786
6,0.08573,0.010467,0.478722,-0.005754,-0.051031,-0.705082,0.707264,0.3074974577460437,-15.347922190403937,-0.7609206591218709,-0.8592115220040082,9.469259873619675,2.401098433932662,0.611633837223053,0.2043339908123016,0.1506012082099914,0.5759411097310755,0.4846924809908892,-0.3776920035421987,-0.5391788787108688,-0.8503149747848511,0.6725976467132568,1.0220328569412231,1.2273426055908203,-0.5505445003509521,0.6127928495407104,-0.0058984905481338,0.1034493222832679,-0.5655360341876745,0.0596501305699348,-0.2023471939558163,-0.5769330419927835
7,0.086329,0.003587,0.47722,-0.014189,-0.061154,-0.70459,0.706833,0.0940014951251447,-12.14682079476118,-1.141365206591785,-0.8014877934403717,9.557790389987826,2.043679372741282,1.1774497032165527,0.0464010499417781,0.2585740685462951,0.5700428475483289,0.4955043761619267,-0.3876554720357883,-0.5284408137891652,-1.5680928230285645,0.6259741187095642,1.815816164016724,1.0887718200683594,-0.5383630394935608,0.5872704982757568,0.027813259512186,0.1661072075366974,-0.1672083317637443,0.2383094727993011,-0.3585698751943186,0.0129395610719919
8,0.086139,0.000585,0.477316,-0.015817,-0.058796,-0.704675,0.706913,-0.5547451025169342,-4.61044446195364,0.4150286618560552,-0.6188626237709075,9.673432785165309,1.48731448700279,1.751632809638977,0.2451284378767013,0.7852097153663635,0.5616390443081086,0.5090130183741082,-0.4062927713032636,-0.5102877248801079,-2.4552133083343506,-0.1651324182748794,2.300199031829834,0.4932565093040466,-0.1430156230926513,0.2643476128578186,-0.0425035022199153,0.2079017609357834,0.025983167040348,0.5737251043319702,-0.3867361949600279,0.7225245852321386
9,0.085906,0.001384,0.47681,-0.018918,-0.055724,-0.704488,0.707272,-0.2832523482783697,4.342504303896427,-1.2592998043596744,-0.229406337930914,9.772961080887914,0.7791125877641141,1.7647008895874023,0.1146145015954971,0.9530324935913086,0.5546194809216233,0.5224751985298702,-0.4327770547763629,-0.48178947879083,-1.98162579536438,-0.9208335280418396,1.610438108444214,-0.481022834777832,0.4143205881118774,-0.0432387292385101,-0.0263543967157602,0.1643972098827362,0.0907441007643938,0.5701165795326233,-0.0425943566966336,0.0703159375026822
10,0.085603,0.00279,0.475884,-0.02211,-0.056997,-0.703714,0.707848,0.3602512889426201,3.614609131541848,-1.9635047429166728,-0.1066153587735723,9.742491123822331,-1.1148393840420991,-0.0256262831389904,0.1359549611806869,-0.0035991501063108,0.5063477615716128,0.5728570845338744,-0.4782005334046874,-0.4321699890390239,0.0542559064924716,-0.1957418918609619,0.0543530397117137,-0.3220193386077881,0.3680086731910705,-0.2205710411071777,0.0660592168569564,0.1219553425908088,0.1310028449871577,-0.0687809288501739,-0.3427045994013548,-0.0110206670396961
11,0.085208,0.004944,0.475428,-0.021669,-0.056501,-0.703639,0.707977,0.1053223415546584,1.9368600432276724,0.0308780264098197,-0.1005338651691097,9.747142749020457,-1.0740013968929647,-0.1067439839243888,0.209780678153038,0.0070107607170939,0.5096346198907037,0.5737987727139043,-0.4748829328189085,-0.4307129870777904,0.1658647209405899,-0.0612911917269229,-0.0193697828799486,-0.0855146646499633,0.1198270916938781,-0.0884578377008438,-0.0054200338199734,-0.0501948483288288,-0.5929424389641732,-0.0714112594723701,0.0791741292788647,-0.0814061261146329
12,0.083335,0.022681,0.476585,-0.012543,-0.050007,-0.703461,0.708861,0.6326677156310528,0.7073112340092659,0.725061994755268,-0.1029505161230917,9.74637118012607,-1.080750944218412,0.164299190044403,0.0439175255596637,-0.0562964603304863,0.5102028297222768,0.5749388386794247,-0.4738652722344161,-0.4296394706393739,0.0649796575307846,-0.0200598128139972,-0.0446664839982986,-0.0544566512107849,0.0308963656425476,-0.0068570971488952,0.0121985422447323,-0.0339354947209358,-0.4065618622839451,-0.0465573593974113,0.0296813365716952,-0.1217538637951016
13,0.082499,0.046605,0.478641,0.006145,-0.039279,-0.70319,0.709889,0.2447649611096829,0.1152595333397388,-0.2396516366839408,-0.1267008826100733,9.737628486222029,-1.1545217714153229,0.0906769037246704,0.0561019219458103,-0.047656126320362,0.5081419248101003,0.5781568656398026,-0.4739186285354773,-0.4277003110237288,0.1212160363793373,-0.0932657420635223,-0.0052137500606477,0.0427284836769104,0.0175955295562744,-0.0531480461359024,0.0298171192407608,-0.0176761392503976,-0.2200117011904716,-0.0217034574598073,-0.0197356874855235,-0.1621110086247325
