timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
98116629331,0.016676,0.209988,0.566316,0.146996,0.105403,-0.655123,0.73355,0
98116662655,0.016957,0.202025,0.567133,0.14601,0.098491,-0.653395,0.736244,1
98116729302,0.023285,0.138035,0.561123,0.119353,0.067682,-0.669281,0.730231,3
98116762625,0.028478,0.098209,0.554426,0.097925,0.049889,-0.684094,0.721067,4
98116795949,0.033571,0.064331,0.54855,0.06952,0.032859,-0.699577,0.710408,5
98116829273,0.035434,0.039482,0.543299,0.037819,0.015047,-0.705653,0.707388,6
98116895920,0.034614,0.011332,0.541035,0.01277,-0.014474,-0.709039,0.704905,8
98116929243,0.033315,0.005725,0.540504,0.005337,-0.019057,-0.709489,0.704439,9
98116962567,0.031676,0.002972,0.540575,0.000536,-0.022055,-0.708413,0.705454,10
98117029214,0.027755,0.003179,0.537959,-0.00494,-0.028211,-0.704049,0.709574,12
98117062538,0.024974,0.003994,0.531434,-0.011864,-0.032362,-0.700274,0.713041,13
98117095861,0.022096,0.010505,0.528123,-0.017758,-0.038221,-0.695227,0.717554,14
98117162508,0.022491,0.068684,0.529328,0.02513,-0.008161,-0.702792,0.710905,16
98117195832,0.023061,0.113383,0.539364,0.074318,0.027521,-0.705929,0.703835,17
98117229155,0.021792,0.15891,0.55215,0.118891,0.058581,-0.700921,0.700816,18
98117262479,0.02034,0.199311,0.562599,0.141445,0.078068,-0.691923,0.703662,19
98117329126,0.013585,0.231417,0.581188,0.151281,0.106443,-0.668459,0.72038,21
98117362450,0.013047,0.219966,0.586017,0.162357,0.10068,-0.666156,0.72093,22
98117395772,0.013087,0.191516,0.587889,0.161736,0.089278,-0.66967,0.719314,23
98117462421,0.017251,0.113065,0.575057,0.114916,0.040055,-0.684746,0.71855,25
98117495744,0.019664,0.080386,0.567394,0.084047,0.007619,-0.691591,0.717343,26
98117529068,0.021226,0.05814,0.562114,0.055873,-0.011911,-0.692801,0.718862,27
98117562391,0.023148,0.043566,0.557233,0.042079,-0.022512,-0.692419,0.719916,28
98117629038,0.026687,0.036699,0.558642,0.038447,-0.027613,-0.702071,0.710532,30
98117662362,0.027872,0.036333,0.556435,0.037206,-0.027,-0.704955,0.707761,31
98117695686,0.028661,0.039106,0.555506,0.034112,-0.030098,-0.705399,0.707349,32
98117762333,0.031988,0.063305,0.54966,0.038295,-0.026502,-0.706468,0.706212,34
98117795656,0.035302,0.098629,0.550905,0.057924,-0.004008,-0.710609,0.701187,35
98117828980,0.037184,0.144638,0.556751,0.096058,0.022845,-0.709157,0.698103,36
98117895627,0.033061,0.228144,0.570798,0.166385,0.064965,-0.686623,0.70473,38
98117928951,0.030458,0.251346,0.574243,0.158963,0.078968,-0.67493,0.716215,39
98117962274,0.028127,0.253068,0.577613,0.150955,0.086634,-0.665761,0.725582,40
98117995598,0.027847,0.236934,0.58361,0.159867,0.086625,-0.662865,0.726325,41
98118062245,0.030069,0.164771,0.58286,0.148325,0.066964,-0.66741,0.726691,43
98118095569,0.032033,0.127656,0.574975,0.116884,0.04446,-0.671709,0.730184,44
98118128892,0.036138,0.100599,0.567097,0.084657,0.019606,-0.68064,0.727447,45
98118195540,0.040019,0.073238,0.560373,0.066447,0.005271,-0.693781,0.717095,47
98118228863,0.040861,0.070533,0.559508,0.063415,0.009398,-0.695529,0.715633,48
98118262187,0.038588,0.065644,0.556305,0.059174,0.012741,-0.694982,0.716475,49
98118295510,0.037663,0.065825,0.554189,0.05424,0.014251,-0.693707,0.71807,50
98118362155,0.03385,0.062285,0.548894,0.038584,0.025216,-0.68865,0.723628,52
98118395481,0.033182,0.060966,0.546136,0.032194,0.02847,-0.68697,0.725414,53
98118428804,0.03232,0.060191,0.543753,0.025431,0.036595,-0.685362,0.726837,54
98118495452,0.029204,0.057404,0.536857,0.014515,0.055436,-0.683894,0.727327,56
98118528775,0.02794,0.057995,0.533658,0.007316,0.057543,-0.683393,0.727743,57
98118562099,0.026595,0.059392,0.527396,0.000935,0.052904,-0.683957,0.727601,58
98118628746,0.026285,0.05935,0.520715,-0.008087,0.039052,-0.686868,0.725687,60
98118662070,0.02778,0.058573,0.516129,-0.014552,0.032688,-0.68991,0.72301,61
98118695393,0.027759,0.056952,0.513198,-0.022605,0.034177,-0.688903,0.723694,62
98118728717,0.028301,0.054868,0.510292,-0.029466,0.035614,-0.690087,0.722249,63
98118795364,0.032559,0.051716,0.50514,-0.038416,0.030246,-0.69855,0.713889,65
98118828687,0.03445,0.049627,0.503904,-0.04282,0.027989,-0.702472,0.709871,66
98118862011,0.036714,0.050526,0.501477,-0.038237,0.0196,-0.709371,0.703525,67
98118928658,0.038666,0.049372,0.500399,-0.043889,0.002726,-0.711121,0.701693,69
98118961982,0.038722,0.050379,0.497082,-0.049124,0.003446,-0.712684,0.699755,70
98118995305,0.038683,0.049996,0.494925,-0.055525,0.001345,-0.713592,0.698357,71
98119061953,0.037304,0.049925,0.491353,-0.074096,-0.00537,-0.710292,0.699976,73
98119095276,0.035942,0.049558,0.490334,-0.080176,-0.005455,-0.707425,0.702205,74
98119128600,0.03508,0.049222,0.489996,-0.080707,-0.006814,-0.705989,0.703576,75
98119161923,0.036639,0.049867,0.489773,-0.080607,-0.008095,-0.704975,0.70459,76
98119228570,0.034909,0.049762,0.488734,-0.06841,-0.024268,-0.701432,0.709031,78
98119261894,0.035031,0.050588,0.488306,-0.060901,-0.04067,-0.698992,0.71137,79
98119295218,0.034373,0.051261,0.487866,-0.056917,-0.049753,-0.697609,0.71248,80
