timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
37939704896,0.040569,0.22437,0.340599,-0.028158,0.042573,-0.713827,0.69846,0
37939738219,0.04162,0.221717,0.338285,-0.037363,0.032062,-0.714033,0.698379,1
37939804866,0.04294,0.183431,0.336298,-0.051725,0.019666,-0.715105,0.696824,3
37939838189,0.042234,0.149948,0.336296,-0.057525,0.013229,-0.713736,0.697923,4
37939871513,0.040721,0.108116,0.337127,-0.062911,0.009172,-0.712294,0.698996,5
37939938160,0.035776,0.02463,0.337313,-0.075666,0.009391,-0.706189,0.703906,7
37939971483,0.034217,-0.00367,0.336136,-0.08412,0.007343,-0.703684,0.705478,8
37940038130,0.031335,-0.020224,0.329586,-0.110038,-0.014626,-0.696099,0.709312,10
37940071453,0.030811,-0.015316,0.327759,-0.117525,-0.019364,-0.6958,0.70829,11
37940104777,0.030479,-0.008714,0.328744,-0.116321,-0.016706,-0.695967,0.708392,12
37940171422,0.028844,-0.00734,0.335763,-0.102955,-0.010601,-0.696645,0.709911,14
37940204747,0.028323,-0.017663,0.339884,-0.09973,-0.007131,-0.70023,0.706881,15
37940238070,0.027082,-0.037538,0.345801,-0.096814,-0.003166,-0.70222,0.70534,16
37940304717,0.021667,-0.088575,0.355299,-0.107231,-0.00395,-0.697724,0.708285,18
37940338040,0.01992,-0.102777,0.356793,-0.116244,-0.017205,-0.69399,0.710331,19
37940371364,0.019648,-0.092326,0.357751,-0.118942,-0.019998,-0.691635,0.712105,20
37940438010,0.025613,0.009955,0.364422,-0.087926,-0.012482,-0.696819,0.711728,22
37940471334,0.030756,0.08095,0.371833,-0.060397,-0.004791,-0.704333,0.707279,23
37940537980,0.03848,0.190755,0.394108,0.007272,0.054653,-0.718708,0.693122,25
37940571304,0.038702,0.218912,0.395554,0.015382,0.054033,-0.718199,0.693566,26
37940604627,0.039352,0.227928,0.391702,0.007162,0.042063,-0.71494,0.697883,27
37940671274,0.042413,0.205541,0.384254,-0.015883,0.023673,-0.713305,0.700274,29
37940704597,0.044757,0.177499,0.384198,-0.021107,0.016537,-0.712705,0.700952,30
37940737921,0.046195,0.140726,0.385307,-0.02707,0.013203,-0.71096,0.702588,31
37940804567,0.046138,0.050903,0.388452,-0.037871,0.006361,-0.703969,0.709192,33
37940837891,0.045458,0.014088,0.390778,-0.042768,-4.1e-05,-0.702184,0.71071,34
37940871214,0.045179,-0.010781,0.393984,-0.039859,0.002505,-0.700198,0.712831,35
37940937861,0.045621,-0.018574,0.392971,-0.053394,-0.003806,-0.697138,0.714936,37
37940971184,0.04658,-0.008357,0.390912,-0.061311,-0.006723,-0.697852,0.713581,38
37941037831,0.047417,0.008893,0.390584,-0.063479,0.006892,-0.697852,0.71339,40
37941071154,0.048438,0.006993,0.389773,-0.066403,0.009054,-0.698666,0.712302,41
37941104478,0.049243,-0.004295,0.387137,-0.073207,0.005552,-0.69975,0.710605,42
37941171124,0.049811,-0.053473,0.383236,-0.091065,-0.012851,-0.700963,0.707244,44
37941204448,0.048898,-0.080574,0.380728,-0.107678,-0.02469,-0.697037,0.708474,45
37941237771,0.045048,-0.094119,0.378474,-0.12249,-0.034453,-0.687251,0.715189,46
37941304418,0.040811,-0.0438,0.386503,-0.102107,-0.025906,-0.682097,0.723634,48
37941337741,0.042526,0.019232,0.392917,-0.078932,-0.019746,-0.686662,0.722409,49
