timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
12559823757,0.088424,0.244387,0.143631,-0.001421,0.019983,-0.712529,0.701356,0
12559857081,0.09135,0.233485,0.135894,-0.01171,0.006453,-0.713639,0.700386,1
12559923725,0.096744,0.182627,0.126716,-0.025776,-0.00746,-0.712069,0.701597,3
12559957051,0.098605,0.141321,0.127236,-0.025416,-0.008321,-0.711635,0.702041,4
12560023695,0.101576,0.042217,0.129435,-0.018821,-0.000762,-0.708272,0.705688,6
12560057021,0.101633,-0.000376,0.127306,-0.025392,-0.008293,-0.706053,0.707655,7
12560090345,0.100797,-0.026959,0.126556,-0.02549,-0.001313,-0.702367,0.711357,8
12560156992,0.099374,-0.032076,0.119132,-0.038577,-0.00124,-0.701832,0.711296,10
12560190315,0.098671,-0.020844,0.115321,-0.046063,0.004736,-0.70546,0.707236,11
12560256962,0.096196,0.002169,0.105784,-0.058653,0.002579,-0.707557,0.704213,13
12560290285,0.094761,0.005103,0.103179,-0.059026,-0.000313,-0.70571,0.706037,14
12560323609,0.093323,-0.001203,0.102734,-0.058169,-0.004545,-0.704039,0.707761,15
12560390255,0.090539,-0.041577,0.105189,-0.063843,-0.018046,-0.698608,0.712422,17
12560423579,0.089,-0.069663,0.106792,-0.072098,-0.026086,-0.694623,0.715277,18
12560490226,0.085739,-0.084628,0.110938,-0.078113,-0.038428,-0.686221,0.722166,20
12560523549,0.086695,-0.048751,0.117843,-0.056734,-0.023892,-0.691413,0.719833,21
12560556873,0.088755,0.011714,0.126526,-0.029994,-0.008087,-0.700017,0.71345,22
12560623520,0.090438,0.148409,0.138103,0.004726,0.019252,-0.709451,0.704476,24
12560656843,0.089472,0.200436,0.141489,0.018436,0.032389,-0.709132,0.70409,25
12560723490,0.084348,0.252945,0.144608,0.022912,0.021368,-0.702043,0.711445,27
12560756813,0.083863,0.259059,0.144086,0.017469,0.009975,-0.701035,0.712844,28
12560790137,0.085661,0.253317,0.146219,0.011443,-0.000537,-0.702439,0.711652,29
12560856784,0.089004,0.214167,0.157539,0.010303,-0.010232,-0.704447,0.709608,31
12560890107,0.090102,0.179942,0.165162,0.011722,-0.010757,-0.703653,0.710366,32
12560956754,0.089859,0.081723,0.182301,0.017803,-0.015167,-0.702023,0.71177,34
12560990078,0.088544,0.032093,0.192239,0.025633,-0.01577,-0.701686,0.71185,35
12561023401,0.086111,-0.004791,0.200129,0.030606,-0.018214,-0.700808,0.71246,36
12561090048,0.080966,-0.026215,0.207533,0.037954,-0.020644,-0.696366,0.716386,38
12561123371,0.07905,-0.015804,0.205123,0.025863,-0.018483,-0.695462,0.717859,39
12561190017,0.075923,0.011241,0.197393,0.01229,-0.009038,-0.696556,0.717341,41
12561223341,0.074861,0.017517,0.193355,0.006125,-0.007289,-0.695511,0.718452,42
12561256665,0.073963,0.014927,0.19001,-0.000698,-0.008965,-0.693725,0.720184,43
12561323312,0.072563,-0.019964,0.183943,-0.016705,-0.020476,-0.690122,0.723211,45
12561356635,0.071715,-0.052167,0.180943,-0.032051,-0.033217,-0.688116,0.724131,46
12561423282,0.072664,-0.118018,0.175214,-0.078001,-0.07276,-0.690689,0.715242,48
12561456606,0.070891,-0.124557,0.175299,-0.088034,-0.084112,-0.689047,0.714415,49
12561489929,0.068685,-0.094363,0.179359,-0.074253,-0.069274,-0.691317,0.71538,50
12561556576,0.068456,0.039671,0.200467,-0.004061,-0.019406,-0.703833,0.710089,52
12561589899,0.071274,0.117998,0.20957,0.019234,0.00454,-0.713389,0.70049,53
12561656546,0.069716,0.234456,0.2212,0.053782,0.04781,-0.718522,0.691771,55
12561689870,0.063036,0.265386,0.217264,0.052748,0.042349,-0.70878,0.702179,56
12561723193,0.05743,0.280025,0.209162,0.037461,0.0335,-0.702649,0.709759,57
12561789840,0.054266,0.270999,0.193683,0.006448,0.012462,-0.705903,0.70817,59
12561823164,0.053164,0.251635,0.190227,-0.0012,0.001397,-0.706515,0.707696,60
12561889810,0.050075,0.183492,0.19406,-0.008218,-0.00237,-0.707568,0.706593,62
12561923133,0.048205,0.134359,0.197633,-0.010737,-0.004372,-0.706907,0.707212,63
12561989780,0.046464,0.028128,0.202597,-0.017058,-0.002616,-0.708992,0.705006,65
12562023104,0.04605,-0.008572,0.204096,-0.020782,-0.005607,-0.711602,0.702253,66
12562056428,0.045742,-0.027725,0.210068,-0.006185,0.007416,-0.7119,0.702214,67
12562123074,0.043324,-0.022914,0.210882,-0.015293,0.008735,-0.70909,0.704898,69
12562156397,0.041199,-0.007027,0.211547,-0.013181,0.011028,-0.708516,0.705485,70
12562223045,0.038806,0.021917,0.209429,-0.016277,0.014124,-0.709257,0.704621,72
12562256368,0.038497,0.031201,0.207985,-0.019171,0.014706,-0.710596,0.703185,73
12562289691,0.038315,0.036089,0.206648,-0.026558,0.026039,-0.710208,0.703009,74
12562356338,0.041393,0.037013,0.199568,-0.043062,0.02424,-0.714409,0.697981,76
12562389662,0.044309,0.034717,0.196778,-0.049475,0.015268,-0.716876,0.695275,77
12562456309,0.046497,0.03265,0.193753,-0.066067,0.023388,-0.713106,0.697544,79
12562489632,0.046844,0.032224,0.190921,-0.074301,0.0106,-0.710964,0.699212,80
12562522955,0.046926,0.031713,0.190043,-0.078521,0.004043,-0.707744,0.70208,81
12562589602,0.048956,0.029195,0.192338,-0.073504,0.016144,-0.70962,0.700554,83
12562622925,0.050497,0.02778,0.19358,-0.075318,0.014467,-0.708133,0.701901,84
12562689572,0.052197,0.024943,0.193842,-0.085657,0.006051,-0.703571,0.705418,86
12562722896,0.052781,0.024098,0.194132,-0.08628,-0.000805,-0.705287,0.703651,87
12562756219,0.053181,0.023523,0.194504,-0.090879,-0.003785,-0.707481,0.700855,88
12562822866,0.05526,0.023188,0.195979,-0.104597,0.008702,-0.713233,0.693025,90
12562856189,0.055745,0.023463,0.196846,-0.10939,0.013067,-0.713422,0.69202,91
12562922836,0.054575,0.024484,0.201618,-0.108616,0.022679,-0.707027,0.698428,93
12562956160,0.055592,0.02476,0.202784,-0.111792,0.030726,-0.707352,0.697289,94
12562989483,0.056662,0.024939,0.203143,-0.11599,0.035532,-0.706834,0.6969,95
12563056130,0.057736,0.024322,0.201974,-0.105942,0.022417,-0.708467,0.697387,97
12563089454,0.0571,0.024544,0.200795,-0.097137,0.013041,-0.707093,0.700295,98
12563156100,0.05394,0.02477,0.194362,-0.098395,-0.012523,-0.694215,0.7129,100
12563189424,0.053692,0.024059,0.190748,-0.105401,-0.024553,-0.691708,0.714023,101
12563222748,0.054885,0.022209,0.188875,-0.111772,-0.03435,-0.691158,0.713182,102
12563289394,0.055613,0.019312,0.187326,-0.101644,-0.045194,-0.692564,0.712728,104
12563322718,0.056376,0.018175,0.186922,-0.097377,-0.046081,-0.693413,0.712442,105
12563389364,0.059625,0.016985,0.186448,-0.092728,-0.042757,-0.694906,0.711814,107
12563422688,0.06183,0.016808,0.187273,-0.08744,-0.044081,-0.694967,0.712342,108
12563456011,0.064174,0.016955,0.188265,-0.082212,-0.044335,-0.69544,0.712487,109
12563522658,0.0694,0.015863,0.194954,-0.069929,-0.046228,-0.698358,0.710823,111
12563555982,0.071389,0.015709,0.196709,-0.065745,-0.04539,-0.699497,0.710156,112
12563622628,0.074798,0.013502,0.197418,-0.064647,-0.038854,-0.702304,0.707871,114
12563655952,0.075585,0.012327,0.196225,-0.06578,-0.042176,-0.7027,0.707183,115
12563689275,0.076049,0.010131,0.19605,-0.067895,-0.04343,-0.703785,0.705826,116
12563755922,0.076795,0.006089,0.194064,-0.074839,-0.04383,-0.705859,0.703023,118
12563789245,0.075953,0.004561,0.192443,-0.080239,-0.045948,-0.70499,0.703164,119
12563855893,0.071146,0.00054,0.189529,-0.091399,-0.058568,-0.700687,0.705162,121
12563889216,0.067427,-0.001292,0.188762,-0.097207,-0.065867,-0.697895,0.706509,122
12563922539,0.063768,-0.003559,0.188116,-0.103326,-0.073308,-0.69499,0.70777,123
12563989186,0.056164,-0.008149,0.187787,-0.115303,-0.088934,-0.687377,0.711554,125
12564022510,0.05156,-0.01045,0.187858,-0.121643,-0.096437,-0.683424,0.713326,126
12564089157,0.040973,-0.014789,0.187563,-0.135124,-0.113099,-0.675983,0.71554,128
12564122480,0.035737,-0.016732,0.187147,-0.143326,-0.117548,-0.672673,0.716346,129
12564155803,0.030807,-0.01869,0.186385,-0.152185,-0.120642,-0.669348,0.717119,130
12564222450,0.022808,-0.02109,0.185761,-0.157504,-0.154282,-0.659001,0.719102,132
12564255773,0.01911,-0.021966,0.185286,-0.16362,-0.158105,-0.65368,0.721757,133
12564322420,0.014225,-0.024978,0.185581,-0.175184,-0.154793,-0.652854,0.720507,135
12564355744,0.01301,-0.026342,0.187324,-0.176174,-0.151743,-0.655315,0.718679,136
12564389068,0.013029,-0.02773,0.190506,-0.173141,-0.15459,-0.656983,0.717285,137
12564455714,0.014149,-0.032745,0.197162,-0.15927,-0.168013,-0.658009,0.71654,139
12564489038,0.014514,-0.03578,0.201058,-0.150772,-0.170268,-0.658274,0.717602,140
12564555684,0.016912,-0.043074,0.205764,-0.153002,-0.176401,-0.665677,0.708765,142
12564589008,0.018946,-0.046942,0.208079,-0.157187,-0.176217,-0.671594,0.702283,143
12564622331,0.020571,-0.050724,0.212439,-0.157621,-0.172209,-0.674377,0.700511,144
12564688978,0.023785,-0.057271,0.221159,-0.152388,-0.163298,-0.67737,0.700915,146
12564722302,0.024933,-0.060309,0.225085,-0.147773,-0.159282,-0.675329,0.704786,147
12564788948,0.027813,-0.067771,0.230748,-0.142863,-0.16286,-0.672864,0.707334,149
12564822272,0.03011,-0.072547,0.231907,-0.148315,-0.172914,-0.673446,0.70326,150
12564855596,0.03256,-0.076321,0.233439,-0.148101,-0.180605,-0.675708,0.69919,151
12564922242,0.036849,-0.080412,0.238944,-0.134322,-0.165988,-0.684822,0.696724,153
12564955563,0.038519,-0.081282,0.242036,-0.125725,-0.157028,-0.689445,0.695846,154
12565022212,0.040781,-0.083576,0.245712,-0.112749,-0.143618,-0.693098,0.697336,156
12565055536,0.042387,-0.085519,0.246853,-0.11085,-0.139559,-0.694678,0.696892,157
12565088859,0.043777,-0.08739,0.247724,-0.10765,-0.137203,-0.69834,0.694196,158
12565155506,0.044733,-0.092614,0.247144,-0.105192,-0.122541,-0.703813,0.691784,160
12565188830,0.045559,-0.09509,0.248205,-0.100983,-0.124061,-0.705642,0.690276,161
12565255476,0.049501,-0.102707,0.251723,-0.089325,-0.112568,-0.719886,0.679054,163
12565288800,0.052127,-0.107829,0.254546,-0.082785,-0.106065,-0.731263,0.668694,164
12565322123,0.052545,-0.110031,0.255954,-0.075443,-0.105408,-0.732809,0.667973,165
