frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.174942,0.224152,0.31986,0.024862,-0.056002,-0.720459,0.690786,-1.464582869104296,16.765585341292617,-4.839836278168857,-0.1797847403454594,9.515116200387478,-2.366560642906278,-0.3174866437911987,-0.1558044552803039,0.2680734992027282,0.1681019707389674,0.2293031886013821,-0.7537115216475139,-0.5925206010855874,-0.0415816567838192,0.4667597115039825,-0.1358076930046081,11.846028168416025,-13.00151337803602,-2.2099732200086115,0.1785929799079895,-0.5064337849617004,12.535509146702289,1.0601985454559326,1.673783837945014,-3.024429654484987
1,0.174633,0.210818,0.323088,0.017382,-0.059636,-0.718551,0.692695,-0.5208641679640859,16.63510251985788,-3.753261523167789,-0.1400850730438716,9.562999649068711,-2.167898895997554,-0.6386642456054688,-0.1761865764856338,0.1906131654977798,0.1694044837347419,0.2230935538251491,-0.7488400008353768,-0.6006413121810853,-0.1216208264231681,1.0482122898101809,-0.0318538695573806,12.040765143096449,-13.57037943342924,0.3497848399858921,-0.1992771029472351,-0.8589772582054138,15.35399654188156,1.0136306285858154,2.601689103077352,-2.3581937965773045
2,0.174008,0.186582,0.326866,0.01048,-0.062066,-0.717255,0.693962,0.789306941781193,13.526677069824933,-2.9182372246980663,-0.0067022815383068,9.641712535777687,-1.791008095486462,-1.232862114906311,0.0525744445621967,0.4107796549797058,0.1769762023017279,0.2133916493195206,-0.7387692507041329,-0.6142990976400672,1.0037583112716677,0.676696240901947,-0.0646920502185821,8.68341227851212,-11.307872893106936,-0.967818611717224,-0.2874287962913513,-0.650623083114624,14.425429744100567,0.3912670612335205,2.800904684476554,-2.7488573941141365
3,0.172325,0.111198,0.338953,0.001376,-0.062729,-0.716302,0.694964,1.21872309849523,4.169470626980066,-0.415696770375967,0.0666638447359204,9.689216045230626,-1.5116361505717038,-0.2788922190666199,-0.0055653532035648,-0.0707771927118301,0.1830215462070943,0.2087680570456167,-0.7304025541052812,-0.6240441978091472,0.395997017621994,0.5274484753608704,0.0827083215117454,2.6033243030637503,-3.6727474322557447,-2.265121106734872,-0.3117986619472503,-1.0755871534347534,5.151755570945143,0.0454118885099887,1.2588736879020928,-1.3272230015069246
4,0.171577,0.069811,0.346755,-0.000199,-0.058847,-0.713927,0.697743,-0.4184634220777079,-8.387748247227073,-3.336320013427734,0.0478110455987276,9.724460961613058,-1.2660839115418494,-1.1403086185455322,-0.4046027958393097,0.2443356812000274,0.1828944891145243,0.2046979487376092,-0.722946101797561,-0.6340326016783652,0.8399528861045837,0.8442304134368896,-0.243106260895729,-4.516040085116028,3.9728544144243,1.6457517755508422,-0.4520692229270935,-1.325187087059021,-10.957312904030085,0.1710736900568008,-3.2066476315930483,-0.3001001140363514
5,0.169667,0.037,0.353486,0.000397,-0.055421,-0.710176,0.70184,-0.8645140123263001,-13.499183498221637,0.2487550536591559,0.1966814415453933,9.785177588382362,-0.6180610981296748,-1.943891525268555,-0.2872688770294189,0.5478088855743408,0.1884084003008755,0.1865563312721983,-0.7047759080485262,-0.6580196874894277,0.8613314628601074,0.5522937774658203,-0.1878438740968704,-8.52988468157649,9.396912430289388,-2.072870688173175,-1.4221991300582886,1.032576084136963,-6.896551073572039,-0.4868996441364288,-2.17064848696664,-0.3218693166434764
6,0.16735,0.016113,0.360846,0.002844,-0.056459,-0.707676,0.704272,-0.2278442945122718,-12.851957607340813,4.549855260956287,0.3782300497582182,9.797405201792715,-0.1954012472754344,0.05561039224267,0.5653169751167297,0.1655436903238296,0.2016102743515073,0.1791343644674396,-0.6912840010848346,-0.6703660274922498,0.7563813328742981,0.34295254945755,0.2227154374122619,-10.17825160806179,9.295064167186617,-6.199848327338695,-1.4022523164749146,0.0043413010425865,-9.859067584979533,-0.255674660205841,-3.525539685991406,-0.0577753263201331
7,0.166054,0.006276,0.367358,0.008656,-0.053563,-0.711243,0.70085,1.3839917674332856,-12.473510078907012,-0.5168646134665236,0.3419285369949415,9.79334920440018,-0.3791655039774254,0.4891382753849029,0.1161284372210502,-0.2825455069541931,0.2032351416042034,0.1870814436229532,-0.6959400794156452,-0.662844882269485,-0.3635221421718597,-0.1886956840753555,0.3683846592903137,-8.945786619135736,9.883653744703532,-1.328448743909597,-1.5601812601089478,0.244684413075447,-9.511910682344435,-0.6690226793289185,-3.800156253072619,-0.1099578193355817
8,0.165123,0.002919,0.370938,-0.001051,-0.061349,-0.71669,0.694688,0.3255184137355536,-11.127737275230883,0.5165629636388271,0.2399619995410554,9.789529938372969,-0.5271866489838809,0.3860353231430053,0.1236869916319847,-0.2133260071277618,0.1993730866957186,0.1933085054930134,-0.6996505273675421,-0.6583095115807984,-0.2219793945550918,-0.4870743155479431,0.1409806311130523,-7.551728215718269,7.74466135584712,-1.641367276856303,-1.501020073890686,0.3483628630638122,-9.177167855602502,-0.793205738067627,-3.456111637239158,0.9444334983460604
9,0.16356,0.000165,0.368851,-0.014368,-0.07146,-0.711299,0.6991,0.251787589755468,-10.309675509738922,-0.0603741700071841,0.1820116226146929,9.778612823039293,-0.7183397007629275,0.4824631214141845,0.1890527009963989,-0.1344005465507507,0.1978948800026244,0.199882020420034,-0.7047498209634403,-0.6513160633298105,0.0254519693553447,-0.5012399554252625,0.0089203901588916,-6.889755422082543,7.317211019313335,-0.958701312347129,-1.0630537271499634,0.309101402759552,-9.420857954022289,-0.7123478651046753,-3.2264243452087045,1.7614584681361911
