timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
8704089283,0.174942,0.224152,0.31986,0.024862,-0.056002,-0.720459,0.690786,0
8704122607,0.174633,0.210818,0.323088,0.017382,-0.059636,-0.718551,0.692695,1
8704155929,0.174008,0.186582,0.326866,0.01048,-0.062066,-0.717255,0.693962,2
8704222577,0.172325,0.111198,0.338953,0.001376,-0.062729,-0.716302,0.694964,4
8704255900,0.171577,0.069811,0.346755,-0.000199,-0.058847,-0.713927,0.697743,5
8704289223,0.169667,0.037,0.353486,0.000397,-0.055421,-0.710176,0.70184,6
8704322547,0.16735,0.016113,0.360846,0.002844,-0.056459,-0.707676,0.704272,7
8704355870,0.166054,0.006276,0.367358,0.008656,-0.053563,-0.711243,0.70085,8
8704422518,0.165123,0.002919,0.370938,-0.001051,-0.061349,-0.71669,0.694688,10
8704455841,0.16356,0.000165,0.368851,-0.014368,-0.07146,-0.711299,0.6991,11
8704489163,0.162415,-0.007773,0.36704,-0.025354,-0.072418,-0.70875,0.701275,12
8704522488,0.162287,-0.02177,0.366892,-0.034394,-0.074605,-0.710489,0.698897,13
8704555811,0.162722,-0.041928,0.365974,-0.043939,-0.082284,-0.712552,0.695391,14
8704622458,0.163963,-0.083947,0.3701,-0.052637,-0.097877,-0.706397,0.699037,16
8704655781,0.164912,-0.088581,0.374167,-0.04976,-0.103935,-0.703377,0.701414,17
8704689105,0.163561,-0.06821,0.378904,-0.037932,-0.099915,-0.696751,0.709307,18
8704722428,0.162481,-0.02291,0.383748,-0.025596,-0.084563,-0.696135,0.712453,19
8704755751,0.162367,0.038205,0.387971,-0.015619,-0.069831,-0.701281,0.709284,20
8704789075,0.163294,0.102837,0.39292,-0.002642,-0.051595,-0.707257,0.705067,21
8704855722,0.170124,0.196877,0.403907,0.034899,-0.0105,-0.715169,0.698001,23
8704889045,0.174213,0.218749,0.403088,0.029933,-0.010452,-0.71839,0.694918,24
8704922369,0.177421,0.225098,0.401455,0.019191,-0.024374,-0.718272,0.695071,25
8704955692,0.179449,0.217343,0.399849,0.008259,-0.033796,-0.717116,0.696085,26
8704989015,0.181339,0.197592,0.399113,-0.005627,-0.041072,-0.717558,0.695264,27
8705055662,0.184862,0.132134,0.407139,-0.013988,-0.041298,-0.714783,0.697986,29
8705088986,0.186395,0.089963,0.414283,-0.016555,-0.044295,-0.716764,0.69571,30
8705122309,0.186949,0.053615,0.423877,-0.009183,-0.037016,-0.716774,0.696262,31
8705155632,0.186921,0.029227,0.433484,-0.000258,-0.033868,-0.715727,0.697559,32
8705188956,0.187025,0.016633,0.444601,0.011653,-0.026415,-0.71345,0.700111,33
8705255603,0.187775,0.013003,0.455374,0.006488,-0.023629,-0.719692,0.693861,35
8705288926,0.18758,0.014197,0.457645,0.003369,-0.023351,-0.723408,0.690018,36
8705322250,0.186969,0.010641,0.456257,-0.000375,-0.027418,-0.725244,0.687946,37
8705355573,0.185604,0.001265,0.4532,-0.008056,-0.037929,-0.724726,0.687946,38
8705388896,0.183518,-0.015331,0.449763,-0.019536,-0.04754,-0.72249,0.689468,39
8705455541,0.17645,-0.063302,0.441634,-0.045078,-0.06589,-0.716011,0.693509,41
8705488867,0.173879,-0.078363,0.43967,-0.057066,-0.077132,-0.714343,0.693187,42
8705522190,0.171378,-0.071536,0.444214,-0.048517,-0.077437,-0.711166,0.69706,43
8705555513,0.167799,-0.041403,0.452156,-0.026983,-0.057406,-0.709197,0.702151,44
8705588836,0.164842,0.009076,0.457594,-0.013883,-0.042868,-0.710519,0.702234,45
8705655484,0.160809,0.130674,0.469362,0.016397,-0.006133,-0.721285,0.692417,47
8705688807,0.158366,0.178725,0.473736,0.034663,0.007048,-0.72351,0.689408,48
8705722131,0.155045,0.209622,0.471304,0.041767,0.016092,-0.724579,0.687737,49
8705755454,0.150986,0.224731,0.463603,0.02482,0.007507,-0.72348,0.689858,50
8705788777,0.146103,0.224534,0.456878,0.003965,-9.6e-05,-0.719561,0.694418,51
8705822101,0.142406,0.210631,0.454605,-0.007497,-0.00562,-0.715671,0.698375,52
8705888748,0.135601,0.14787,0.452026,-0.020349,-0.029764,-0.715411,0.697773,54
8705922071,0.132778,0.103902,0.449904,-0.025321,-0.041126,-0.715485,0.696957,55
8705955394,0.130622,0.060648,0.450471,-0.02595,-0.042194,-0.714547,0.697831,56
8705988718,0.129126,0.025959,0.449472,-0.032198,-0.05374,-0.714529,0.696796,57
8706022041,0.127939,0.004162,0.451517,-0.032439,-0.067867,-0.712069,0.698069,58
8706088688,0.124178,-0.006519,0.461949,-0.02539,-0.054328,-0.710658,0.700978,60
8706122012,0.120225,0.000408,0.464732,-0.033093,-0.064952,-0.707787,0.702655,61
8706155334,0.11685,0.009944,0.465774,-0.034879,-0.066403,-0.708243,0.701973,62
8706188658,0.11377,0.019326,0.464658,-0.037146,-0.064183,-0.708452,0.701852,63
8706221982,0.112759,0.026082,0.461476,-0.041477,-0.057593,-0.708314,0.702321,64
8706288628,0.111549,0.031534,0.45669,-0.046478,-0.05374,-0.712066,0.698508,66
8706321952,0.114217,0.032673,0.454828,-0.049856,-0.049151,-0.713622,0.697024,67
8706355275,0.115719,0.033584,0.453276,-0.051489,-0.053106,-0.71371,0.696525,68
8706388599,0.116106,0.035202,0.452312,-0.054056,-0.057659,-0.711251,0.698481,69
8706421922,0.118183,0.035704,0.451309,-0.047696,-0.060828,-0.712943,0.696949,70
8706488569,0.118801,0.037087,0.455645,-0.04135,-0.038549,-0.717122,0.694651,72
