timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
31044815045,0.091969,0.214698,0.245027,-0.014713,0.013738,-0.70957,0.704348,0
31044848369,0.089876,0.203205,0.245932,-0.016265,0.013153,-0.707228,0.706676,1
31044915016,0.088008,0.147746,0.247136,-0.024578,-0.000585,-0.706684,0.707102,3
31044948339,0.08741,0.106526,0.248292,-0.028595,0.000145,-0.70838,0.705252,4
31044981662,0.08628,0.063521,0.248778,-0.034704,0.003137,-0.708767,0.704581,5
31045048309,0.082319,0.000916,0.248489,-0.048364,-0.004699,-0.708646,0.703889,7
31045081633,0.08139,-0.011637,0.250297,-0.048217,0.000608,-0.708332,0.704231,8
31045148280,0.081129,-0.008481,0.250983,-0.063048,-0.016218,-0.712188,0.698963,10
31045181603,0.081523,-0.002106,0.250832,-0.065028,-0.019696,-0.713005,0.697859,11
31045214927,0.079993,0.001107,0.253705,-0.056585,-0.014149,-0.71168,0.700078,12
31045281573,0.078707,-0.01601,0.25798,-0.055046,-0.006277,-0.707752,0.704285,14
31045314897,0.075977,-0.038773,0.25901,-0.061811,-0.009197,-0.705355,0.706094,15
31045348220,0.074299,-0.066276,0.25845,-0.069523,-0.019346,-0.704945,0.705581,16
31045414868,0.073201,-0.093978,0.255616,-0.078771,-0.046818,-0.705815,0.702445,18
31045448191,0.075748,-0.067511,0.256885,-0.0704,-0.044638,-0.710364,0.698881,19
31045514838,0.081373,0.05745,0.271074,-0.028289,-0.003081,-0.710717,0.702902,21
31045548161,0.086011,0.122909,0.281336,0.000461,0.022161,-0.71163,0.702204,22
31045581484,0.090855,0.17145,0.290842,0.0236,0.0518,-0.711872,0.699998,23
31045648132,0.096921,0.213776,0.290172,0.026241,0.049472,-0.709577,0.702399,25
31045681455,0.098249,0.210624,0.284963,0.014491,0.03438,-0.709122,0.704098,26
31045714779,0.1003,0.192126,0.28109,0.002406,0.020508,-0.70922,0.704685,27
31045781426,0.103327,0.131166,0.27604,-0.02358,-0.003077,-0.704517,0.709288,29
31045814749,0.105159,0.089848,0.277872,-0.028552,-0.00749,-0.702782,0.710793,30
31045881396,0.105114,0.023147,0.278413,-0.039683,-0.020168,-0.690738,0.721734,32
31045914720,0.105728,0.008048,0.282045,-0.028723,-0.010576,-0.691827,0.721414,33
31045948043,0.107271,0.003031,0.285351,-0.020484,-0.000382,-0.694244,0.719448,34
31046014690,0.10954,0.008018,0.282526,-0.037569,-0.006466,-0.69101,0.721839,36
31046048013,0.11228,0.008823,0.281719,-0.040487,-0.004621,-0.692061,0.720688,37
31046081337,0.115958,0.003412,0.281905,-0.038852,-0.004602,-0.695403,0.717555,38
31046147984,0.121757,-0.033476,0.28087,-0.050262,-0.013629,-0.699884,0.712356,40
31046181307,0.123343,-0.062812,0.279183,-0.063186,-0.024189,-0.698441,0.712463,41
