frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.052182,0.237175,0.142396,-0.004414,0.022398,-0.707062,0.706783,-0.9602166122809052,22.590440664565563,-3.89010306597948,-0.0164679087280761,9.61725789347887,-1.9179313247434795,-0.1067815721035003,0.0890005677938461,0.1183034852147102,-0.3382850187186046,-0.4112886180005993,-0.6546976046467192,-0.5364475263757601,0.3894693553447723,-0.1804106533527374,0.0872914567589759,11.56184297800064,-11.685801366102694,4.691370348536968,0.1175713986158371,-0.3144739866256714,16.284626701933146,0.4373863637447357,-3.1735438188925382,1.412409029752761
1,0.055539,0.228658,0.139141,-0.008198,0.014429,-0.710047,0.703959,1.9905217830494044,21.04172653696537,-6.954360872983932,-0.0142578360297484,9.621411506026982,-1.897002810744196,-0.4096168577671051,-0.5401225686073303,-0.1817819476127624,-0.3415818852363829,-0.414540242953235,-0.6518256023015976,-0.5353518133129126,0.2022140026092529,0.5255162119865417,-0.4022341072559356,17.742812417346236,-15.092986475348471,3.900799816560745,0.3014770746231079,0.0790081769227981,18.033559450495243,0.6155993342399597,-2.8651564996346828,3.0001781335428355
2,0.058902,0.17321,0.134096,-0.01901,-0.004174,-0.710279,0.703651,1.5685083768725394,15.462228953063487,-6.545554446643591,-0.1393195594309363,9.67973217757046,-1.566449544646591,-1.6089167594909668,-0.0307123158127069,-0.5207042098045349,-0.3541805547899389,-0.4068763502358186,-0.6436756473164493,-0.5428530733570028,0.532610297203064,0.5618898272514343,-0.6103951930999756,12.363545144844055,-13.197503567647932,3.4844343531429764,0.1414940804243087,0.4333256781101227,16.772416064095495,0.8274099230766296,-2.886807482689619,3.5371924221232534
3,0.060142,0.129389,0.131608,-0.02654,-0.010685,-0.709382,0.704244,0.0421657651541754,4.143885519346594,0.5701567527908832,-0.3795985250998288,9.744129538679122,-1.0383727418899535,-0.3944737911224365,-0.7411796450614929,-0.3002020120620727,-0.3768881227673245,-0.3949239272807308,-0.630061400941013,-0.5522798308339218,-0.2675686776638031,0.3662298619747162,-0.7020322680473328,6.236376269268989,-7.063519751361012,-0.3806888776198029,-0.006298613268882,1.5324089527130127,6.699299485722184,0.4296512007713318,-1.4600183376677334,0.8037316268444061
4,0.0604,0.036961,0.127604,-0.041784,-0.018349,-0.70523,0.707508,-2.8342186327964067,-5.412282237875461,-3.477317214614153,-0.3761066643960774,9.763145204794409,-0.8425706952612847,-1.1718714237213137,-0.142348363995552,0.4057079255580902,-0.3853169228306516,-0.3963575616215042,-0.6211761701790176,-0.5554923358505817,0.9909067749977112,0.9094679355621338,-0.92021244764328,0.5090022460609674,-1.792895224407315,0.6845905758962034,-0.1395331174135208,1.1920651197433472,-8.954401302745937,0.3725274503231048,2.4204141059078275,-1.3508309638485312
5,0.059228,0.010625,0.124655,-0.047995,-0.019787,-0.702825,0.709466,0.1948311192372813,-13.658235411536692,4.434827782806754,-0.3067599737843498,9.79743501240909,0.2941688973564654,-0.2890143394470215,-0.1269287765026092,-0.0913350880146026,-0.4012842689227591,-0.3711628941901493,-0.589270452609503,-0.5949532128923204,-0.082223042845726,0.3113580644130707,-0.3793613314628601,-12.507374939107894,9.973460856878756,-7.612825950759649,0.0442029684782028,0.4104787409305572,-6.976896529918909,-0.2906511425971985,2.0371667759768664,-1.8031614746168247
6,0.057945,0.006821,0.117098,-0.062647,-0.033008,-0.700097,0.710528,-0.0183659700348973,-13.951098413926362,0.4801707038521766,-0.2894386539641768,9.800450560837984,0.1943958513588644,0.4877402186393738,-0.2860801517963409,0.2023307085037231,-0.402452179793008,-0.377308714804062,-0.5896835621068182,-0.5898675594518041,-0.4439418613910675,0.1037109196186065,0.0294964015483856,-10.168317074024676,7.208209377324581,-5.007265266945958,0.0096802776679396,0.2103914320468902,-9.41130277469158,-0.2058833688497543,2.543968443253636,-1.4448532095007598
7,0.056416,0.018274,0.117381,-0.06586,-0.018559,-0.7032,0.707692,0.6985435517944395,-12.328228332269193,-0.7402765150219202,-0.1585015128906816,9.805338917401432,0.0242600421753246,0.392853707075119,-0.1400198191404342,0.3463583588600158,-0.3974070614187727,-0.3869266997627395,-0.5908052226826627,-0.5859219307924673,-0.057973638176918,-0.0533956661820411,0.3154039084911346,-10.270874946701523,5.760273837769031,-4.303218003168702,-0.0303479749709367,0.0723979398608207,-9.523796934971212,-0.2067043781280517,2.729555604533851,-2.1867612712472675
8,0.055692,0.028107,0.118398,-0.061992,-0.00997,-0.705882,0.705541,0.4735841650687157,-10.65034071226716,-0.8563912038862704,-0.0691135851087514,9.796807820421456,-0.4337845810566097,0.4871372282505035,-0.0746622085571289,-0.0397224053740501,-0.3902047954838651,-0.4036463188731706,-0.5993217057573405,-0.5706341930815543,-0.5970621109008789,-0.3052611947059631,0.2808130383491516,-7.889032417380809,6.522185846015811,-4.525668914204836,0.0637707263231277,0.035856157541275,-9.156870917505024,-0.4191986322402954,2.63937527513206,-2.3276313389226795
9,0.053104,0.026421,0.114067,-0.067434,-0.014944,-0.704482,0.706353,0.3450607706060632,-8.545320151117444,-0.0340273572862148,-0.0963630731573328,9.785067698267104,-0.6430827997267246,0.6039099097251892,0.0205442886799573,-0.0449240505695343,-0.3861654596469434,-0.4064254369527489,-0.6063055862332676,-0.5639930601391339,-0.5123386979103088,-0.2717661261558532,0.2923828959465027,-7.457140299007296,5.617655757382511,-4.138890779799223,0.2159926146268844,0.0865122601389885,-9.718030636304617,-0.3993711173534393,2.8742303251892327,-1.8458166672557592
