frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.044544,0.271075,0.212197,0.008051,0.033228,-0.704308,0.709071,0.0010903890525922,24.94058106467724,-6.862781490439176,0.1615655035711825,9.593983400875327,-2.024794493398815,-0.306108683347702,-0.4103231430053711,0.3404765725135803,0.3023649875400104,0.3842477989086947,0.6749736437345679,0.5525755685160597,0.3874395191669464,0.6973477005958557,-0.1237977519631385,20.96815861192941,-16.129721386903523,3.302332988151908,0.2356342524290084,0.1216912493109703,18.918684581434725,0.0435339175164699,-3.179738874140382,2.823373998177052
1,0.04395,0.26748,0.21184,0.003581,0.025027,-0.704357,0.709396,1.2348096523560583,16.08716585524678,-8.04205674096942,0.2216133094345219,9.662770521375537,-1.658948818515241,-1.7040177583694458,-0.0294085927307605,0.2285050302743911,0.3097931149067787,0.3827724246520887,0.6618671461079176,0.5651948910387385,1.0051733255386353,1.1902177333831787,-0.2146177887916565,15.645588793683052,-15.560236907351015,2.4256116745509204,0.1782101690769195,0.4726732969284057,16.508898398655653,0.5363892912864685,-3.1078295299664136,3.807424782770872
2,0.04439,0.224596,0.207861,-0.015489,0.006069,-0.704276,0.709731,2.421926556297392,3.479472931343317,0.0525730678021907,0.2889082916808314,9.754327107566594,-0.9695525959029792,-1.3326400518417358,-0.4637488126754761,0.0523582398891449,0.3235438255383767,0.3763526319337663,0.63858603306185,0.588120747414752,0.9519433975219728,0.8249306678771973,-0.5170528888702393,6.257517256975174,-6.906948548945784,0.0160547704830765,-0.0916918441653251,1.7197686433792114,2.5501015391811728,0.691990315914154,-1.3159968202240764,0.9142039259076118
3,0.04582,0.187052,0.208685,-0.021732,-0.001494,-0.703895,0.709969,-0.1059362082698382,-9.644456866049763,-2.744421457493305,0.2878956440395675,9.786761642703413,-0.5538899835249409,-1.519532322883606,-0.1004869565367698,-0.0007098584901541,0.3356838663361889,0.3737018546517258,0.6233678313923345,0.5992293416051506,0.7436687350273132,1.4696327447891235,-0.5469570755958557,-2.9678187094688413,1.7180238155573606,-3.012699176941812,0.000601592590101,0.7079096436500549,-12.76682199410796,0.7789127230644226,3.8009284064888953,-2.3826164363026616
4,0.048085,0.089265,0.212483,-0.030107,-0.006814,-0.700221,0.713259,1.2682860977612436,-13.186664193725584,2.454240826055407,0.1788591134005226,9.801861012157795,0.2488125012011267,-1.831310749053955,0.0215735770761966,-0.5212313532829285,0.3537223933864725,0.3558748699085359,0.6005557177873562,0.6225482647687006,1.2009023427963257,0.5374845266342163,-0.9460498690605164,-11.428370911622046,9.851211610782146,-4.274783059062063,0.285769522190094,-0.3417812287807464,-5.612708948630094,-0.0417081080377101,1.310354138161987,-2.6987892948701977
5,0.048714,0.048914,0.210045,-0.037161,-0.022228,-0.698589,0.714212,0.3631734599996358,-13.519376391422748,3.26500951192975,-0.0897854939984623,9.791753459641336,0.5327933829497545,0.1749892085790634,-0.2426001131534576,-0.757513165473938,0.369037002485125,0.3440590244596131,0.5953641619277286,0.6252811413848847,-0.2175379991531372,0.0131530538201332,-0.5477989912033081,-11.544465142220258,7.911505530473589,-6.875783595353364,0.370153397321701,0.1920724213123321,-9.194017283594608,0.380326896905899,2.6176199549198147,-1.859660045299679
6,0.047952,0.017345,0.20898,-0.039669,-0.031991,-0.695289,0.716922,-0.1609063820753246,-12.813865484833716,0.466495814242959,-0.2672066926835105,9.79283073348403,0.4465927343012765,0.235492929816246,-0.035745482891798,-0.1780509501695633,0.3743352127937994,0.3414053952610498,0.600560124579642,0.6185814736203081,-0.2971076667308807,-0.241708219051361,-0.1614925861358642,-9.716204589921237,5.989024141210317,-3.0308313382208345,0.0893970727920532,0.2148804664611816,-9.26234380084574,0.1431901603937149,2.816481608314812,-2.805580859594047
7,0.047094,0.022438,0.208971,-0.043583,-0.031859,-0.698682,0.713393,-0.5017969177920371,-11.536724903357028,0.4134212266594171,-0.2839501760831102,9.798533913561702,0.2801487197072245,0.6834001541137695,-0.1891320645809173,0.0454750508069992,0.3734071081630192,0.3455004689969781,0.6052650790825675,0.6122505514293713,-0.4536820948123932,-0.4495343267917633,0.1357509344816208,-9.184645644137262,6.5671659744709725,-3.964096230690181,-0.0286723170429468,0.0187724456191062,-9.381575160425902,-0.2797684371471405,3.3811864523753523,-3.449653254880011
8,0.046481,0.042423,0.209032,-0.048394,-0.016619,-0.709798,0.702545,-0.325585122296214,-10.832932491123676,-1.2745429661989212,-0.2642862569258548,9.80297627992332,-0.0469068496008869,0.8392939567565918,0.04802106320858,-0.0056553832255303,0.367928525295398,0.3532603930834782,0.614490584459396,0.601861316364553,-0.5374230146408081,-0.4516999125480652,0.1635046005249023,-7.705363364681601,6.671345310869812,-5.013394563481211,-0.0746190026402473,-0.0617739893496036,-9.00109583390355,-0.5221753120422363,3.224668149191141,-2.914424388411641
9,0.04561,0.044521,0.209884,-0.048184,-0.011181,-0.71129,0.701156,0.0995190895028412,-10.203657267475128,-1.4520306999146937,-0.2710035276832059,9.797690448474883,-0.3196781998073682,0.598844587802887,-0.0212247818708419,-0.024252887815237,0.362300830279096,0.357208427504094,0.6234590539408987,0.5936657203077674,-0.3136618733406067,-0.2739387452602386,0.1636742502450943,-7.40269325402677,5.977047287690639,-3.981878263357281,0.0037309098988771,-0.0293157305568456,-9.213534469491243,-0.4770587980747223,3.2949554451212286,-2.340849424675107
