timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
27586724590,-0.013661,0.186034,-0.031703,-0.021693,0.025691,-0.710353,0.703042,0
27586791235,-0.012185,0.142373,-0.033442,-0.034681,0.022517,-0.715404,0.697487,1
27586857881,-0.013783,0.060937,-0.030184,-0.047464,0.007745,-0.714582,0.697897,2
27586924527,-0.01708,-0.014792,-0.031273,-0.063848,-0.012002,-0.703294,0.707924,3
27586991172,-0.017741,-0.047908,-0.033262,-0.081655,-0.036014,-0.69699,0.711506,4
27587057818,-0.016019,-0.049417,-0.038558,-0.088685,-0.046491,-0.705215,0.701887,5
27587124464,-0.016392,-0.057979,-0.037291,-0.07884,-0.046233,-0.704843,0.703451,6
27587191110,-0.017808,-0.081063,-0.033124,-0.075766,-0.043222,-0.700647,0.708156,7
27587257756,-0.018459,-0.058322,-0.031355,-0.057958,-0.058085,-0.694493,0.714805,8
27587324402,-0.01264,0.043117,-0.019284,-0.031271,-0.027565,-0.708001,0.70498,9
27587391047,-0.007616,0.147612,-0.002228,0.023676,0.008659,-0.722315,0.691104,10
27587457693,-0.004253,0.187384,0.001822,0.034824,0.014744,-0.72401,0.688752,11
27587524339,-0.004764,0.170819,-0.003941,0.008538,-0.004134,-0.720976,0.692895,12
27587590985,-0.003894,0.112519,-0.000117,0.005443,-0.014281,-0.724648,0.688949,13
27587657630,-0.005589,0.035213,0.006235,0.003637,-0.010075,-0.716175,0.697838,14
27587724277,-0.005651,-0.013838,0.000437,-0.024194,-0.041952,-0.709706,0.702832,15
27587790922,-0.004153,-0.016338,-0.004569,-0.040901,-0.057851,-0.712544,0.698042,16
27587857568,-0.009125,-0.012625,-0.002486,-0.032597,-0.050374,-0.712217,0.699391,17
27587924214,-0.015385,-0.034356,0.000381,-0.034724,-0.044694,-0.704573,0.707371,18
27587990860,-0.021185,-0.072037,-0.003577,-0.061921,-0.055301,-0.695159,0.714046,19
27588057505,-0.025691,-0.029015,-0.008796,-0.068521,-0.060439,-0.687126,0.720771,20
27588124151,-0.027024,0.09773,0.004305,-0.023686,-0.006537,-0.700095,0.713627,21
27588190797,-0.025163,0.185369,0.018512,0.0223,0.036513,-0.71125,0.701636,22
27588257443,-0.026774,0.204137,0.004249,0.006007,0.005484,-0.716095,0.697955,23
27588324089,-0.031773,0.173068,-0.00403,-0.018167,-0.013747,-0.714244,0.699526,24
27588390735,-0.036504,0.109232,-0.000699,-0.024438,-0.006889,-0.712426,0.701287,25
27588457380,-0.042486,0.036884,0.003127,-0.028647,-0.009955,-0.704489,0.709067,26
27588524026,-0.04775,-0.003778,0.000562,-0.039291,-0.020777,-0.698778,0.713957,27
27588590672,-0.050373,-0.001842,-0.007962,-0.073322,-0.041605,-0.700539,0.708617,28
27588657318,-0.052693,0.018506,-0.002188,-0.059772,-0.026917,-0.702125,0.709029,29
27588723962,-0.052085,0.028202,0.004374,-0.04332,-0.004765,-0.700344,0.712474,30
27588790609,-0.052867,0.028483,0.005495,-0.049057,0.008684,-0.690638,0.721483,31
27588857255,-0.04862,0.022905,-9.2e-05,-0.066847,-0.00294,-0.685323,0.725158,32
27588923901,-0.04148,0.020659,0.001334,-0.071225,0.014168,-0.689105,0.721013,33
