timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
100961362147,0.006462,0.21584,0.492155,-0.010193,0.023355,-0.716472,0.69715,0
100961395470,0.005091,0.214639,0.49074,-0.007203,0.022444,-0.71632,0.697374,1
100961462117,0.002802,0.173686,0.482872,-0.015824,0.008699,-0.71431,0.699596,3
100961495440,0.002288,0.136023,0.478218,-0.02313,0.001825,-0.712843,0.700939,4
100961528763,0.001144,0.088501,0.47386,-0.030366,-0.0098,-0.710626,0.702846,5
100961595410,-0.00031,-0.006216,0.469293,-0.032119,-0.022688,-0.707915,0.705202,7
100961628733,0.000763,-0.039044,0.466713,-0.028711,-0.030421,-0.710655,0.702296,8
100961662056,0.001053,-0.057263,0.461889,-0.035416,-0.040737,-0.710853,0.701266,9
100961728702,0.000498,-0.06389,0.443724,-0.060087,-0.072136,-0.706385,0.701575,11
100961762026,-0.000749,-0.058582,0.435795,-0.069408,-0.076823,-0.700508,0.706094,12
100961795349,-0.001637,-0.053766,0.431057,-0.074496,-0.073183,-0.697783,0.708656,13
100961828672,-0.00096,-0.054998,0.42806,-0.078022,-0.068597,-0.699775,0.706769,14
100961895319,-0.000429,-0.077827,0.424991,-0.086865,-0.066068,-0.703082,0.702684,16
100961928642,-0.000965,-0.089942,0.422207,-0.093895,-0.077042,-0.701507,0.702237,17
100961961965,-0.000868,-0.082763,0.419687,-0.089855,-0.09373,-0.703139,0.699097,18
100962028612,-0.002626,0.014577,0.42839,-0.045526,-0.074777,-0.711444,0.697268,20
100962061935,-0.000499,0.083326,0.436927,-0.042449,-0.052171,-0.715327,0.695545,21
100962095258,0.001016,0.145422,0.447778,-0.027436,-0.026024,-0.718551,0.694446,22
100962161905,0.005828,0.224208,0.458207,0.010062,0.002672,-0.72076,0.693107,24
100962195228,0.007228,0.239545,0.45574,0.010721,-0.00462,-0.720892,0.692949,25
100962228551,0.007185,0.240774,0.450973,0.010415,-0.011741,-0.719536,0.694278,26
100962295198,0.006074,0.203509,0.44594,-0.007896,-0.026552,-0.716801,0.696727,28
100962328521,0.004451,0.167607,0.445206,-0.015589,-0.030819,-0.714959,0.698313,29
100962361844,0.002116,0.121411,0.445106,-0.023851,-0.03415,-0.712606,0.700327,30
100962428491,-0.007578,0.012076,0.44875,-0.044814,-0.042843,-0.702159,0.709316,32
100962461810,-0.011557,-0.029006,0.446982,-0.059228,-0.059049,-0.698392,0.710812,33
100962495137,-0.013066,-0.04977,0.447476,-0.06425,-0.06524,-0.698657,0.709573,34
100962528460,-0.012106,-0.052337,0.443947,-0.072787,-0.081533,-0.699614,0.706112,35
100962595107,-0.009863,-0.028467,0.44393,-0.078853,-0.0688,-0.705259,0.701184,37
100962628430,-0.01019,-0.019631,0.446149,-0.07141,-0.065208,-0.706133,0.701445,38
100962661754,-0.010824,-0.019768,0.447085,-0.068797,-0.060281,-0.70649,0.701787,39
100962728400,-0.008336,-0.049715,0.444185,-0.079653,-0.064732,-0.706226,0.700507,41
100962761723,-0.008042,-0.071676,0.444843,-0.078349,-0.071313,-0.707878,0.698344,42
100962795044,-0.003149,-0.091335,0.446941,-0.07611,-0.076925,-0.709478,0.69637,43
100962861693,0.003988,-0.068317,0.456762,-0.058034,-0.066258,-0.725679,0.682372,45
100962895016,0.006058,-0.017858,0.462644,-0.036666,-0.063565,-0.726578,0.683154,46
100962928340,0.008881,0.051124,0.470806,-0.021113,-0.04403,-0.726949,0.684954,47
100962994986,0.015802,0.18071,0.493849,0.024832,0.009682,-0.7351,0.677435,49
100963028309,0.01766,0.222324,0.502453,0.047782,0.028009,-0.73442,0.676431,50
100963061633,0.018357,0.246301,0.50394,0.04765,0.028917,-0.734277,0.676558,51
100963128279,0.0174,0.245405,0.500651,0.02946,0.016176,-0.733385,0.678982,53
100963161603,0.016074,0.225424,0.499009,0.019225,0.007305,-0.73181,0.681198,54
100963194926,0.015463,0.193489,0.498805,0.008084,0.000949,-0.729388,0.684052,55
100963228249,0.014099,0.151172,0.498641,-0.002946,-0.004066,-0.72519,0.68853,56
100963294896,0.010632,0.048516,0.503506,-0.016409,-0.010296,-0.721685,0.69195,58
100963328219,0.008686,0.005488,0.502746,-0.033246,-0.026204,-0.719541,0.693159,59
100963361542,0.006654,-0.022649,0.504972,-0.037742,-0.021942,-0.715453,0.697296,60
100963428188,0.005041,-0.035071,0.51528,-0.043288,-0.022799,-0.707276,0.705242,62
100963461512,0.004766,-0.024626,0.518193,-0.046721,-0.020255,-0.70682,0.705558,63
100963494835,0.006262,-0.012144,0.523984,-0.049859,-0.016413,-0.705019,0.707244,64
100963561481,0.010312,0.013644,0.526134,-0.062411,0.0039,-0.706046,0.7054,66
100963594805,0.013586,0.022893,0.528886,-0.071063,0.021911,-0.706288,0.704008,67
100963628128,0.016251,0.028723,0.530896,-0.072778,0.024663,-0.707193,0.702833,68
100963694774,0.022702,0.031783,0.535843,-0.072393,0.007309,-0.713497,0.69687,70
100963728098,0.024235,0.031455,0.539012,-0.074127,0.006101,-0.71476,0.695404,71
100963761421,0.025518,0.02971,0.541804,-0.075154,0.002734,-0.717186,0.692812,72
100963828067,0.028077,0.027943,0.546075,-0.083531,0.001577,-0.711191,0.698017,74
100963861390,0.029343,0.026704,0.546533,-0.09125,0.001488,-0.709838,0.698428,75
100963894714,0.031835,0.025718,0.547456,-0.101702,0.003824,-0.708214,0.698624,76
100963961360,0.034597,0.024572,0.551061,-0.109937,0.010146,-0.708848,0.696668,78
100963994683,0.03588,0.023577,0.554825,-0.102673,0.00129,-0.710517,0.696148,79
100964028006,0.035848,0.023465,0.558175,-0.101077,-0.003152,-0.709243,0.697673,80
