timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
88038087827,-0.007493,0.237062,0.473899,0.038167,-0.008912,-0.706773,0.706354,0
88038121150,-0.005922,0.2258,0.470785,0.030063,-0.014882,-0.7068,0.706617,1
88038154472,-0.004488,0.203434,0.466389,0.017134,-0.024894,-0.706226,0.707341,2
88038221119,-0.001645,0.12556,0.461279,-0.000488,-0.051442,-0.706595,0.705746,4
88038254442,-0.001282,0.07357,0.462887,-0.003058,-0.063134,-0.705448,0.705938,5
88038287766,-0.000375,0.021739,0.465747,-0.000808,-0.067517,-0.705945,0.705041,6
88038321088,-0.000937,-0.019395,0.461484,-0.010714,-0.085906,-0.705571,0.703331,7
88038354411,-0.001241,-0.043081,0.457262,-0.019287,-0.097647,-0.703847,0.703344,8
88038421058,-0.005568,-0.043028,0.447246,-0.036129,-0.116813,-0.699749,0.703847,10
88038454381,-0.009053,-0.030585,0.445983,-0.035903,-0.100989,-0.701176,0.704886,11
88038487704,-0.012734,-0.01929,0.446484,-0.027449,-0.089385,-0.700037,0.707958,12
88038521027,-0.015305,-0.012384,0.448843,-0.021853,-0.073918,-0.700565,0.709413,13
88038554349,-0.016166,-0.017829,0.448361,-0.02769,-0.066316,-0.703427,0.707125,14
88038620996,-0.016651,-0.057039,0.449287,-0.040338,-0.070321,-0.707048,0.702503,16
88038654318,-0.016402,-0.08166,0.451869,-0.043861,-0.078253,-0.709694,0.698775,17
88038687642,-0.013766,-0.093697,0.453711,-0.046193,-0.089942,-0.715268,0.691498,18
88038720962,-0.009868,-0.078178,0.453723,-0.043146,-0.09573,-0.726677,0.678907,19
88038754287,-0.00713,-0.033763,0.459962,-0.031259,-0.075841,-0.733449,0.674776,20
88038787611,-0.005965,0.030502,0.467242,-0.010014,-0.051185,-0.730799,0.680598,21
88038854257,-0.007261,0.156481,0.472434,0.018396,-0.029887,-0.7219,0.691107,23
88038887580,-0.004927,0.198283,0.47246,0.026514,-0.015402,-0.720995,0.692262,24
88038920903,-0.00529,0.223348,0.470208,0.028296,-0.014468,-0.717414,0.695922,25
88038954226,-0.007201,0.233365,0.467216,0.024376,-0.01947,-0.713982,0.699469,26
88038987549,-0.008739,0.230653,0.464799,0.018277,-0.023384,-0.713343,0.700187,27
88039054194,-0.007178,0.192402,0.462524,0.001678,-0.033542,-0.710535,0.70286,29
88039087518,-0.00775,0.157178,0.462796,-0.007768,-0.035707,-0.708383,0.704882,30
88039120841,-0.005312,0.112659,0.463791,-0.01546,-0.034193,-0.708,0.705215,31
88039154164,-0.004615,0.062166,0.46636,-0.020702,-0.037423,-0.709554,0.703352,32
88039187487,-0.004779,0.017334,0.468688,-0.020505,-0.040537,-0.708298,0.70445,33
88039254133,-0.003038,-0.030625,0.469342,-0.028137,-0.055417,-0.704888,0.706591,35
88039287456,-0.001751,-0.030208,0.465637,-0.041393,-0.069817,-0.705458,0.70409,36
88039320779,0.002912,-0.02015,0.461802,-0.04594,-0.065275,-0.709705,0.699962,37
88039354102,0.004106,-0.007484,0.461987,-0.044577,-0.060396,-0.714868,0.695219,38
88039387425,0.003704,0.001731,0.463901,-0.037416,-0.051053,-0.716684,0.69452,39
88039454071,0.002101,-0.005308,0.461064,-0.033302,-0.043891,-0.713162,0.698831,41
88039487394,0.000147,-0.024819,0.45972,-0.037222,-0.046522,-0.710413,0.701259,42
88039520717,0.000571,-0.053871,0.45666,-0.043505,-0.053196,-0.710791,0.700038,43
88039554041,-6e-05,-0.080509,0.455989,-0.050851,-0.062516,-0.712815,0.696707,44
88039587364,-0.002092,-0.09316,0.457347,-0.054678,-0.0677,-0.711468,0.69731,45
88039654010,-0.004819,-0.042332,0.467673,-0.038533,-0.045688,-0.711959,0.699673,47
88039687332,-0.006439,0.017325,0.476649,-0.015673,-0.025321,-0.710323,0.703246,48
88039720656,-0.006369,0.08342,0.47838,-0.00217,-0.012241,-0.707639,0.706465,49
88039753979,-0.00616,0.144285,0.478676,-0.007455,-0.010587,-0.707092,0.707003,50
88039787302,-0.004709,0.191707,0.483596,0.003649,0.006323,-0.709142,0.705028,51
88039853948,-0.004668,0.239916,0.488259,0.021155,0.008956,-0.710844,0.702974,53
88039887271,-0.004688,0.242137,0.487216,0.011703,0.00291,-0.708674,0.705433,54
