timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
77601650535,-0.007791,0.23758,0.320135,0.010326,0.057133,-0.710269,0.701532,0
77601683858,-0.011989,0.234466,0.315015,0.000746,0.04044,-0.706696,0.70636,1
77601717180,-0.016594,0.216834,0.308818,-0.01263,0.032546,-0.703754,0.709586,2
77601783827,-0.022335,0.14588,0.295972,-0.041733,0.003414,-0.702534,0.710417,4
77601817151,-0.025159,0.098955,0.292497,-0.051997,-0.007183,-0.702067,0.710174,5
77601850474,-0.026328,0.048908,0.292406,-0.055085,0.002178,-0.703324,0.708729,6
77601883797,-0.029607,0.008139,0.289974,-0.066654,0.006835,-0.698654,0.712316,7
77601917120,-0.032814,-0.018862,0.284382,-0.078354,-0.018054,-0.693742,0.715722,8
77601983766,-0.038815,-0.024601,0.272242,-0.096077,-0.03262,-0.685311,0.721147,10
77602017089,-0.042095,-0.012617,0.266895,-0.100969,-0.032706,-0.687952,0.717954,11
77602050412,-0.045069,-0.000963,0.266639,-0.094649,-0.02639,-0.692452,0.714741,12
77602083735,-0.048102,0.004031,0.264776,-0.08705,-0.01874,-0.693707,0.714732,13
77602117059,-0.04975,-0.000827,0.261095,-0.086153,-0.015878,-0.694206,0.714425,14
77602183705,-0.048973,-0.03617,0.25413,-0.09577,-0.038592,-0.691437,0.71502,16
77602217028,-0.047564,-0.060664,0.252107,-0.098956,-0.045208,-0.692791,0.712885,17
77602250351,-0.0424,-0.078724,0.258301,-0.092785,-0.044686,-0.698008,0.708646,18
77602283674,-0.038387,-0.082636,0.261115,-0.08795,-0.035882,-0.70294,0.704878,19
77602316997,-0.035065,-0.063128,0.263033,-0.083637,-0.023592,-0.704655,0.704208,20
77602350320,-0.031142,-0.018813,0.267752,-0.077593,-0.026499,-0.702705,0.706741,21
77602416966,-0.025906,0.108046,0.272232,-0.038847,-0.033392,-0.713158,0.699129,23
77602450289,-0.019971,0.159617,0.284402,-0.009594,-0.002839,-0.721514,0.692327,24
77602483612,-0.018369,0.194906,0.290492,0.013104,0.030341,-0.72451,0.688472,25
77602516935,-0.019609,0.212771,0.288279,0.012253,0.022014,-0.720423,0.693077,26
77602550259,-0.021134,0.21342,0.285204,-0.000304,0.006917,-0.71141,0.702744,27
77602616905,-0.026304,0.171481,0.280878,-0.024659,0.006463,-0.703164,0.71057,29
77602650228,-0.026739,0.133902,0.282169,-0.036482,-0.001345,-0.702372,0.710873,30
77602683551,-0.0266,0.089368,0.284053,-0.045435,-0.005865,-0.701782,0.710917,31
77602716873,-0.026439,0.04305,0.286956,-0.049028,-0.000312,-0.700308,0.712155,32
77602750197,-0.028561,0.004059,0.289217,-0.052401,0.012702,-0.693832,0.718116,33
77602816843,-0.031103,-0.030715,0.279204,-0.068274,-0.02993,-0.682892,0.726706,35
77602850166,-0.030383,-0.025966,0.273733,-0.077101,-0.046247,-0.683254,0.724624,36
77602883489,-0.028947,-0.014766,0.270475,-0.079191,-0.047374,-0.692773,0.715227,37
77602916812,-0.028031,-0.003561,0.271828,-0.06756,-0.035285,-0.701852,0.708233,38
77602950135,-0.02699,0.0013,0.274621,-0.055386,-0.025028,-0.706215,0.705384,39
77603016782,-0.027583,-0.012174,0.274241,-0.057345,-0.021556,-0.704686,0.706869,41
77603050105,-0.027287,-0.033161,0.274663,-0.0644,-0.026695,-0.703464,0.707303,42
77603083428,-0.02853,-0.058378,0.273341,-0.071491,-0.031554,-0.703312,0.706574,43
77603116751,-0.029477,-0.082461,0.274334,-0.073217,-0.033379,-0.706171,0.703454,44
77603150074,-0.029278,-0.095667,0.279058,-0.061107,-0.031173,-0.711628,0.699199,45
77603216720,-0.031412,-0.061852,0.290096,-0.036448,-0.024273,-0.713013,0.699782,47
77603250043,-0.033841,-0.012243,0.290399,-0.032072,-0.037985,-0.70712,0.705344,48
77603283366,-0.036952,0.052975,0.290882,-0.025421,-0.048409,-0.70425,0.707843,49
77603316688,-0.037371,0.1192,0.295571,-0.012017,-0.033783,-0.710331,0.702954,50
77603350013,-0.034007,0.17297,0.309292,0.012526,0.008854,-0.717672,0.696212,51
77603416659,-0.032573,0.231818,0.320418,0.042538,0.040909,-0.718297,0.693229,53
77603449980,-0.032407,0.237325,0.318925,0.033281,0.02868,-0.712732,0.700059,54
77603483305,-0.033814,0.226116,0.315775,0.023767,0.024467,-0.708301,0.705086,55
77603516626,-0.034162,0.201336,0.311355,0.007793,0.020681,-0.708279,0.705587,56
77603549949,-0.03196,0.165244,0.307015,-0.009105,0.010139,-0.708814,0.705264,57
77603616597,-0.028538,0.069814,0.303275,-0.029488,-0.004737,-0.709206,0.704368,59
77603649921,-0.028271,0.020559,0.304581,-0.036099,-0.001571,-0.706383,0.706907,60
77603683244,-0.029133,-0.01897,0.299853,-0.051095,-0.021291,-0.700096,0.7119,61
77603716566,-0.029467,-0.04466,0.29582,-0.059162,-0.044024,-0.693869,0.716315,62
77603749890,-0.030634,-0.051864,0.292062,-0.071218,-0.046472,-0.690872,0.717958,63
77603783212,-0.030532,-0.044981,0.285444,-0.087846,-0.066809,-0.690777,0.714595,64
77603849859,-0.033575,-0.008309,0.285053,-0.081911,-0.05527,-0.691985,0.715117,66
77603883182,-0.036354,0.0072,0.289183,-0.066309,-0.02794,-0.69299,0.717347,67
77603916505,-0.039732,0.015944,0.292715,-0.055474,0.009552,-0.691894,0.719801,68
77603949828,-0.042801,0.019944,0.293021,-0.054826,0.036802,-0.690489,0.720323,69
77603983151,-0.046395,0.019065,0.288387,-0.064176,0.04729,-0.68883,0.720526,70
77604049797,-0.051828,0.012736,0.276081,-0.087,0.045123,-0.687176,0.71985,72
77604083120,-0.053476,0.009597,0.269498,-0.098961,0.051598,-0.685558,0.719412,73
77604116443,-0.054679,0.007066,0.262957,-0.106432,0.039202,-0.686291,0.718429,74
77604149767,-0.054391,0.003372,0.259383,-0.110883,0.021403,-0.690912,0.714064,75
77604183089,-0.054258,0.000492,0.258119,-0.111017,0.016489,-0.695778,0.709434,76
77604249733,-0.054281,-0.002018,0.257762,-0.104712,0.012959,-0.695945,0.710302,78
77604283059,-0.055284,-0.002404,0.256345,-0.104905,-0.00137,-0.690745,0.715447,79
77604316382,-0.056336,-0.002911,0.254891,-0.112456,-0.004575,-0.688374,0.716571,80
77604349705,-0.056296,-0.000646,0.253139,-0.121064,0.007072,-0.689088,0.714459,81
77604383028,-0.054672,-0.000238,0.254516,-0.123275,0.021507,-0.691242,0.711706,82
77604449674,-0.045685,0.000613,0.264186,-0.111387,0.029814,-0.7076,0.697142,84
77604482997,-0.042216,0.000126,0.268394,-0.102449,0.026175,-0.718591,0.687348,85
77604516320,-0.040545,0.000169,0.271496,-0.099584,0.018661,-0.724469,0.681821,86
77604549643,-0.038145,0.001282,0.27478,-0.1004,0.014735,-0.726002,0.680165,87
77604582967,-0.036229,0.002192,0.277487,-0.102226,0.01736,-0.726446,0.679356,88
77604649613,-0.029787,0.002196,0.283267,-0.101931,0.028384,-0.730854,0.674283,90
77604682934,-0.028025,0.002302,0.28427,-0.103269,0.026717,-0.731279,0.673686,91
77604716259,-0.02745,0.002592,0.285587,-0.100772,0.022934,-0.728714,0.676975,92
77604749582,-0.025949,0.002782,0.287393,-0.102695,0.022701,-0.724832,0.68085,93
77604782903,-0.025135,0.003013,0.288626,-0.104787,0.022053,-0.722288,0.683252,94
77604849551,-0.022012,0.002801,0.29282,-0.103868,0.01689,-0.719626,0.686341,96
77604882874,-0.022407,0.003396,0.294954,-0.103444,0.019652,-0.71681,0.689273,97
77604916197,-0.022382,0.003721,0.296421,-0.106231,0.02634,-0.717874,0.687516,98
77604949520,-0.021688,0.004391,0.297252,-0.105955,0.0211,-0.7175,0.688129,99
77604982843,-0.023467,0.005828,0.298561,-0.102088,0.012114,-0.713931,0.692629,100
77605049490,-0.021999,0.009472,0.308778,-0.094514,-0.000324,-0.707572,0.700292,102
77605082813,-0.023623,0.010997,0.310268,-0.095256,-0.010536,-0.704081,0.703623,103
77605116135,-0.025846,0.01207,0.310433,-0.097131,-0.024286,-0.700832,0.706264,104
77605149459,-0.027458,0.011016,0.312087,-0.09859,-0.031088,-0.699561,0.707056,105
77605182782,-0.029157,0.010641,0.313315,-0.099214,-0.029334,-0.700015,0.706594,106
77605216105,-0.031077,0.010789,0.313816,-0.100646,-0.027078,-0.700309,0.70619,107
77605282751,-0.029947,0.011911,0.320178,-0.102055,-0.026017,-0.699721,0.70661,109
