frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.024959,0.278088,0.408202,0.048936,0.001047,-0.700607,0.711867,0.8063030847676098,27.076166859960555,-0.4461385973256081,-0.3668172598620876,9.727650697565078,-1.1868562802437692,-0.3518505096435547,-0.4311684370040893,-0.716558039188385,-0.5435865352282063,-0.597302321850193,-0.4513787405158913,-0.3794743821512331,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.1004199162125587,-0.117288626730442,24.228266323292253,0.6825502514839172,0.0352963954079197,0.5135620282571762
1,0.026406,0.265217,0.400391,0.037975,-0.003174,-0.703332,0.70984,-0.3659110682699829,18.410933796739577,-5.102949746721983,-0.6008973069587722,9.737693368151785,-0.993285718994215,-1.0002110004425049,-0.2357102036476135,-0.2746346294879913,-0.5561591681304733,-0.5889735451039491,-0.4513907861366006,-0.3742237482765039,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.010696368291974,-0.8841431736946106,18.17004414269328,0.990083396434784,0.4738130784537643,1.688748036712408
2,0.027221,0.240161,0.392496,0.023369,-0.010439,-0.706395,0.707355,-0.8723144569441675,4.828569326484203,-0.2958078236699104,-0.6581790273759514,9.766184134098888,-0.599025083346106,-0.879420816898346,0.115901693701744,-0.114784725010395,-0.5694681424854796,-0.5767786641026417,-0.4448237310112842,-0.3810043020906145,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.2330679446458816,-1.8100855350494385,0.1866826466330327,0.3776456117630005,0.6948688818696885,-0.1405632302159443
3,0.024775,0.155457,0.381707,0.000587,-0.025485,-0.705308,0.708442,-1.1268395453721285,-10.359621736168862,-3.690094872897863,-0.6254166485242545,9.78516297533512,-0.1726497738990001,-1.5817527770996094,-0.013505789451301,0.3629199862480163,-0.5808642706467436,-0.564519983355061,-0.4360273813001312,-0.3921656575348166,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.0130531573668122,-1.2264083623886108,-15.137085144793986,0.1610639691352844,-2.2290087598681447,-0.2849634447788819
4,0.023025,0.101878,0.379202,-0.004909,-0.03458,-0.703644,0.709694,0.0756623034993186,-15.67645622563362,0.424007575668767,-0.4316504551047459,9.774750886914134,0.6620620062891394,-2.321718454360962,0.3392685353755951,0.5604298114776611,-0.598812121021764,-0.5418596949806183,-0.4154904376855854,-0.4185449913584128,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.038834623992443,0.7643001675605774,-3.3271228537544606,0.2621628046035766,1.201916778992489,0.6054695102451368
5,0.020896,0.052452,0.378634,-0.002977,-0.034681,-0.700432,0.71287,0.9788622029747812,-13.854564623844622,5.130577758359909,-0.2802041944878176,9.742223412796854,1.086715113319829,0.2696161270141601,-0.1766953617334365,0.131549134850502,-0.6059657367787925,-0.5307718356915432,-0.4035767660305859,-0.4338347275438961,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.0510471947491169,-0.5353399515151978,-9.858142871350047,0.0937165692448616,-0.7620775010067969,-0.3547166703648865
6,0.019519,0.015199,0.376598,-0.00912,-0.041969,-0.697206,0.715583,0.6613678134799004,-12.840227422058582,0.545018146815896,-0.3145079210299998,9.766970316040515,0.823268175028637,0.7704951763153076,-0.0944602862000465,-0.1807271093130111,-0.6010995374051717,-0.5397260601109826,-0.408314565712779,-0.4250346106803874,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.0179470442235469,0.1970448195934295,-10.544155296742916,-0.2248248606920242,-1.5243553468912838,-1.0722228429131209
7,0.017809,-0.006383,0.370097,-0.018571,-0.040133,-0.689986,0.72247,0.7553167016349732,-11.941883913105723,-0.3613286358505487,-0.3140355542778968,9.785307352241873,0.5652846167098731,0.5792487263679504,0.2275468856096267,0.1570266336202621,-0.5936624631697157,-0.5473693093182054,-0.4142044719552865,-0.4199838862340021,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.1698288917541504,0.0843807980418205,-9.847295314121244,-0.3231509029865265,-1.3309880531288685,-0.8898842351000755
8,0.015442,-0.008244,0.350807,-0.054236,-0.080302,-0.685327,0.721759,0.8677706760346889,-10.704005666959285,-0.3269008810698985,-0.2291174197206273,9.799894680520891,0.2827580071564763,0.921351432800293,0.3353194296360016,0.2454499900341034,-0.5809756138661054,-0.5547539304069646,-0.4217006409499723,-0.4205757522099541,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.2016014903783798,0.0977266952395439,-10.122082561594247,-0.4803219735622406,-1.5130428024992346,-1.104313021591678
9,0.014527,0.002517,0.346131,-0.056457,-0.070667,-0.689533,0.718584,1.529944545200467,-10.775969663929938,-2.215537868398428,-0.166297080404032,9.80497125313282,-0.0727204002619488,0.7811447381973267,0.1652465462684631,0.0452107526361942,-0.5676617389568451,-0.5646771234228914,-0.4299388965619098,-0.4171960581707708,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.1138869673013687,0.1624863445758819,-9.687965752908587,-0.4978701174259186,-1.3305331489682195,-0.5546675072360784
10,0.013147,0.010982,0.343423,-0.051797,-0.060781,-0.691191,0.718247,1.2635776278093456,-8.235357545366883,-0.7285960141003132,-0.2117748379167169,9.797722597178817,-0.3607655951403081,0.8226179480552673,0.0997521728277206,-0.2145314663648605,-0.5586894517390706,-0.5702699258513604,-0.4395294502343236,-0.4116698862129301,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.0485500395298004,0.010721537284553,-9.236599118736386,-0.4400601983070373,-1.4594250479497015,0.2950011834621429
11,0.012168,0.011882,0.341311,-0.04653,-0.050641,-0.691979,0.718634,-0.1957626279337331,-1.0219044221699238,-2.958873186469078,-0.2637745445440523,9.784532860738038,-0.6031009910155087,0.0820697695016861,-0.2770000100135803,-0.1227059364318847,-0.5536328270580284,-0.5770196130155398,-0.4447448250302683,-0.4034118951121694,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.359757512807846,4.601644039154053,-2.580737500463426,0.0820278525352478,-4.958047354790568,-0.2459951970243826
12,0.012242,0.002121,0.337776,-0.048377,-0.049533,-0.693667,0.716961,-1.5259313640363514,11.17917987769842,2.4797932004630563,-0.3677327307391911,9.7795135712713,-0.6295247414302081,0.8173718452453613,-0.1676764488220214,-0.1625811159610748,-0.5557015260510759,-0.5761946712360575,-0.4473215060844873,-0.3988722971840469,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.2928043603897095,2.367953300476074,4.304197369594871,0.5682237148284912,-2.91268280544132,0.4276690207857638
13,0.015202,-0.036527,0.32964,-0.057893,-0.05725,-0.694972,0.714412,0.6408373588874936,14.618470436257123,-0.2917383822739124,-0.5043679738564416,9.765126734000445,-0.7471951353039592,-0.090188555419445,0.560941755771637,-0.6073414087295532,-0.5539470995448238,-0.5751741153222238,-0.4552703429951968,-0.3937591578559115,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.1897782087326049,0.0754023194313049,29.046225408434868,0.2926707863807678,2.7316394250705835,1.7619376299552618
14,0.014433,-0.039983,0.322683,-0.062401,-0.066383,-0.692469,0.715672,-2.3279665622264147,13.129105154204368,3.646595922911167,-0.7114724453419446,9.685691378235816,-1.36073144948557,2.923527956008911,-0.7019128203392029,-0.1359929740428924,-0.5391821172802084,-0.5868198573812979,-0.4743632090565602,-0.3740383961304936,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.1503044068813324,-0.4962864816188812,7.813358459976315,0.4479842782020569,-0.0231452561837038,0.2234246514391153
15,0.012081,-0.011893,0.31707,-0.051228,-0.086733,-0.684186,0.722318,-0.0988900708843022,6.47930999636352,-5.796092170125246,-0.6888022022418677,9.597753567063808,-1.8918392905011767,-0.2116916477680206,0.754942774772644,0.1349217444658279,-0.5224285122499555,-0.602061897700742,-0.4837131689421778,-0.3614020644989917,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,0.0211205817759037,-0.7420598864555359,1.8360816013135013,0.3262695968151092,0.6035705447560176,-0.3170109898921102
16,0.010638,0.045866,0.316867,-0.030647,-0.068545,-0.688236,0.721591,0.5235126001136378,-0.1897293756514787,-0.69432315762043,-0.5537393595404922,9.626774494364858,-1.7857703409634529,-0.3215742707252502,0.2716136276721954,0.2190779447555542,-0.5190582186305042,-0.5971931158946505,-0.484158374905576,-0.3735366804761661,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.0300775412470102,-0.4565812349319458,-4.715799856394529,0.157715618610382,-0.5497717710837722,-1.1915005258530378
17,0.012853,0.118195,0.320733,-0.006966,-0.046807,-0.700083,0.712492,0.1552319531681016,-6.250650293815135,0.0334213542170822,-0.5263336854163557,9.671218616247176,-1.5365312301144003,-0.8533328771591187,0.1987544894218444,-0.0587978400290012,-0.524611573839351,-0.5891348733286096,-0.4808964433284456,-0.382676871568874,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.0892028734087944,-0.354639321565628,-5.680897518715262,-0.143118605017662,-0.4015322340862825,-0.597282842788659
18,0.016987,0.184658,0.325416,0.013074,-0.035593,-0.71471,0.698392,-0.3938446752583607,-9.330405529680847,2.624982592642307,-0.4954517865490168,9.696269470873474,-1.3810451925873757,0.045369878411293,0.1477427184581756,0.1543196886777877,-0.5273415132932099,-0.583982026593421,-0.4789349692332686,-0.3892265012820123,-4.126588821411133,-0.4742017686367035,0.030892701819539,1.213762626543641,-1.2669108638852833,-0.4868059040829539,-0.0807831063866615,-0.3005342185497284,-7.687940520715713,0.1707639992237091,-1.232211306425929,0.1290674747440963
