timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
87562040794,0.038087,0.234659,0.368267,-0.017675,0.021671,-0.722499,0.690806,0
87562074117,0.03549,0.233324,0.365164,-0.021243,0.017261,-0.718786,0.694693,1
87562107440,0.033066,0.217584,0.361456,-0.025167,0.014032,-0.716968,0.69651,2
87562174085,0.030616,0.147776,0.349439,-0.048083,-0.015879,-0.719782,0.692351,4
87562207409,0.029616,0.096982,0.346558,-0.058637,-0.028238,-0.718888,0.692073,5
87562240731,0.028298,0.043343,0.345764,-0.066621,-0.031732,-0.718101,0.692015,6
87562274055,0.025841,-0.003107,0.34479,-0.073568,-0.040583,-0.711773,0.697367,7
87562307377,0.022658,-0.03556,0.342604,-0.076234,-0.049175,-0.702476,0.705902,8
87562374023,0.020409,-0.048578,0.326755,-0.112762,-0.088782,-0.695958,0.703595,10
87562407346,0.021579,-0.037969,0.324715,-0.117503,-0.066636,-0.701934,0.699315,11
87562440669,0.022521,-0.024488,0.328119,-0.106514,-0.042547,-0.707202,0.697646,12
87562473992,0.023735,-0.015376,0.332121,-0.093157,-0.02791,-0.709259,0.698208,13
87562507315,0.025663,-0.013112,0.334128,-0.084554,-0.022139,-0.709346,0.69942,14
87562573961,0.02971,-0.039106,0.337294,-0.076971,-0.024504,-0.70934,0.700223,16
87562607284,0.028708,-0.059222,0.336149,-0.086392,-0.031434,-0.707421,0.700788,17
87562640606,0.02682,-0.07006,0.333708,-0.097871,-0.050384,-0.704417,0.701199,18
87562673930,0.024778,-0.055648,0.333838,-0.090109,-0.06382,-0.700609,0.70495,19
87562707253,0.023638,-0.009799,0.333245,-0.081561,-0.061523,-0.697282,0.709479,20
87562740575,0.024808,0.05673,0.3312,-0.074496,-0.056381,-0.699866,0.708137,21
87562807221,0.033146,0.184657,0.345374,-0.0536,0.007738,-0.721506,0.690288,23
87562840544,0.033444,0.224614,0.35699,-0.024378,0.033484,-0.725648,0.686818,24
87562873867,0.030292,0.247167,0.360592,-0.022427,0.028936,-0.719983,0.693025,25
87562907190,0.028588,0.254826,0.361031,-0.030918,0.023524,-0.714171,0.698893,26
87562940512,0.026727,0.246984,0.358957,-0.037802,0.016913,-0.714086,0.698832,27
87563007159,0.027562,0.19659,0.353281,-0.061324,-0.008378,-0.71676,0.694568,29
87563040482,0.027556,0.156415,0.352508,-0.070118,-0.015923,-0.717604,0.692729,30
87563073805,0.026821,0.108621,0.354372,-0.0714,-0.02033,-0.717638,0.692448,31
87563107128,0.026161,0.05816,0.358264,-0.070027,-0.018301,-0.715576,0.694775,32
87563140451,0.0253,0.016586,0.359499,-0.069205,-0.019587,-0.711904,0.698584,33
87563207097,0.028051,-0.024558,0.359447,-0.066993,-0.024594,-0.715361,0.695101,35
87563240420,0.028981,-0.025592,0.353949,-0.075943,-0.044974,-0.717981,0.690444,36
87563273742,0.029048,-0.01988,0.350452,-0.079513,-0.043108,-0.719156,0.688937,37
87563307066,0.0298,-0.015482,0.349803,-0.08004,-0.040318,-0.719475,0.688711,38
87563340388,0.029354,-0.01661,0.347267,-0.081341,-0.035814,-0.718537,0.689787,39
87563407034,0.02783,-0.04859,0.339403,-0.094847,-0.051993,-0.715149,0.690553,41
87563440357,0.026867,-0.075188,0.337434,-0.098421,-0.06179,-0.715634,0.688741,42
87563473680,0.02567,-0.097206,0.336781,-0.09807,-0.074828,-0.716132,0.686977,43
87563507003,0.024829,-0.098768,0.337704,-0.094336,-0.09071,-0.716577,0.68512,44
87563540326,0.024835,-0.068318,0.341386,-0.078906,-0.079566,-0.722453,0.682279,45
87563606972,0.02653,0.072508,0.353244,-0.031657,-0.046654,-0.731824,0.679157,47
87563640295,0.029028,0.146538,0.361791,-0.011123,-0.016507,-0.738537,0.673919,48
87563673618,0.03184,0.203608,0.367794,0.003141,0.004449,-0.745893,0.666043,49
87563706941,0.033768,0.241657,0.368248,0.008903,0.010025,-0.746406,0.665356,50
87563740263,0.031415,0.261616,0.362308,-0.001205,-0.002899,-0.740883,0.671627,51
87563806910,0.025853,0.261125,0.35062,-0.033088,-0.023829,-0.727364,0.685039,53
87563840232,0.023385,0.244986,0.346765,-0.043339,-0.036356,-0.721279,0.69033,54
87563873556,0.021103,0.219519,0.345511,-0.051469,-0.0399,-0.715675,0.695391,55
87563906878,0.02086,0.184981,0.347466,-0.05795,-0.034987,-0.71053,0.700403,56
87563940201,0.01928,0.140903,0.349416,-0.064051,-0.029179,-0.706925,0.703778,57
87563973524,0.016996,0.090256,0.351368,-0.070682,-0.024103,-0.706688,0.703574,58
87564040170,0.014934,0.003314,0.359062,-0.072957,-0.011756,-0.712781,0.697483,60
87564073493,0.013367,-0.01983,0.364145,-0.060485,-0.005782,-0.716702,0.694728,61
87564106816,0.013786,-0.026831,0.368092,-0.057781,0.01103,-0.716288,0.695321,62
87564140139,0.01243,-0.022668,0.363323,-0.07437,0.00222,-0.714733,0.695429,63
87564173462,0.010518,-0.010418,0.359919,-0.082663,-0.002003,-0.710255,0.699072,64
87564240108,0.008784,0.015516,0.361109,-0.0856,0.017149,-0.70053,0.708263,66
87564273431,0.008473,0.024683,0.357558,-0.09431,0.018605,-0.696855,0.710741,67
87564306754,0.01095,0.027189,0.355983,-0.107229,0.021509,-0.695426,0.710227,68
87564340077,0.012761,0.028533,0.353646,-0.115145,0.034675,-0.696804,0.707109,69
87564373400,0.014713,0.029098,0.351893,-0.120451,0.047414,-0.69969,0.702622,70
87564440045,0.017971,0.030273,0.35353,-0.122954,0.039579,-0.706168,0.696163,72
87564473368,0.016589,0.032511,0.354103,-0.125344,0.037922,-0.702142,0.699891,73
87564506691,0.016898,0.032899,0.354796,-0.128491,0.036162,-0.698205,0.703343,74
87564540014,0.016789,0.033107,0.354142,-0.135341,0.032426,-0.696421,0.704009,75
87564573337,0.016671,0.033146,0.353339,-0.144565,0.036317,-0.695645,0.702751,76
87564639983,0.02269,0.03099,0.355409,-0.14542,0.031349,-0.69884,0.699638,78
87564673306,0.023691,0.029331,0.355012,-0.150228,0.028074,-0.700073,0.697526,79
87564706629,0.027634,0.028657,0.35714,-0.155479,0.035835,-0.702727,0.693338,80
87564739952,0.029948,0.028396,0.359767,-0.15561,0.046515,-0.70496,0.6904,81
87564773275,0.030424,0.028651,0.361917,-0.151862,0.045838,-0.705287,0.690947,82
87564839920,0.03294,0.029372,0.365796,-0.147009,0.033313,-0.702635,0.695401,84
87564873244,0.032763,0.03006,0.366341,-0.150228,0.03225,-0.703229,0.694161,85
87564906567,0.035024,0.03071,0.367445,-0.152108,0.034681,-0.703516,0.693344,86
87564939889,0.035828,0.031256,0.368186,-0.149616,0.034429,-0.703568,0.693846,87
87564973212,0.035911,0.031734,0.369011,-0.149198,0.037073,-0.703689,0.693677,88
87565039858,0.037623,0.032733,0.372594,-0.137405,0.02935,-0.70535,0.694795,90
87565073181,0.036714,0.033211,0.372318,-0.125662,0.008907,-0.707673,0.695218,91
87565106504,0.038625,0.034135,0.372909,-0.116365,-0.014906,-0.708331,0.696063,92
87565139827,0.037528,0.035459,0.371775,-0.117442,-0.032148,-0.704656,0.699023,93
87565173150,0.035425,0.036502,0.370472,-0.121994,-0.042705,-0.701722,0.700628,94
87565239796,0.03643,0.038766,0.374801,-0.12377,-0.029476,-0.703328,0.699387,96
87565273119,0.035395,0.039438,0.375957,-0.126568,-0.018624,-0.705413,0.697156,97
87565306442,0.036458,0.040921,0.379238,-0.130091,-0.007339,-0.704507,0.697634,98
87565339764,0.0353,0.042809,0.38128,-0.137952,0.011821,-0.699619,0.700972,99
87565373088,0.033368,0.044734,0.383797,-0.136674,0.027038,-0.695763,0.704629,100
