timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
37538375067,0.042745,0.239926,0.281759,0.023221,0.037924,-0.714159,0.69857,0
37538408391,0.045157,0.231299,0.27891,0.016282,0.032743,-0.711445,0.701789,1
37538475037,0.048334,0.176857,0.277284,-0.004133,0.01899,-0.710802,0.703124,3
37538508361,0.051212,0.135411,0.276582,-0.014125,0.013495,-0.709307,0.704629,4
37538575008,0.052837,0.040634,0.279495,-0.025536,0.001974,-0.706258,0.707492,6
37538608331,0.053541,0.003748,0.278532,-0.034643,-0.00348,-0.706594,0.706762,7
37538641655,0.054869,-0.020807,0.276765,-0.048765,-0.01208,-0.707205,0.705221,8
37538708302,0.057246,-0.031657,0.274703,-0.063602,-0.027211,-0.707048,0.703774,10
37538741625,0.057938,-0.033055,0.275765,-0.063355,-0.026575,-0.706631,0.704239,11
37538808272,0.059812,-0.049762,0.274683,-0.075242,-0.025973,-0.707763,0.701951,13
37538841596,0.059899,-0.067924,0.270052,-0.091708,-0.038282,-0.704826,0.702385,14
37538874919,0.05936,-0.089043,0.267334,-0.100863,-0.045115,-0.702002,0.703552,15
37538941566,0.056364,-0.102981,0.261523,-0.115018,-0.052872,-0.700327,0.702508,17
37538974889,0.056604,-0.076438,0.26093,-0.104517,-0.039709,-0.705847,0.699485,18
37539041536,0.059095,0.039855,0.270621,-0.060691,0.001906,-0.719375,0.691963,20
37539074859,0.061229,0.107056,0.279771,-0.03315,0.022691,-0.723143,0.689529,21
37539108183,0.063789,0.164859,0.28896,-0.006206,0.045923,-0.722733,0.689572,22
37539174830,0.06594,0.226557,0.290022,0.013082,0.053869,-0.71691,0.694958,24
37539208153,0.066898,0.230599,0.282546,0.002653,0.036295,-0.713982,0.699218,25
37539274800,0.069476,0.2001,0.269372,-0.02205,0.001891,-0.71298,0.700835,27
37539308123,0.073271,0.167453,0.266643,-0.033251,-0.009498,-0.713412,0.699891,28
37539341447,0.075208,0.127122,0.266421,-0.041784,-0.018991,-0.712923,0.699738,29
37539408094,0.076281,0.035362,0.271457,-0.046149,-0.025477,-0.708574,0.703665,31
37539441417,0.076494,-0.000498,0.269656,-0.058454,-0.037531,-0.708275,0.70251,32
37539508064,0.074732,-0.027734,0.274148,-0.063822,-0.04122,-0.703372,0.70675,34
37539541388,0.074137,-0.021434,0.275685,-0.067961,-0.043865,-0.70402,0.705559,35
37539574711,0.073271,-0.010348,0.277982,-0.068021,-0.040794,-0.704548,0.70521,36
37539641358,0.071054,0.002064,0.284553,-0.063121,-0.030644,-0.704671,0.706056,38
37539674681,0.070483,-0.004222,0.285135,-0.064317,-0.030102,-0.704908,0.705735,39
37539741328,0.067534,-0.042771,0.286388,-0.07209,-0.038572,-0.701414,0.70805,41
37539774651,0.0665,-0.068824,0.285812,-0.078567,-0.037367,-0.701065,0.70777,42
37539841299,0.06685,-0.083426,0.284851,-0.072957,-0.055523,-0.701541,0.706707,44
37539874622,0.067913,-0.05431,0.287452,-0.054182,-0.045995,-0.706658,0.703977,45
37539907945,0.069623,-0.002874,0.290718,-0.034863,-0.030892,-0.713263,0.699347,46
37539974592,0.071177,0.123017,0.297225,0.001666,-0.004793,-0.714991,0.699115,48
37540007915,0.071446,0.173431,0.300844,0.021035,0.009964,-0.712984,0.700794,49
37540074562,0.071143,0.224299,0.293023,0.025134,0.008967,-0.703737,0.70996,51
37540107886,0.072309,0.22688,0.286253,0.015371,-0.002744,-0.699872,0.714098,52
37540141209,0.073769,0.215842,0.280765,0.004812,-0.009691,-0.701192,0.712891,53
37540207856,0.076826,0.161649,0.278265,-0.010803,-0.012001,-0.706468,0.70756,55
37540241180,0.078087,0.121258,0.279132,-0.015821,-0.014493,-0.706852,0.707036,56
37540307826,0.079218,0.034153,0.280102,-0.03123,-0.01966,-0.707247,0.706003,58
37540341150,0.079562,0.000615,0.279652,-0.039263,-0.024738,-0.708003,0.704683,59
37540374473,0.079402,-0.020398,0.280443,-0.040161,-0.025132,-0.708957,0.703659,60
37540441120,0.076513,-0.023166,0.273901,-0.058371,-0.047212,-0.707186,0.70303,62
37540474444,0.075095,-0.014023,0.271661,-0.060447,-0.055208,-0.704392,0.705075,63
37540541090,0.069725,0.010682,0.267496,-0.074394,-0.036689,-0.695689,0.713538,65
37540574413,0.066652,0.020168,0.26633,-0.076931,-0.033014,-0.689259,0.719662,66
37540607736,0.065034,0.027136,0.265402,-0.080146,-0.026383,-0.686325,0.722384,67
37540674384,0.065306,0.03095,0.263189,-0.081032,-0.025446,-0.690821,0.71802,69
37540707707,0.067144,0.028954,0.262073,-0.089226,-0.024902,-0.694032,0.713959,70
37540774354,0.068157,0.025057,0.254479,-0.1064,-0.02646,-0.695218,0.710388,72
37540807678,0.067921,0.025023,0.251369,-0.114501,-0.027289,-0.694374,0.709922,73
37540841001,0.067287,0.025178,0.249865,-0.120253,-0.016727,-0.693569,0.710085,74
37540907648,0.066482,0.027349,0.249914,-0.123965,0.007798,-0.692652,0.710497,76
37540940971,0.067,0.027493,0.248122,-0.127283,0.001031,-0.691806,0.710776,77
37541007618,0.067054,0.028057,0.246775,-0.124217,-0.010004,-0.691854,0.711202,79
37541040942,0.067021,0.02825,0.246046,-0.119974,-0.018898,-0.695058,0.708621,80
