timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
54113135978,-0.036475,0.165911,0.129326,0.031999,0.040332,-0.598368,0.799566,0
54113169302,-0.037066,0.158123,0.124111,0.03113,0.036288,-0.600654,0.798079,1
54113235949,-0.027954,0.107031,0.106404,0.001248,0.022785,-0.627854,0.777997,3
54113269273,-0.018542,0.072612,0.096701,-0.02056,0.008449,-0.650539,0.759147,4
54113302596,-0.010872,0.039108,0.088095,-0.044037,-0.004494,-0.673327,0.738019,5
54113335920,-0.004623,0.012369,0.081228,-0.062471,-0.019544,-0.693462,0.717513,6
54113402567,0.00466,-0.017039,0.076166,-0.075185,-0.025101,-0.719526,0.689927,8
54113435890,0.006473,-0.022944,0.076823,-0.074337,-0.02246,-0.726521,0.682742,9
54113469214,0.007373,-0.0243,0.077744,-0.072282,-0.022895,-0.728575,0.680756,10
54113502537,0.006839,-0.024829,0.07848,-0.071858,-0.020382,-0.729605,0.679778,11
54113569184,0.004908,-0.022659,0.08074,-0.070627,-0.013518,-0.730616,0.678992,13
54113602507,0.004634,-0.016306,0.080782,-0.073257,-0.009316,-0.732099,0.677184,14
54113635831,0.004439,0.002455,0.081197,-0.071432,-8.6e-05,-0.72864,0.681162,15
54113669155,0.001404,0.037232,0.088699,-0.05358,0.013404,-0.71092,0.701101,16
54113735802,-0.021984,0.127115,0.114793,0.009026,0.057841,-0.646997,0.760242,18
54113769125,-0.034932,0.161147,0.126974,0.032663,0.068937,-0.617731,0.782681,19
54113802449,-0.044823,0.178484,0.132882,0.041996,0.078577,-0.597591,0.796835,20
54113835772,-0.048549,0.177509,0.132985,0.040492,0.083323,-0.593939,0.799158,21
54113902419,-0.041118,0.135479,0.122782,0.023417,0.06477,-0.617212,0.783777,23
54113935743,-0.034718,0.105179,0.115782,0.007594,0.056074,-0.636993,0.76879,24
54113969065,-0.027682,0.075028,0.108631,-0.011533,0.047202,-0.659206,0.750391,25
54114002390,-0.022643,0.049075,0.103867,-0.025954,0.037886,-0.676302,0.735192,26
54114069037,-0.015982,0.012966,0.099512,-0.045873,0.017034,-0.699411,0.713043,28
54114102360,-0.013059,0.002743,0.098739,-0.051966,0.010099,-0.70751,0.704718,29
54114135684,-0.01035,-0.002618,0.098022,-0.05553,0.005812,-0.713602,0.698323,30
54114169007,-0.007796,-0.004629,0.099324,-0.056886,0.002812,-0.717012,0.69473,31
54114235654,-0.006878,0.007769,0.101931,-0.054027,0.007808,-0.71497,0.697021,33
54114268978,-0.007417,0.027159,0.104703,-0.049352,0.014164,-0.707351,0.704995,34
54114302301,-0.010895,0.059881,0.110396,-0.034574,0.02457,-0.688835,0.723676,35
54114335625,-0.018815,0.100584,0.12068,-0.006087,0.041615,-0.65964,0.750404,36
54114402272,-0.036657,0.166076,0.140081,0.035603,0.06292,-0.609684,0.789341,38
54114435595,-0.043001,0.180174,0.144741,0.043148,0.06495,-0.59671,0.79866,39
54114468919,-0.042673,0.179123,0.145401,0.041032,0.0671,-0.59656,0.798705,40
54114502242,-0.037128,0.16484,0.141944,0.030319,0.062981,-0.60908,0.790022,41
54114568889,-0.017437,0.112257,0.128767,-0.001639,0.046628,-0.651222,0.757452,43
54114602213,-0.008434,0.081593,0.121455,-0.023791,0.03477,-0.674785,0.736811,44
54114635536,-0.002014,0.05326,0.114958,-0.046786,0.024057,-0.694193,0.717864,45
54114668860,0.002981,0.029043,0.10938,-0.066909,0.014644,-0.710053,0.700809,46
54114735506,0.008292,0.004993,0.102885,-0.090594,-0.000403,-0.719536,0.688521,48
54114768830,0.009111,0.002657,0.101215,-0.093659,-0.005403,-0.718411,0.689264,49
54114802154,0.008371,0.003519,0.101588,-0.093101,-0.005486,-0.714107,0.693796,50
54114835478,0.006581,0.005428,0.103219,-0.092819,0.001377,-0.708747,0.699328,51
54114902124,0.000651,0.007409,0.102829,-0.092713,0.009297,-0.703069,0.704991,53
54114935448,-0.001046,0.007648,0.10323,-0.093366,0.013344,-0.699658,0.708225,54
54114968771,-0.002318,0.006972,0.103459,-0.0951,0.015172,-0.69818,0.709415,55
54115002095,-0.002827,0.006042,0.103062,-0.098113,0.015604,-0.698317,0.70886,56
54115068742,-0.00328,0.005142,0.101202,-0.100521,0.014125,-0.699224,0.70766,58
54115102065,-0.002738,0.004814,0.100588,-0.096099,0.011804,-0.702585,0.704982,59
54115135389,-0.002949,0.004547,0.10057,-0.09538,0.016342,-0.703513,0.704063,60
54115168712,-0.002656,0.004402,0.10084,-0.097602,0.02109,-0.704655,0.702489,61
54115235359,-0.002841,0.003542,0.100654,-0.098687,0.024673,-0.709288,0.697541,63
54115268683,-0.002928,0.003284,0.100641,-0.098902,0.0249,-0.709852,0.696928,64
54115302006,-0.003184,0.002748,0.100269,-0.099963,0.022798,-0.711434,0.695233,65
54115335329,-0.003309,0.002145,0.100031,-0.097579,0.017846,-0.714018,0.693064,66
54115401976,-0.002915,0.001422,0.098178,-0.095628,0.013938,-0.715294,0.692109,68
54115435300,-0.003446,0.001252,0.097377,-0.096411,0.013317,-0.715577,0.691721,69
54115468624,-0.003769,0.00123,0.097752,-0.095261,0.01257,-0.715605,0.691865,70
54115501947,-0.004962,0.001597,0.098928,-0.093365,0.019173,-0.713759,0.693876,71
54115568594,-0.007535,0.002472,0.100882,-0.090319,0.033891,-0.706712,0.700894,73
54115601918,-0.007507,0.002478,0.100851,-0.090244,0.03409,-0.706323,0.701286,74
54115635241,-0.006848,0.002298,0.09917,-0.095256,0.029978,-0.708283,0.69883,75
54115668565,-0.005774,0.001585,0.096934,-0.09917,0.022159,-0.711692,0.695104,76
54115735211,-0.002557,-0.000376,0.094204,-0.101746,0.017229,-0.716554,0.689857,78
54115768535,-0.002543,-0.001457,0.092961,-0.103991,0.016682,-0.717526,0.688524,79
54115801859,-0.003031,-0.001706,0.091683,-0.105891,0.014718,-0.717439,0.688369,80
54115835182,-0.003899,-0.001513,0.089828,-0.108848,0.010132,-0.716514,0.688954,81
54115901829,-0.006011,-0.000771,0.087608,-0.115387,0.00146,-0.715063,0.68947,83
54115935152,-0.00709,-0.000267,0.085596,-0.11746,-0.005408,-0.715719,0.688419,84
54115968476,-0.008629,0.000727,0.085131,-0.117196,-0.013441,-0.715877,0.68819,85
54116001800,-0.010707,0.002027,0.084773,-0.117604,-0.017474,-0.715513,0.688408,86
54116068447,-0.01345,0.004047,0.084284,-0.116483,-0.020536,-0.715406,0.688625,88
54116101770,-0.014433,0.004993,0.083765,-0.115355,-0.023586,-0.715959,0.688142,89
54116135094,-0.015856,0.006238,0.083041,-0.114998,-0.023965,-0.715245,0.688931,90
54116168417,-0.016499,0.007069,0.082921,-0.114156,-0.022728,-0.714095,0.690305,91
54116235064,-0.017081,0.008341,0.081392,-0.113,-0.025994,-0.71525,0.689183,93
54116268388,-0.016663,0.008119,0.08215,-0.112908,-0.028181,-0.716375,0.687942,94
54116301710,-0.016392,0.008072,0.082157,-0.112459,-0.028642,-0.716864,0.687487,95
54116335034,-0.016337,0.008232,0.081763,-0.111393,-0.028498,-0.716649,0.687891,96
54116401681,-0.01552,0.008488,0.082496,-0.11087,-0.026093,-0.715882,0.688868,98
54116435005,-0.014915,0.008597,0.082017,-0.11116,-0.025582,-0.716103,0.688612,99
54116468328,-0.014292,0.008491,0.081506,-0.111138,-0.026624,-0.716945,0.687698,100
54116501652,-0.013045,0.007464,0.082279,-0.110797,-0.026687,-0.717232,0.687451,101
54116568299,-0.01266,0.006795,0.082623,-0.109938,-0.025362,-0.717132,0.687744,103
54116601622,-0.012266,0.006343,0.082408,-0.110819,-0.02561,-0.717986,0.686702,104
54116634946,-0.011811,0.005719,0.081882,-0.111343,-0.027692,-0.719852,0.68458,105
54116668270,-0.01157,0.005043,0.081425,-0.11108,-0.028754,-0.721492,0.68285,106
54116734916,-0.011235,0.003662,0.08184,-0.111205,-0.027564,-0.723353,0.680907,108
54116768240,-0.010558,0.002596,0.081534,-0.111938,-0.028324,-0.724984,0.679018,109
54116801564,-0.01034,0.001745,0.080596,-0.112757,-0.029711,-0.726439,0.677266,110
54116834887,-0.01051,0.001155,0.079314,-0.113819,-0.029131,-0.727007,0.676504,111
54116901534,-0.010638,-0.000219,0.078437,-0.115639,-0.026918,-0.727846,0.675384,113
54116934857,-0.010449,-0.000847,0.077455,-0.115728,-0.026302,-0.728886,0.67427,114
54116968181,-0.009657,-0.001665,0.077018,-0.11569,-0.024112,-0.730009,0.673143,115
54117001504,-0.008925,-0.002339,0.076727,-0.115949,-0.01776,-0.731034,0.672183,116
54117068151,-0.007558,-0.003199,0.076974,-0.1153,-0.014683,-0.732482,0.67079,118
54117101475,-0.006852,-0.00344,0.076994,-0.115434,-0.0167,-0.733534,0.66957,119
54117134798,-0.006511,-0.003369,0.076919,-0.114774,-0.018888,-0.733946,0.669174,120
54117168121,-0.005155,-0.003763,0.078189,-0.114179,-0.019598,-0.733733,0.669489,121
54117234769,-0.004481,-0.003621,0.078868,-0.112659,-0.019852,-0.732875,0.670677,123
54117268092,-0.004296,-0.003496,0.078841,-0.112043,-0.020291,-0.732948,0.670687,124
54117301416,-0.003015,-0.002812,0.081612,-0.111223,-0.020712,-0.733579,0.670122,125
54117334739,-0.002582,-0.002557,0.081844,-0.110617,-0.020725,-0.73382,0.669957,126
54117401386,-0.001084,-0.001697,0.083202,-0.109987,-0.021011,-0.733409,0.670502,128
