timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
53941417079,-0.02538,0.201583,0.239434,-0.02417,0.046979,-0.598885,0.799091,0
53941450403,-0.022993,0.189792,0.241016,-0.015572,0.05172,-0.60423,0.794977,1
53941517050,-0.003818,0.119496,0.232202,-0.031315,0.041232,-0.644274,0.76304,3
53941550373,0.005323,0.077582,0.224627,-0.050096,0.029116,-0.665693,0.743973,4
53941583697,0.014161,0.043472,0.219972,-0.062711,0.02264,-0.688351,0.722307,5
53941617020,0.021197,0.019247,0.217895,-0.06449,0.024809,-0.708223,0.702599,6
53941683667,0.027409,-0.003092,0.219718,-0.058055,0.025158,-0.724392,0.686479,8
53941716990,0.026489,-0.006298,0.216899,-0.062124,0.021135,-0.727109,0.683379,9
53941750314,0.026902,-0.007679,0.215963,-0.066647,0.018536,-0.728255,0.681806,10
53941783637,0.025663,-0.007147,0.213565,-0.068265,0.017908,-0.728074,0.681856,11
53941850284,0.026124,-0.009084,0.211549,-0.070704,0.016507,-0.730148,0.679421,13
53941883608,0.026508,-0.008222,0.211046,-0.073115,0.014837,-0.732423,0.67675,14
53941916931,0.027766,-0.003376,0.210816,-0.07285,0.016689,-0.73246,0.676696,15
53941983578,0.031776,0.051871,0.21655,-0.036825,0.054074,-0.711136,0.700004,17
53942016902,0.02769,0.103226,0.221167,-0.018699,0.06253,-0.688623,0.722176,18
53942050225,0.016353,0.155166,0.225443,-0.012767,0.057903,-0.662193,0.746984,19
53942083548,0.001402,0.195734,0.231362,-0.008522,0.061352,-0.635272,0.769801,20
53942150195,-0.016628,0.217826,0.24088,0.013008,0.083716,-0.604931,0.791758,22
53942183519,-0.014096,0.19995,0.242176,0.017883,0.091224,-0.608401,0.788167,23
53942216842,-0.006977,0.169228,0.239018,0.010528,0.091496,-0.624885,0.775265,24
53942283489,0.010095,0.092502,0.220632,-0.034003,0.058798,-0.670982,0.738356,26
53942316813,0.017102,0.05955,0.212657,-0.051958,0.044821,-0.692151,0.718483,27
53942350136,0.021829,0.035662,0.209877,-0.05918,0.040144,-0.707731,0.702853,28
53942383460,0.025019,0.019081,0.208506,-0.062691,0.036809,-0.718096,0.692137,29
53942450106,0.028476,-0.001032,0.206675,-0.069844,0.028865,-0.732427,0.676638,31
53942483430,0.029871,-0.004832,0.206274,-0.072469,0.028712,-0.736079,0.672392,32
53942516754,0.030157,-0.007323,0.205816,-0.072833,0.031527,-0.737786,0.670353,33
53942550077,0.030756,-0.006951,0.205566,-0.075224,0.032486,-0.738489,0.669268,34
53942616724,0.031121,0.02203,0.210365,-0.069888,0.046503,-0.733893,0.674057,36
53942650047,0.029002,0.060353,0.215586,-0.048428,0.064168,-0.710538,0.699051,37
53942683371,0.026072,0.109496,0.219949,-0.030128,0.078453,-0.685718,0.722999,38
53942750018,0.011116,0.199051,0.224198,-0.026219,0.092249,-0.642534,0.760232,40
53942783341,0.000701,0.220499,0.223611,-0.02834,0.082284,-0.62241,0.777838,41
53942816665,-0.005372,0.220286,0.223113,-0.028233,0.076632,-0.613976,0.785089,42
53942849988,-0.006367,0.200398,0.222776,-0.026333,0.084,-0.614225,0.784206,43
53942916635,0.004767,0.128182,0.213788,-0.039982,0.102296,-0.636856,0.763119,45
53942949958,0.014061,0.092821,0.208008,-0.054387,0.099903,-0.656902,0.745346,46
53942983282,0.02153,0.066073,0.203186,-0.066413,0.094863,-0.673401,0.730152,47
53943049929,0.030407,0.038959,0.197827,-0.076958,0.08196,-0.693643,0.711491,49
53943083252,0.032642,0.034166,0.197632,-0.078225,0.079576,-0.695896,0.709421,50
53943116576,0.033098,0.030319,0.194742,-0.078428,0.081935,-0.696843,0.708198,51
53943149899,0.034743,0.028761,0.194976,-0.078244,0.085526,-0.696758,0.707879,52
53943216546,0.037616,0.024727,0.190334,-0.083822,0.08864,-0.70019,0.703457,54
53943249870,0.039578,0.022725,0.189358,-0.08873,0.091815,-0.701364,0.701274,55
53943283193,0.041382,0.021255,0.189175,-0.093646,0.097994,-0.700644,0.700518,56
53943316517,0.042313,0.020063,0.187355,-0.097024,0.106349,-0.697827,0.70165,57
53943383164,0.046535,0.02003,0.186286,-0.081357,0.097541,-0.708893,0.693785,59
53943416487,0.047114,0.02077,0.179006,-0.08367,0.085213,-0.715725,0.688096,60
53943449810,0.048259,0.020263,0.176847,-0.08835,0.07791,-0.718638,0.685335,61
53943516457,0.049851,0.018897,0.174894,-0.084241,0.075817,-0.720041,0.684614,63
53943549781,0.051017,0.017635,0.176024,-0.080596,0.074979,-0.721134,0.683994,64
53943583104,0.052222,0.016585,0.17652,-0.079128,0.069026,-0.723636,0.682148,65
53943616428,0.051958,0.017981,0.175944,-0.079795,0.062591,-0.725513,0.680696,66
53943683075,0.051871,0.018495,0.176529,-0.080084,0.061016,-0.722993,0.68348,68
53943716398,0.047306,0.020986,0.176656,-0.080829,0.06718,-0.7167,0.689417,69
53943749722,0.04521,0.022853,0.17565,-0.080314,0.071147,-0.712659,0.693257,70
53943783045,0.042988,0.024716,0.175374,-0.083345,0.067147,-0.71172,0.694262,71
