timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
54935273074,0.072989,0.150424,0.223034,-0.054267,0.138634,-0.605644,0.781685,0
54935306399,0.075942,0.135933,0.220094,-0.063309,0.126694,-0.609446,0.780074,1
54935339722,0.082627,0.107231,0.216811,-0.067845,0.117532,-0.623779,0.769729,2
54935406369,0.101362,0.035846,0.207813,-0.080078,0.099437,-0.669703,0.731572,4
54935439693,0.107455,0.00893,0.202849,-0.089303,0.08999,-0.690463,0.712171,5
54935473016,0.111551,-0.010096,0.200181,-0.09482,0.083074,-0.704112,0.698809,6
54935506340,0.114246,-0.022296,0.198358,-0.09942,0.075891,-0.712809,0.690116,7
54935572987,0.11498,-0.028193,0.196611,-0.09999,0.07306,-0.722072,0.680644,9
54935606310,0.115515,-0.029696,0.196116,-0.099139,0.072258,-0.723965,0.67884,10
54935639633,0.116258,-0.031241,0.195652,-0.097923,0.073336,-0.726612,0.676068,11
54935672957,0.115213,-0.030244,0.19434,-0.098116,0.074299,-0.729275,0.673061,12
54935739604,0.116371,-0.030532,0.190969,-0.106795,0.071888,-0.733738,0.667125,14
54935772927,0.117896,-0.018923,0.189644,-0.111538,0.074331,-0.730466,0.669667,15
54935806251,0.116905,0.009833,0.190167,-0.106392,0.085186,-0.714472,0.686261,16
54935839574,0.111285,0.052143,0.193889,-0.088666,0.091256,-0.691823,0.710768,17
54935906221,0.092584,0.137255,0.20164,-0.067676,0.084721,-0.641309,0.759582,19
54935939545,0.08452,0.161648,0.205436,-0.06176,0.08998,-0.626009,0.772141,20
54935972868,0.080296,0.168202,0.20801,-0.057497,0.099621,-0.618674,0.777182,21
54936006192,0.080793,0.153347,0.208061,-0.057732,0.099223,-0.621906,0.774632,22
54936072839,0.08921,0.091403,0.201688,-0.066813,0.097552,-0.643302,0.756427,24
54936106162,0.093713,0.058855,0.198656,-0.074963,0.090315,-0.653144,0.748082,25
54936139486,0.097742,0.031812,0.195616,-0.084294,0.08546,-0.671127,0.73156,26
54936172809,0.101911,0.011144,0.193576,-0.090653,0.071597,-0.690622,0.713931,27
54936206133,0.103824,-0.002863,0.193294,-0.092767,0.06333,-0.699912,0.705342,28
54936272780,0.106706,-0.016601,0.194243,-0.087687,0.065995,-0.709529,0.696077,30
54936306103,0.10789,-0.019467,0.193708,-0.086152,0.066368,-0.714316,0.691321,31
54936339426,0.10777,-0.021989,0.191233,-0.088269,0.065024,-0.718341,0.686998,32
54936372750,0.108087,-0.022306,0.188927,-0.091647,0.064712,-0.720848,0.683953,33
54936439397,0.111161,-0.005172,0.186968,-0.10236,0.058298,-0.71398,0.690185,35
54936472720,0.111494,0.024344,0.189178,-0.099819,0.074824,-0.695444,0.707669,36
54936506044,0.108988,0.066075,0.195121,-0.078734,0.101468,-0.675417,0.726166,37
54936539367,0.102746,0.10996,0.203898,-0.050792,0.119227,-0.65693,0.74273,38
54936606014,0.084374,0.172932,0.216787,-0.035794,0.130029,-0.620566,0.77247,40
54936639338,0.078091,0.179054,0.217336,-0.048274,0.122793,-0.608192,0.782748,41
54936672661,0.077348,0.166898,0.214261,-0.064095,0.105341,-0.607291,0.784852,42
54936705985,0.08098,0.141012,0.208694,-0.081675,0.092717,-0.612036,0.781118,43
54936772632,0.093864,0.076272,0.196343,-0.112745,0.093188,-0.638605,0.755505,45
54936805955,0.101787,0.04766,0.192191,-0.120102,0.09215,-0.659208,0.736566,46
54936839279,0.109267,0.025216,0.188812,-0.130343,0.087846,-0.678633,0.717462,47
54936872602,0.11417,0.010062,0.186115,-0.139203,0.081532,-0.693174,0.702484,48
54936939249,0.119959,-0.004421,0.182576,-0.150059,0.076361,-0.703675,0.690284,50
54936972572,0.12128,-0.007184,0.181683,-0.152697,0.075117,-0.705606,0.687867,51
54937005896,0.121964,-0.009151,0.181624,-0.15406,0.076247,-0.706359,0.686665,52
54937039219,0.121886,-0.011083,0.181749,-0.156372,0.078128,-0.705263,0.687057,53
54937105866,0.121899,-0.012614,0.181159,-0.160277,0.086518,-0.703377,0.687085,55
54937139190,0.122343,-0.013523,0.182829,-0.158414,0.095137,-0.700503,0.689311,56
54937172513,0.122925,-0.014024,0.184565,-0.14994,0.10636,-0.696161,0.693949,57
54937205837,0.123829,-0.014854,0.18575,-0.141679,0.119284,-0.69387,0.695876,58
54937239160,0.126068,-0.016867,0.185517,-0.138401,0.126427,-0.697366,0.691767,59
54937305807,0.129238,-0.021937,0.182606,-0.139418,0.127819,-0.702696,0.685888,61
54937339131,0.129846,-0.024164,0.181171,-0.138588,0.129862,-0.70484,0.683469,62
54937372454,0.130544,-0.026488,0.17964,-0.138173,0.1292,-0.707888,0.680521,63
54937405777,0.131345,-0.028509,0.178146,-0.138853,0.127701,-0.710954,0.677463,64
54937472424,0.129034,-0.034191,0.175738,-0.140624,0.125342,-0.713446,0.674914,66
54937505748,0.129215,-0.034551,0.175149,-0.139981,0.124843,-0.713597,0.67498,67
54937539071,0.129547,-0.03442,0.174668,-0.139184,0.124779,-0.713002,0.675786,68
54937572395,0.128128,-0.036426,0.172935,-0.139063,0.123702,-0.712409,0.676633,69
54937639042,0.129191,-0.037273,0.171121,-0.139014,0.121045,-0.711949,0.677608,71
54937672365,0.129492,-0.038148,0.170474,-0.138854,0.120378,-0.711429,0.678305,72
54937705689,0.13031,-0.03924,0.16946,-0.139796,0.119634,-0.711622,0.678041,73
54937739012,0.132192,-0.039415,0.169879,-0.141311,0.118582,-0.712876,0.676593,74
54937805659,0.135994,-0.042188,0.169308,-0.142667,0.116631,-0.717035,0.672238,76
54937838983,0.137799,-0.043886,0.169356,-0.141286,0.117734,-0.718746,0.670508,77
54937872306,0.138394,-0.04323,0.17213,-0.138897,0.119284,-0.719728,0.669679,78
54937905630,0.139735,-0.044078,0.173021,-0.136705,0.120757,-0.720541,0.668992,79
54937972276,0.139706,-0.043132,0.17536,-0.135251,0.119683,-0.722155,0.667739,81
54938005600,0.140843,-0.043471,0.176258,-0.134726,0.117502,-0.72353,0.666743,82
54938038924,0.142283,-0.043841,0.177217,-0.134204,0.11622,-0.724641,0.665866,83
54938072247,0.140514,-0.042153,0.178665,-0.133271,0.115954,-0.725484,0.665182,84
54938105570,0.141636,-0.042245,0.179776,-0.131903,0.11596,-0.726378,0.664477,85
54938172217,0.140851,-0.044676,0.185928,-0.131022,0.114506,-0.727238,0.663963,87
54938205541,0.141449,-0.044592,0.186826,-0.131178,0.113074,-0.727473,0.66392,88
54938238865,0.141656,-0.044146,0.187801,-0.131448,0.111018,-0.727664,0.664004,89
54938272188,0.142051,-0.043639,0.188541,-0.131708,0.109228,-0.727559,0.664365,90
54938338835,0.142218,-0.041166,0.189034,-0.133765,0.10684,-0.728063,0.66379,92
54938372158,0.142252,-0.039818,0.1893,-0.134776,0.106781,-0.728184,0.663462,93
54938405481,0.14255,-0.038699,0.189808,-0.135432,0.108307,-0.727296,0.664054,94
54938438805,0.141669,-0.035662,0.189811,-0.136369,0.111454,-0.725874,0.664897,95
54938505452,0.143071,-0.031255,0.188851,-0.144534,0.115855,-0.72438,0.664049,97
54938538775,0.145347,-0.030401,0.188336,-0.150766,0.112997,-0.7252,0.662258,98
54938572099,0.147034,-0.029207,0.187976,-0.155301,0.106949,-0.725897,0.661451,99
54938605420,0.148205,-0.027997,0.188231,-0.157671,0.100021,-0.725789,0.662092,100
54938672069,0.151104,-0.027528,0.190917,-0.154685,0.090205,-0.723922,0.666237,102
54938705393,0.153532,-0.026733,0.194779,-0.150506,0.087633,-0.722673,0.668889,103
54938738716,0.156158,-0.027189,0.198576,-0.145725,0.086385,-0.721256,0.671634,104
54938772040,0.159153,-0.026414,0.203926,-0.139988,0.084428,-0.719768,0.674692,105
54938838687,0.166298,-0.02091,0.217125,-0.129106,0.079994,-0.716767,0.680571,107
54938872010,0.172818,-0.015952,0.224678,-0.127368,0.077839,-0.713747,0.684313,108
54938905334,0.1787,-0.009104,0.23156,-0.128176,0.073698,-0.711274,0.687189,109
54938938657,0.186935,-0.000889,0.239165,-0.129415,0.070552,-0.710342,0.688251,110
54938971981,0.193982,0.007969,0.248815,-0.123861,0.069949,-0.70736,0.692392,111
54939038628,0.206175,0.02602,0.271426,-0.103753,0.069306,-0.697815,0.705327,113
54939071951,0.212114,0.03541,0.284196,-0.095811,0.064577,-0.691827,0.712759,114
54939105274,0.218099,0.042848,0.295536,-0.090926,0.057343,-0.685592,0.720006,115
54939138598,0.223896,0.048601,0.306423,-0.086435,0.048771,-0.678031,0.728302,116
54939205245,0.237546,0.053168,0.326918,-0.077573,0.04453,-0.66759,0.739137,118
54939238569,0.244377,0.052983,0.334845,-0.069194,0.04715,-0.667773,0.739641,119
54939271892,0.251003,0.051624,0.34119,-0.064586,0.045716,-0.671671,0.736612,120
54939305215,0.256301,0.049411,0.345678,-0.065408,0.038974,-0.676664,0.732344,121
54939371863,0.262525,0.0422,0.34994,-0.064419,0.028806,-0.681992,0.727947,123
54939405186,0.263867,0.038935,0.352031,-0.062409,0.028805,-0.680545,0.729475,124
54939438510,0.265263,0.035752,0.353618,-0.059011,0.030781,-0.680326,0.729881,125
54939471833,0.266857,0.033847,0.354067,-0.054487,0.030825,-0.684915,0.725929,126
54939538480,0.27131,0.032675,0.350324,-0.058252,0.022267,-0.697398,0.713965,128
54939571803,0.272348,0.031964,0.349643,-0.064231,0.01113,-0.698643,0.712495,129
54939605127,0.273786,0.031224,0.347853,-0.067212,0.005382,-0.702154,0.708825,130
54939638450,0.276477,0.031224,0.348747,-0.067901,0.005347,-0.704586,0.706342,131
54939705097,0.277568,0.031901,0.348865,-0.069452,0.022221,-0.692181,0.718031,133
54939738421,0.278417,0.02974,0.352257,-0.066513,0.0306,-0.685982,0.723925,134
54939771744,0.280345,0.02761,0.353863,-0.063359,0.026398,-0.689108,0.721401,135
54939805067,0.282489,0.025498,0.353665,-0.063007,0.019243,-0.695686,0.715319,136
54939838391,0.284389,0.023519,0.353318,-0.062761,0.018442,-0.700164,0.710979,137
54939905038,0.286529,0.019114,0.352605,-0.07537,0.014838,-0.700313,0.70969,139
54939938361,0.284234,0.015548,0.351649,-0.080909,0.011937,-0.698428,0.710992,140
54939971685,0.282945,0.012038,0.352923,-0.07704,0.013206,-0.697174,0.712628,141
54940005009,0.283073,0.008536,0.355259,-0.070676,0.018246,-0.697773,0.71259,142
54940071655,0.282632,0.003365,0.359388,-0.056416,0.025369,-0.700499,0.710967,144
54940104979,0.282956,0.000699,0.359919,-0.054976,0.025443,-0.702667,0.708936,145
54940138302,0.283969,-0.002905,0.359082,-0.057246,0.021694,-0.705575,0.705986,146
54940171626,0.285062,-0.006109,0.357273,-0.062379,0.016426,-0.708986,0.702266,147
54940238273,0.287036,-0.013146,0.354046,-0.074862,0.004055,-0.708806,0.701408,149
54940271596,0.286638,-0.016243,0.354683,-0.074997,0.006289,-0.705336,0.704867,150
54940304920,0.285999,-0.01777,0.354819,-0.074262,0.006088,-0.704321,0.705961,151
