timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
73954119644,-0.006682,0.138563,0.539062,0.055262,-0.017083,-0.594601,0.801938,0
73954152967,-0.006054,0.126262,0.535309,0.046103,-0.023254,-0.595706,0.801541,1
73954186291,-0.001829,0.100755,0.531959,0.035444,-0.030464,-0.604342,0.795353,2
73954252938,0.017842,0.032326,0.526906,0.023085,-0.03736,-0.648566,0.75989,4
73954286261,0.028805,0.001874,0.525991,0.021244,-0.036319,-0.676364,0.735365,5
73954319585,0.036576,-0.020622,0.527827,0.026279,-0.025212,-0.694734,0.718345,6
73954352908,0.040943,-0.033755,0.528248,0.027436,-0.018833,-0.708988,0.704435,7
73954386230,0.043839,-0.041774,0.529073,0.025961,-0.018541,-0.717085,0.696255,8
73954452879,0.042774,-0.047598,0.526189,0.018995,-0.029476,-0.719852,0.693241,10
73954486202,0.041718,-0.049016,0.525763,0.015593,-0.032299,-0.719929,0.693121,11
73954519526,0.041272,-0.049627,0.523231,0.014678,-0.033686,-0.719144,0.693889,12
73954552849,0.040862,-0.050988,0.522339,0.014913,-0.034954,-0.719131,0.693835,13
73954586173,0.040938,-0.052777,0.522331,0.014095,-0.036935,-0.721403,0.691387,14
73954652820,0.042986,-0.047538,0.520232,0.01397,-0.036089,-0.72743,0.685089,16
73954686143,0.044654,-0.030733,0.522014,0.019224,-0.02859,-0.724157,0.688774,17
73954719467,0.045343,0.001626,0.523063,0.028045,-0.018829,-0.713412,0.69993,18
73954752790,0.041003,0.043322,0.527965,0.042076,-0.008509,-0.691808,0.720804,19
73954786113,0.031115,0.084768,0.535568,0.057801,0.004303,-0.663156,0.746234,20
73954852761,0.008381,0.134896,0.546394,0.074831,0.01414,-0.622685,0.778758,22
73954886084,0.000119,0.136969,0.549252,0.076759,0.010232,-0.612453,0.786705,23
73954919408,-0.002276,0.123923,0.548056,0.0756,0.002348,-0.608912,0.789623,24
73954952731,0.000404,0.098773,0.54688,0.072911,-0.006469,-0.614493,0.78552,25
73954986055,0.007447,0.065553,0.545078,0.067349,-0.016373,-0.633144,0.770925,26
73955052701,0.023561,-0.002433,0.539894,0.04819,-0.03193,-0.678016,0.73277,28
73955086025,0.029557,-0.028468,0.538925,0.043981,-0.029883,-0.695152,0.716894,29
73955119348,0.03593,-0.046949,0.536255,0.042127,-0.031774,-0.711715,0.700484,30
73955152672,0.040213,-0.058691,0.533838,0.037498,-0.039064,-0.722037,0.689732,31
73955185995,0.042507,-0.065412,0.531751,0.031523,-0.046346,-0.725401,0.686041,32
73955252643,0.046177,-0.072047,0.528305,0.024181,-0.049641,-0.729028,0.682253,34
73955285966,0.046799,-0.072992,0.52875,0.024152,-0.04544,-0.729813,0.681707,35
73955319290,0.047171,-0.069627,0.528175,0.024381,-0.042471,-0.730381,0.681282,36
73955352613,0.047767,-0.067317,0.528022,0.024002,-0.040647,-0.732216,0.679434,37
73955385937,0.048638,-0.062683,0.528354,0.024473,-0.037849,-0.734519,0.677089,38
73955452583,0.049889,-0.013661,0.529821,0.042196,-0.022185,-0.732972,0.678586,40
73955485907,0.042646,0.029678,0.534501,0.052471,-0.017629,-0.711609,0.700391,41
73955519231,0.027749,0.077104,0.537484,0.063416,-0.022994,-0.672725,0.736812,42
73955552554,0.010718,0.116152,0.540862,0.0733,-0.03306,-0.633336,0.769688,43
73955585877,-0.002414,0.140696,0.543877,0.07863,-0.035562,-0.60893,0.788516,44
73955652524,-0.01049,0.140542,0.541528,0.067434,-0.045264,-0.60155,0.794695,46
73955685848,-0.007185,0.116993,0.538768,0.056107,-0.051377,-0.610178,0.788604,47
73955719171,-0.001834,0.086338,0.537266,0.037592,-0.04917,-0.625579,0.777702,48
73955752495,0.006021,0.056405,0.536049,0.02571,-0.04723,-0.650398,0.757688,49
73955785819,0.013238,0.031842,0.53449,0.016981,-0.049138,-0.673155,0.737671,50
73955852465,0.021064,0.006519,0.538285,0.010518,-0.044425,-0.699083,0.713581,52
73955885789,0.023697,-6.7e-05,0.53981,0.010542,-0.043658,-0.705888,0.706898,53
73955919113,0.023068,-0.002049,0.540207,0.012247,-0.039782,-0.706847,0.706141,54
73955952436,0.021232,-0.002558,0.541896,0.013971,-0.031003,-0.704235,0.709152,55
73955985757,0.018925,-0.002482,0.544399,0.016354,-0.022979,-0.700675,0.712923,56
73956052407,0.015889,-0.003624,0.543351,0.017817,-0.020132,-0.69707,0.716499,58
73956085730,0.014629,-0.004563,0.544121,0.015566,-0.016267,-0.694779,0.718871,59
73956119053,0.014814,-0.006383,0.544712,0.014441,-0.01247,-0.695973,0.717814,60
73956152377,0.015093,-0.008023,0.545164,0.01223,-0.009976,-0.696939,0.716957,61
73956185700,0.015203,-0.00917,0.545344,0.009472,-0.009067,-0.698189,0.715793,62
73956252347,0.01379,-0.010751,0.544312,0.002038,-0.009833,-0.6972,0.716806,64
73956285669,0.013537,-0.00958,0.543247,-0.000509,-0.020057,-0.699531,0.714321,65
73956318995,0.014242,-0.007636,0.538844,-0.003442,-0.038856,-0.704457,0.708674,66
73956352318,0.012877,-0.004977,0.535616,-0.005288,-0.049211,-0.703973,0.7085,67
73956385641,0.009487,-0.001953,0.534277,-0.003585,-0.047037,-0.697996,0.714546,68
73956452288,0.003639,0.004583,0.531676,0.002647,-0.040153,-0.687416,0.725148,70
73956485612,0.001376,0.00667,0.530225,0.003499,-0.046592,-0.687351,0.724822,71
73956518935,-0.000463,0.007703,0.527502,0.003143,-0.052665,-0.686965,0.724773,72
73956552259,-0.002372,0.00865,0.525655,0.001697,-0.055254,-0.685588,0.725888,73
73956585582,-0.004078,0.009117,0.52462,0.000749,-0.056478,-0.684494,0.726827,74
73956652229,-0.002558,0.007764,0.521774,0.001063,-0.058934,-0.686142,0.725076,76
73956685553,-0.002097,0.006664,0.522215,0.002169,-0.058214,-0.687674,0.723679,77
73956718876,-0.001775,0.005465,0.523406,0.003864,-0.056829,-0.689004,0.722516,78
73956752200,0.000334,0.003344,0.524788,0.00612,-0.054512,-0.689655,0.722057,79
73956785523,0.000662,0.00214,0.52641,0.008482,-0.053842,-0.69016,0.721601,80
73956852170,0.002627,-0.000554,0.530508,0.013718,-0.057776,-0.692925,0.71856,82
73956885494,0.003161,-0.001837,0.532701,0.016321,-0.058448,-0.69372,0.717684,83
73956918817,0.002554,-0.001035,0.534285,0.018872,-0.059103,-0.6942,0.717104,84
73956952141,0.002606,-0.001221,0.535904,0.020604,-0.06043,-0.69519,0.715985,85
73956985464,0.003063,-0.002077,0.537492,0.021941,-0.061902,-0.696196,0.714841,86
73957052111,0.003867,-0.003186,0.539495,0.02503,-0.061298,-0.697424,0.713594,88
73957085435,0.004225,-0.003875,0.54045,0.026665,-0.060173,-0.697778,0.713284,89
73957118758,0.004821,-0.004581,0.541099,0.027418,-0.059374,-0.698453,0.712662,90
73957152082,0.005459,-0.004501,0.54095,0.027321,-0.059043,-0.699382,0.711781,91
73957185405,0.006387,-0.005003,0.54101,0.026532,-0.059126,-0.700448,0.710755,92
73957252052,0.008037,-0.005561,0.54064,0.02507,-0.059123,-0.701535,0.709736,94
73957285376,0.008887,-0.006142,0.540848,0.024401,-0.05797,-0.702019,0.709376,95
73957318699,0.009142,-0.006548,0.540573,0.023542,-0.057576,-0.702568,0.708893,96
73957352023,0.009663,-0.00696,0.540792,0.023097,-0.058012,-0.70341,0.708036,97
73957385346,0.010386,-0.00745,0.541518,0.023378,-0.05833,-0.704085,0.70733,98
73957451993,0.012229,-0.007187,0.542921,0.025469,-0.056322,-0.704718,0.70679,100
73957485317,0.013021,-0.007239,0.544045,0.026787,-0.05531,-0.704882,0.706657,101
73957518640,0.013857,-0.007208,0.545235,0.027698,-0.054597,-0.70512,0.706441,102
73957551964,0.014016,-0.007005,0.544182,0.027609,-0.054635,-0.705374,0.706187,103
73957585287,0.014759,-0.006864,0.545302,0.027939,-0.054307,-0.705892,0.705682,104
73957651934,0.016822,-0.007097,0.548617,0.029496,-0.05366,-0.706256,0.705303,106
73957685258,0.018147,-0.006547,0.551526,0.029977,-0.053102,-0.706196,0.705386,107
73957718581,0.020986,-0.006919,0.556032,0.029834,-0.052595,-0.706007,0.705618,108
73957751905,0.023518,-0.006408,0.561507,0.029251,-0.053366,-0.706015,0.705577,109
73957785228,0.025941,-0.005267,0.568197,0.028611,-0.055364,-0.705996,0.705469,110
73957851875,0.032114,-0.003101,0.587594,0.030322,-0.060753,-0.703063,0.707879,112
