timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
75425700248,-0.050058,0.191917,0.792599,0.076999,0.054224,-0.606449,0.789525,0
75425733572,-0.049601,0.181688,0.793711,0.079184,0.046849,-0.608136,0.788483,1
75425766896,-0.04367,0.162966,0.791379,0.073116,0.03984,-0.615636,0.783619,2
75425833542,-0.026717,0.118136,0.782209,0.052171,0.011416,-0.644975,0.762335,4
75425866866,-0.01665,0.093569,0.778625,0.043685,-0.007377,-0.663746,0.746645,5
75425900189,-0.008171,0.070686,0.776093,0.036764,-0.019533,-0.681406,0.730721,6
75425933513,-0.001596,0.050752,0.774535,0.03288,-0.02614,-0.697057,0.715784,7
75425966837,0.004024,0.03517,0.773706,0.028629,-0.032548,-0.708607,0.70427,8
75426033484,0.010648,0.014259,0.769229,0.020837,-0.047745,-0.7246,0.687198,10
75426066807,0.01355,0.008767,0.768078,0.016809,-0.052909,-0.729305,0.681933,11
75426100131,0.015098,0.005498,0.765918,0.012925,-0.057147,-0.731564,0.679251,12
75426133454,0.016298,0.003692,0.763566,0.011708,-0.060229,-0.733448,0.67697,13
75426166778,0.017715,0.003299,0.764566,0.011464,-0.060875,-0.735374,0.674824,14
75426233425,0.018794,0.005477,0.762851,0.010361,-0.058236,-0.7378,0.672423,16
75426266748,0.018058,0.012594,0.761653,0.009936,-0.055212,-0.734948,0.675799,17
75426300072,0.017645,0.030174,0.765246,0.01264,-0.048656,-0.727767,0.68398,18
75426333395,0.014596,0.061671,0.768068,0.029364,-0.038985,-0.709558,0.702955,19
75426400042,0.0035,0.140316,0.783732,0.080017,-0.020241,-0.651455,0.754184,21
75426433366,-0.003043,0.171858,0.788203,0.091223,-0.010125,-0.632577,0.76904,22
75426466689,-0.007547,0.188491,0.792403,0.094609,-0.007979,-0.622043,0.777205,23
75426500013,-0.011712,0.190498,0.793152,0.094957,-0.01143,-0.615062,0.782656,24
75426533336,-0.013827,0.179443,0.791946,0.090696,-0.015554,-0.614783,0.78331,25
75426599983,-0.005742,0.13438,0.788633,0.071922,-0.020111,-0.640394,0.764407,27
75426633307,0.001188,0.110356,0.786366,0.060626,-0.026246,-0.659013,0.749225,28
75426666630,0.007718,0.084423,0.785076,0.049271,-0.03175,-0.676484,0.734121,29
75426699954,0.013621,0.061741,0.784031,0.038197,-0.034157,-0.694011,0.718139,30
75426733277,0.018714,0.042698,0.78289,0.030446,-0.038735,-0.710449,0.702022,31
75426799924,0.02624,0.013955,0.781845,0.013856,-0.046409,-0.730717,0.68096,33
75426833248,0.027564,0.005445,0.781217,0.008088,-0.049384,-0.736066,0.675058,34
75426866571,0.028119,-0.002235,0.781656,0.004453,-0.052117,-0.738249,0.672497,35
75426899894,0.028188,-0.005903,0.781756,0.002274,-0.053214,-0.738762,0.671859,36
75426933219,0.028225,-0.006722,0.781277,-5.4e-05,-0.053338,-0.738518,0.672121,37
75426999865,0.026985,0.002617,0.779817,-0.006931,-0.049789,-0.735156,0.676032,39
75427033189,0.026338,0.020783,0.777039,-0.007447,-0.051045,-0.723733,0.688149,40
75427066512,0.022647,0.051842,0.775672,0.003852,-0.05353,-0.701477,0.710669,41
75427099836,0.013327,0.091853,0.778563,0.027145,-0.048828,-0.668798,0.741342,42
75427133159,0.000659,0.132362,0.784153,0.050828,-0.032127,-0.636047,0.769304,43
75427199806,-0.022501,0.183894,0.792441,0.072145,-0.020993,-0.595836,0.799583,45
75427233129,-0.030835,0.188026,0.794782,0.076352,-0.019436,-0.582898,0.808716,46
75427266454,-0.031806,0.177265,0.796427,0.076114,-0.018212,-0.584489,0.807618,47
75427299777,-0.026839,0.155852,0.796848,0.071064,-0.016874,-0.597257,0.798718,48
75427333100,-0.01663,0.128157,0.795053,0.057344,-0.018923,-0.621326,0.781222,49
75427399748,0.005248,0.074578,0.786547,0.020912,-0.031801,-0.67796,0.734113,51
75427433071,0.010847,0.055109,0.784624,0.014432,-0.03738,-0.693248,0.719584,52
75427466395,0.015712,0.04133,0.783873,0.007747,-0.040787,-0.706339,0.706655,53
75427499718,0.018718,0.033166,0.783256,0.002706,-0.042985,-0.714304,0.698509,54
75427566365,0.020642,0.028843,0.783028,0.000587,-0.043897,-0.718817,0.693812,56
75427599688,0.020511,0.029215,0.783563,0.001365,-0.042451,-0.71868,0.694043,57
75427633012,0.019723,0.029646,0.784479,0.002819,-0.039382,-0.71763,0.695305,58
75427666336,0.017945,0.029752,0.78605,0.006155,-0.035257,-0.716375,0.696797,59
75427699659,0.016804,0.029369,0.787111,0.010496,-0.033318,-0.715782,0.69745,60
75427766306,0.01685,0.027118,0.786313,0.01441,-0.03641,-0.71835,0.694579,62
75427799630,0.01693,0.026317,0.78521,0.014053,-0.037235,-0.719402,0.693453,63
75427832953,0.016623,0.025971,0.784137,0.012404,-0.037009,-0.719174,0.693733,64
75427866277,0.016729,0.023916,0.784944,0.01471,-0.040369,-0.719558,0.693101,65
75427899600,0.016387,0.022689,0.785794,0.019265,-0.043654,-0.719697,0.692647,66
75427966247,0.016096,0.021728,0.786937,0.025866,-0.048047,-0.7205,0.691304,68
75427999571,0.016192,0.021317,0.787804,0.03016,-0.051117,-0.721767,0.689587,69
75428032894,0.015663,0.021166,0.788227,0.033103,-0.056337,-0.722283,0.688504,70
75428066218,0.014684,0.021973,0.788293,0.033219,-0.061573,-0.722844,0.68746,71
75428099540,0.013631,0.022467,0.788384,0.033697,-0.065953,-0.722593,0.687295,72
75428166188,0.010763,0.023644,0.788662,0.029564,-0.070182,-0.719787,0.690005,74
75428199512,0.009568,0.024164,0.788392,0.026664,-0.066237,-0.718337,0.692021,75
75428232835,0.00919,0.024078,0.788002,0.028292,-0.070397,-0.71893,0.69093,76
75428266159,0.009555,0.023429,0.788849,0.031264,-0.076639,-0.720896,0.688083,77
75428299482,0.009562,0.022956,0.789567,0.033515,-0.079257,-0.722133,0.686381,78
75428366126,0.009918,0.023326,0.791644,0.035812,-0.080769,-0.722608,0.685589,80
75428399453,0.009783,0.023533,0.792442,0.036428,-0.082961,-0.722243,0.685679,81
75428432776,0.009195,0.023388,0.792872,0.037079,-0.084567,-0.7219,0.685809,82
75428466100,0.009397,0.023177,0.793733,0.038022,-0.085856,-0.721761,0.685744,83
75428499423,0.009638,0.02295,0.794808,0.03933,-0.086722,-0.722065,0.685241,84
75428566070,0.01037,0.023208,0.797474,0.043968,-0.088008,-0.722476,0.684361,86
75428599394,0.010721,0.023331,0.798806,0.045698,-0.088872,-0.722476,0.684136,87
75428632717,0.01093,0.023152,0.800248,0.047396,-0.090454,-0.722479,0.68381,88
75428666041,0.011545,0.023182,0.802454,0.048631,-0.091617,-0.722632,0.683406,89
75428699364,0.012149,0.022859,0.804238,0.049993,-0.093289,-0.723054,0.682635,90
75428766012,0.014684,0.022082,0.808887,0.05333,-0.094995,-0.724198,0.680932,92
75428799332,0.016147,0.02174,0.811062,0.05474,-0.095231,-0.725014,0.679919,93
75428832659,0.017206,0.021427,0.812586,0.056165,-0.095325,-0.725675,0.679084,94
75428865982,0.018536,0.021431,0.814925,0.057332,-0.094873,-0.725998,0.678704,95
75428932629,0.020821,0.020916,0.816843,0.057119,-0.094622,-0.726545,0.678171,97
75428965952,0.02216,0.020807,0.81918,0.056276,-0.095198,-0.72716,0.677502,98
75428999276,0.023673,0.02044,0.820631,0.055655,-0.094961,-0.727908,0.676783,99
75429032599,0.02534,0.019911,0.821592,0.055501,-0.094336,-0.728719,0.676009,100
75429065923,0.027158,0.019382,0.822597,0.055368,-0.093906,-0.729594,0.675136,101
75429132570,0.03048,0.018254,0.824157,0.055792,-0.095347,-0.730764,0.673632,103
75429165894,0.031418,0.01858,0.824415,0.056549,-0.096475,-0.73075,0.673424,104
75429199217,0.032717,0.018408,0.82526,0.057433,-0.097231,-0.730906,0.673071,105
75429232541,0.034259,0.017873,0.826249,0.058273,-0.098867,-0.730928,0.672737,106
75429265864,0.036637,0.015305,0.825477,0.058198,-0.100358,-0.73099,0.672455,107
75429332511,0.040027,0.012598,0.82507,0.05674,-0.104474,-0.731781,0.671091,109
75429365834,0.041424,0.012957,0.823929,0.057199,-0.105185,-0.732349,0.67032,110
75429399158,0.042422,0.01328,0.823673,0.05857,-0.104535,-0.732347,0.670306,111
75429432482,0.043257,0.013781,0.82391,0.060296,-0.103285,-0.731561,0.671205,112
75429465805,0.044424,0.014552,0.823976,0.061632,-0.102644,-0.73062,0.672206,113
75429532452,0.047398,0.015532,0.821597,0.064943,-0.103417,-0.730352,0.672067,115
75429565776,0.049267,0.016722,0.820766,0.067921,-0.10435,-0.731447,0.670435,116
75429599099,0.052099,0.016771,0.819996,0.072059,-0.106504,-0.73295,0.668018,117
75429632423,0.055437,0.016193,0.819162,0.076866,-0.109086,-0.734317,0.665561,118
75429665746,0.058706,0.015659,0.818059,0.082127,-0.112189,-0.735097,0.663552,119
75429732393,0.065172,0.015679,0.815383,0.093072,-0.118849,-0.735733,0.660234,121
75429765717,0.070182,0.016567,0.812378,0.097404,-0.122373,-0.735259,0.659493,122
75429799040,0.074641,0.017506,0.809627,0.100147,-0.125711,-0.734342,0.659477,123
75429832364,0.078755,0.01809,0.807363,0.10208,-0.127854,-0.733681,0.659503,124
75429865687,0.083003,0.018097,0.805696,0.104973,-0.130314,-0.73403,0.658178,125
75429932334,0.092372,0.017957,0.805408,0.114372,-0.136406,-0.735553,0.653663,127
75429965658,0.097106,0.018041,0.806237,0.118917,-0.139581,-0.734977,0.652828,128
75429998981,0.10246,0.019067,0.809472,0.122637,-0.142941,-0.733487,0.653089,129
75430032305,0.107531,0.019365,0.812658,0.126162,-0.146741,-0.731426,0.653886,130
75430098952,0.118285,0.017317,0.821377,0.131132,-0.154481,-0.730227,0.652464,132
75430132275,0.123398,0.016383,0.828612,0.132951,-0.157136,-0.729948,0.651773,133
75430165599,0.127929,0.014545,0.837834,0.135576,-0.158017,-0.728932,0.652157,134
75430198922,0.13275,0.013659,0.848197,0.137903,-0.158973,-0.728078,0.65239,135
75430232246,0.137496,0.013467,0.859394,0.140926,-0.160985,-0.726516,0.652992,136
75430298893,0.146592,0.013946,0.884765,0.14233,-0.16061,-0.721801,0.657989,138
75430332217,0.151988,0.01411,0.897576,0.140906,-0.159137,-0.71926,0.661427,139
75430365540,0.158247,0.014148,0.910598,0.137373,-0.156758,-0.717352,0.664802,140
75430398863,0.164969,0.016088,0.924112,0.131015,-0.15478,-0.71503,0.669037,141
75430432187,0.172601,0.016593,0.937359,0.123447,-0.153493,-0.712537,0.673418,142
75430498834,0.18917,0.018664,0.960636,0.088967,-0.140224,-0.708612,0.685778,144
75430532158,0.198322,0.018357,0.972304,0.068226,-0.133253,-0.706026,0.692182,145
75430565481,0.207541,0.019057,0.984303,0.054583,-0.129969,-0.703564,0.69651,146
75430598804,0.217358,0.018955,0.99573,0.047435,-0.130003,-0.704703,0.695876,147
75430632128,0.226545,0.019125,1.00598,0.04436,-0.131503,-0.705735,0.69475,148
75430698775,0.241333,0.02154,1.022755,0.031228,-0.126737,-0.705609,0.696476,150
75430732098,0.248297,0.02225,1.02912,0.024749,-0.127837,-0.70689,0.695235,151
75430765422,0.254493,0.022448,1.033516,0.016685,-0.131298,-0.708841,0.69284,152
75430798745,0.25961,0.021431,1.037576,0.005299,-0.133099,-0.710357,0.691122,153
75430832069,0.263294,0.019448,1.041312,-0.006029,-0.129617,-0.71057,0.691559,154
75430898716,0.265668,0.016808,1.046869,-0.019295,-0.103925,-0.706044,0.700235,156
75430932040,0.266045,0.014286,1.049198,-0.020768,-0.087911,-0.701837,0.706587,157
75430965363,0.265767,0.012646,1.050922,-0.021386,-0.073621,-0.698491,0.711501,158
75430998687,0.266274,0.010089,1.05231,-0.021823,-0.062031,-0.696246,0.714785,159
75431032010,0.26755,0.007036,1.053461,-0.022511,-0.052534,-0.695188,0.716553,160
75431098657,0.271065,0.00329,1.054018,-0.012269,-0.039191,-0.700336,0.712631,162
75431131981,0.273479,0.002292,1.053159,-0.008785,-0.039265,-0.703526,0.709529,163
75431165304,0.272985,0.001972,1.047615,-0.012554,-0.040973,-0.703265,0.709635,164
75431198628,0.272988,0.002112,1.04377,-0.018933,-0.042529,-0.700559,0.712074,165
75431265275,0.274453,0.002084,1.036148,-0.020232,-0.049724,-0.700525,0.711606,167
75431298598,0.275098,0.002643,1.033719,-0.020984,-0.053103,-0.699196,0.712646,168
75431331920,0.276489,0.003272,1.033873,-0.023296,-0.057043,-0.698396,0.713054,169
75431365245,0.276581,0.002989,1.03286,-0.029594,-0.060407,-0.698562,0.712381,170
75431398569,0.278244,0.001694,1.033457,-0.033081,-0.063508,-0.700849,0.709706,171
75431465216,0.283542,-0.003807,1.03691,-0.030236,-0.066221,-0.710377,0.700046,173
75431498539,0.283987,-0.006773,1.03843,-0.026026,-0.058652,-0.711164,0.700092,174
75431531863,0.283489,-0.008088,1.03912,-0.025152,-0.040669,-0.704151,0.708439,175
