frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.05631,0.182655,0.329077,0.055407,-0.01476,-0.5715,0.818596,4.397126413182914,15.180283650529384,-2.5960242091834544,-0.0063098527211957,9.80006769900024,-0.3591682429462671,0.0316819250583648,0.0727789476513862,-1.3538810014724731,0.6440966747681908,0.6683075463058553,-0.2677265532343037,-0.2585089702843045,-0.0057234382256865,-0.0965473800897598,-0.0551733709871768,-0.0027061700820922,0.0463244691491127,0.0092069655656814,-0.1897421777248382,0.0431627370417118,0.1056014781564474,-0.1894209533929824,0.2312462119102478,0.126076110908389
1,-0.055555,0.171831,0.323716,0.052119,-0.018553,-0.576416,0.815281,5.676477948707342,9.549663782155513,-3.103874362599849,-0.9706745126049964,9.75433470635116,-0.284819287067838,-0.4623051583766937,-1.1367568969726562,-3.14325213432312,0.6293005675977859,0.6751574157157614,-0.2422482333053028,-0.2990970282446809,-0.0679508596658706,-0.1277302205562591,-0.1094809472560882,-0.0046718716621398,0.038516990840435,0.0311534106731414,-0.205223724246025,0.0220305565744638,0.0689554628044366,-0.163077026605606,0.2577016726374626,0.1302338151097297
2,-0.04942,0.148458,0.318584,0.04621,-0.026981,-0.5913,0.804675,2.110414821408689,-2.6148598425567147,0.3177870157659053,-2.136600963675231,9.57106195949316,0.0090213184783555,-0.4515269994735718,-0.9152565002441406,-2.5729727745056152,0.6123992420103581,0.6742283485989291,-0.2120287120271133,-0.3541568041598444,-0.1537094414234161,-0.1123687401413917,-0.1486162394285202,-0.0093179941177368,0.0297886133193969,0.0440014004707336,-0.2319901883602142,0.0355199165642261,-0.0107429278105497,-0.1301885843276977,0.2350809312349185,0.0836018277943134
3,-0.030395,0.084825,0.306857,0.030166,-0.037602,-0.640043,0.766825,2.46247001747936,-11.298034220659732,-0.3799479961246252,-2.856016330845654,9.378930783396958,0.2217812681462615,-0.5696125626564026,-0.1245081648230552,-1.3685216903686523,0.6024497952512727,0.6731272381809703,-0.1886584846473475,-0.3851776650633099,-0.1613250225782394,-0.0558682344853878,-0.1510831862688064,-0.0157471895217895,0.0216057077050209,0.0480107218027114,-0.2740651369094848,0.066279798746109,-0.0120253688365221,-0.0858732163906097,0.2481237700182944,0.0412543859302997
4,-0.023022,0.056455,0.30171,0.021184,-0.049654,-0.663523,0.746206,2.385993803781271,-15.503703119224308,1.2639204498976468,-3.273344501815736,9.232689836338162,0.4615509051866829,-0.5847628712654114,0.2968224287033081,-0.8532976508140564,0.6030477697953217,0.6696930260099792,-0.1672683563913674,-0.3998323366413426,-0.0102215167135,0.007303865160793,-0.1251227557659149,-0.0112353563308715,0.0223308876156806,0.0436640977859497,-0.330966979265213,0.0924968421459198,0.0041974516898393,-0.0525892488658428,0.2682044715492054,0.0048623453393578
5,-0.018035,0.03525,0.299204,0.018723,-0.060701,-0.679762,0.730677,-0.1281581778794527,-15.58167950835228,2.2492595207363366,-3.4106212211743,9.181230282735823,0.4929992788303643,0.2382445782423019,0.1059833616018295,0.2513172030448913,0.6031924641949469,0.6706836971226728,-0.1582637400210627,-0.4016152285074275,0.0070970188826322,0.0584161579608917,-0.0919128730893135,-0.0108565092086792,-0.0042652040719985,0.0280673652887344,-0.3983214497566223,0.1022855564951896,0.0112596451610326,-0.0362712480127811,0.2900464836642146,-0.0131251467719674
6,-0.013972,0.02389,0.299127,0.019253,-0.057839,-0.692629,0.718713,-0.7290060562059283,-11.42866317256689,0.745621967703104,-3.132691291761398,9.288096666261554,0.2964544144777581,0.67706698179245,0.0003445585025474,1.132182002067566,0.6017443783673915,0.6744950351190481,-0.1730360612969384,-0.3911760154785491,-0.070538654923439,0.0862167924642562,-0.0636452808976173,-0.0073069930076599,-0.0189284235239028,0.0217654705047607,-0.4677332639694214,0.1075902730226516,0.0364046078115701,-0.0119699127972126,0.2862372641069814,0.009416355381906
7,-0.012551,0.017821,0.299576,0.020224,-0.053157,-0.697381,0.714441,-0.2859875636622309,-5.367731733009219,-0.7445727509111165,-2.606955937564373,9.45343686606586,0.0818275937965605,0.4139431715011596,0.2281114161014557,1.8125786781311035,0.6062052048388497,0.6770047900771247,-0.1936297187452508,-0.3697124686800428,-0.1206391006708145,0.0936130806803703,-0.0327718593180179,-0.0005064606666564,-0.0181443840265274,0.0127755254507064,-0.5571568608283997,0.1532691419124603,-0.0374947411358356,0.0153277106583118,0.2076113980943336,-0.0459784918427467
8,-0.013667,0.017072,0.298884,0.021465,-0.054355,-0.698439,0.713279,1.2476660651892424,2.919420881524682,1.3458990604043006,-1.836190906906873,9.63128408074379,-0.1927919415598735,0.9987210631370544,0.0907430276274681,1.975561499595642,0.6120333483704321,0.6780765776125417,-0.2237002634918708,-0.3399788591361502,-0.0677529871463775,0.120898500084877,0.0077639832161366,-0.0067389011383056,-1.6987323760986328e-05,-0.0036529451608657,-0.707387387752533,0.222843199968338,-0.0724210930883884,0.0297980830073356,0.1988413412593305,-0.2199561716109514
9,-0.014055,0.017031,0.299309,0.021823,-0.054156,-0.698523,0.713202,1.230742549047619,6.6229334544003,-2.514951023083925,-1.1586170779049396,9.723028298461436,-0.5391526157833636,0.7538629770278931,-0.3243568539619446,1.4128196239471436,0.6109673683195093,0.6803808205870576,-0.254108387671119,-0.3150073546335635,0.0008447158616036,0.1248097196221351,0.0378172919154167,-0.0016701221466064,0.009522333741188,-0.0166125744581222,-1.002606987953186,0.2864066660404205,-0.1042155767560005,0.0892738476395607,0.125941963134706,-0.4286141196161508
