timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
74790439645,-0.000996,0.170975,0.482219,0.032863,0.082442,-0.596237,0.797888,0
74790472969,-0.002544,0.158662,0.481607,0.032185,0.080188,-0.597698,0.797051,1
74790506292,0.001492,0.13601,0.478708,0.025931,0.076613,-0.607534,0.790165,2
74790572939,0.019702,0.077101,0.467102,0.003826,0.069489,-0.64569,0.760422,4
74790606263,0.027129,0.049681,0.461661,-0.013782,0.056058,-0.667667,0.742219,5
74790639586,0.032921,0.029,0.459254,-0.023733,0.046036,-0.683463,0.728145,6
74790672910,0.034842,0.013818,0.457518,-0.030634,0.041637,-0.692637,0.719432,7
74790706233,0.034806,0.004661,0.456034,-0.035356,0.038396,-0.697382,0.714796,8
74790772880,0.033997,0.001162,0.453268,-0.041934,0.031325,-0.700954,0.711283,10
74790806204,0.033295,0.001241,0.453577,-0.041227,0.03199,-0.700389,0.711851,11
74790839528,0.034303,0.002783,0.453969,-0.039925,0.033127,-0.700642,0.711625,12
74790872852,0.034992,0.003088,0.453953,-0.042196,0.035207,-0.702998,0.709065,13
74790906175,0.036713,0.007192,0.453619,-0.047787,0.041031,-0.706821,0.704583,14
74790972822,0.035069,0.060327,0.453211,-0.048414,0.054534,-0.685373,0.724532,16
74791006145,0.024422,0.104462,0.455324,-0.038171,0.049807,-0.656181,0.75199,17
74791039469,0.012849,0.147356,0.460282,-0.024269,0.051519,-0.626681,0.777193,18
74791072793,0.001627,0.180903,0.467313,-0.007427,0.05392,-0.605078,0.794303,19
74791106116,-0.005894,0.199372,0.472934,0.00679,0.055642,-0.593493,0.802885,20
74791172763,-0.007158,0.189622,0.472607,0.01369,0.055053,-0.591823,0.80407,22
74791206087,-0.003244,0.167654,0.472324,0.019383,0.050034,-0.599133,0.79885,23
74791239410,0.006373,0.144723,0.474585,0.01682,0.050139,-0.615194,0.7866,24
74791272734,0.015038,0.117606,0.472559,0.012007,0.046251,-0.63325,0.772471,25
74791306057,0.023092,0.091552,0.469343,0.00436,0.037531,-0.651515,0.757694,26
74791372705,0.037492,0.047242,0.461482,-0.012085,0.024193,-0.680796,0.731974,28
74791406028,0.040759,0.031679,0.458783,-0.019655,0.017377,-0.69072,0.722647,29
74791439352,0.043371,0.019109,0.456958,-0.02944,0.007544,-0.697252,0.716182,30
74791472675,0.045058,0.011198,0.454613,-0.03868,-6.7e-05,-0.702282,0.710847,31
74791505999,0.045916,0.006405,0.452865,-0.044422,-0.00463,-0.705013,0.707786,32
74791572646,0.047169,0.0082,0.451076,-0.050487,-0.0048,-0.705078,0.707314,34
74791605969,0.046279,0.019183,0.451422,-0.051991,0.005069,-0.701402,0.710849,35
74791639293,0.043471,0.046926,0.452596,-0.054853,0.026828,-0.686584,0.724482,36
74791672617,0.035892,0.087822,0.457198,-0.038926,0.04466,-0.6577,0.750947,37
74791705940,0.02647,0.131934,0.464842,-0.012497,0.057214,-0.628638,0.77549,38
74791772587,0.009572,0.192157,0.475627,0.015647,0.066919,-0.592324,0.802763,40
74791805911,0.00257,0.197525,0.476805,0.013757,0.070131,-0.584208,0.808451,41
74791839234,-0.000298,0.185482,0.475387,0.010392,0.070539,-0.582245,0.809881,42
74791872558,-0.000839,0.160861,0.4745,0.00829,0.070066,-0.58502,0.807944,43
74791905879,0.003937,0.130781,0.474283,-0.001347,0.071077,-0.599166,0.797463,44
74791972528,0.017381,0.076885,0.46644,-0.025408,0.059003,-0.639505,0.766098,46
74792005852,0.022832,0.058516,0.462543,-0.034748,0.050113,-0.655294,0.752909,47
74792039175,0.026735,0.044377,0.459691,-0.039285,0.044405,-0.666453,0.743185,48
74792072499,0.02879,0.037951,0.458036,-0.039777,0.040717,-0.67271,0.737713,49
74792105823,0.029155,0.035318,0.457064,-0.038405,0.036429,-0.675847,0.735139,50
74792172470,0.025468,0.031668,0.45664,-0.028992,0.034493,-0.676917,0.734679,52
74792205793,0.023119,0.031165,0.457186,-0.024232,0.034313,-0.677062,0.734726,53
74792239117,0.021259,0.029659,0.454716,-0.024625,0.036602,-0.678456,0.733315,54
74792272440,0.019554,0.029028,0.453272,-0.024836,0.037981,-0.680547,0.731298,55
74792305764,0.018003,0.028639,0.452346,-0.022265,0.038098,-0.682911,0.729168,56
74792372411,0.014797,0.02685,0.45264,-0.017617,0.038681,-0.688153,0.72432,58
74792405734,0.01325,0.026093,0.453124,-0.014061,0.0374,-0.690461,0.722266,59
74792439058,0.012142,0.024902,0.455342,-0.010556,0.035798,-0.692537,0.720416,60
74792472382,0.010404,0.024215,0.455187,-0.008407,0.030199,-0.694682,0.718633,61
74792539029,0.012627,0.025137,0.453782,-0.010269,0.012655,-0.700235,0.713726,63
74792572352,0.011438,0.024899,0.453628,-0.009801,0.006979,-0.701223,0.712841,64
74792605676,0.009952,0.02439,0.454062,-0.008178,0.002798,-0.702359,0.71177,65
74792638999,0.007821,0.02507,0.458201,-0.006187,0.001468,-0.702992,0.71117,66
74792672323,0.006205,0.024867,0.459895,-0.004999,0.00635,-0.702622,0.711518,67
74792738970,0.005346,0.025264,0.462515,-0.002952,0.006925,-0.703422,0.710733,69
74792772293,0.004698,0.025129,0.463099,-0.002383,0.002049,-0.704188,0.710006,70
74792805617,0.003657,0.025085,0.464139,-0.001377,0.001623,-0.703901,0.710295,71
74792838941,0.002795,0.026515,0.46554,-0.000467,0.00069,-0.703143,0.711048,72
74792872264,0.001793,0.02681,0.46663,-0.000254,-0.000896,-0.702522,0.711661,73
