frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.05545,0.177585,0.200477,0.088197,0.019802,-0.615277,0.783112,5.336747981202602,14.319084169578552,-4.967905316460132,0.1482182476142887,9.804591313904524,-0.1356345690415706,-1.7830182313919067,-0.854142963886261,-1.5723145008087158,-0.3463188093800137,-0.341740161309318,0.6246031545015226,0.6108582394973187,0.0079688327386975,0.0663261860609054,-0.0276467576622962,-0.0064061880111694,0.0025927126407623,0.0069630146026611,-0.0056385966017842,0.0008601690642535,-0.0800847595840692,0.016993761062622,0.4038358713861554,0.1763848870404064
1,-0.058705,0.175129,0.198863,0.087999,0.018217,-0.611391,0.786209,4.4623459043294185,3.351449193498492,-0.0428068760693073,-0.6178565885335207,9.773863582685587,0.5101252222089097,-1.451966643333435,-0.6636651754379272,-2.141012668609619,-0.3200864482756657,-0.34221823984924,0.597392274093534,0.6508101132887508,0.0125800967216491,0.0609315298497676,-0.0257248878479003,-0.0087499022483825,-0.002426654100418,0.00714111328125,0.0078354123979806,-0.0022912647109478,-0.0327086759030818,0.0164583679288625,0.4443724644359201,0.1729860383823513
2,-0.056553,0.161443,0.194629,0.083573,0.01216,-0.614783,0.784162,2.54874486387521,-7.761080575728416,-0.3019412118583917,-1.3796262657001614,9.6616277810812,0.95914942144081,-0.729148805141449,-0.3731654584407806,-1.7825533151626587,-0.2943548695255985,-0.3512929223220928,0.5724423731800719,0.6798957488224875,0.0057075433433055,0.0606336295604705,-0.0152140576392412,-0.007365196943283,-0.0035233199596405,0.0050694346427917,0.0073063657619059,-0.0054811257869005,-0.0742851333945989,0.0045311711728572,0.4430072404973209,0.1582506799347698
3,-0.046189,0.111865,0.187339,0.070357,0.008129,-0.634612,0.769579,1.1548591866761446,-13.76133688957095,-1.475879046883434,-1.9618550760135047,9.530334812307355,1.2223933845058084,-0.7208825945854187,-0.0273230019956827,-1.2840021848678589,-0.2756715634938986,-0.3622605764506938,0.5535725417391397,0.6973736563713272,-0.0089526260271668,0.0553400106728076,-0.0250287372618913,-0.0052520930767059,-0.0034058690071105,0.0051523447036743,0.0185558851808309,-0.0131908897310495,-0.0700508568257093,0.0120627656579017,0.4589576738230884,0.2030739373277872
4,-0.03905,0.086714,0.181861,0.059573,-0.000325,-0.65091,0.756814,0.0298011178933083,-14.846000257992744,0.8677876271694898,-2.3081832727394995,9.422385894241929,1.4357334989778696,-0.1989171504974365,0.1239657700061798,-0.469570130109787,-0.2690693271329352,-0.3708037554175662,0.5378685139722574,0.7076749183540162,-0.0057168854400515,0.0522211268544197,-0.0166428443044424,0.0007617771625518,-0.0010898113250732,0.0034663081169128,0.0235084742307662,-0.0127339204773306,-0.07758417493999,0.0067831710912287,0.4669948498062789,0.1324614280313253
5,-0.034663,0.060711,0.17853,0.051419,-0.010338,-0.665887,0.744207,-0.2080992912091314,-11.574694276267287,0.1236528292842209,-2.355492428664118,9.423804528868198,1.3468359028629957,0.4869444072246551,-0.0606836639344692,0.1544345766305923,-0.2644677707844231,-0.3725968487695091,0.5408345999201164,0.706205682396669,-0.0069203674793243,0.0527042262256145,-0.0126646133139729,-0.005628615617752,-0.0046332776546478,0.0029284954071044,0.0075781196355819,-0.0012114467099308,-0.1157078616291284,0.0007540271617472,0.4661171901889145,0.147511186190322
6,-0.031541,0.03773,0.177394,0.043126,-0.014447,-0.679817,0.73197,-0.7601108040437102,-6.13206483092308,-1.5540389758847653,-2.2305467830903827,9.472276591092347,1.212865385442972,0.1619500368833542,0.2134199291467666,0.4965680539608001,-0.2681578609704255,-0.3721884570448863,0.5473909277123701,0.6999502902321447,-0.0139260785654187,0.0498791448771953,-0.0184950735419988,-0.004567414522171,-0.0036541223526,0.0039027333259582,0.0075085149146616,-0.0093320244923233,-0.0111065004259347,0.0119070746004581,0.5152765040248632,0.1530416400495916
7,-0.028737,0.020784,0.17648,0.039207,-0.016077,-0.68966,0.722892,-0.8269538047388195,-2.1281044996172187,1.2665503600098191,-1.9441855638101693,9.553273204824327,1.0609130019348114,0.7047187089920044,0.2931109070777893,1.151814103126526,-0.2781527575050701,-0.3680340183988324,0.5571888829446573,0.6904511174195279,-0.0186116453260183,0.0647593364119529,-0.0063320826739072,-0.0137321352958679,-0.0087741315364837,0.0046148300170898,-7.08517618477e-05,0.0155126033350825,-0.1120171904176473,-0.0041887164115905,0.4258393942058086,0.0829669639568775
8,-0.025832,-0.0001,0.1747,0.026319,-0.023661,-0.705142,0.708183,2.212374289800972,1.1534738697975873,-1.0915128689903766,-1.495460384057462,9.66427683428526,0.7319337071556598,0.7909168004989624,-0.0578190386295318,1.0413546562194824,-0.2902811493315169,-0.3617129909159186,0.5760603084936438,0.6730936176333175,0.0021000250708311,0.0511481948196888,-0.0118341734632849,0.0031866133213043,0.0033698081970214,0.003727912902832,-0.003187398193404,0.013138991780579,-0.0588777209043502,-0.0229402147233486,0.4630965271934866,0.1440026666127145
9,-0.024545,-0.003942,0.171155,0.020598,-0.027361,-0.709381,0.703993,0.1111109622929245,2.758552858698368,-1.576076766300201,-1.0695396682437508,9.739029000669715,0.4216227263588458,0.7726840972900391,0.0944338589906692,1.1614540815353394,-0.2987912560190047,-0.3532453564678702,0.5947444344900615,0.6574347759215282,-0.0165146719664335,0.051344946026802,-0.0080075440928339,-0.0031206011772155,-0.0056240260601043,0.0042711496353149,0.0097810868173837,0.0234742853790521,-0.0604307955652475,-0.0118988072499632,0.4500801745582372,0.1649645714249461
10,-0.023976,-0.005131,0.16892,0.017687,-0.028856,-0.711695,0.701673,1.4584085643835365,4.317793641009927,-0.8768816187292336,-0.6882238908972591,9.779116096386312,0.2561848200674169,0.1872080415487289,0.111003965139389,0.7844365239143372,-0.3111616327292084,-0.3465131603596678,0.6056953351470248,0.6451668420799082,-0.0216553714126348,0.0663437098264694,0.0103004900738596,-0.0112551152706146,-0.0073997974395751,0.0004746317863464,0.0082144094631075,0.0297704339027404,-0.1049468136399984,-0.017135476693511,0.4075217202920466,0.0652267246048897
11,-0.024326,-0.004329,0.166788,0.013584,-0.031336,-0.71265,0.700687,-0.3046277109960094,4.374328013658523,0.4954226335197687,-0.3895411693781614,9.798298351240158,0.1095626368723809,0.5112950801849365,0.0624477006494998,0.7459490299224854,-0.3188365191259137,-0.3400118185116086,0.61547203284473,0.6355544739121495,-0.0148355485871434,0.040479626506567,0.0148565592244267,0.0062984228134155,-0.0046727061271667,-0.0041862726211547,-0.0125206178054213,0.0382851809263229,-0.0624970804452896,-0.0097855618223547,0.4152537027835846,0.1180480680797249
12,-0.024645,-0.000717,0.16468,0.009178,-0.031388,-0.713452,0.699941,0.7673466735813766,3.8113100997716174,0.8190425932228564,-0.1515878884441684,9.805262345033883,-0.0650185297808842,0.3747957348823547,0.16657355427742,0.4665648639202118,-0.3252481606175754,-0.3371015939370462,0.6242415700125125,0.6252187988846184,-0.0428621247410774,0.0447433963418006,0.0257733240723609,-0.0047370493412017,-0.0159399807453155,0.0080277323722839,-0.0292154364287853,0.0327606536448001,-0.0887327609419822,-0.0027015702798962,0.4075795148938894,0.0968402987476438
13,-0.025456,0.024028,0.164385,0.011326,-0.010829,-0.712384,0.701615,0.0283145120477653,2.781455010858178,-0.2663338919043541,-0.004970948821475,9.804264566168188,-0.2162472158241085,0.312341570854187,0.0528252571821212,0.2908068001270294,-0.3285400768962931,-0.3361863037066631,0.6308758266529927,0.6172810675810926,-0.0882663503289222,0.0556873381137847,0.0519914776086807,-1.341104507446289e-06,-0.0207501947879791,0.0110830664634704,-0.025046057999134,0.0241159908473491,-0.0453366868078708,-0.0023328273091465,0.42468510960415,0.1877466774016618
14,-0.024521,0.052705,0.166213,0.021973,0.002205,-0.70694,0.706929,0.894611628948152,1.977341106697917,0.5980512333452701,0.0674085301899583,9.802131061270831,-0.2899479369268752,0.217982143163681,0.0510405972599983,0.0881906971335411,-0.3302791586871215,-0.3358409292046699,0.6340300474335533,0.6132963977299865,-0.1793659031391143,0.1179817095398902,0.0765251815319061,-0.0231228470802307,-0.0400972962379455,0.0365421175956726,-0.0128491697832942,0.0180585943162441,-0.0168897600024938,0.0062692910432815,0.4258703008007258,0.1959478117749095
15,-0.028828,0.091872,0.171895,0.047408,0.003907,-0.690361,0.7219,0.4653331636717542,2.0060744492292404,-0.2599567580878734,0.0931144466249272,9.79793828575611,-0.4026377476427704,0.258445680141449,0.1654942333698272,0.054281760007143,-0.3302509079034131,-0.3380586645805848,0.6373736350457712,0.6086094738728419,-0.1049095094203949,0.1190081536769867,0.101279929280281,0.007256805896759,0.0187067091464996,0.0109426379203796,0.0012386962771415,0.0107329087331891,-0.0684849226832389,-0.0038004955276846,0.4072788514468818,0.1399750915970653
16,-0.038193,0.133492,0.179247,0.073099,-0.001799,-0.665819,0.742522,0.3345172743577509,4.393163062509895,-1.2629752780020236,0.1027236394315026,9.797720259091257,-0.4056337145883589,-0.2888276278972626,0.245584025979042,-0.0578817017376422,-0.3331916892263799,-0.3406203243941929,0.6361284128447159,0.6068787967668754,-0.0813551843166351,0.1593436896800995,0.0805731192231178,-0.0080818831920623,0.0143796503543853,0.0131810903549194,0.0094090802595019,0.020244050770998,-0.0842401256978511,-0.0148089611902832,0.3991329543922096,0.1154288985572755
17,-0.048502,0.167515,0.185131,0.088683,0.001213,-0.641439,0.76203,-0.9355083605471998,10.243075085628032,-1.0083025977969169,0.049055296339048,9.804771931168435,-0.1855063145963475,-0.7566721439361572,0.5547992587089539,-0.1931732892990112,-0.3400771212735126,-0.3434460054836849,0.6257020304880356,0.6122820412216754,-0.0356481522321701,0.0726897045969963,0.0029210040811449,0.0309212207794189,0.0529029369354248,-0.0147701501846313,0.0069467360153794,0.0264626685529947,-0.0888444046229124,-0.0281407181173563,0.3838218418832868,0.0580429505806416
18,-0.063458,0.196076,0.19341,0.10301,0.003462,-0.612462,0.783752,3.3224566155090924,10.687515135407446,-2.714848157006502,-0.1027044324075337,9.804458627435563,0.1801362389305606,-1.1357688903808594,-0.4069509506225586,-0.8052497506141663,-0.3443447547893336,-0.3444854256596686,0.61003721140355,0.6249889444061522,-0.0279268510639667,0.0634845942258834,-0.0322927087545394,-0.0134433507919311,0.0078404247760772,-0.0123433470726013,-0.0223713964223861,0.0317766219377517,-0.075480480659008,-0.0336421020328998,0.3798342335518449,0.0400732133217155
19,-0.064736,0.188346,0.193223,0.106395,0.000954,-0.608222,0.786604,4.035696362784504,3.601647943159937,-1.3359089967876672,-0.6163271139439195,9.767124045297503,0.6275247997846454,-0.8946813941001892,-1.3233295679092407,-1.8159319162368768,-0.3225754037731954,-0.3405940868004025,0.5932965609788374,0.6541711165701767,0.014938591979444,0.0270684231072664,-0.028856698423624,-0.0025263428688049,0.0025936067104339,-0.002785325050354,-0.0381114557385444,0.0275650694966316,-0.0585211625516414,-0.0260504968464374,0.3725745447471738,0.1007226200737059
20,-0.062754,0.168815,0.190332,0.100671,-0.001688,-0.609576,0.786308,1.092564935326576,-6.200349262598157,-0.8527122961778193,-1.306995475383848,9.668649058020115,0.9896305574875324,-0.8881784677505493,-0.528866708278656,-1.7471158504486084,-0.2903965579986736,-0.3427174761973094,0.5762704368711815,0.6827348902004553,-0.016747698187828,0.045040875673294,-0.009311294183135,0.0026285052299499,-0.0143141150474548,0.0135285258293151,-0.0160787347704172,0.0255146939307451,-0.070139119631052,-0.016257032752037,0.3776065475650131,0.0908988529346883
21,-0.058058,0.142069,0.18675,0.090113,-0.000294,-0.616398,0.782262,1.292436058025062,-12.30706162559986,0.1855352849625051,-1.8821578544422983,9.541309210786222,1.261460197263956,-0.40091672539711,-0.078541487455368,-1.2098554372787476,-0.2720784080216142,-0.3536181402390172,0.557348759388689,0.7002070190153031,-0.0371182188391685,0.0561052449047565,0.0089164460077881,0.0025356113910675,-0.0118144154548645,0.0151926279067993,-0.0121789444237947,0.016993848606944,-0.0519207413733005,-0.0286011360585689,0.3697212011426687,0.1094261510111391
22,-0.049734,0.113687,0.183832,0.076809,0.002279,-0.629913,0.772855,1.434092599903047,-14.596364987432956,-0.3829559457689523,-2.2105621258124706,9.449429383990168,1.411415050279349,-0.3376688361167907,-0.3448539972305298,-0.6297650337219238,-0.2596428041322984,-0.3586778992823436,0.5471636141067256,0.7103153007396156,-0.0507219098508358,0.0667717382311821,0.0132038686424493,-0.0014654695987701,-0.009078711271286,0.0115706920623779,0.0020756619051098,0.0042312601581215,-0.0646148032516241,-0.0190527103841304,0.3780260150860995,0.1131646068871021
23,-0.035283,0.061189,0.175057,0.049706,-0.017403,-0.663979,0.745894,0.4645927571006119,-12.525216885268687,1.4498654847048222,-2.332369181099534,9.409612337386609,1.4797393755733963,0.1534573286771774,-0.0579700581729412,-0.1432293057441711,-0.2524010378210261,-0.358261502297197,0.5442453353892226,0.7153596469204299,-0.058465052396059,0.0484644174575805,0.0145897101610898,0.008172333240509,-0.0016383826732635,0.0048914551734924,0.0255653150379657,-0.02574959769845,-0.0093301384031772,-0.0281934477388858,0.4306122346308082,0.0669525254841893
24,-0.028669,0.039193,0.169968,0.039292,-0.035374,-0.678844,0.732377,-0.982432828003168,-7.455080443868041,0.299628989393264,-2.316328585272282,9.43448725092411,1.3399500888720155,0.3999224305152893,0.4324541091918945,0.3176916539669037,-0.2529683516027136,-0.3616876223990878,0.5485103697695424,0.7101588131771228,-0.0739638432860374,0.0646392330527305,0.0199237558990716,-0.0056023895740509,-0.0108734667301177,0.011408507823944,0.0276095941662788,-0.0012542176991701,-0.1131651914089918,-0.0122242346405982,0.3548298484157771,0.0260789555650204
25,-0.024361,0.022831,0.166778,0.031668,-0.041989,-0.690208,0.721697,-0.6321155616410076,-2.2571371222436425,0.019291560447216,-2.126303879936039,9.502290621083974,1.1643417391620576,0.3065823912620544,0.6876465678215027,0.8750708699226379,-0.2649673231844465,-0.3650470870317875,0.5544147520808355,0.6993977765038525,-0.1456532180309295,0.0896206498146057,0.0248225089162588,-0.0009094774723052,-0.0219826102256774,0.0204485654830932,0.0161525849252939,-0.0161073766648769,-0.0718090986698865,-0.0011476343497633,0.3979593805681914,-0.025980755887553
26,-0.020444,0.010699,0.164067,0.024007,-0.04916,-0.699189,0.712841,-0.4436500684455037,1.7200398315548897,0.6202466985404491,-1.6996094763360916,9.617851767718792,0.8824139722846448,0.9094778895378112,0.5119975805282593,1.3818645477294922,-0.2833381340641929,-0.3633359817795767,0.5683276996020056,0.6816965218484046,-0.2849168479442596,0.1390081197023391,0.028753200545907,-0.0145987570285797,-0.044754534959793,0.0333222150802612,-0.0065563954412937,-0.0049760900437831,-0.1005745899051427,-7.16249924153e-05,0.3592017798896879,0.0135392074655741
27,-0.016797,0.001529,0.160877,0.016646,-0.04962,-0.706672,0.705603,1.12577337744534,3.810812671643496,0.5019797635456547,-1.229472090720385,9.717473586943743,0.479044476301223,1.2016035318374634,-0.3244121372699737,1.089141845703125,-0.2947048392097134,-0.3574940336562692,0.5897232777507889,0.6614933777468895,-0.24425008893013,0.2461206614971161,0.0999964252114296,-0.0251167118549346,-0.0384148061275482,0.0265443325042724,-0.0111556900665164,0.0032726028002798,-0.096045157181425,0.015449303202331,0.3714572311550378,0.0566376046942081
28,-0.01249,-0.007405,0.156923,0.002123,-0.050002,-0.716338,0.695957,0.1113463784839957,4.057764986729621,-0.9941045610964298,-0.821376954454556,9.772191265559195,-0.0018840713119643,1.0139790773391724,-0.0632713884115219,0.9991316199302672,-0.2951803847656502,-0.3480217903595127,0.6156109927055778,0.6424737380358108,-0.1251996010541916,0.15569968521595,0.1166562885046005,0.0322547256946563,0.0245317220687866,0.0042456984519958,-0.0077261328697204,0.0034223217517137,-0.0865676918625831,0.0068408763036131,0.3804529499720782,0.0723497083526104
29,-0.012384,-0.006844,0.154402,-0.003045,-0.04874,-0.716092,0.696296,0.3452395977716893,3.82384049552083,-0.0031669395983219,-0.4812603257197886,9.791385795372724,-0.2598966071321629,0.63055419921875,0.0205339211970567,0.7310308218002319,-0.3023104741089195,-0.3417541329491528,0.6296468466065536,0.6287744992287503,-0.0668116584420204,0.1467248350381851,0.0816975757479667,0.0037206709384918,0.0137039721012115,-0.0113059282302856,0.0088974256068468,-0.0014837956987321,-0.0752624539941549,0.0050311759114265,0.3946708604168146,0.0951502267688512
30,-0.013793,-0.000783,0.153875,-0.003089,-0.046437,-0.712367,0.700262,-0.4180586406691,2.870919008684158,-1.1402490620434285,-0.2282263343661092,9.791415021467207,-0.496486719087325,0.3721614778041839,0.288117378950119,0.6216024160385132,-0.3072375864947185,-0.3382360137849963,0.6410227582623563,0.6166776496902384,-0.0621125139296054,0.042602002620697,0.0351430550217628,0.0255636870861053,0.029976338148117,-0.0185582637786865,0.0176220089197158,0.0005756802856922,-0.0715887339174747,0.0021387478336691,0.3972898838087916,0.0677920450482517
31,-0.015464,0.013501,0.156137,0.002326,-0.032863,-0.707848,0.705596,0.6910716815438122,2.516213590365648,-0.0862204127948731,0.0010024265710573,9.786240833699702,-0.6323393604595213,0.4395609200000763,0.2375530451536178,0.5153037309646606,-0.315735992147734,-0.3367295010923279,0.6471889830739251,0.6066879958103731,-0.0378918647766113,0.0147521020844578,0.0210627894848585,0.000178724527359,0.0123211145401,-0.0234047174453735,0.020833671092987,-0.0036601698957383,-0.0638023178249597,0.006279676221311,0.406283556799218,0.0730510615549981
32,-0.016629,0.038672,0.15879,0.01197,-0.009418,-0.697884,0.716049,1.739627452339232,2.4836668270260094,-0.6919067441284656,0.1565803721023723,9.775842773804069,-0.7607754054322838,0.200779303908348,0.3807516396045685,0.2223135232925415,-0.322001060196674,-0.3376352771603315,0.6517600547286863,0.5979353027602937,-0.0015258688945323,-0.0240681581199169,0.0096070691943168,0.0125098824501037,0.0111987292766571,-0.0016554594039916,0.0231590047478675,-0.0060246437788009,-0.0806131673723459,0.0128127671778202,0.4108240497730672,0.0746024557154625
33,-0.034862,0.116022,0.171694,0.051585,0.014964,-0.645202,0.762121,1.76030944423154,3.810237502104044,-0.8579179019968957,0.182435528848879,9.769823367384076,-0.8292463726554066,0.1383577287197113,0.1422679126262664,-0.1743851602077484,-0.3252625655538235,-0.3419174954733801,0.652205661948508,0.5932321859766577,-0.0103688947856426,-0.0276697631925344,0.0154097657650709,0.0054390728473663,-0.004855453968048,0.0007358789443969,0.0141572915017604,-0.0021364758722484,-0.082317633202672,0.0146927675232291,0.4102146857030689,0.0820250799968838
34,-0.045239,0.152376,0.178231,0.071356,0.021178,-0.614887,0.785095,0.3967542060295119,6.010123627862334,-2.2500176456272603,0.0599396875800564,9.774399004736544,-0.7924144793424754,-0.4452933967113495,0.1401644498109817,-0.3940852284431457,-0.3230297744419551,-0.3463073427777038,0.6484389873447406,0.5960284426535406,0.0026736699510365,-0.0150206536054611,0.0236356034874916,-0.0030359625816345,0.0003847181797027,0.0123682022094726,0.0074683558195829,0.0028203362599015,-0.0798585496127605,0.0175038091838359,0.4084883733671158,0.0890084360782057
