timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
86252091898,-0.044828,0.209881,0.359853,0.083389,0.014822,-0.617729,0.781816,0
86252125221,-0.045767,0.208115,0.360379,0.087995,0.018867,-0.614192,0.784009,1
86252158545,-0.043773,0.195271,0.358108,0.084307,0.015354,-0.619077,0.780641,2
86252225192,-0.032669,0.145456,0.34767,0.060177,0.00274,-0.640747,0.765385,4
86252258516,-0.026071,0.115702,0.341636,0.044091,-0.006772,-0.656621,0.7529,5
86252291839,-0.02052,0.087395,0.335902,0.027153,-0.017741,-0.674665,0.737411,6
86252325163,-0.016404,0.064224,0.331541,0.011535,-0.028724,-0.68958,0.723548,7
86252358487,-0.014345,0.04668,0.328427,-0.00028,-0.038177,-0.700887,0.71225,8
86252425134,-0.013187,0.028577,0.324431,-0.015192,-0.039449,-0.711545,0.701368,10
86252458457,-0.012573,0.024383,0.323077,-0.020495,-0.039187,-0.715267,0.69745,11
86252491781,-0.011878,0.022111,0.321962,-0.022996,-0.038741,-0.717757,0.694835,12
86252525105,-0.011305,0.021159,0.321553,-0.025503,-0.040081,-0.719346,0.693026,13
86252558428,-0.010786,0.0204,0.320256,-0.028838,-0.040611,-0.720355,0.691815,14
86252625075,-0.012459,0.020173,0.318639,-0.034579,-0.039423,-0.722172,0.689722,16
86252658398,-0.013061,0.021586,0.31715,-0.037513,-0.038525,-0.721601,0.690217,17
86252691722,-0.013543,0.027254,0.315754,-0.036267,-0.03704,-0.720445,0.691572,18
86252725046,-0.01416,0.041342,0.315966,-0.031999,-0.031184,-0.71767,0.694949,19
86252758367,-0.016225,0.067933,0.318143,-0.017897,-0.019697,-0.708775,0.704933,20
86252825017,-0.028937,0.14267,0.330329,0.033646,-0.003958,-0.675669,0.736426,22
86252858340,-0.037955,0.177127,0.337977,0.055063,-0.000968,-0.657898,0.751091,23
86252891664,-0.045917,0.201418,0.345585,0.06877,0.008009,-0.6453,0.760785,24
86252924988,-0.051512,0.212148,0.352004,0.078403,0.015882,-0.635413,0.768018,25
86252958312,-0.054467,0.209618,0.354138,0.07971,0.019891,-0.631036,0.771391,26
86253024959,-0.047694,0.1738,0.350616,0.070132,0.021398,-0.642114,0.763095,28
86253058282,-0.041585,0.147753,0.346331,0.05832,0.019226,-0.651887,0.755826,29
86253091606,-0.035641,0.120369,0.341659,0.045078,0.013316,-0.664636,0.745687,30
86253124929,-0.029655,0.093427,0.337783,0.031094,0.008662,-0.677125,0.73516,31
86253158253,-0.026218,0.070652,0.331414,0.012072,-0.007025,-0.688697,0.724915,32
86253224900,-0.020959,0.038059,0.322861,-0.011676,-0.022909,-0.704892,0.708848,34
86253258224,-0.020548,0.029106,0.318995,-0.020844,-0.033538,-0.707388,0.705722,35
86253291547,-0.020316,0.023588,0.315861,-0.026684,-0.038315,-0.709166,0.703494,36
86253324871,-0.019448,0.02166,0.31269,-0.030697,-0.043432,-0.711201,0.700975,37
86253358194,-0.018631,0.020329,0.310906,-0.032935,-0.043483,-0.712268,0.699784,38
86253424842,-0.017329,0.019802,0.31031,-0.032865,-0.039725,-0.71233,0.699948,40
86253458165,-0.016319,0.019966,0.309029,-0.034127,-0.03785,-0.713589,0.698709,41
86253491489,-0.015518,0.023449,0.308226,-0.035542,-0.034125,-0.714048,0.698361,42
86253524813,-0.0155,0.03411,0.306956,-0.033552,-0.024283,-0.71158,0.701384,43
86253558136,-0.016574,0.056747,0.306415,-0.025338,-0.015921,-0.702992,0.710568,44
86253624783,-0.024966,0.127953,0.321493,0.036254,0.006321,-0.666993,0.744155,46
86253658107,-0.032266,0.162017,0.331982,0.064954,0.021292,-0.646256,0.760053,47
86253691431,-0.03911,0.18615,0.340201,0.081493,0.033086,-0.631008,0.770774,48
86253724754,-0.044479,0.19761,0.346964,0.092054,0.037896,-0.62072,0.777687,49
86253758078,-0.047502,0.196371,0.34982,0.09654,0.036729,-0.615389,0.781427,50
86253824725,-0.04485,0.164594,0.349634,0.092578,0.030873,-0.617983,0.780111,52
86253858049,-0.039363,0.141141,0.346595,0.080608,0.028212,-0.628358,0.773222,53
86253891372,-0.032733,0.11541,0.343236,0.064892,0.024519,-0.643632,0.762185,54
86253924696,-0.025641,0.091462,0.339095,0.049504,0.008734,-0.659789,0.749768,55
86253958020,-0.019879,0.069961,0.335421,0.034589,-0.003442,-0.672547,0.739238,56
86254024665,-0.012645,0.037174,0.331616,0.011225,-0.017472,-0.691403,0.72217,58
86254057990,-0.010896,0.026598,0.331124,0.006563,-0.021062,-0.696549,0.71717,59
86254091314,-0.008887,0.019179,0.331014,0.002088,-0.029517,-0.701077,0.712471,60
86254124637,-0.007226,0.014708,0.332796,0.001272,-0.030508,-0.704693,0.708855,61
86254157961,-0.005668,0.011592,0.334585,0.002008,-0.029195,-0.707643,0.705964,62
86254224609,-0.003628,0.010194,0.334649,0.000892,-0.025517,-0.709834,0.703906,64
86254257932,-0.003517,0.009943,0.334913,-0.000673,-0.024995,-0.709671,0.704089,65
86254291256,-0.003551,0.010096,0.333296,-0.003816,-0.022268,-0.709447,0.704397,66
86254324579,-0.003858,0.010379,0.332731,-0.00804,-0.018437,-0.708683,0.705241,67
86254357903,-0.004412,0.010668,0.333683,-0.009979,-0.013106,-0.706884,0.707138,68
86254424550,-0.005005,0.010785,0.334993,-0.016857,-0.005091,-0.702793,0.711177,70
86254457874,-0.004597,0.010702,0.335403,-0.020884,-0.002866,-0.701938,0.711926,71
86254491196,-0.004034,0.010487,0.335416,-0.024739,-0.001896,-0.701698,0.712043,72
86254524521,-0.002698,0.010533,0.334292,-0.020934,-0.013136,-0.702119,0.711631,73
86254557845,-0.002149,0.010319,0.33346,-0.020145,-0.023883,-0.703262,0.710243,74
86254624492,-0.001622,0.011136,0.332525,-0.021876,-0.02865,-0.703823,0.70946,76
