timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
87571381068,-0.005631,0.163849,0.409085,0.068584,0.025383,-0.62655,0.775943,0
87571414390,-0.005295,0.163053,0.408052,0.068629,0.02415,-0.624838,0.777357,1
87571447715,-0.001,0.151127,0.405493,0.061498,0.024745,-0.631867,0.772237,2
87571514362,0.014803,0.107677,0.39926,0.039416,0.017658,-0.661573,0.748636,4
87571547685,0.024445,0.080396,0.394494,0.026036,0.001219,-0.681657,0.731208,5
87571581009,0.032832,0.053786,0.389118,0.01226,-0.019486,-0.698478,0.715261,6
87571614332,0.039737,0.032209,0.383665,-0.000389,-0.036561,-0.713172,0.700035,7
87571647656,0.045535,0.01485,0.379805,-0.011449,-0.049242,-0.727073,0.684696,8
87571714303,0.0501,-0.003398,0.374581,-0.020383,-0.057142,-0.739188,0.670762,10
87571747627,0.050547,-0.005403,0.374319,-0.020394,-0.051997,-0.740807,0.669392,11
87571780950,0.050306,-0.004629,0.374754,-0.017758,-0.047199,-0.740514,0.670147,12
87571814274,0.048071,-0.003519,0.374527,-0.015355,-0.043826,-0.738735,0.672394,13
87571847597,0.045965,-0.000843,0.3744,-0.014096,-0.041943,-0.735692,0.675869,14
87571914245,0.038576,0.006904,0.373265,-0.015988,-0.037313,-0.726313,0.686165,16
87571947568,0.034227,0.02027,0.372154,-0.01762,-0.034083,-0.716648,0.696379,17
87571980891,0.029267,0.045639,0.372522,-0.014505,-0.021594,-0.701417,0.712276,18
87572014215,0.022185,0.082067,0.374842,-0.000714,-0.006954,-0.67737,0.735609,19
87572047539,0.012829,0.125903,0.380576,0.021538,0.005527,-0.651119,0.75865,20
87572114185,-0.005053,0.189092,0.392325,0.049976,0.028595,-0.614863,0.78653,22
87572147509,-0.010117,0.195393,0.394806,0.049114,0.034848,-0.609794,0.790269,23
87572180833,-0.011414,0.185531,0.395134,0.047986,0.03135,-0.611942,0.788823,24
87572214156,-0.00859,0.167557,0.394083,0.045831,0.024086,-0.618124,0.784373,25
87572247479,-0.002791,0.142462,0.392782,0.040151,0.021389,-0.633161,0.772682,26
87572314127,0.008717,0.090207,0.385725,0.018089,0.006065,-0.667676,0.744207,28
87572347450,0.010565,0.067941,0.384024,0.012431,-0.010445,-0.679761,0.733254,29
87572380774,0.010421,0.050267,0.384156,0.007332,-0.013746,-0.68876,0.724822,30
87572414097,0.010018,0.03669,0.382987,0.002524,-0.016259,-0.695963,0.71789,31
87572447421,0.009234,0.02886,0.384238,0.000365,-0.015145,-0.700585,0.713408,32
87572514068,0.008699,0.020965,0.387025,-0.000794,-0.00886,-0.703479,0.710661,34
87572547391,0.008243,0.02002,0.386351,-0.004388,-0.008268,-0.704015,0.710123,35
87572580715,0.007627,0.019287,0.384887,-0.008391,-0.008041,-0.704188,0.709919,36
87572614039,0.006712,0.018775,0.382129,-0.013243,-0.010161,-0.70454,0.709468,37
87572647362,0.006341,0.019124,0.379612,-0.019513,-0.013094,-0.70533,0.70849,38
87572714009,0.006173,0.040629,0.376514,-0.025041,-0.006595,-0.697891,0.715736,40
87572747332,0.003421,0.066908,0.379888,-0.017927,0.011788,-0.683681,0.729466,41
87572780656,-0.003392,0.101471,0.386347,-0.002457,0.038432,-0.657297,0.752648,42
87572813980,-0.012803,0.136437,0.392608,0.019253,0.052486,-0.626,0.777816,43
87572847303,-0.02038,0.163935,0.395288,0.032391,0.049595,-0.605809,0.793402,44
87572913951,-0.02552,0.179226,0.389652,0.025446,0.031674,-0.596923,0.801269,46
87572947274,-0.024465,0.166442,0.387137,0.020289,0.024635,-0.600352,0.799099,47
87572980597,-0.019885,0.144745,0.386475,0.014929,0.025506,-0.611654,0.790573,48
87573013921,-0.011641,0.119239,0.386727,0.006699,0.030272,-0.631482,0.774771,49
87573047245,-0.005331,0.095566,0.386125,-0.00477,0.033236,-0.651897,0.757564,50
87573113892,-0.001386,0.064557,0.378636,-0.026221,0.018411,-0.673307,0.738669,52
87573147214,-0.002057,0.056557,0.376969,-0.032566,0.011979,-0.676684,0.735455,53
87573180539,-0.002557,0.052651,0.377437,-0.034055,0.011688,-0.678548,0.733673,54
87573213862,0.000244,0.051087,0.374989,-0.031543,0.011908,-0.680199,0.732252,55
87573247186,0.000735,0.051016,0.37697,-0.028366,0.012903,-0.681296,0.731344,56
87573313833,0.001931,0.050672,0.37719,-0.032466,0.015472,-0.683796,0.728787,58
87573347156,0.000456,0.050403,0.378803,-0.034242,0.018068,-0.682766,0.729611,59
87573380480,-0.00152,0.050323,0.381035,-0.035881,0.023283,-0.680912,0.731115,60
87573413804,-0.002211,0.049803,0.381988,-0.03751,0.030375,-0.679858,0.731754,61
87573447127,-0.003638,0.050248,0.384191,-0.038673,0.036776,-0.678715,0.732461,62
87573513774,-0.003663,0.050252,0.387007,-0.032395,0.035817,-0.680379,0.731268,64
87573547098,-0.004466,0.050805,0.388094,-0.028151,0.029095,-0.68185,0.730371,65
87573580421,-0.006154,0.051353,0.38898,-0.026345,0.02559,-0.681812,0.730605,66
87573613745,-0.006844,0.051379,0.388687,-0.023317,0.015532,-0.682041,0.730777,67
87573647068,-0.007514,0.051407,0.389649,-0.020059,0.006054,-0.683808,0.729361,68
87573713716,-0.007302,0.05167,0.390408,-0.013162,-0.008645,-0.689333,0.724274,70
87573747039,-0.006935,0.050946,0.391485,-0.010363,-0.018142,-0.692201,0.721402,71
87573780362,-0.006668,0.049917,0.393029,-0.007823,-0.027593,-0.694449,0.71897,72
87573813686,-0.007124,0.049584,0.393924,-0.007892,-0.023374,-0.693458,0.720074,73
87573847010,-0.008702,0.049505,0.395924,-0.006239,-0.016962,-0.690824,0.722797,74
87573913657,-0.010385,0.05004,0.396965,-0.001196,-0.027752,-0.689785,0.723481,76
87573946980,-0.011059,0.050385,0.397736,-0.000703,-0.031048,-0.688928,0.724164,77
87573980304,-0.011713,0.050497,0.398567,-0.000275,-0.033963,-0.687869,0.72504,78
87574013627,-0.012004,0.050265,0.39798,0.001036,-0.038595,-0.687101,0.725535,79
87574046951,-0.012204,0.049911,0.39881,0.002014,-0.042237,-0.686338,0.726052,80
87574113598,-0.011402,0.049619,0.402351,0.004299,-0.040246,-0.684464,0.727922,82
87574146921,-0.010537,0.049445,0.404941,0.007447,-0.038752,-0.68453,0.727916,83
87574180245,-0.009574,0.049208,0.407381,0.010272,-0.039736,-0.68529,0.727113,84
87574213568,-0.008812,0.048566,0.410348,0.012953,-0.042301,-0.68567,0.726567,85
87574246892,-0.008648,0.048177,0.412564,0.015096,-0.044533,-0.68539,0.726656,86
87574313539,-0.007226,0.046407,0.417436,0.021331,-0.049624,-0.685045,0.726495,88
87574346862,-0.006245,0.045732,0.420244,0.024207,-0.048597,-0.685276,0.726257,89
87574380186,-0.004962,0.045094,0.423182,0.027512,-0.048836,-0.685715,0.725709,90
87574413509,-0.002674,0.04442,0.424191,0.030217,-0.051345,-0.686651,0.724542,91
87574446833,-0.001012,0.043706,0.425908,0.032216,-0.0537,-0.687479,0.723499,92
87574513480,0.001189,0.041714,0.429327,0.034763,-0.058194,-0.688346,0.722209,94
87574546803,0.002269,0.040921,0.431117,0.035954,-0.059465,-0.68907,0.721355,95
87574580127,0.003198,0.040598,0.433242,0.036323,-0.058683,-0.689497,0.720993,96
87574613450,0.004063,0.039103,0.433354,0.036572,-0.056946,-0.689385,0.721226,97
87574646774,0.005128,0.038056,0.434727,0.037919,-0.058131,-0.690143,0.720337,98
87574713421,0.008002,0.036046,0.436925,0.038727,-0.066328,-0.692968,0.716866,100
87574746745,0.009349,0.035232,0.438092,0.038646,-0.068151,-0.694092,0.71561,101
87574780068,0.010509,0.03477,0.439877,0.038476,-0.068032,-0.694948,0.7148,102
87574813392,0.010082,0.034684,0.441272,0.037776,-0.067783,-0.695376,0.714445,103
87574846716,0.010415,0.034636,0.442966,0.037128,-0.066946,-0.695838,0.714107,104
87574913363,0.01264,0.034258,0.445114,0.035886,-0.06132,-0.696629,0.713905,106
87574946686,0.014418,0.034112,0.447042,0.034493,-0.059406,-0.697223,0.713556,107
87574980010,0.01669,0.033813,0.449151,0.031542,-0.058951,-0.698087,0.712885,108
87575013333,0.019314,0.033673,0.450435,0.029455,-0.05969,-0.699061,0.711957,109
87575046657,0.022408,0.033335,0.453289,0.029138,-0.060148,-0.700051,0.710958,110
87575113304,0.029375,0.032133,0.461173,0.026097,-0.056375,-0.701921,0.709541,112
87575146627,0.033433,0.031026,0.466247,0.023843,-0.055955,-0.702962,0.708622,113
87575179951,0.038059,0.029578,0.471084,0.012891,-0.054914,-0.705179,0.706782,114
87575213274,0.042796,0.028598,0.47599,0.006298,-0.058799,-0.707043,0.704694,115
87575246598,0.047848,0.02725,0.482493,0.006189,-0.065098,-0.70937,0.701796,116
87575313245,0.058273,0.024846,0.498836,0.009943,-0.072009,-0.712925,0.697462,118
87575346568,0.062998,0.02403,0.508113,0.012906,-0.07102,-0.713014,0.697425,119
87575379892,0.067515,0.023323,0.517875,0.015012,-0.067512,-0.712589,0.698165,120
87575413215,0.071534,0.022151,0.527805,0.018191,-0.065252,-0.712928,0.697958,121
87575446539,0.07586,0.021582,0.537553,0.021026,-0.065482,-0.714292,0.69646,122
87575513186,0.083648,0.022314,0.555447,0.021058,-0.064553,-0.71523,0.695583,124
87575546509,0.08724,0.023097,0.563427,0.019133,-0.06349,-0.714962,0.696012,125
87575579833,0.090802,0.024058,0.570832,0.012636,-0.061558,-0.714144,0.697172,126
87575613157,0.093325,0.025593,0.57866,0.001783,-0.056151,-0.712632,0.699285,127
87575646480,0.096704,0.027193,0.586289,-0.009805,-0.047464,-0.710546,0.701979,128
87575713127,0.104949,0.031152,0.602207,-0.01655,-0.038484,-0.708196,0.704772,130
87575746450,0.10798,0.032893,0.610786,-0.019244,-0.028011,-0.701785,0.711577,131
87575779774,0.110146,0.033578,0.618752,-0.026795,-0.007125,-0.69137,0.721969,132
87575813098,0.112988,0.032065,0.625314,-0.033084,0.01197,-0.683827,0.728796,133
87575846421,0.116706,0.028003,0.630888,-0.033865,0.023979,-0.683182,0.729069,134
87575913069,0.123633,0.015706,0.636456,-0.040419,0.033254,-0.687531,0.724266,136
87575946392,0.128011,0.010195,0.637962,-0.052362,0.030945,-0.687905,0.723248,137
87575979715,0.133236,0.004864,0.639599,-0.06489,0.027634,-0.690211,0.720163,138
87576013039,0.137868,0.000178,0.640772,-0.071895,0.025167,-0.694722,0.715233,139
87576046363,0.142033,-0.004052,0.644434,-0.073862,0.029026,-0.697512,0.712165,140
87576113010,0.149504,-0.010251,0.652618,-0.067052,0.049935,-0.699706,0.709523,142
87576146333,0.15236,-0.012238,0.657573,-0.062934,0.059449,-0.700917,0.70797,143
87576179657,0.154908,-0.013708,0.662741,-0.055925,0.067736,-0.70255,0.706193,144
87576212980,0.155843,-0.014686,0.667671,-0.050678,0.076027,-0.703026,0.70527,145
87576246304,0.156701,-0.01618,0.671627,-0.046678,0.08523,-0.702065,0.705451,146
87576312951,0.157559,-0.022304,0.679867,-0.038475,0.100065,-0.697153,0.708861,148
87576346274,0.157972,-0.02514,0.683802,-0.030334,0.105881,-0.695813,0.709727,149
87576379598,0.158437,-0.02793,0.687123,-0.023639,0.112363,-0.694573,0.7102,150
87576412921,0.160314,-0.032775,0.690475,-0.015146,0.122937,-0.692825,0.710387,151
87576446245,0.161401,-0.035946,0.693075,-0.008115,0.134476,-0.68978,0.711375,152
87576512892,0.164199,-0.041818,0.696422,-0.001609,0.156264,-0.685309,0.711288,154
87576546216,0.166024,-0.044593,0.697257,-0.002085,0.165037,-0.684237,0.710337,155
87576579539,0.167771,-0.047072,0.698224,-0.001735,0.170366,-0.685081,0.708263,156
87576612862,0.170628,-0.051967,0.700025,0.003314,0.174792,-0.688925,0.703433,157
87576646186,0.172822,-0.055145,0.702201,0.010668,0.179574,-0.691999,0.699125,158
87576712833,0.174367,-0.060265,0.70675,0.021486,0.195964,-0.689488,0.696952,160
87576746157,0.174145,-0.061989,0.709056,0.025948,0.200193,-0.687099,0.697957,161
87576779480,0.174448,-0.062584,0.711538,0.031247,0.199606,-0.686752,0.69825,162
87576812804,0.175108,-0.064937,0.716085,0.040571,0.197216,-0.687368,0.697843,163
87576846127,0.175923,-0.066376,0.718985,0.047912,0.19543,-0.688511,0.696752,164
87576912774,0.176515,-0.068243,0.721799,0.061207,0.183635,-0.692601,0.694864,166
87576946098,0.175643,-0.068092,0.723247,0.059782,0.178163,-0.691268,0.697734,167
87576979421,0.174961,-0.06899,0.726031,0.065902,0.170357,-0.692875,0.697538,168
87577012745,0.173328,-0.07017,0.727565,0.071019,0.159018,-0.695705,0.696897,169
87577046068,0.172546,-0.070803,0.728997,0.076768,0.157589,-0.692263,0.700032,170
87577112715,0.174028,-0.073374,0.730711,0.076698,0.153772,-0.6916,0.701542,172
87577146039,0.17519,-0.074963,0.731849,0.078139,0.150809,-0.692782,0.70086,173
87577179363,0.176362,-0.077019,0.732009,0.074924,0.149646,-0.696229,0.698038,174
87577212686,0.178423,-0.080009,0.732074,0.071195,0.149403,-0.700279,0.694421,175
87577246010,0.179781,-0.082712,0.732226,0.070586,0.144686,-0.702927,0.692804,176
87577312657,0.179396,-0.085857,0.731579,0.070313,0.132077,-0.704928,0.693317,178
87577345980,0.17846,-0.087241,0.730956,0.067669,0.127935,-0.706699,0.692554,179
87577379304,0.177922,-0.089182,0.730527,0.064837,0.12403,-0.708725,0.691463,180
87577412627,0.176908,-0.09029,0.72788,0.061736,0.120179,-0.711206,0.689878,181
87577445951,0.176833,-0.092915,0.725991,0.057953,0.116126,-0.714827,0.687152,182
87577512598,0.178665,-0.098202,0.719446,0.05157,0.108441,-0.721207,0.682233,184
87577545921,0.179215,-0.100311,0.71638,0.044352,0.098053,-0.72423,0.681109,185
87577579245,0.178962,-0.102353,0.715863,0.040564,0.084189,-0.726064,0.681248,186
87577612568,0.17893,-0.104804,0.712341,0.04005,0.078932,-0.727135,0.680764,187
87577645892,0.178973,-0.107871,0.710259,0.033582,0.079069,-0.729642,0.678412,188
87577712539,0.179849,-0.113947,0.705806,0.022937,0.065154,-0.73659,0.672804,190
87577745862,0.179325,-0.115534,0.705282,0.02076,0.061912,-0.738098,0.671526,191
87577779186,0.178271,-0.116851,0.705688,0.025118,0.063851,-0.739558,0.669587,192
87577812509,0.178112,-0.119764,0.702842,0.023306,0.067159,-0.741878,0.666756,193
87577845833,0.177628,-0.121421,0.703022,0.022478,0.06873,-0.742612,0.665807,194
87577912480,0.178075,-0.122524,0.698767,0.014541,0.068089,-0.741616,0.667202,196
87577945803,0.177479,-0.122269,0.697933,0.009966,0.066319,-0.74095,0.668203,197
87577979127,0.176643,-0.122062,0.697644,0.005714,0.065484,-0.740182,0.669186,198
87578012451,0.177551,-0.122772,0.692468,0.001711,0.066848,-0.73816,0.671304,199
87578045774,0.177221,-0.123301,0.691841,-0.002289,0.068173,-0.737217,0.672204,200
87578112421,0.177012,-0.124269,0.690036,0.000437,0.073089,-0.735365,0.673718,202
87578145745,0.176577,-0.123747,0.690842,0.005856,0.075344,-0.734026,0.674903,203
87578179068,0.175769,-0.12311,0.691081,0.007196,0.077311,-0.732739,0.676066,204
87578212392,0.174548,-0.124634,0.689956,0.007967,0.079915,-0.729358,0.679401,205
87578245715,0.1733,-0.1257,0.689887,0.007086,0.086201,-0.725122,0.683167,206
87578312362,0.173583,-0.128955,0.692016,0.024029,0.104355,-0.725037,0.680334,208
87578345686,0.172012,-0.129978,0.691385,0.027418,0.1055,-0.723228,0.681953,209
87578379009,0.171598,-0.130678,0.691001,0.028855,0.106026,-0.724202,0.680776,210
87578412332,0.171006,-0.133195,0.689961,0.03119,0.108679,-0.724674,0.679752,211
87578445656,0.170342,-0.134882,0.690094,0.034524,0.112581,-0.723215,0.68051,212
87578512304,0.169955,-0.139251,0.688388,0.034246,0.111531,-0.723499,0.680395,214
87578545627,0.169617,-0.139481,0.6878,0.033073,0.109969,-0.723749,0.680442,215
87578578949,0.16922,-0.139476,0.688508,0.033851,0.111609,-0.723337,0.680575,216
87578612274,0.169633,-0.139085,0.687445,0.032952,0.11232,-0.723324,0.680515,217
87578645598,0.169923,-0.13885,0.686565,0.03055,0.112204,-0.72366,0.680289,218
87578712245,0.169275,-0.138417,0.684695,0.027902,0.109237,-0.72358,0.68097,220
87578745568,0.169053,-0.138229,0.68321,0.026026,0.105975,-0.724387,0.680702,221
87578778892,0.168688,-0.138062,0.681901,0.025266,0.101028,-0.724945,0.680889,222
87578812215,0.168541,-0.137704,0.679348,0.024842,0.094718,-0.726084,0.680598,223
87578845539,0.168368,-0.137331,0.677463,0.024957,0.089614,-0.72654,0.680798,224
87578912186,0.169084,-0.137217,0.674944,0.024438,0.085216,-0.727506,0.68035,226
87578945509,0.168977,-0.136987,0.674537,0.024585,0.085798,-0.727131,0.680672,227
87578978833,0.169333,-0.136643,0.674591,0.025562,0.087713,-0.727526,0.67997,228
87579012156,0.169483,-0.136515,0.674344,0.026321,0.087973,-0.727275,0.680176,229
87579045480,0.169687,-0.136208,0.67383,0.026574,0.087504,-0.727442,0.680048,230
87579112127,0.169585,-0.136892,0.671822,0.026286,0.087437,-0.726761,0.680795,232
87579145450,0.169011,-0.136616,0.671449,0.026004,0.08821,-0.725558,0.681988,233
87579178774,0.169226,-0.136279,0.671164,0.025945,0.088859,-0.725777,0.681673,234
87579212097,0.169728,-0.13721,0.671443,0.026255,0.088929,-0.725588,0.681853,235
87579245421,0.169916,-0.137414,0.671346,0.026229,0.088866,-0.725386,0.682077,236
87579312068,0.17065,-0.137556,0.670102,0.026193,0.088372,-0.725713,0.681796,238
87579345391,0.171719,-0.137573,0.669355,0.026145,0.08798,-0.727328,0.680125,239
87579378715,0.171769,-0.137391,0.668997,0.026721,0.087067,-0.726832,0.68075,240
