timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
86884567262,-0.029463,0.170214,0.25298,0.019854,0.018069,-0.586031,0.809844,0
86884600585,-0.029641,0.167419,0.250966,0.017305,0.020345,-0.587292,0.808935,1
86884633909,-0.025393,0.152825,0.248446,0.011431,0.02573,-0.596475,0.802138,2
86884700556,-0.007836,0.101062,0.2401,-0.018154,0.030914,-0.634359,0.772207,4
86884733879,8.9e-05,0.072158,0.238111,-0.022103,0.027259,-0.653594,0.756031,5
86884767203,0.009438,0.04637,0.234547,-0.02619,0.020038,-0.674067,0.737933,6
86884800526,0.017231,0.023959,0.233081,-0.028199,0.013059,-0.695095,0.718246,7
86884833850,0.022605,0.007075,0.232905,-0.029865,0.014735,-0.710989,0.702414,8
86884900497,0.030519,-0.010126,0.231092,-0.038168,0.010174,-0.728856,0.683527,10
86884933821,0.031941,-0.013018,0.22997,-0.040257,0.006163,-0.732937,0.679076,11
86884967144,0.030881,-0.013774,0.229028,-0.04151,0.004084,-0.734075,0.677787,12
86885000468,0.028842,-0.013226,0.229282,-0.041345,0.005127,-0.732876,0.679085,13
86885067115,0.023201,-0.010699,0.231286,-0.041267,0.012448,-0.72755,0.684699,15
86885100437,0.020617,-0.008734,0.232029,-0.041054,0.016982,-0.72511,0.687198,16
86885133762,0.018769,-0.004872,0.23182,-0.042509,0.020907,-0.72335,0.688854,17
86885167086,0.017878,0.003917,0.231283,-0.046058,0.025166,-0.721153,0.690784,18
86885200409,0.01667,0.022326,0.230941,-0.047046,0.028779,-0.713905,0.698068,19
86885267056,0.00639,0.087353,0.235156,-0.027045,0.027948,-0.672335,0.739225,21
86885300380,-0.003033,0.122111,0.240339,-0.007748,0.025427,-0.643946,0.764609,22
86885333703,-0.012443,0.148338,0.245285,0.008772,0.023234,-0.62174,0.78283,23
86885367027,-0.018247,0.161903,0.247356,0.014863,0.023863,-0.610051,0.791863,24
86885400350,-0.020487,0.16152,0.247245,0.012104,0.027097,-0.608333,0.793127,25
86885466998,-0.013247,0.126061,0.24435,-0.000971,0.038846,-0.627219,0.777873,27
86885500321,-0.006836,0.100007,0.242481,-0.008498,0.043148,-0.640231,0.766922,28
86885533645,-0.000448,0.074029,0.240523,-0.010713,0.035974,-0.654959,0.754732,29
86885566968,0.005597,0.05078,0.237328,-0.016017,0.031637,-0.671852,0.739836,30
86885633616,0.015804,0.015423,0.233404,-0.030068,0.030545,-0.7024,0.710491,32
86885666939,0.020773,0.005425,0.230846,-0.036013,0.029544,-0.712475,0.70015,33
86885700262,0.024407,-0.00089,0.228352,-0.041488,0.02664,-0.719155,0.693098,34
86885733586,0.027023,-0.004266,0.226265,-0.04656,0.02413,-0.722918,0.688941,35
86885766910,0.029502,-0.004988,0.223823,-0.050304,0.022128,-0.724298,0.687293,36
86885833557,0.03104,-0.005179,0.223096,-0.052213,0.024473,-0.722799,0.688649,38
86885866880,0.031369,-0.005062,0.223043,-0.05267,0.027531,-0.721724,0.689625,39
86885900202,0.031301,-0.003148,0.222084,-0.054786,0.029342,-0.72069,0.690466,40
86885933528,0.030972,0.004953,0.219778,-0.05954,0.031726,-0.716988,0.693813,41
86885966851,0.030672,0.025115,0.214845,-0.063914,0.033508,-0.707059,0.703462,42
86886033498,0.02118,0.095317,0.215796,-0.041566,0.024181,-0.663018,0.747057,44
86886066822,0.012088,0.129763,0.219063,-0.023811,0.022649,-0.63834,0.769053,45
86886100145,0.003018,0.153261,0.222972,-0.014947,0.024725,-0.620574,0.783615,46
86886133469,-0.003833,0.161872,0.226655,-0.012291,0.02472,-0.611297,0.79092,47
86886166793,-0.008035,0.156369,0.22962,-0.009186,0.026191,-0.608709,0.792908,48
86886233440,-0.005083,0.110496,0.234113,-0.013983,0.041138,-0.620015,0.783386,50
86886266763,0.001305,0.081913,0.234895,-0.02036,0.042578,-0.631038,0.774315,51
86886300087,0.009561,0.055572,0.235302,-0.025557,0.042206,-0.649733,0.758559,52
86886333410,0.018247,0.03348,0.234711,-0.035821,0.043592,-0.672679,0.737781,53
86886400057,0.030387,0.007751,0.234452,-0.043985,0.034472,-0.700742,0.711223,55
86886433381,0.03294,0.003611,0.236136,-0.040669,0.032002,-0.704831,0.707485,56
86886466705,0.032848,0.002959,0.237981,-0.03705,0.030536,-0.704927,0.707653,57
86886500028,0.031637,0.003881,0.239771,-0.034463,0.029307,-0.70267,0.710076,58
86886533352,0.029972,0.004957,0.241714,-0.032239,0.029064,-0.699447,0.713365,59
86886599999,0.026399,0.004283,0.244003,-0.03325,0.032259,-0.697981,0.714616,61
86886633323,0.026183,0.003713,0.245238,-0.030002,0.02883,-0.699369,0.713549,62
86886666646,0.026716,0.00393,0.244688,-0.024557,0.020589,-0.701091,0.712352,63
86886699970,0.027472,0.004344,0.244078,-0.021328,0.013324,-0.703241,0.710506,64
86886733293,0.028251,0.004888,0.243718,-0.019696,0.005996,-0.70561,0.708301,65
86886799940,0.029458,0.006695,0.239432,-0.030233,0.022711,-0.707349,0.705852,67
86886833264,0.028681,0.007561,0.237685,-0.033197,0.021454,-0.706869,0.706239,68
86886866587,0.027826,0.00831,0.235797,-0.033537,0.01611,-0.707229,0.706005,69
86886899911,0.027081,0.008838,0.234781,-0.033056,0.012254,-0.707618,0.705715,70
86886966558,0.025672,0.009345,0.235767,-0.030585,0.009163,-0.707496,0.705996,72
86886999881,0.024847,0.009587,0.236963,-0.028698,0.009173,-0.707113,0.706458,73
86887033205,0.023979,0.009916,0.238009,-0.026745,0.00944,-0.706502,0.707143,74
86887066529,0.023483,0.01024,0.239252,-0.025404,0.010603,-0.705361,0.708313,75
86887099852,0.023054,0.010463,0.240356,-0.024752,0.012622,-0.703564,0.710089,76
86887166499,0.024313,0.009214,0.243024,-0.023066,0.014052,-0.70242,0.71125,78
86887199823,0.026202,0.007979,0.244389,-0.021695,0.011239,-0.704384,0.709399,79
86887233146,0.028306,0.006691,0.245419,-0.020685,0.006413,-0.707196,0.706686,80
86887266469,0.029659,0.005295,0.246662,-0.019518,0.002588,-0.709281,0.704651,81
86887299794,0.030941,0.003963,0.247881,-0.018233,0.000547,-0.710741,0.703217,82
86887366441,0.032623,0.002177,0.250721,-0.01438,-0.003473,-0.713204,0.7008,84
86887399764,0.033154,0.001801,0.251964,-0.012427,-0.004391,-0.713455,0.700578,85
86887433088,0.03379,0.001511,0.252704,-0.011181,-0.005577,-0.713561,0.700482,86
86887466411,0.035258,0.001649,0.252672,-0.010442,-0.007372,-0.713624,0.700413,87
86887499735,0.035962,0.001661,0.252901,-0.009844,-0.009608,-0.713184,0.700842,88
86887566382,0.036228,0.001719,0.253754,-0.0085,-0.010682,-0.712873,0.70116,90
86887599706,0.036648,0.001485,0.254267,-0.007897,-0.011655,-0.713567,0.700445,91
86887633029,0.037365,0.000998,0.255137,-0.006757,-0.012954,-0.714579,0.699402,92
86887666353,0.036905,0.000946,0.257297,-0.005337,-0.013737,-0.715514,0.698443,93
86887733000,0.03671,0.000745,0.260072,-0.002712,-0.013609,-0.716431,0.69752,95
86887766323,0.037087,-8.3e-05,0.26098,-0.00168,-0.013271,-0.716546,0.697412,96
86887799647,0.037327,-0.000272,0.262404,-0.000576,-0.012664,-0.71653,0.697441,97
86887832971,0.037737,2.3e-05,0.264558,0.000629,-0.01058,-0.716322,0.697689,98
86887866294,0.0387,-0.000784,0.267844,0.002306,-0.007807,-0.716093,0.697957,99
86887932941,0.042507,-0.00076,0.27732,0.005365,0.000111,-0.715284,0.698813,101
86887966265,0.045576,-0.002112,0.283582,0.002892,0.007199,-0.714586,0.699504,102
86887999588,0.049363,-0.003365,0.29066,-0.000699,0.014112,-0.713876,0.70013,103
86888032912,0.053907,-0.004504,0.298991,-0.001598,0.015847,-0.713619,0.700353,104
86888066235,0.060059,-0.005688,0.305887,-0.004072,0.012663,-0.713584,0.700444,105
86888132883,0.0714,-0.008537,0.32423,-0.015807,0.000786,-0.715799,0.698127,107
86888166206,0.077442,-0.00901,0.335581,-0.018968,-0.006066,-0.717583,0.696188,108
86888199530,0.083264,-0.009769,0.347494,-0.019498,-0.009201,-0.718394,0.695302,109
86888232853,0.089016,-0.01071,0.360127,-0.015286,-0.011256,-0.718519,0.695248,110
86888299500,0.1001,-0.0118,0.386944,0.001188,-0.019481,-0.71895,0.694788,112
86888332824,0.105283,-0.012628,0.400563,0.00976,-0.028668,-0.718572,0.694793,113
86888366148,0.109788,-0.01338,0.412908,0.015989,-0.042085,-0.718378,0.694195,114
86888399471,0.114259,-0.013269,0.423143,0.015622,-0.049977,-0.716844,0.695264,115
86888432795,0.118827,-0.012718,0.432442,0.010484,-0.04806,-0.714301,0.698108,116
86888499440,0.126198,-0.013369,0.450239,0.00668,-0.033557,-0.710801,0.70256,118
86888532765,0.129306,-0.014659,0.458767,0.010582,-0.026228,-0.710513,0.703116,119
86888566089,0.130362,-0.018117,0.465024,0.014635,-0.012535,-0.706889,0.707062,120
86888599413,0.129233,-0.022444,0.469199,0.014769,0.005875,-0.69766,0.716252,121
86888632736,0.127626,-0.027356,0.471748,0.010608,0.021731,-0.68781,0.725488,122
86888699383,0.129877,-0.039799,0.475129,0.006898,0.031436,-0.690174,0.722927,124
86888732707,0.130883,-0.044392,0.476188,0.00883,0.036273,-0.69037,0.722493,125
86888766030,0.131116,-0.04862,0.475994,0.008381,0.047109,-0.68382,0.72808,126
86888799354,0.131242,-0.05238,0.475404,0.008414,0.058288,-0.677744,0.732935,127
86888832678,0.132014,-0.05612,0.474959,0.011208,0.066303,-0.676554,0.733317,128
86888899325,0.135089,-0.063095,0.474315,0.012448,0.073641,-0.681198,0.72828,130
86888932648,0.136091,-0.065515,0.474267,0.015063,0.071504,-0.687208,0.722776,131
86888965972,0.136057,-0.066371,0.473846,0.019017,0.070743,-0.689999,0.720094,132
86888999295,0.134009,-0.066315,0.474869,0.022978,0.077076,-0.683602,0.72541,133
86889065942,0.131148,-0.06887,0.477606,0.029271,0.086338,-0.673128,0.733885,135
86889099266,0.12923,-0.070074,0.478304,0.02956,0.092231,-0.667303,0.738462,136
86889132589,0.126708,-0.070499,0.477846,0.025081,0.093785,-0.661896,0.743282,137
86889165913,0.125197,-0.071024,0.477881,0.021632,0.093636,-0.658799,0.746156,138
86889199236,0.125615,-0.072878,0.478076,0.022412,0.093492,-0.664037,0.741493,139
86889265883,0.132675,-0.081377,0.482267,0.044021,0.101188,-0.692514,0.712915,141
86889299207,0.136007,-0.087004,0.483852,0.052325,0.106199,-0.701857,0.702411,142
86889332531,0.137351,-0.091987,0.483385,0.051718,0.106919,-0.703697,0.700502,143
86889365854,0.138241,-0.097304,0.483819,0.053678,0.107285,-0.70548,0.698503,144
86889399178,0.139935,-0.10108,0.483655,0.053756,0.105079,-0.711583,0.692617,145
86889465823,0.14444,-0.104585,0.482543,0.051104,0.098949,-0.72436,0.680368,147
86889499149,0.144555,-0.105621,0.481988,0.050222,0.095875,-0.725272,0.679901,148
86889532472,0.143464,-0.106205,0.482092,0.047921,0.096424,-0.72202,0.683442,149
86889565796,0.140829,-0.107866,0.483099,0.047012,0.098749,-0.714111,0.691436,150
86889632443,0.136797,-0.112714,0.487311,0.054958,0.105493,-0.701957,0.702216,152
86889665766,0.137667,-0.114718,0.487666,0.054123,0.106949,-0.706544,0.697444,153
86889699090,0.13861,-0.115473,0.48771,0.052458,0.106078,-0.709577,0.694619,154
86889732414,0.138745,-0.116027,0.48865,0.052946,0.106138,-0.70982,0.694325,155
86889765736,0.138031,-0.115974,0.488312,0.053317,0.105216,-0.709985,0.694268,156
86889832384,0.137285,-0.116629,0.489602,0.052693,0.09965,-0.709977,0.695145,158
86889865708,0.137525,-0.117153,0.490741,0.054275,0.09869,-0.709306,0.695844,159
86889899031,0.138299,-0.117358,0.490193,0.055185,0.095315,-0.708615,0.696946,160
86889932355,0.138368,-0.117209,0.490851,0.055114,0.093167,-0.707838,0.698031,161
86889965678,0.13849,-0.117114,0.490268,0.054782,0.091271,-0.708665,0.697468,162
86890032326,0.139023,-0.118555,0.491768,0.060481,0.085081,-0.712223,0.694148,164
86890065649,0.139575,-0.11896,0.491267,0.062829,0.080309,-0.713701,0.692989,165
86890098973,0.140017,-0.11939,0.490875,0.06196,0.07578,-0.715439,0.691785,166
86890132296,0.140254,-0.119406,0.491092,0.055657,0.07264,-0.715852,0.692229,167
86890165620,0.140308,-0.119078,0.493157,0.059466,0.068388,-0.716407,0.691771,168
86890232267,0.140092,-0.117934,0.496198,0.067021,0.080062,-0.713908,0.692412,170
86890265590,0.140527,-0.119291,0.496659,0.067875,0.07858,-0.713525,0.692893,171
86890298914,0.140713,-0.119893,0.496972,0.067612,0.071547,-0.712917,0.694305,172
86890332237,0.141018,-0.120325,0.497234,0.067795,0.069289,-0.712685,0.694754,173
86890398885,0.142048,-0.124955,0.497024,0.070329,0.075543,-0.712081,0.69447,175
86890432208,0.142027,-0.12603,0.497482,0.071483,0.07494,-0.711282,0.695235,176
86890465532,0.14288,-0.127771,0.496829,0.071663,0.074721,-0.710619,0.695918,177
86890498855,0.143263,-0.129419,0.496289,0.071227,0.074336,-0.709996,0.69664,178
86890532178,0.143159,-0.130992,0.495776,0.069335,0.072724,-0.709269,0.69774,179
86890598826,0.142947,-0.133113,0.491657,0.06744,0.06892,-0.70674,0.700872,181
