frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.085498,0.176629,0.318763,0.063152,0.030215,-0.599105,0.797604,3.270159734299779,12.130823599684238,-4.79298947905898,0.2051736860860139,9.771033327695728,-0.8094417481195181,-0.5873959064483643,-0.1616015434265136,-0.7639802694320679,-0.2989273958487187,-0.3107778595573223,0.6668486815653073,0.6077601325292498,-0.6196532845497131,-0.0620877109467983,-0.2651436030864715,0.0752127170562744,-0.0225825756788253,-0.0880515575408935,0.1238585412502288,0.1286697834730148,-0.0929389804601669,-0.0770045071840286,0.1351659377496689,-0.1207399740448221
1,-0.084277,0.166404,0.315989,0.059882,0.029052,-0.605736,0.792877,7.513058001062274,9.830544085806608,-3.731839088171721,-0.3853701307712122,9.793530990707874,-0.3296246434779837,-1.6521224975585938,0.0011981325224041,-2.2159743309021,-0.2868089555416533,-0.3221354267849205,0.6426779489134549,0.6331939410012132,-0.9140585660934448,-0.5907546281814575,-0.1076166257262229,0.0521902441978454,-0.1717146337032318,-0.0701920390129089,0.0872616618871688,0.1159074604511261,-0.0043505964249372,-0.1027397364377975,0.1411874265288934,-0.0360141106566414
2,-0.077743,0.145917,0.312309,0.05633,0.025944,-0.619263,0.78273,4.739113804225624,0.2921376107245683,-1.7601970698982476,-1.3942641551226376,9.702306997472046,0.3027268823433667,-1.5162492990493774,-0.1723333597183227,-2.7388198375701904,-0.261390006219205,-0.3430853406946645,0.6056877689044378,0.6686628481906045,-0.4792921841144562,-0.8070718050003052,0.0946979969739914,0.025667130947113,0.0313679426908493,-0.1135088205337524,0.0350040383636951,0.0698160678148269,-0.0030704934865236,-0.0424306392669677,0.1345477327860891,0.0267620424583554
3,-0.056928,0.085971,0.304284,0.031333,0.001868,-0.661672,0.749136,0.6178183023497462,-8.09298905582726,-0.2293517764657735,-2.329223430419713,9.494045939829943,0.7798685206979513,-0.823241114616394,-0.5131973028182983,-2.0574734210968018,-0.2335428484032875,-0.3627019258472771,0.5733106341408266,0.696577350190985,-0.1903168261051178,-0.648482084274292,0.1590338498353958,-0.0080267786979675,0.0587316751480102,-0.0035678148269653,-0.012975413352251,0.0059337317943573,0.1020242041915655,0.0587706938385963,0.1701435632317327,-0.0486440212575718
4,-0.04856,0.055287,0.299215,0.018411,-0.012083,-0.682011,0.731011,-0.9768091429024934,-14.105017056006192,0.6500527848698199,-2.884589806640148,9.31197555449903,1.066140892650932,-0.5311766862869263,0.0221123043447732,-0.95660001039505,-0.2132596352902821,-0.3719018027655987,0.5543744129358579,0.7133572258120559,-0.2136703431606292,-0.3753225803375244,0.0315521135926246,-0.0542534589767456,0.0494100749492645,0.0362489819526672,-0.1195202767848968,-0.0701323300600051,0.1251052200496196,0.1511161923408508,0.2046204726500436,-0.0146360993241891
5,-0.038985,0.028596,0.293082,0.003715,-0.031067,-0.701182,0.712296,-0.9176210408747196,-15.190186620384454,0.5545471687920391,-3.046578650189936,9.253914410674572,1.119748198871687,0.0889704301953315,0.255221962928772,0.1091366186738014,-0.2115373534473991,-0.3787371171730607,0.5472357130387274,0.71578166309224,-0.1865987777709961,-0.0983401536941528,-0.0719705522060394,-0.0456451177597045,0.0110538452863693,0.0280077457427978,-0.1785299032926559,-0.0967235043644905,0.0831879862964153,0.2681872844696045,0.2100527268318459,0.0713287312744185
6,-0.034435,0.005925,0.290386,-0.006835,-0.045142,-0.714424,0.698223,-1.5488620116382836,-10.809794776642322,-0.5863239706724882,-2.87008577273041,9.318954161339995,1.0440652544431388,0.1888092160224914,-0.0455284863710403,0.8043129444122314,-0.2181356819628656,-0.3754302551139135,0.5530095948046917,0.7110902144733043,-0.0734024494886398,0.0316081531345844,-0.1053288355469703,-0.0343306064605712,0.037689134478569,-0.009522795677185,-0.2254468500614166,-0.090553693473339,0.03205927208364,0.3731701374053955,0.3020282690873369,0.1178683275986462
7,-0.03249,-0.010734,0.288747,-0.013704,-0.055385,-0.722454,0.689061,-1.2605867754302915,-7.368069684413075,1.1880693823605777,-2.44758268334046,9.454915706446766,0.8856089689336717,0.7640497088432312,0.1721748411655426,1.5038528442382812,-0.2316791100854142,-0.3653480986484371,0.5668926502212537,0.7010551743582158,0.160117894411087,0.0063254879787564,-0.0916379243135452,-0.0093322992324829,0.0294129103422164,-0.0330467224121093,-0.2650497555732727,-0.0861229673027992,0.0125198743551969,0.4479241669178009,0.3800563884025439,0.280192558848951
8,-0.027138,-0.027827,0.285246,-0.019695,-0.05618,-0.733453,0.677128,0.905954568478465,-2.458886021512747,-0.1226081425368785,-1.8277220615081489,9.623833764737844,0.4600406467542052,1.266921877861023,-0.0165854562073946,1.6629176139831543,-0.2477825646755508,-0.3532795009828139,0.5930750784752026,0.6797494792389919,0.1196588799357414,-0.0391726456582546,-0.050002533942461,0.003533124923706,-0.0102015435695648,0.0137440562248229,-0.2386808395385742,-0.1104398444294929,-0.0593821632951498,0.5206304788589478,0.386201138235256,0.4369488172411918
9,-0.026006,-0.031552,0.285566,-0.020119,-0.053901,-0.736977,0.673465,1.2439862076327204,1.6313830584585665,0.0292108969151973,-1.206876154965535,9.732096571058037,0.0111913462898402,1.1351083517074585,0.0908358246088028,1.625478982925415,-0.2609266588769066,-0.3394892228774332,0.6198197058051061,0.6576380862609753,0.0538529679179191,-0.0553196594119071,-0.0163451693952083,-0.0022699236869812,0.0151892602443695,0.0355750322341918,-0.2120105773210525,-0.1052324920892715,-0.1119049622148275,0.5384860634803772,0.3297130158811807,0.3276889261750504
10,-0.026032,-0.033133,0.285341,-0.0223,-0.050056,-0.739071,0.671395,1.299304044098407,3.0625586018711326,-1.4415572366952896,-0.5891239401219412,9.77485142467916,-0.5249808095026761,1.4417508840560913,-0.1104750409722328,1.4526437520980835,-0.2717182830324292,-0.3262691179655278,0.6483170788799061,0.6319830892765399,-0.1245921403169632,-0.0302126035094261,-0.0210973788052797,-0.0207144618034362,0.0037557333707809,0.0509761571884155,-0.1538703292608261,-0.1483744382858276,-0.2298252391964197,0.535646915435791,0.264268666470237,0.2663932208761572
