timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
88091539279,0.010842,0.183951,0.345416,0.089753,0.049711,-0.600724,0.792845,0
88091572603,0.010565,0.173913,0.344031,0.087642,0.050289,-0.604387,0.790257,1
88091605926,0.013462,0.154033,0.341453,0.081126,0.048658,-0.614615,0.783134,2
88091672573,0.027144,0.101509,0.33112,0.059748,0.030346,-0.646586,0.759892,4
88091705897,0.033384,0.07663,0.325899,0.045927,0.016433,-0.664392,0.745791,5
88091739221,0.038761,0.054975,0.322591,0.034089,0.002309,-0.678843,0.733489,6
88091772544,0.042615,0.038163,0.319614,0.023665,-0.008446,-0.690971,0.722446,7
88091805868,0.04482,0.026396,0.31759,0.016566,-0.013845,-0.70019,0.71363,8
88091872515,0.044179,0.01626,0.316544,0.015635,-0.020813,-0.707563,0.706171,10
88091905839,0.043013,0.015339,0.315331,0.013852,-0.02234,-0.708284,0.705438,11
88091939162,0.040128,0.015141,0.316187,0.01259,-0.02297,-0.707292,0.706436,12
88091972486,0.037499,0.015764,0.315567,0.012339,-0.022798,-0.705543,0.708193,13
88092005809,0.034824,0.016533,0.314448,0.011128,-0.022272,-0.703671,0.71009,14
88092072456,0.030663,0.021483,0.312749,0.005177,-0.01931,-0.70032,0.71355,16
88092105780,0.029317,0.03082,0.310515,0.001851,-0.014998,-0.696158,0.71773,17
88092139103,0.028364,0.051428,0.309527,0.002558,-0.005338,-0.68729,0.726359,18
88092172427,0.024268,0.085893,0.311854,0.020372,0.002688,-0.664667,0.746858,19
88092205750,0.016254,0.126915,0.31855,0.053552,0.007684,-0.635028,0.770593,20
88092272397,-0.003418,0.189156,0.333803,0.101084,0.021565,-0.592718,0.798751,22
88092305721,-0.010922,0.197982,0.338011,0.105145,0.032647,-0.584044,0.804221,23
88092339044,-0.012648,0.191492,0.338914,0.104235,0.035169,-0.585779,0.802971,24
88092372368,-0.009641,0.172814,0.336581,0.098462,0.031052,-0.596362,0.796049,25
88092405691,-0.002172,0.146462,0.331704,0.083072,0.026032,-0.614832,0.783838,26
88092472339,0.017032,0.088909,0.320525,0.039794,0.004879,-0.660334,0.749901,28
88092505662,0.023546,0.066526,0.314968,0.023152,-0.007288,-0.678639,0.734071,29
88092538986,0.026554,0.04916,0.310184,0.010985,-0.020107,-0.690203,0.723253,30
88092572309,0.027827,0.038759,0.309429,0.008166,-0.024686,-0.695925,0.717643,31
88092605633,0.027116,0.033662,0.310635,0.013328,-0.025185,-0.69728,0.716233,32
88092672280,0.02448,0.032116,0.311211,0.014518,-0.025035,-0.697158,0.716334,34
88092705604,0.022264,0.033416,0.310843,0.012594,-0.023837,-0.695877,0.717655,35
88092738926,0.022992,0.035136,0.308913,0.011521,-0.023904,-0.694802,0.718711,36
88092772250,0.022366,0.036832,0.308103,0.010882,-0.024078,-0.695117,0.718411,37
88092805574,0.022761,0.040953,0.307465,0.009347,-0.020488,-0.697516,0.716215,38
88092872221,0.026708,0.075829,0.311407,0.028355,-0.00188,-0.691711,0.721615,40
88092905545,0.022235,0.111998,0.318077,0.054565,0.012494,-0.670805,0.739519,41
88092938868,0.01519,0.150673,0.325486,0.07794,0.023022,-0.645807,0.759163,42
88092972192,0.0057,0.184886,0.329629,0.090062,0.023424,-0.620918,0.778332,43
88093005515,-0.002979,0.205937,0.331393,0.095803,0.016707,-0.601183,0.793172,44
88093072162,-0.006104,0.195802,0.330976,0.094939,0.005835,-0.596807,0.796727,46
88093105486,-0.001548,0.170771,0.33159,0.091205,0.010244,-0.608878,0.787937,47
88093138809,0.007581,0.140391,0.331389,0.079536,0.020978,-0.627418,0.774326,48
88093172133,0.015559,0.111142,0.330573,0.069747,0.028173,-0.644067,0.761262,49
88093205456,0.022626,0.087183,0.327353,0.061409,0.022965,-0.658719,0.749528,50
88093272103,0.032519,0.0574,0.317831,0.037918,0.000658,-0.683208,0.729238,52
88093305427,0.034139,0.051805,0.317355,0.035839,-0.000362,-0.686033,0.726688,53
88093338751,0.033258,0.047872,0.317983,0.035866,0.004381,-0.685291,0.727372,54
88093372074,0.03227,0.046828,0.319093,0.035249,0.010198,-0.683874,0.728677,55
88093405398,0.031462,0.047389,0.319909,0.031932,0.018058,-0.681917,0.730509,56
88093472045,0.032085,0.045336,0.321387,0.027578,0.030573,-0.680947,0.731174,58
88093505368,0.032095,0.044888,0.321906,0.023717,0.037525,-0.679971,0.731894,59
88093538692,0.034491,0.044228,0.320773,0.022222,0.043147,-0.679731,0.731854,60
88093572015,0.035414,0.04365,0.320401,0.023089,0.041466,-0.681521,0.730258,61
88093605338,0.036681,0.043338,0.319308,0.024804,0.031211,-0.685483,0.726997,62
88093671986,0.039196,0.044022,0.312494,0.014753,0.017185,-0.691966,0.721575,64
88093705310,0.040236,0.044017,0.310677,0.011998,0.01516,-0.694631,0.719106,65
88093738633,0.041703,0.043986,0.308475,0.010795,0.013855,-0.696654,0.717192,66
88093771957,0.042131,0.043892,0.307393,0.009068,0.015969,-0.697364,0.716482,67
88093805280,0.042132,0.043841,0.307221,0.00839,0.016762,-0.697513,0.716327,68
88093871927,0.043391,0.044545,0.307823,0.009932,0.016331,-0.698843,0.715019,70
88093905251,0.044074,0.044564,0.30904,0.010976,0.015219,-0.699366,0.714517,71
88093938574,0.044026,0.044027,0.31098,0.012531,0.014003,-0.699826,0.714066,72
88093971898,0.044618,0.04378,0.312858,0.014775,0.01289,-0.699948,0.713925,73
88094005221,0.04529,0.043453,0.314877,0.016913,0.014056,-0.699589,0.714207,74
88094071868,0.046911,0.041936,0.316793,0.018546,0.015057,-0.699388,0.714343,76
88094105192,0.048208,0.041277,0.318049,0.018567,0.013263,-0.700419,0.713367,77
88094138516,0.050255,0.040291,0.317659,0.0194,0.010254,-0.70152,0.712312,78
88094171839,0.051943,0.039476,0.318371,0.020225,0.009086,-0.70254,0.711299,79
88094205163,0.053276,0.038782,0.319909,0.02123,0.008912,-0.703202,0.710617,80
88094271810,0.055907,0.036709,0.321337,0.023567,0.00976,-0.703677,0.710062,82
88094305133,0.057416,0.03578,0.323263,0.025134,0.009376,-0.704511,0.709186,83
88094338457,0.059056,0.03338,0.325411,0.026749,0.007616,-0.706022,0.707644,84
88094371780,0.060575,0.032212,0.327492,0.028624,0.005674,-0.707336,0.706275,85
88094405104,0.062038,0.031261,0.329551,0.030199,0.004361,-0.708588,0.704963,86
88094471751,0.065553,0.029302,0.332277,0.033656,0.002194,-0.710595,0.702792,88
88094505074,0.066861,0.028766,0.334081,0.034662,0.002134,-0.711105,0.702228,89
88094538398,0.069129,0.027371,0.336128,0.035632,0.001168,-0.711586,0.701694,90
88094571719,0.07115,0.026514,0.33793,0.036379,-0.000394,-0.712438,0.700791,91
88094605045,0.07288,0.025974,0.339521,0.036873,-0.002252,-0.713575,0.699604,92
88094671692,0.075707,0.024121,0.34294,0.038837,-0.005664,-0.71485,0.698176,94
88094705016,0.076688,0.023499,0.344884,0.04101,-0.006701,-0.715315,0.697565,95
88094738339,0.07814,0.022383,0.346797,0.043436,-0.006998,-0.715976,0.696737,96
88094771663,0.079378,0.02154,0.348582,0.045582,-0.007316,-0.716747,0.695803,97
88094804986,0.08044,0.020955,0.350057,0.046815,-0.007688,-0.717543,0.694896,98
88094871633,0.081446,0.02044,0.352674,0.047407,-0.009722,-0.718901,0.693426,100
88094904957,0.081945,0.020389,0.353505,0.047538,-0.01076,-0.719157,0.693136,101
88094938280,0.081568,0.019919,0.355284,0.047667,-0.011359,-0.719104,0.693173,102
88094971604,0.081592,0.019837,0.356728,0.048256,-0.011354,-0.718899,0.693345,103
88095004927,0.082064,0.020051,0.358045,0.049062,-0.010577,-0.718607,0.693603,104
88095071575,0.083648,0.019508,0.36013,0.049878,-0.006984,-0.717303,0.694939,106
88095104898,0.084883,0.019703,0.361984,0.049257,-0.005469,-0.716435,0.695892,107
88095138221,0.085304,0.019041,0.365229,0.048853,-0.004836,-0.715614,0.696769,108
88095171545,0.087299,0.018647,0.368723,0.049249,-0.004951,-0.715139,0.697228,109
88095204869,0.08987,0.017959,0.373138,0.051181,-0.006466,-0.715005,0.697214,110
88095271516,0.095036,0.015397,0.383923,0.056114,-0.013025,-0.715807,0.695918,112
88095304839,0.09812,0.014189,0.390045,0.057334,-0.016953,-0.716221,0.695308,113
88095338163,0.100686,0.012578,0.39709,0.059778,-0.02048,-0.716122,0.695109,114
88095371486,0.103355,0.011189,0.404992,0.062958,-0.022661,-0.715521,0.69538,115
88095404809,0.106116,0.009845,0.413467,0.065999,-0.024672,-0.715133,0.695428,116
88095471457,0.110541,0.006674,0.431351,0.073372,-0.037931,-0.715401,0.693815,118
88095504781,0.11263,0.006047,0.440973,0.076612,-0.047106,-0.715545,0.692753,119
88095538104,0.114252,0.006109,0.451087,0.08033,-0.053712,-0.714835,0.692584,120
88095571427,0.115497,0.006539,0.46156,0.083577,-0.057836,-0.71247,0.694303,121
88095604751,0.116847,0.00718,0.472399,0.086155,-0.059118,-0.710247,0.696155,122
88095671398,0.118949,0.00705,0.494557,0.091065,-0.066538,-0.708542,0.696598,124
