timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
47409705170,-0.066847,0.195815,0.342007,0.077084,0.021798,-0.58188,0.80932,0
47409738493,-0.068586,0.187165,0.343361,0.078924,0.027427,-0.582917,0.808225,1
47409771817,-0.0645,0.165136,0.341351,0.076714,0.025388,-0.595485,0.799292,2
47409838463,-0.046008,0.097638,0.334112,0.058562,0.013212,-0.640321,0.765758,4
47409871785,-0.03625,0.0656,0.329048,0.044441,0.005164,-0.666333,0.744311,5
47409905108,-0.027938,0.040294,0.325396,0.031228,-0.010317,-0.685342,0.727479,6
47409938433,-0.024866,0.024765,0.321971,0.021282,-0.025707,-0.692774,0.720382,7
47409971757,-0.023744,0.017193,0.31978,0.013464,-0.037048,-0.69453,0.718383,8
47410038404,-0.023581,0.014044,0.324231,0.016231,-0.036616,-0.692727,0.720087,10
47410071727,-0.022997,0.014853,0.325742,0.019724,-0.033026,-0.692367,0.720519,11
47410105050,-0.022111,0.014764,0.327051,0.022615,-0.029716,-0.692581,0.720373,12
47410138374,-0.021513,0.013846,0.326468,0.022514,-0.030477,-0.693075,0.719869,13
47410171697,-0.021108,0.012288,0.324294,0.018667,-0.033546,-0.693599,0.719338,14
47410238344,-0.020442,0.018056,0.316909,0.005834,-0.032735,-0.693072,0.720101,16
47410271666,-0.021493,0.036985,0.312541,0.005458,-0.028911,-0.685764,0.727229,17
47410304991,-0.025591,0.06969,0.31036,0.015652,-0.025779,-0.669465,0.742231,18
47410338314,-0.03614,0.11131,0.310107,0.02868,-0.027622,-0.644937,0.763197,19
47410371637,-0.051936,0.151867,0.313792,0.047281,-0.024822,-0.615268,0.786507,20
47410438284,-0.076213,0.199131,0.325961,0.073208,0.001871,-0.577307,0.813237,22
47410471608,-0.079128,0.200455,0.328088,0.075166,0.009057,-0.574624,0.814908,23
47410504931,-0.075572,0.18896,0.326899,0.072631,0.006861,-0.580407,0.811052,24
47410538254,-0.068175,0.1654,0.3242,0.067049,0.001288,-0.59311,0.802324,25
47410571578,-0.058162,0.134163,0.32051,0.056911,-0.010497,-0.610817,0.789654,26
47410638225,-0.035174,0.068225,0.315297,0.027644,-0.034214,-0.659838,0.75012,28
47410671548,-0.026803,0.042099,0.313639,0.017143,-0.042793,-0.679247,0.732461,29
47410704872,-0.020605,0.023633,0.312542,0.009311,-0.054389,-0.691461,0.720303,30
47410738195,-0.017319,0.013473,0.311709,0.003375,-0.062879,-0.697246,0.714061,31
