timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
49035299320,-0.051527,0.180213,0.246429,0.057776,0.014088,-0.607468,0.792115,0
49035332643,-0.055069,0.177365,0.239433,0.049588,-0.002952,-0.606448,0.79357,1
49035365966,-0.056747,0.159487,0.234403,0.045284,-0.010364,-0.609226,0.791635,2
49035432613,-0.056151,0.092446,0.230006,0.049598,0.006132,-0.63075,0.774375,4
49035465936,-0.051408,0.058216,0.228002,0.051617,0.018881,-0.651844,0.756359,5
49035499260,-0.044593,0.030997,0.2258,0.051585,0.026263,-0.673977,0.736481,6
49035532583,-0.038562,0.013179,0.222085,0.045232,0.022946,-0.692095,0.720022,7
49035565906,-0.034671,0.003599,0.2181,0.036434,0.014655,-0.703969,0.709145,8
49035632553,-0.033821,-0.001014,0.216004,0.029632,0.013486,-0.710053,0.703396,10
49035665876,-0.035193,-0.000644,0.216079,0.028387,0.014103,-0.708831,0.704666,11
49035699199,-0.036357,-0.00021,0.216726,0.02829,0.014726,-0.707606,0.705887,12
49035732522,-0.037299,-0.000523,0.217167,0.027843,0.015503,-0.707234,0.706261,13
49035765846,-0.037574,-0.001582,0.217243,0.027083,0.015249,-0.708557,0.704968,14
49035832492,-0.035942,-0.004992,0.216754,0.023856,0.013227,-0.714462,0.699142,16
49035865816,-0.034741,-0.005644,0.216064,0.022263,0.011034,-0.718222,0.69537,17
49035899139,-0.033846,-0.003691,0.215392,0.021316,0.008573,-0.720518,0.693055,18
49035932462,-0.032535,0.005639,0.214754,0.020508,0.006632,-0.719838,0.693807,19
49035965785,-0.030542,0.025795,0.216275,0.023539,0.007272,-0.714821,0.698873,20
49036032432,-0.036465,0.102271,0.224522,0.052134,0.003402,-0.67227,0.73846,22
49036065755,-0.046902,0.14459,0.22615,0.056375,0.004437,-0.64316,0.763641,23
49036099079,-0.05881,0.176354,0.225312,0.051875,0.001388,-0.622212,0.781127,24
49036132402,-0.069784,0.19152,0.222855,0.044453,-0.009781,-0.611309,0.790082,25
49036165725,-0.077847,0.187691,0.221265,0.039226,-0.019161,-0.603638,0.796062,26
49036232372,-0.080502,0.135934,0.224646,0.058383,-0.002574,-0.608619,0.791308,28
49036265695,-0.075027,0.100261,0.225777,0.068776,0.01014,-0.627428,0.775565,29
49036299018,-0.067778,0.06807,0.225986,0.072032,0.017096,-0.650575,0.755825,30
49036332341,-0.060248,0.043616,0.224973,0.070662,0.017411,-0.674687,0.734507,31
49036365665,-0.054453,0.028178,0.222778,0.064647,0.012939,-0.693058,0.71786,32
49036432311,-0.050585,0.017533,0.221986,0.058971,0.011067,-0.701974,0.709671,34
49036465635,-0.051279,0.017071,0.222762,0.06217,0.013771,-0.700341,0.710963,35
49036498958,-0.051069,0.017196,0.223007,0.062647,0.015729,-0.699175,0.712027,36
49036532281,-0.050702,0.017338,0.222704,0.061381,0.015621,-0.698826,0.712482,37
49036565605,-0.049935,0.016962,0.221942,0.059414,0.013696,-0.699592,0.711937,38
49036632251,-0.045733,0.014371,0.218804,0.053986,0.010413,-0.705491,0.706583,40
49036665574,-0.043035,0.012427,0.21803,0.053209,0.009747,-0.710081,0.702039,41
49036698898,-0.040038,0.012717,0.217722,0.053448,0.009098,-0.715124,0.696892,42
49036732221,-0.037479,0.021545,0.218048,0.053245,0.007898,-0.715975,0.696048,43
49036765544,-0.036118,0.042464,0.219335,0.056108,0.008574,-0.708012,0.703916,44
49036832191,-0.045709,0.115808,0.220566,0.059429,0.004535,-0.659059,0.749725,46
49036865514,-0.053923,0.1537,0.218777,0.055123,-0.004402,-0.633506,0.771759,47
49036898837,-0.063118,0.181678,0.215771,0.049546,-0.018115,-0.610654,0.790138,48
49036932161,-0.070402,0.195022,0.212421,0.042023,-0.025282,-0.595825,0.801616,49
49036965484,-0.074232,0.191912,0.20984,0.03577,-0.028315,-0.59091,0.805446,50
49037032130,-0.073517,0.139921,0.214049,0.045301,-0.010705,-0.604017,0.795611,52
49037065453,-0.068036,0.100834,0.218215,0.057412,0.014223,-0.620065,0.782318,53
49037098777,-0.059467,0.064972,0.220508,0.068944,0.026516,-0.64409,0.761375,54
49037132100,-0.050091,0.038293,0.2197,0.062649,0.019504,-0.670778,0.73875,55
49037165424,-0.041498,0.021176,0.217524,0.052742,0.011207,-0.691401,0.720457,56
49037232070,-0.034012,0.008935,0.216201,0.04892,0.005612,-0.703247,0.709238,58
49037265394,-0.033415,0.008071,0.217173,0.049883,0.006097,-0.702602,0.709806,59
49037298717,-0.033413,0.008016,0.2183,0.051179,0.005264,-0.701279,0.711028,60
49037332040,-0.033751,0.007858,0.219381,0.052483,0.004463,-0.699402,0.712785,61
49037365363,-0.033633,0.00709,0.220276,0.053448,0.005481,-0.698878,0.71322,62
49037432010,-0.032601,0.0041,0.221654,0.052815,0.007071,-0.701186,0.710984,64
