timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
48200141763,-0.083894,0.194401,0.141481,0.052066,0.047196,-0.593525,0.801742,0
48200175086,-0.086048,0.190399,0.143055,0.054606,0.046184,-0.591999,0.802759,1
48200208409,-0.081545,0.172076,0.141815,0.051346,0.039404,-0.603011,0.795103,2
48200275056,-0.062607,0.105443,0.133924,0.032806,0.028295,-0.646441,0.761733,4
48200308379,-0.051768,0.070267,0.12786,0.018474,0.017276,-0.674,0.738298,5
48200341703,-0.042942,0.041744,0.12204,0.004266,0.003873,-0.697104,0.716947,6
48200375026,-0.037672,0.022669,0.11822,-0.008195,-0.006705,-0.710833,0.703281,7
48200408349,-0.036475,0.013058,0.115348,-0.015443,-0.01651,-0.715571,0.698174,8
48200474996,-0.037792,0.009334,0.117183,-0.013288,-0.02203,-0.715204,0.698442,10
48200508319,-0.039169,0.010554,0.118655,-0.010051,-0.02383,-0.71283,0.70086,11
48200541642,-0.039849,0.011224,0.119829,-0.007694,-0.02349,-0.711145,0.702611,12
48200574966,-0.039993,0.0096,0.119411,-0.007637,-0.022287,-0.711919,0.701867,13
48200608289,-0.039062,0.006515,0.117846,-0.012223,-0.021431,-0.715737,0.697933,14
48200674936,-0.034876,0.004378,0.113912,-0.017941,-0.024773,-0.723188,0.689974,16
48200708259,-0.030836,0.017344,0.113108,-0.016263,-0.022247,-0.72414,0.689102,17
48200741583,-0.02946,0.047369,0.11557,-0.000559,-0.01515,-0.716123,0.697809,18
48200774906,-0.035808,0.091978,0.120049,0.01697,-0.006309,-0.692569,0.721124,19
48200841553,-0.067244,0.182063,0.135922,0.058089,0.023508,-0.625065,0.778054,21
48200874876,-0.082875,0.208176,0.142892,0.071623,0.035931,-0.59559,0.799282,22
48200908199,-0.092074,0.215208,0.148166,0.082111,0.047137,-0.580205,0.808949,23
48200941522,-0.093065,0.203982,0.150293,0.086916,0.050141,-0.580761,0.807866,24
48200974846,-0.086419,0.177696,0.150093,0.087902,0.047982,-0.594122,0.798117,25
48201041493,-0.064289,0.101234,0.140248,0.068951,0.0336,-0.642118,0.762759,27
48201074816,-0.051918,0.065103,0.133441,0.051446,0.014687,-0.671046,0.739483,28
48201108139,-0.042489,0.036994,0.129098,0.037132,0.003136,-0.69286,0.720108,29
48201141463,-0.036169,0.018155,0.126554,0.028154,-0.005679,-0.707658,0.705971,30
48201174786,-0.031659,0.007194,0.123541,0.019752,-0.010116,-0.715314,0.69845,31
48201241433,-0.029235,0.002256,0.11961,0.009806,-0.025123,-0.714436,0.699181,33
48201274755,-0.029349,0.002661,0.118851,0.006673,-0.027359,-0.712709,0.700894,34
48201308079,-0.029045,0.002545,0.118478,0.005006,-0.029291,-0.712227,0.70132,35
48201341402,-0.028149,0.001244,0.118008,0.003763,-0.030396,-0.713329,0.70016,36
48201374726,-0.026674,-0.001037,0.116788,0.001006,-0.032042,-0.7159,0.697466,37
48201441372,-0.024123,0.001354,0.112986,-0.006767,-0.037079,-0.720542,0.692386,39
48201474696,-0.022147,0.01734,0.111661,-0.006104,-0.037358,-0.718482,0.694515,40
48201508019,-0.022142,0.050101,0.112664,0.00293,-0.027457,-0.706514,0.70716,41
48201541342,-0.028544,0.095957,0.116578,0.020692,-0.019837,-0.683216,0.729654,42
48201574666,-0.042303,0.145959,0.123834,0.037926,-0.008575,-0.652338,0.75693,43
48201641312,-0.079766,0.216187,0.141531,0.067405,0.031243,-0.585632,0.807165,45
48201674636,-0.089815,0.224911,0.146708,0.075983,0.042319,-0.567913,0.818481,46
48201707959,-0.090265,0.214925,0.146866,0.076531,0.042414,-0.569429,0.81737,47
48201741282,-0.083342,0.188823,0.14363,0.073673,0.0367,-0.583612,0.807851,48
48201774606,-0.071171,0.151916,0.138473,0.062718,0.03215,-0.608871,0.790132,49
48201841252,-0.045568,0.077603,0.126457,0.03642,0.014852,-0.66754,0.743534,51
48201874575,-0.036106,0.051524,0.121829,0.025669,0.006473,-0.687742,0.725473,52
48201907899,-0.030009,0.034451,0.118389,0.015284,-0.001279,-0.699116,0.714844,53
48201941222,-0.026993,0.024739,0.116585,0.007705,-0.007066,-0.703072,0.711042,54
48202007869,-0.026147,0.01732,0.117516,0.004721,-0.006651,-0.701288,0.712832,56
48202041192,-0.026316,0.017334,0.119084,0.006422,-0.005671,-0.700116,0.713978,57
48202074515,-0.027642,0.016744,0.120431,0.005876,-0.005753,-0.699032,0.715043,58
48202107839,-0.028614,0.016401,0.121115,0.003135,-0.004895,-0.698384,0.715699,59
48202141162,-0.029362,0.01603,0.121613,-0.000445,-0.002764,-0.69782,0.716268,60
48202207806,-0.03063,0.015164,0.12281,-0.005429,-0.001156,-0.697899,0.716175,62
48202241132,-0.030914,0.015116,0.122791,-0.009521,-0.002356,-0.697768,0.716257,63
48202274456,-0.032056,0.015683,0.1225,-0.009114,-0.007434,-0.696692,0.717274,64
48202307779,-0.032524,0.016448,0.122261,-0.002434,-0.015588,-0.697919,0.716003,65
48202341102,-0.032626,0.017255,0.121536,0.004696,-0.027169,-0.701082,0.712547,66
48202407749,-0.034521,0.018463,0.117383,0.003328,-0.048744,-0.705979,0.706546,68
48202441072,-0.035997,0.019107,0.116778,0.004172,-0.057241,-0.706162,0.70572,69
48202474395,-0.037198,0.020195,0.117537,0.005439,-0.060966,-0.706343,0.705219,70
48202507719,-0.038665,0.020776,0.118616,0.007099,-0.063356,-0.705786,0.705551,71
48202541042,-0.039894,0.020678,0.119783,0.009296,-0.064923,-0.705735,0.705434,72
48202607689,-0.038764,0.01842,0.120765,0.013535,-0.07129,-0.708574,0.701895,74
48202641012,-0.038608,0.016883,0.121484,0.014655,-0.073153,-0.710395,0.699838,75
48202674335,-0.037978,0.015157,0.121457,0.015239,-0.065903,-0.711855,0.699062,76
48202707659,-0.038856,0.014161,0.121707,0.015991,-0.05437,-0.710448,0.701464,77
48202740982,-0.04077,0.013904,0.121447,0.016497,-0.050942,-0.708151,0.704027,78
48202807629,-0.044232,0.014075,0.119229,0.013897,-0.062503,-0.706325,0.704986,80
48202840952,-0.046606,0.015143,0.118949,0.014002,-0.063995,-0.70386,0.707311,81
48202874275,-0.049218,0.016438,0.118933,0.014569,-0.064555,-0.700905,0.710178,82
48202907599,-0.050486,0.017697,0.118773,0.014571,-0.06581,-0.698606,0.712324,83
48202974245,-0.053955,0.01865,0.117997,0.01271,-0.074531,-0.696655,0.713411,85
48203007569,-0.055311,0.018094,0.116678,0.011026,-0.078302,-0.696503,0.713183,86
48203040892,-0.055699,0.017264,0.116333,0.009921,-0.080776,-0.697021,0.712417,87
48203074215,-0.055404,0.016118,0.116377,0.009873,-0.082875,-0.698177,0.711044,88
48203107539,-0.054573,0.014925,0.115742,0.009751,-0.083766,-0.69949,0.709649,89
48203174185,-0.051822,0.012525,0.11607,0.008971,-0.086392,-0.702736,0.706129,91
48203207509,-0.051326,0.011782,0.115897,0.008508,-0.087658,-0.704304,0.704415,92
48203240832,-0.050323,0.01099,0.11654,0.008778,-0.088011,-0.70539,0.70328,93
48203274155,-0.049484,0.010412,0.117582,0.010144,-0.087471,-0.706056,0.70266,94
48203307479,-0.049783,0.010188,0.118744,0.011755,-0.087167,-0.70644,0.702287,95
48203374125,-0.049818,0.00992,0.120703,0.014763,-0.089132,-0.706013,0.702413,97
48203407448,-0.049825,0.009985,0.121604,0.016386,-0.089111,-0.705732,0.702662,98
48203440772,-0.049554,0.010025,0.122434,0.017782,-0.088265,-0.705831,0.702635,99
48203474095,-0.049224,0.009901,0.123302,0.019439,-0.086861,-0.706176,0.702419,100
48203507419,-0.04935,0.00923,0.123819,0.021556,-0.086979,-0.707065,0.701447,101
48203574065,-0.047834,0.007689,0.125526,0.027332,-0.091637,-0.709473,0.698215,103
48203607388,-0.04782,0.006348,0.125526,0.028989,-0.094132,-0.71012,0.697158,104
48203640712,-0.047109,0.005381,0.126089,0.029308,-0.09423,-0.710888,0.696348,105
48203674035,-0.046266,0.004444,0.126853,0.029987,-0.095243,-0.712073,0.694969,106
48203707358,-0.045808,0.003931,0.127936,0.029761,-0.096887,-0.713447,0.69334,107
48203774005,-0.044336,0.002908,0.130804,0.028789,-0.094817,-0.714064,0.693032,109
48203807328,-0.044505,0.001723,0.134674,0.029161,-0.094426,-0.714384,0.69274,110
48203840652,-0.04405,0.001448,0.137175,0.027531,-0.095908,-0.713702,0.693306,111
48203873974,-0.043494,0.000824,0.139431,0.01682,-0.095327,-0.71379,0.693638,112
48203907298,-0.043071,0.000535,0.141668,0.005999,-0.094301,-0.713775,0.693971,113
48203973945,-0.041453,0.000609,0.148124,-0.000303,-0.09926,-0.714216,0.692851,115
48204007268,-0.040381,0.001506,0.149927,-0.01027,-0.096249,-0.717142,0.690172,116
48204040592,-0.038525,0.001958,0.153493,-0.011987,-0.100604,-0.719614,0.686943,117
48204073915,-0.036215,0.002666,0.15841,-0.00513,-0.108761,-0.722096,0.68317,118
48204140562,-0.031235,0.005111,0.165983,-0.004023,-0.115979,-0.723222,0.680796,120
48204173885,-0.028514,0.006237,0.171456,0.002052,-0.127058,-0.722764,0.679311,121
48204207208,-0.025227,0.007257,0.178681,0.006238,-0.127959,-0.723767,0.678047,122
48204240531,-0.022645,0.008775,0.186226,0.009663,-0.123649,-0.722246,0.680426,123
48204273855,-0.01985,0.009689,0.194825,0.016638,-0.119449,-0.720598,0.682783,124
48204340501,-0.014433,0.011789,0.214054,0.030473,-0.110986,-0.717188,0.68731,126
48204373825,-0.012324,0.012724,0.224833,0.037939,-0.105304,-0.714989,0.690117,127
48204407148,-0.010897,0.012402,0.235867,0.04297,-0.097554,-0.712089,0.69395,128
48204440471,-0.009589,0.012671,0.247572,0.047429,-0.087759,-0.707589,0.699547,129
48204473794,-0.008275,0.012419,0.259172,0.049307,-0.07873,-0.702682,0.705413,130
48204540441,-0.003784,0.008244,0.280254,0.044212,-0.076035,-0.702655,0.706074,132
48204573765,-0.000665,0.005363,0.288136,0.029654,-0.081085,-0.703083,0.705847,133
48204607088,0.002833,0.002249,0.294003,0.002213,-0.089828,-0.706303,0.702184,134
48204640411,0.006116,0.000178,0.299826,-0.029108,-0.092406,-0.708232,0.6993,135
48204673734,0.007654,-0.000358,0.307646,-0.041495,-0.087303,-0.70409,0.703501,136
48204740381,0.008765,-0.001335,0.328369,-0.024101,-0.047601,-0.690355,0.7215,138
48204773705,0.008913,-0.002877,0.338805,-0.009448,-0.022171,-0.683819,0.729254,139
48204807028,0.009026,-0.005549,0.348049,0.001678,-0.003867,-0.680212,0.733004,140
48204840351,0.01017,-0.009231,0.3545,0.005931,0.002523,-0.679409,0.733732,141
48204873675,0.010897,-0.014155,0.357518,0.001284,0.000707,-0.680588,0.732665,142
48204940321,0.014525,-0.025711,0.359938,-0.020851,-0.009322,-0.684007,0.729118,144
48204973644,0.01661,-0.031993,0.36015,-0.029308,-0.012073,-0.686006,0.726905,145
48205006968,0.018649,-0.037518,0.361263,-0.031304,-0.010692,-0.688071,0.724889,146
48205040291,0.020338,-0.042028,0.362898,-0.028119,-0.003054,-0.689754,0.723491,147
48205073615,0.020821,-0.045559,0.364255,-0.023673,0.008009,-0.689351,0.723996,148
48205140261,0.021016,-0.051255,0.365014,-0.019806,0.021752,-0.689347,0.723834,150
48205173585,0.020979,-0.054185,0.363391,-0.020513,0.02396,-0.689377,0.723716,151
48205206907,0.020832,-0.057248,0.362524,-0.021462,0.027229,-0.687518,0.725339,152
48205240230,0.020597,-0.060198,0.361718,-0.024822,0.030124,-0.685847,0.726699,153
48205306877,0.019426,-0.065394,0.356733,-0.034007,0.030123,-0.682244,0.729712,155
48205340201,0.019238,-0.068124,0.356774,-0.035159,0.033315,-0.680716,0.730945,156
48205373524,0.018096,-0.069674,0.356771,-0.033056,0.039383,-0.678678,0.732634,157
48205406847,0.017158,-0.071194,0.356716,-0.033708,0.041485,-0.676009,0.734952,158
48205440171,0.016389,-0.072875,0.356649,-0.038233,0.042808,-0.673363,0.737081,159
48205506817,0.013069,-0.074607,0.356945,-0.038697,0.050321,-0.66546,0.743729,161
48205540140,0.012635,-0.074481,0.356444,-0.04044,0.049551,-0.664572,0.744482,162
48205573464,0.012575,-0.074136,0.355557,-0.045367,0.04687,-0.664002,0.74488,163
48205606787,0.012931,-0.073395,0.353977,-0.046269,0.046827,-0.665257,0.743707,164
48205640111,0.013334,-0.073277,0.353586,-0.046039,0.044766,-0.665577,0.743561,165
48205706757,0.012751,-0.071869,0.351937,-0.046062,0.042871,-0.66485,0.744321,167
48205740080,0.011983,-0.0718,0.352525,-0.043454,0.042893,-0.66204,0.746978,168
48205773404,0.010842,-0.071335,0.352852,-0.04269,0.043435,-0.658911,0.749751,169
48205806726,0.01004,-0.070956,0.352911,-0.043254,0.043645,-0.657505,0.750941,170
48205840050,0.009833,-0.070822,0.352883,-0.044349,0.043904,-0.657211,0.751119,171
48205906697,0.011156,-0.070348,0.351796,-0.046779,0.041997,-0.660019,0.748614,173
48205940020,0.013022,-0.071491,0.351265,-0.049056,0.035648,-0.666533,0.743005,174
48205973344,0.013714,-0.073508,0.349868,-0.060833,0.028628,-0.667525,0.741546,175
48206006667,0.013729,-0.074415,0.347446,-0.066206,0.02783,-0.663637,0.7446,176
48206039990,0.013751,-0.075419,0.349177,-0.054428,0.033773,-0.663946,0.745032,177
48206106637,0.011354,-0.075586,0.350223,-0.046782,0.035909,-0.661452,0.747665,179
48206139960,0.010773,-0.075332,0.351057,-0.044614,0.035861,-0.660403,0.748727,180
48206173284,0.010385,-0.075274,0.350623,-0.041773,0.035848,-0.660393,0.7489,181
48206206607,0.010538,-0.075475,0.350993,-0.044273,0.038195,-0.660499,0.748546,182
48206239930,0.01109,-0.075468,0.353433,-0.036339,0.04136,-0.660777,0.748561,183
48206306577,0.010819,-0.075332,0.357959,-0.016329,0.051368,-0.660672,0.748737,185
48206339900,0.010879,-0.075807,0.36008,-0.009351,0.055363,-0.660427,0.748788,186
48206373224,0.010913,-0.07624,0.361119,-0.007684,0.056821,-0.659967,0.749103,187
48206406547,0.010468,-0.07737,0.360389,-0.00855,0.055944,-0.659784,0.749322,188
48206473193,0.011208,-0.078313,0.358947,-0.013531,0.051257,-0.660545,0.748913,190
48206506517,0.01198,-0.079249,0.358455,-0.016168,0.049015,-0.660585,0.748975,191
48206539840,0.012409,-0.07973,0.358501,-0.017477,0.048243,-0.660705,0.74889,192
48206573163,0.012287,-0.080171,0.359073,-0.016394,0.048702,-0.66104,0.748589,193
48206606487,0.012615,-0.080502,0.359905,-0.01495,0.049336,-0.661464,0.748203,194
48206673133,0.013387,-0.0801,0.35988,-0.013821,0.049052,-0.662476,0.747347,196
48206706457,0.013713,-0.079987,0.358994,-0.016559,0.046897,-0.662659,0.747268,197
48206739780,0.013996,-0.080307,0.358563,-0.017914,0.044369,-0.662806,0.74726,198
