frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.049384,0.178723,0.171233,0.080986,-0.026108,-0.599634,0.795738,-1.2890155820570883,15.632452248734236,-1.47874451931715,-0.2076598403459414,9.801600899916886,-0.2364015305805019,-0.6049797534942627,0.1994329988956451,-0.4083030819892883,0.394851011446841,0.3918928961089642,0.5987262158362553,0.5762287320593757,0.0102426260709762,-0.0153567595407366,-0.0019568833522498,-0.006014347076416,-0.0027379095554351,0.0048518180847167,-0.0113272331655025,0.0279148444533348,-0.134388596701622,-0.0538666769862175,-0.0035818770747631,0.0826560713768005
1,-0.052301,0.172753,0.173412,0.08573,-0.017975,-0.596635,0.797718,5.332102201223373,14.821225882220268,-1.244614276403189,-0.5855980310181156,9.788923204651477,0.0668166606774553,-0.873930811882019,-0.1709690392017364,-1.67153000831604,0.412275692219235,0.374497363563151,0.5969464155842753,0.577438794808914,-0.0196950323879718,-0.0149173391982913,-0.005473920609802,-0.0091642141342163,0.0011439621448516,0.0107965469360351,-0.0183171816170215,0.039965983480215,-0.0441658894628286,-0.0489060208201408,0.0517904660571366,0.0620263941936194
2,-0.048988,0.154279,0.174175,0.087731,-0.011033,-0.604593,0.791611,5.395917378529906,2.9960084466427563,-1.1877519869744777,-1.407775670863688,9.695653969323637,0.4275927041465416,-0.8933493494987488,-0.067259669303894,-2.3052539825439453,0.4452810830855898,0.3436070754829079,0.6001108366901345,0.5687933457469143,-0.0283388569951057,-0.0090001141652464,-0.0018539523007348,-0.002284824848175,-0.003897488117218,0.0040571689605712,-0.0191013682633638,0.0455718040466308,-0.0177981070190668,-0.0506108440458774,0.0422716001488268,0.048429538256675
3,-0.030177,0.091676,0.170129,0.076993,-0.01103,-0.647809,0.757822,4.448460002318025,-9.605622985264658,-0.8706197087902575,-2.277068588029593,9.511799038663506,0.7148470363415778,-0.5218678712844849,-0.116068996489048,-2.1950249671936035,0.4760356458614534,0.3098866152290063,0.6062369421666024,0.5566300573046877,-0.0029203142039477,-0.0130397034808993,-0.0015522827161476,-0.0051251053810119,-0.0019634664058685,-0.0002418160438537,-0.0137788094580173,0.0434965193271636,0.0200333187252283,-0.0315734520554542,0.0719556675337255,0.0906025003366172
4,-0.0191,0.060365,0.165609,0.068638,-0.0218,-0.675892,0.733473,1.203286825236678,-17.915259234285354,-1.0103091883789748,-2.931153112633526,9.316035643544792,0.8889528725340962,-0.3453389704227447,-0.2812889218330383,-1.178379774093628,0.5006369545970415,0.2872930504948683,0.6100317368854702,0.5428506420050702,-0.0071142604574561,-0.0013999323127791,-0.0044169784523546,-0.0079679489135742,0.0037482678890228,0.0070003867149353,-0.0064399568364024,0.0090225636959075,0.0230050280123949,-0.018911238759756,0.0493103396791964,0.0824652249798178
5,-0.010819,0.03525,0.161683,0.060613,-0.028666,-0.697497,0.713444,0.9337415700703858,-18.139041101664304,-0.7408971311382949,-3.124586311239004,9.24069252552986,1.0084493858564645,-0.1978980600833892,-0.0302704721689224,0.0750987976789474,0.5091126713100492,0.2788213380462006,0.6089680222557595,0.5405747321297791,0.0122130988165736,0.0032190540805459,-0.0157260261476039,-0.0063362717628479,-8.45491886138916e-05,-0.0012463927268981,-0.0028870627284049,-0.0031074378639459,0.0122702835083007,-0.0216941777616739,0.0635642712853848,0.0463404570229351
6,-0.006946,0.017692,0.158624,0.054861,-0.031951,-0.707596,0.70376,-0.1396940096333623,-14.015401667010783,0.6524200985230505,-2.9296728109478947,9.302117592829465,1.0286083767879757,0.1203132420778274,0.0449994467198848,0.9508500695228576,0.5041454631640216,0.2851407052395885,0.6051862092239351,0.546151909915572,0.0053309579379856,-7.783266482874751e-05,-0.0037378058768808,-0.0021744966506958,-0.0032683312892913,0.0065192580223083,-0.0027211420238018,-0.0036642518825829,-0.0280728327959775,-0.0279962364584207,0.0541006426956504,0.0657875002928078
7,-0.006594,0.004264,0.153698,0.045402,-0.041904,-0.710861,0.700614,-1.5606037412278353,-6.405200804057717,0.9327670990150422,-2.385190086182952,9.470227257347108,0.8922131164390593,0.3962574899196625,0.60952228307724,1.9675558805465696,0.4823266991998986,0.3022407958385117,0.6026278229688568,0.5593309731980499,0.0057008708827197,-0.0013011824339628,-0.0052706548012793,-0.0050278306007385,-0.0027800202369689,0.0027630925178527,0.0007857992313802,0.0042947209440171,-0.0177221191734075,-0.0399711169302463,0.039951048246771,0.075515844233334
8,-0.008448,0.004703,0.151789,0.041806,-0.04506,-0.708753,0.702774,0.9492074347496032,2.10434251575768,-0.1382354083228856,-1.6326023711204527,9.646398647767304,0.6722920161414891,0.648597002029419,-0.1117681339383125,1.891790986061096,0.4526162068104136,0.3272361292493402,0.59886489519664,0.5739476274098642,-0.0028087277896702,-0.0077452333644032,-0.0033550430089235,-0.0030505657196044,-0.0041856467723846,0.0065594911575317,-0.0024789522867649,0.0171448308974504,-0.0493675497591495,-0.0707500651478767,0.0420911290153861,0.0683985595740377
9,-0.009894,0.005775,0.150708,0.041074,-0.04644,-0.705394,0.706099,0.7609048039656132,6.35825317492187,0.0514899122079834,-1.016335828257352,9.744697693955898,0.422262923958525,0.6088473200798035,0.0770760476589202,1.425271987915039,0.431558407097755,0.3535965066237833,0.5945082777575167,0.5790394846499247,0.0103068081662058,-0.0085556870326399,-0.0034379339776933,-0.0061901807785034,0.0022088289260864,0.001274824142456,0.0017088407184928,0.0359866879880428,-0.0461912578105926,-0.0903950855135917,0.0151117905445396,0.1063936514474451
10,-0.01085,0.006621,0.150077,0.04154,-0.046048,-0.703275,0.708208,2.744882645264268,7.551121481996774,-1.1525637692153454,-0.4947817418003454,9.791128605741262,0.2436648361143656,0.180686354637146,0.4339072406291961,0.984400987625122,0.4092003476475267,0.369732091674314,0.5923467998486778,0.5873487123755237,0.0256418213248252,-0.0131966704502701,-0.0026950452011078,-0.0013620257377624,-0.0024525225162506,0.000130295753479,0.0088069289922714,0.0554795786738395,-0.0110690910249948,-0.1221572756767273,0.0326974238567054,0.0674642013333737
