frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.065264,0.176586,0.200817,0.043346,0.02111,-0.619841,0.783245,1.6412494956955312,16.270399439138174,-1.3504548240125178,0.169664730206225,9.800210906863212,-0.3121685182970017,-0.8749807476997375,0.2068983316421508,-1.2053722143173218,-0.5325686878563618,-0.5417171897762532,0.4716552247266543,0.4477212748178054,-0.0215361528098583,0.0254222098737955,0.0080163413658738,-0.003664493560791,-0.0093863457441329,-0.0060304403305053,0.0144451539963483,-0.0033321245573461,-0.0182476043522357,0.0028951871208846,-0.0054223903749138,0.0167367613978683
1,-0.066032,0.168109,0.195487,0.039284,0.024319,-0.623637,0.780348,4.454434692813456,11.78934006651044,-1.3952870684295893,-0.401051355234161,9.798428699621558,0.0186210921485035,-0.9144081473350524,-0.3389463424682617,-1.697617769241333,-0.528374948556292,-0.5461537183091861,0.4480699772030784,0.4709239741790504,-0.0195568911731243,0.0107298707589507,-0.0028281840495765,-0.0028180480003356,-0.0008120387792587,0.0002855062484741,0.0168949030339717,-0.0044994321651756,-0.0202232883393764,0.0076948865316808,0.0034737405251711,0.0172401808753609
2,-0.060677,0.144681,0.191188,0.032465,0.019424,-0.631898,0.774127,4.0949034617736935,-0.9387813178032636,0.9062637805581092,-1.0883849462281912,9.739718151977655,0.3517393715871498,-0.5193709135055542,-0.2705375850200653,-1.8499650955200195,-0.516830630868584,-0.5491881630034483,0.424804243148414,0.5008193071051913,-0.0107900304719805,-0.00058180000633,-0.0081711504608392,-0.0024178624153137,-0.000847116112709,0.0013184510171413,0.0186080709099769,-0.0040302486158907,-0.0293739785224199,0.0097339106723666,0.0028970366157591,0.0088416242338716
3,-0.037577,0.078731,0.179258,0.016071,0.005457,-0.67756,0.735271,2.463074705374241,-13.0123737947464,-0.1741991404991597,-1.727456245291233,9.64118938868642,0.4834997386770323,-0.2880702614784241,0.0456744246184825,-1.4184675216674805,-0.5033972740590711,-0.5590806263086648,0.4034565981165411,0.5208098730284505,-0.0197515673935413,0.000399574812036,-0.0173084568232297,-0.0008558630943298,-0.0056852549314498,4.506111145019531e-05,0.0238376874476671,-0.0055188261903822,-0.0279448225021362,0.0124425338581204,-0.004876629593037,0.0046685398003086
4,-0.026484,0.047357,0.17538,0.009142,0.005078,-0.704223,0.709902,-0.5176597458995879,-18.4391287946105,-0.7634867832828313,-2.182400884080678,9.540777880388498,0.6172909174747765,-0.4401734173297882,-0.0051152575761079,-0.8103758096694946,-0.4945846832292758,-0.5648152341784108,0.3866660985922425,0.5355921586908673,-0.0252496637403965,0.0039762533269822,-0.0136073287576437,-0.0041463375091552,-0.0065745264291763,-0.0002552233636379,0.0293063893914222,-0.0059330705553293,-0.0230833539456129,0.0090877953916788,0.0001232610534876,0.0049876522194594
5,-0.019111,0.020776,0.172133,0.002076,0.000644,-0.724112,0.689679,-1.564642933616042,-17.1422711207509,0.1593190398186445,-2.263984796181321,9.51539209471941,0.7085789889227598,0.001467514084652,0.3278368711471557,0.3383406698703766,-0.4970179514613309,-0.5655246389398662,0.3795450009289382,0.5376808716363989,-0.0332945398986339,0.0060590049251914,-0.0097691807895898,-0.0032726526260375,-0.0082630962133407,0.0005052126944065,0.0341054461896419,-0.010476030409336,-0.0004261164575815,0.0159143321216106,0.0147687127279117,0.0350509647129103
6,-0.014295,4.5e-05,0.167673,-0.002952,-0.003602,-0.735524,0.677482,-1.4876421115219591,-11.15489883840084,0.6367956822812557,-2.077024885243177,9.567542553195358,0.5643452900331467,0.5478357076644897,0.0391020141541957,0.6909046173095703,-0.5005677330976166,-0.5674222722346327,0.3863396979383648,0.5274519545375338,-0.0327429994940757,0.0181369204074144,-0.008579347282648,-0.0058391690254211,-0.0080009400844573,0.0042693614959716,0.0375577025115489,0.0067292060703039,0.0270195243507623,0.0150534454733133,0.0050132981173694,0.0129633072737604
7,-0.010616,-0.023546,0.163534,-0.00931,-0.009698,-0.745337,0.666553,-1.9852850514397025,-3.788807176062464,0.638300241625309,-1.5918021586984394,9.67136182411015,0.3183329957434907,0.7112720012664795,0.0755110159516334,1.834582090377808,-0.5065535591011963,-0.5639666709570715,0.4070763174764072,0.5095430223719353,-0.0520740859210491,0.0395723842084407,-0.0198069009929895,-0.0062982439994812,-0.0078073292970657,0.0015918053686618,0.0398718453943729,0.0012218677438795,-0.0110129769235849,0.0022586919367313,0.0099167061194777,0.0032193639053031
8,-0.008246,-0.029108,0.161673,-0.01202,-0.009623,-0.749378,0.661963,0.3676376728668808,1.676295382374525,-1.378843883150816,-0.7674693501129746,9.776218621379137,0.0832814641329925,0.3467946648597717,0.2382635921239853,2.292868137359619,-0.5220948379370551,-0.5534423022927891,0.4352647989880489,0.4813140408089432,-0.0408890768885612,0.0329501703381538,-0.0166180320084095,-0.0062409043312072,-0.0024429112672805,0.0088493786752223,0.0421859845519065,-0.004285471048206,-0.0490460627198219,-0.010536060668528,0.0148216850241646,-0.0065258215721696
9,-0.00625,-0.032137,0.160554,-0.013212,-0.009163,-0.7529,0.657939,3.374685984440148,4.086394284364581,0.033267474263045,0.0728150654086144,9.806261292943358,-0.0483809087753994,0.4966724216938019,0.1531337648630142,1.8746802806854248,-0.5409031995103539,-0.5401851522403811,0.4589844673214776,0.4527218689204377,-0.0307131372392177,0.0154588986188173,-0.022976329550147,-0.0048226118087768,-0.0061077773571014,0.0058858394622802,0.0568482838571071,-0.0023606424219906,-0.0345516734212636,-0.0191029943525791,0.0241082765465602,-0.0872716388808563
