timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
59635840464,-0.048574,0.186901,0.138232,0.04895,0.009029,-0.60632,0.793662,0
59635873787,-0.046203,0.179611,0.133595,0.04354,0.003798,-0.611503,0.790034,1
59635907111,-0.037401,0.156882,0.128664,0.036272,-0.004337,-0.626249,0.778767,2
59635973758,-0.011642,0.09287,0.120539,0.019768,-0.00958,-0.675772,0.736783,4
59636007081,-0.002014,0.064129,0.117601,0.011107,-0.007738,-0.695549,0.718352,5
59636040405,0.004168,0.042662,0.114237,0.000889,-0.009239,-0.711142,0.702987,6
59636073728,0.00802,0.028634,0.111884,-0.007277,-0.012329,-0.720856,0.692938,7
59636140375,0.010492,0.015508,0.111762,-0.007206,-0.004683,-0.728407,0.685091,9
59636173699,0.011459,0.013842,0.112392,-0.005754,-0.000677,-0.729666,0.683779,10
59636207022,0.012258,0.013321,0.112927,-0.005018,0.00128,-0.729874,0.683562,11
59636240346,0.011326,0.012156,0.112457,-0.004984,0.002693,-0.729621,0.683828,12
59636306993,0.010818,0.010257,0.111533,-0.006432,0.002051,-0.729234,0.684231,14
59636340316,0.009945,0.010657,0.110132,-0.00489,0.002894,-0.731006,0.682347,15
59636373640,0.01078,0.014861,0.111845,-0.001484,0.009392,-0.730874,0.682446,16
59636406963,0.012103,0.028995,0.114238,0.003989,0.018435,-0.726309,0.687109,17
59636473610,0.004148,0.098556,0.116245,0.015444,0.009058,-0.69519,0.718604,19
59636506934,-0.005177,0.145868,0.115958,0.026949,0.00149,-0.668311,0.743392,20
59636540257,-0.01613,0.185966,0.115174,0.034307,-0.001779,-0.644783,0.763593,21
59636573581,-0.02374,0.209931,0.114463,0.037899,-0.003456,-0.629382,0.776164,22
59636606904,-0.025538,0.213056,0.114368,0.038862,0.000237,-0.626741,0.778258,23
59636673551,-0.018117,0.169678,0.116757,0.034308,0.001554,-0.643142,0.764977,25
59636706875,-0.010882,0.13592,0.115434,0.032303,0.001834,-0.659724,0.750811,26
59636740198,-0.004015,0.105307,0.114414,0.0288,0.001276,-0.679982,0.732662,27
59636773521,0.002035,0.078472,0.11306,0.023914,0.005162,-0.69721,0.716449,28
59636840169,0.00896,0.043893,0.112046,0.015039,0.011404,-0.718027,0.69576,30
59636873492,0.01093,0.035473,0.111435,0.012402,0.011158,-0.722928,0.690722,31
59636906815,0.012355,0.030983,0.111166,0.011745,0.01146,-0.725442,0.688087,32
59636940139,0.011913,0.026912,0.110619,0.009919,0.011085,-0.727281,0.686179,33
59637006786,0.012998,0.024256,0.109299,0.007181,0.011337,-0.728908,0.68448,35
59637040109,0.011907,0.022121,0.108508,0.004634,0.009713,-0.729522,0.683873,36
59637073433,0.011675,0.020376,0.106976,0.001191,0.006862,-0.730311,0.683079,37
59637106757,0.012082,0.020342,0.105481,-0.001903,0.005175,-0.731821,0.681474,38
59637140080,0.011009,0.026602,0.104568,-0.004052,0.006404,-0.731277,0.682038,39
59637206727,0.006522,0.081257,0.107685,0.001166,0.018048,-0.705471,0.708508,41
59637240050,-0.005565,0.124507,0.111518,0.012157,0.01528,-0.677749,0.735034,42
59637273374,-0.020063,0.165024,0.113846,0.022046,0.009741,-0.64809,0.761182,43
59637306697,-0.032634,0.193863,0.114205,0.02626,0.008487,-0.623051,0.781694,44
59637373344,-0.036933,0.194837,0.11506,0.029979,0.007413,-0.61753,0.785941,46
59637406668,-0.030317,0.169865,0.114753,0.027819,0.008012,-0.628382,0.777366,47
59637439991,-0.02221,0.135471,0.116774,0.022251,0.011231,-0.646468,0.762534,48
59637473315,-0.010347,0.100014,0.115694,0.015541,0.013093,-0.672633,0.739698,49
59637539962,0.006216,0.047041,0.112282,0.005132,0.008165,-0.715405,0.698643,51
59637573285,0.011087,0.031377,0.110503,-0.001468,0.003566,-0.726458,0.6872,52
59637606609,0.013808,0.02167,0.10924,-0.007105,0.00068,-0.73157,0.681729,53
59637639932,0.013915,0.017068,0.108824,-0.010905,-0.001827,-0.732868,0.68028,54
59637706579,0.013073,0.013807,0.109689,-0.011092,-0.001277,-0.730889,0.682405,56
59637739903,0.0091,0.015331,0.111238,-0.008564,0.00336,-0.729408,0.684017,57
59637773226,0.007748,0.01509,0.11238,-0.006945,0.009735,-0.728247,0.68521,58
59637806550,0.006877,0.014253,0.112819,-0.007696,0.014252,-0.727118,0.686321,59
59637839873,0.00378,0.013982,0.115313,-0.009628,0.016906,-0.726571,0.686816,60
59637906520,0.003046,0.010894,0.116114,-0.016794,0.021947,-0.728339,0.684659,62
59637939844,-0.000405,0.01059,0.117271,-0.019456,0.017838,-0.729958,0.682982,63
59637973167,0.000133,0.009554,0.116976,-0.01976,0.010707,-0.733313,0.67952,64
59638006491,0.000986,0.008619,0.116412,-0.019298,0.001408,-0.738194,0.674311,65
59638073138,-0.003874,0.012169,0.114917,-0.027631,-0.008275,-0.733756,0.678801,67
59638106461,-0.005326,0.013462,0.114887,-0.027162,-0.003991,-0.72951,0.683419,68
59638139785,-0.007705,0.016445,0.116575,-0.026232,2.4e-05,-0.728076,0.684994,69
59638173108,-0.007891,0.017097,0.116095,-0.026275,0.000241,-0.729607,0.683362,70
59638239755,-0.008908,0.017721,0.116662,-0.02624,-0.008261,-0.73382,0.678787,72
59638273079,-0.008798,0.017649,0.117037,-0.027496,-0.009362,-0.73572,0.676663,73
59638306402,-0.007776,0.01715,0.116977,-0.028482,-0.009905,-0.738097,0.674021,74
59638339726,-0.008437,0.016958,0.119515,-0.029173,-0.011901,-0.740134,0.671721,75
59638406373,-0.006376,0.015303,0.121321,-0.029249,-0.014115,-0.743738,0.667682,77
59638439696,-0.006358,0.015134,0.123925,-0.028893,-0.012262,-0.745096,0.666219,78
59638473020,-0.005055,0.014121,0.125057,-0.028757,-0.011153,-0.746509,0.66466,79
59638506343,-0.003501,0.012879,0.126038,-0.027786,-0.011986,-0.748644,0.662282,80
59638539667,-0.00313,0.01332,0.129034,-0.0271,-0.01293,-0.751032,0.659583,81
59638606314,-0.000371,0.011223,0.131281,-0.025919,-0.014246,-0.754089,0.656106,83
59638639637,-0.000588,0.01035,0.133131,-0.024883,-0.014897,-0.755251,0.654794,84
59638672961,0.000624,0.009303,0.13451,-0.023924,-0.015721,-0.756676,0.653163,85
59638706284,0.002065,0.008247,0.136028,-0.022681,-0.017173,-0.758235,0.65136,86
59638772931,0.002795,0.007593,0.140274,-0.018893,-0.018949,-0.761188,0.64798,88
59638806255,0.004075,0.00723,0.142282,-0.016653,-0.020698,-0.762483,0.646462,89
59638839578,0.004054,0.007083,0.144731,-0.014078,-0.022751,-0.763438,0.645326,90
59638872901,0.004438,0.007073,0.147049,-0.011247,-0.024026,-0.763809,0.644897,91
59638939549,0.004249,0.007215,0.156078,-0.005223,-0.026058,-0.764237,0.644387,93
59638972872,0.004964,0.007209,0.158799,-0.002182,-0.027462,-0.764387,0.644169,94
59639006196,0.006077,0.007103,0.160924,0.000217,-0.02917,-0.764682,0.643747,95
59639039519,0.003869,0.006424,0.160165,0.002056,-0.030605,-0.765025,0.643269,96
59639106166,0.006071,0.005616,0.163579,0.005586,-0.034128,-0.766679,0.641098,98
59639139489,0.005638,0.005995,0.166063,0.008158,-0.035132,-0.766939,0.640705,99
59639172813,0.005874,0.006381,0.169065,0.011244,-0.035367,-0.766406,0.641284,100
59639206137,0.006623,0.00707,0.172871,0.014824,-0.033515,-0.765088,0.642882,101
59639239460,0.007332,0.008652,0.174981,0.018308,-0.02901,-0.763189,0.645264,102
59639306107,0.009034,0.013564,0.186949,0.024564,-0.026806,-0.756054,0.653498,104
59639339431,0.007595,0.01674,0.195202,0.029538,-0.029762,-0.753258,0.656387,105
59639372754,0.008379,0.021609,0.204957,0.03603,-0.034994,-0.750319,0.659166,106
59639406077,0.008687,0.027071,0.215746,0.041829,-0.041446,-0.746288,0.663013,107
59639472722,0.007028,0.034791,0.244011,0.057046,-0.052234,-0.73488,0.673772,109
59639506048,0.00471,0.038989,0.257635,0.063877,-0.053151,-0.727844,0.680689,110
