timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
58540248964,-0.033032,0.19368,0.286708,0.05065,-0.026388,-0.621,0.781728,0
58540282287,-0.034468,0.187241,0.284839,0.050863,-0.021336,-0.621797,0.781234,1
58540315611,-0.032007,0.167661,0.279695,0.042813,-0.025317,-0.627137,0.77732,2
58540382258,-0.016657,0.114454,0.268105,0.020187,-0.035811,-0.663824,0.746759,4
58540415581,-0.011384,0.088395,0.263699,0.010311,-0.039532,-0.680442,0.731663,5
58540448905,-0.009662,0.065777,0.261065,0.003357,-0.043591,-0.691329,0.721216,6
58540482228,-0.008348,0.047678,0.260796,-0.001146,-0.044449,-0.699842,0.712913,7
58540548875,-0.007467,0.023455,0.259825,-0.003682,-0.043486,-0.713917,0.698869,9
58540582199,-0.007429,0.015043,0.259376,-0.003926,-0.043502,-0.719707,0.692902,10
58540615522,-0.005663,0.009036,0.258418,-0.004401,-0.042541,-0.725618,0.686768,11
58540648846,-0.003253,0.004121,0.256515,-0.007864,-0.042594,-0.732004,0.679922,12
58540715492,0.000823,-0.000567,0.251543,-0.017547,-0.043783,-0.742147,0.668575,14
58540748814,0.001754,0.007876,0.249938,-0.018637,-0.04229,-0.74154,0.669315,15
58540782139,0.001295,0.03169,0.250813,-0.016578,-0.037209,-0.735488,0.676312,16
58540815463,-0.002926,0.070912,0.253353,-0.005604,-0.035412,-0.720864,0.692148,17
58540882110,-0.029674,0.161196,0.258499,0.022828,-0.042762,-0.661361,0.7485,19
58540915433,-0.045682,0.191891,0.259177,0.035779,-0.053359,-0.628113,0.775465,20
58540948757,-0.054582,0.20534,0.258351,0.039062,-0.05907,-0.612208,0.787519,21
58540982080,-0.054012,0.201046,0.257011,0.035151,-0.058891,-0.613465,0.786738,22
58541048727,-0.036771,0.157514,0.253022,0.024509,-0.064128,-0.644773,0.761285,24
58541082051,-0.025715,0.12681,0.253417,0.01581,-0.068384,-0.666941,0.741798,25
58541115374,-0.018154,0.093887,0.250861,0.005552,-0.072907,-0.686587,0.723362,26
58541148698,-0.013351,0.063102,0.248627,-0.003318,-0.074944,-0.703467,0.706757,27
58541215345,-0.005177,0.018477,0.24757,-0.014703,-0.074358,-0.734719,0.674123,29
58541248668,-0.002143,0.005227,0.246491,-0.01752,-0.074267,-0.745492,0.662132,30
58541281992,-4e-05,-0.001732,0.245227,-0.019275,-0.074894,-0.753508,0.652875,31
58541315313,0.001488,-0.004986,0.244218,-0.020295,-0.073811,-0.758069,0.647666,32
58541381962,0.000233,0.003276,0.243175,-0.01912,-0.067153,-0.756769,0.649943,34
58541415286,-0.001231,0.020307,0.244336,-0.012831,-0.057337,-0.750788,0.657925,35
58541448609,-0.002618,0.052639,0.245397,-0.004199,-0.04896,-0.740824,0.669899,36
58541481933,-0.008553,0.09547,0.247254,0.004367,-0.049268,-0.724662,0.687328,37
58541548579,-0.040413,0.181593,0.251635,0.032131,-0.052654,-0.659021,0.749591,39
58541581903,-0.052557,0.201072,0.253956,0.038538,-0.046209,-0.637289,0.768273,40
58541615227,-0.056662,0.200957,0.254317,0.040737,-0.044016,-0.63247,0.77226,41
58541648550,-0.053599,0.184885,0.252678,0.038933,-0.045872,-0.639425,0.766496,42
58541715197,-0.035475,0.129426,0.248654,0.023677,-0.055378,-0.673789,0.736465,44
58541748520,-0.028998,0.101044,0.246245,0.014472,-0.052913,-0.689034,0.72265,45
58541781844,-0.026015,0.078276,0.250376,0.009011,-0.051473,-0.697768,0.714415,46
58541815167,-0.023943,0.061907,0.250719,0.006556,-0.051354,-0.704252,0.70806,47
58541881814,-0.019182,0.040756,0.254678,0.004753,-0.047954,-0.714361,0.698116,49
58541915138,-0.01753,0.035873,0.256798,0.003743,-0.044319,-0.716125,0.696554,50
58541948461,-0.016481,0.032732,0.259252,0.002349,-0.040659,-0.716388,0.696513,51
58541981785,-0.01627,0.028744,0.259984,-0.000871,-0.035995,-0.717479,0.695649,52
58542048432,-0.015805,0.024426,0.264779,0.0027,-0.036993,-0.720409,0.692557,54
58542081756,-0.015408,0.022548,0.268609,0.014237,-0.04145,-0.723893,0.688519,55
58542115079,-0.014617,0.02117,0.271677,0.020742,-0.045076,-0.727489,0.684323,56
58542148402,-0.014237,0.020466,0.273644,0.021361,-0.050957,-0.729312,0.681946,57
58542215049,-0.012269,0.019925,0.275931,0.011638,-0.070006,-0.732276,0.6773,59
58542248371,-0.012393,0.020041,0.277871,0.012589,-0.072049,-0.732633,0.676683,60
58542281696,-0.011969,0.021853,0.280109,0.01548,-0.070611,-0.730527,0.679047,61
58542315019,-0.011798,0.022796,0.281522,0.016047,-0.070553,-0.729018,0.68066,62
58542381666,-0.009624,0.024264,0.284833,0.012595,-0.07647,-0.731847,0.677048,64
58542414990,-0.008489,0.024436,0.286756,0.01155,-0.078174,-0.733025,0.675596,65
58542448314,-0.007777,0.023735,0.288484,0.011516,-0.078218,-0.733438,0.675143,66
58542481637,-0.006281,0.023507,0.292051,0.01233,-0.078039,-0.733766,0.674792,67
58542548284,-0.004659,0.021644,0.297682,0.016149,-0.077196,-0.733741,0.674837,69
58542581608,-0.005248,0.021867,0.300941,0.018349,-0.076983,-0.73289,0.675728,70
58542614931,-0.005131,0.02155,0.303592,0.020012,-0.077584,-0.732283,0.676271,71
58542648254,-0.004179,0.020798,0.305809,0.020853,-0.078919,-0.732703,0.675636,72
58542714901,-0.002076,0.020052,0.307932,0.022188,-0.081787,-0.734773,0.672998,74
58542748225,-0.000781,0.019273,0.310133,0.023881,-0.082261,-0.735547,0.672037,75
58542781548,-0.000308,0.018979,0.314003,0.026045,-0.082319,-0.7366,0.670794,76
58542814872,0.000369,0.018415,0.316886,0.028056,-0.082489,-0.737365,0.669852,77
58542848195,0.001263,0.017624,0.319039,0.029877,-0.083418,-0.738155,0.668787,78
58542914842,0.00258,0.015143,0.321628,0.032978,-0.084418,-0.739453,0.66708,80
