timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
59113762877,-0.090841,0.1776,0.29096,0.040599,-0.018212,-0.627976,0.77696,0
59113796201,-0.09282,0.160964,0.289398,0.040134,-0.019233,-0.627358,0.777458,1
59113862848,-0.082096,0.102907,0.281335,0.029982,-0.016321,-0.652624,0.756913,3
59113896171,-0.074209,0.073016,0.278664,0.022956,-0.01176,-0.67473,0.737614,4
59113929495,-0.068882,0.048886,0.275766,0.015462,-0.01149,-0.691389,0.722226,5
59113962818,-0.066493,0.032983,0.272612,0.009793,-0.02147,-0.701874,0.71191,6
59114029465,-0.066471,0.017949,0.270115,0.006085,-0.022221,-0.709895,0.703931,8
59114062789,-0.066189,0.016571,0.269401,0.007882,-0.019673,-0.712879,0.700967,9
59114096112,-0.065696,0.015673,0.268944,0.008152,-0.018825,-0.715151,0.698669,10
59114129436,-0.065146,0.014699,0.267642,0.006073,-0.021514,-0.716358,0.697375,11
59114196083,-0.063531,0.01381,0.263456,0.000189,-0.024887,-0.723882,0.689475,13
59114229406,-0.061368,0.02054,0.261402,-0.001767,-0.024263,-0.726566,0.686666,14
59114262730,-0.059061,0.044392,0.258997,-0.002805,-0.023297,-0.724887,0.688468,15
59114296053,-0.057554,0.082041,0.259138,0.004995,-0.024446,-0.717664,0.695942,16
59114362700,-0.067087,0.168711,0.261402,0.022447,-0.036962,-0.695534,0.717191,18
59114396024,-0.079171,0.198882,0.261894,0.026087,-0.035879,-0.671431,0.739739,19
59114429347,-0.091476,0.211443,0.262386,0.026757,-0.027761,-0.645947,0.762408,20
59114462671,-0.097988,0.205765,0.263929,0.028943,-0.019605,-0.635222,0.771538,21
59114529318,-0.096265,0.16171,0.263794,0.033524,-0.015154,-0.642061,0.76577,23
59114562642,-0.091014,0.134286,0.26518,0.032388,-0.011655,-0.658788,0.751541,24
59114595965,-0.085012,0.108433,0.264862,0.031664,-0.006081,-0.678394,0.733991,25
59114629288,-0.080246,0.086236,0.263647,0.029195,-0.007669,-0.695549,0.717845,26
59114695935,-0.075567,0.053372,0.260997,0.021263,-0.017771,-0.711906,0.701728,28
59114729259,-0.074949,0.043658,0.260187,0.018511,-0.018441,-0.715807,0.697809,29
59114762583,-0.073385,0.03319,0.262381,0.01467,-0.018597,-0.719791,0.693786,30
59114795906,-0.072006,0.02687,0.261401,0.010949,-0.020176,-0.723976,0.689443,31
59114862553,-0.06868,0.016903,0.257416,0.004025,-0.02172,-0.733934,0.678861,33
59114895876,-0.067052,0.017804,0.256314,0.002716,-0.02,-0.737059,0.675527,34
59114929200,-0.06516,0.029584,0.255288,-0.000602,-0.019679,-0.735422,0.677323,35
59114962524,-0.065995,0.058634,0.258794,0.003076,-0.019026,-0.725219,0.688248,36
59115029171,-0.080871,0.14952,0.264532,0.02192,-0.013275,-0.675216,0.737175,38
59115062494,-0.094103,0.190708,0.2696,0.026035,-0.009937,-0.64484,0.76381,39
59115095817,-0.106373,0.217214,0.271295,0.025233,-0.002941,-0.620058,0.784144,40
59115129141,-0.114027,0.225174,0.272713,0.026592,0.003658,-0.606587,0.794564,41
59115195788,-0.112168,0.188791,0.27495,0.036916,0.00239,-0.613464,0.788856,43
59115229112,-0.103862,0.154729,0.273949,0.031385,-0.001041,-0.630276,0.775736,44
59115262435,-0.092996,0.118436,0.27681,0.023092,0.002265,-0.656631,0.753855,45
59115295759,-0.083163,0.087891,0.27774,0.018826,0.004825,-0.680989,0.732036,46
59115362406,-0.069807,0.050584,0.275371,0.014109,0.011738,-0.710601,0.703356,48
59115395729,-0.066207,0.042271,0.275184,0.010081,0.012015,-0.716794,0.697109,49
59115429053,-0.063886,0.038437,0.275318,0.005927,0.009083,-0.718762,0.695171,50
59115462376,-0.061402,0.03524,0.277424,0.00381,0.007121,-0.719582,0.69436,51
59115529023,-0.059868,0.03292,0.280627,0.003618,0.006454,-0.719603,0.694346,53
59115562347,-0.060649,0.029664,0.279107,0.00369,0.008471,-0.719997,0.693916,54
59115595670,-0.060444,0.02754,0.281058,0.005625,0.009701,-0.720896,0.692952,55
59115628994,-0.059499,0.02583,0.283206,0.011495,0.006351,-0.723877,0.689804,56
59115695641,-0.058359,0.026071,0.28176,0.013593,-0.006316,-0.731402,0.681782,58
59115728965,-0.057911,0.026653,0.280133,0.00614,-0.014637,-0.732451,0.680635,59
59115762288,-0.057843,0.029552,0.278043,0.001247,-0.016721,-0.728344,0.685006,60
59115795612,-0.059142,0.031933,0.276866,-0.000565,-0.016122,-0.722421,0.691266,61
59115862259,-0.060731,0.036158,0.277217,-0.000258,-0.017579,-0.71859,0.695212,63
59115895582,-0.061214,0.037074,0.276938,-0.000198,-0.020204,-0.718537,0.695196,64
59115928906,-0.061394,0.03732,0.276728,-0.001621,-0.021888,-0.718219,0.695471,65
