frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.225072,0.190725,0.68772,0.020056,0.040796,-0.555585,0.830216,2.2016765163064003,15.51705476822853,-1.8478584022164344,0.3017607041923329,9.801327928194404,-0.1152376959672663,-0.7414767742156982,-0.3523477017879486,-1.0505452156066897,-0.5892424755065719,-0.5839907517488949,0.4059929667192152,0.3832985124419429,0.0260436236858367,-0.0324714556336402,-0.0083468202501535,-0.0062067210674285,0.0011284758802503,0.0059908032417297,-0.0072038443759083,0.0090034333989024,-0.0360381125867366,0.0063038654625415,0.0726785019155591,0.0143925363592803
1,-0.224215,0.179006,0.68033,0.011593,0.027646,-0.562543,0.826224,7.112096443003416,11.055959156221151,-0.6013385844528675,-0.3412940384836867,9.790953249174356,0.4371859869979321,-1.848372459411621,0.0331958718597888,-2.164103507995605,-0.5910337977012547,-0.5787604826157066,0.377817446316881,0.4158957633935046,0.021257922053337,-0.0176938418298959,0.014361422508955,-0.0032240450382232,-0.0052319872193038,0.0081165432929992,-0.0099283577874302,0.0180506184697151,0.0130061965674161,0.046233233064413,0.0889968187056481,-0.0088918931163847
2,-0.205847,0.108953,0.66767,-0.002789,0.011124,-0.602501,0.798036,6.4376178035378455,1.2950064930349587,1.7711079016216098,-1.3866010731488465,9.64814169204235,1.0775434534139932,-1.030510425567627,-0.1037566512823104,-3.042884826660156,-0.5864154213586559,-0.5783464583519816,0.3325296205930637,0.4594088394859123,0.0683407485485076,-0.0030529545620083,-0.0094497008249163,0.0060954988002777,0.0226877871900796,0.0034155845642089,-0.0126528711989521,0.0270978026092052,0.0620849925130605,0.0861625969409942,0.1053249993026256,-0.0321792452014982
3,-0.196499,0.065453,0.663176,-0.014538,0.005995,-0.625304,0.780223,3.2521474000081416,-8.53635767698288,1.3878957891345023,-2.463557520455122,9.42311070138514,1.1429250763196497,0.4059233665466308,0.2592602372169494,-2.4663589000701904,-0.5616247410531651,-0.5942047032087963,0.29773781806978,0.4927988712112036,0.0220922902226448,0.0130928847938776,-0.0158954821527004,0.0065981149673461,-0.0004096515476703,0.0049710869789123,-0.0057563479058444,0.0364799387753009,0.066119947117567,0.164531797170639,0.108673359882459,0.0415405093953013
4,-0.187108,0.028417,0.660571,-0.021612,0.011219,-0.653179,0.756812,1.867732730987668,-18.14878508156538,-0.3856674697499722,-3.234822171197832,9.213027104490996,0.90909966157116,0.4892624616622925,0.4965790808200836,-1.677788019180298,-0.5378780072753544,-0.6154963484192959,0.2735197620522268,0.506989688530451,0.0856667384505271,0.0289410911500453,-0.0177545677870512,-0.0070498287677764,0.0059677651152014,-0.00406014919281,0.0183573048561811,0.0442733354866504,0.0565606761336326,0.2573319971561432,0.1182168487753719,0.0828578775592148
5,-0.17472,-0.012132,0.656421,-0.027766,0.007707,-0.691082,0.722202,-1.829744361115992,-22.00763025497198,-0.5538661277253181,-3.614969197025895,9.094951344686748,0.6198562379181385,1.0060404539108276,0.113372154533863,-0.1265950500965118,-0.5205827919151492,-0.6310908241530793,0.2648027530062936,0.5104873590240953,0.0415434874594211,0.0298547148704528,-0.0060179522261023,-0.0050782561302185,-0.0084148244932293,0.0108529329299926,0.0637948289513588,0.0494720824062824,-0.0122217681914567,0.3072152733802795,0.1160963494900614,0.1397730662189424
6,-0.171101,-0.021508,0.655573,-0.031288,0.002411,-0.700365,0.713095,-0.0476262590497732,-17.137777316462994,-1.962833273395896,-3.348848071089386,9.211324392226338,0.3272940085733309,0.4634574353694916,-0.0442759431898593,1.3658945560455322,-0.5171251789599769,-0.6350322114755811,0.2829253262953065,0.4992684537542122,0.018176645040512,0.0211676973849535,0.011265430599451,0.0022237002849578,0.0070564784109592,0.0130031108856201,0.1257038116455078,0.0609292984008789,-0.0789618930339813,0.241963118314743,0.1059695808164775,0.2520921621926129
7,-0.167959,-0.027445,0.65489,-0.031546,0.000806,-0.709372,0.704127,2.3385493310391903,-8.334872397086023,-0.6582786152929068,-2.773096055574715,9.405677336025237,0.1162913697386626,0.828758716583252,0.0770647078752517,1.5940202474594116,-0.5257647310756357,-0.6322380068862661,0.3071577653935484,0.4790621158429619,0.0074481009505689,0.0530471727252006,0.0083594564348459,0.0007360875606536,0.0127671649679541,0.0193412899971008,0.1876127868890762,0.0723865181207656,-0.1446060393333434,0.1767109632492065,0.095356343800202,0.3641413551837206
8,-0.166644,-0.02379,0.654342,-0.028695,-0.003046,-0.710465,0.703141,-0.1902767804011702,0.9150140732467174,-1.3419383400797844,-2.140328752026707,9.567698620539904,-0.2202780422427691,0.562384843826294,0.5776375532150269,1.8994560241699217,-0.5321160878832188,-0.6323214910554521,0.3337672634855156,0.4534549758240693,0.0454913564026355,0.0789369866251945,0.013524324633181,-2.759695053100586e-05,0.0118434699252247,0.0197035670280456,0.3367756605148315,0.0962599441409111,-0.241885679346323,0.0929168909788131,0.0755392251089215,0.6518630491621792
9,-0.164174,-0.011667,0.655792,-0.028732,-0.006716,-0.706478,0.707119,0.3590584989614784,8.887430876278877,-1.147769520676136,-1.2974359121389687,9.715815298342704,-0.299974149569124,-0.0961380302906036,0.401864230632782,2.132615804672241,-0.5539318248475599,-0.6236754446374846,0.3554199839431203,0.4217406050797286,0.0353079624474048,0.0706547126173973,0.0075300149619579,0.0115775167942047,0.0085410894826054,0.0144304633140563,0.6035454273223877,0.1975337564945221,-0.2680336815595626,0.0576445870101451,0.003410977487266,0.7079125609032809
