timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
50298911716,-0.103339,0.194908,0.27476,0.026751,0.056905,-0.590584,0.804523,0
50298945040,-0.104265,0.192912,0.27232,0.023901,0.050275,-0.594646,0.802058,1
50299011687,-0.082137,0.146036,0.261981,0.010031,0.032618,-0.642218,0.765762,3
50299045011,-0.066132,0.110648,0.257328,-0.00027,0.024523,-0.674114,0.73822,4
50299078334,-0.054602,0.073171,0.252069,-0.01242,0.011675,-0.699623,0.714309,5
50299111658,-0.047,0.039002,0.247875,-0.024003,0.002347,-0.720929,0.69259,6
50299178305,-0.037494,-0.007938,0.245607,-0.034105,-0.006686,-0.747734,0.663088,8
50299211629,-0.0362,-0.018621,0.245741,-0.035095,-0.009404,-0.753206,0.656781,9
50299244952,-0.035184,-0.02357,0.246065,-0.034293,-0.011778,-0.755516,0.654127,10
50299311599,-0.036247,-0.023425,0.245858,-0.03304,-0.010983,-0.754766,0.655069,12
50299344923,-0.037036,-0.021763,0.245496,-0.033497,-0.011782,-0.752931,0.657141,13
50299378246,-0.037718,-0.018566,0.244168,-0.034898,-0.013961,-0.751602,0.658545,14
50299411570,-0.038527,-0.011402,0.242589,-0.035068,-0.018016,-0.74784,0.662707,15
50299478217,-0.038025,0.035199,0.244118,-0.029376,-0.014597,-0.727566,0.685253,17
50299511540,-0.04646,0.081164,0.248522,-0.014751,0.006998,-0.704324,0.709691,18
50299544864,-0.063126,0.129514,0.2596,0.011071,0.032918,-0.671206,0.740457,19
50299578188,-0.084697,0.172839,0.26996,0.034476,0.056671,-0.634731,0.769881,20
50299644834,-0.112772,0.209907,0.283888,0.055261,0.082768,-0.594113,0.798201,22
50299678158,-0.113852,0.201904,0.281995,0.050734,0.073436,-0.594504,0.799124,23
50299711482,-0.106457,0.180793,0.275957,0.038879,0.059489,-0.608264,0.790547,24
50299778129,-0.083018,0.115275,0.259416,0.003751,0.029422,-0.65266,0.75707,26
50299811452,-0.074157,0.080909,0.252906,-0.010567,0.019467,-0.670052,0.741983,27
50299844776,-0.066807,0.049345,0.249806,-0.020411,0.012574,-0.687122,0.726147,28
50299878099,-0.061858,0.024124,0.247076,-0.027286,0.003894,-0.702456,0.711194,29
50299944747,-0.057447,-0.006299,0.242597,-0.039324,-0.01151,-0.718257,0.694571,31
50299978070,-0.056132,-0.013284,0.240733,-0.043956,-0.014292,-0.722938,0.689365,32
50300011394,-0.055618,-0.016334,0.239272,-0.047511,-0.016129,-0.725304,0.686598,33
50300078041,-0.056427,-0.01198,0.241027,-0.047716,-0.016617,-0.721987,0.690059,35
50300111364,-0.05688,-0.001165,0.240958,-0.043464,-0.019346,-0.717224,0.695217,36
50300144688,-0.056365,0.020321,0.244023,-0.037312,-0.020041,-0.708787,0.70415,37
50300178011,-0.060207,0.053811,0.24575,-0.030576,-0.01463,-0.691647,0.72144,38
50300244658,-0.084938,0.135127,0.256534,-0.002313,0.010966,-0.639149,0.769002,40
50300277982,-0.099514,0.165562,0.261474,0.007484,0.025176,-0.614355,0.788593,41
50300311306,-0.109558,0.180355,0.263771,0.010776,0.03494,-0.598417,0.80035,42
50300377952,-0.107099,0.15708,0.263409,0.000996,0.025967,-0.604388,0.796266,44
50300411277,-0.096494,0.126533,0.25863,-0.014265,0.016362,-0.624352,0.780841,45
50300444600,-0.084574,0.095433,0.254524,-0.02857,0.008922,-0.647168,0.761759,46
50300477924,-0.075638,0.066502,0.25225,-0.036663,0.008223,-0.665041,0.745861,47
50300544571,-0.064689,0.030951,0.253966,-0.040567,0.013367,-0.689998,0.722549,49
50300577894,-0.063101,0.02321,0.256499,-0.038534,0.017972,-0.693223,0.719468,50
50300611218,-0.06358,0.019604,0.258888,-0.035842,0.023002,-0.691747,0.720883,51
50300644541,-0.06377,0.016963,0.262676,-0.033064,0.025625,-0.691422,0.721239,52
50300711188,-0.063753,0.015011,0.265098,-0.035329,0.023204,-0.690168,0.722413,54
50300744512,-0.062319,0.013769,0.266252,-0.036583,0.022416,-0.690498,0.722061,55
50300777835,-0.061839,0.012674,0.266746,-0.038781,0.020724,-0.689837,0.722628,56
50300844482,-0.060975,0.011049,0.269114,-0.042551,0.018154,-0.688004,0.724231,58
50300877806,-0.060408,0.010338,0.27048,-0.043477,0.018274,-0.688051,0.724128,59
50300911129,-0.060012,0.009446,0.270834,-0.045389,0.01931,-0.688575,0.723486,60
50300944453,-0.058019,0.008101,0.270408,-0.04732,0.018403,-0.690392,0.721652,61
50301011100,-0.055818,0.005607,0.266647,-0.059734,0.007718,-0.696057,0.715456,63
50301044423,-0.05553,0.0057,0.264481,-0.068672,0.003693,-0.697217,0.713554,64
50301077747,-0.055421,0.005487,0.261838,-0.072283,-0.00281,-0.699624,0.71084,65
50301144394,-0.054762,0.006025,0.254173,-0.077949,-0.010092,-0.703382,0.706453,67
50301177718,-0.054473,0.006692,0.251044,-0.079847,-0.009813,-0.703483,0.706144,68
50301211041,-0.05457,0.007145,0.249046,-0.081001,-0.010037,-0.70304,0.70645,69
50301244365,-0.055468,0.008103,0.247787,-0.081871,-0.010731,-0.702192,0.707183,70
50301311012,-0.056155,0.009272,0.246471,-0.081439,-0.011424,-0.701089,0.708316,72
50301344336,-0.056553,0.009509,0.248468,-0.080029,-0.011071,-0.700675,0.708892,73
50301377659,-0.056623,0.009606,0.249861,-0.077934,-0.010002,-0.700221,0.709589,74
50301444306,-0.055645,0.008033,0.254037,-0.071539,-0.007149,-0.699983,0.710532,76
50301477629,-0.055088,0.007187,0.256078,-0.068417,-0.005388,-0.699918,0.710918,77
50301510953,-0.054637,0.006596,0.257119,-0.066384,-0.004687,-0.700147,0.710891,78
50301544277,-0.054137,0.005933,0.257942,-0.064742,-0.004702,-0.700816,0.710383,79
50301610924,-0.052819,0.003715,0.259525,-0.061636,-0.004047,-0.701885,0.709608,81
50301644247,-0.052635,0.002217,0.260611,-0.059745,-0.00347,-0.702381,0.709281,82
50301677571,-0.052319,0.00119,0.261455,-0.058209,-0.003033,-0.702975,0.708822,83
50301710893,-0.05182,0.000678,0.262024,-0.057667,-0.002482,-0.70316,0.708685,84
50301777541,-0.050116,-0.000597,0.264666,-0.057553,-0.00348,-0.704663,0.707195,86
50301810865,-0.049577,-0.000202,0.265648,-0.057515,-0.003169,-0.704875,0.706989,87
