timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
50913958734,-0.030421,0.208051,0.242664,0.024685,0.022258,-0.609613,0.792002,0
50913992057,-0.028722,0.193401,0.239363,0.016794,0.018975,-0.613956,0.788934,1
50914058704,-0.013958,0.131971,0.226826,-0.016591,0.002926,-0.64673,0.762533,3
50914092028,-0.007761,0.097076,0.222458,-0.0282,-0.00725,-0.663985,0.747179,4
50914125351,-0.003388,0.070003,0.220658,-0.034542,-0.009477,-0.677263,0.734868,5
50914158675,-0.001065,0.05071,0.222905,-0.033531,-0.004695,-0.687647,0.725255,6
50914225322,-0.000195,0.032566,0.229389,-0.028025,-0.001946,-0.69848,0.715078,8
50914258645,-0.000563,0.029738,0.231419,-0.027622,-0.003074,-0.699288,0.714299,9
50914291969,-0.000417,0.027732,0.232361,-0.029915,-0.003499,-0.700648,0.712872,10
50914325292,0.000961,0.024147,0.231749,-0.033243,-0.004946,-0.702829,0.710564,11
50914391939,0.005106,0.023147,0.230422,-0.039391,-0.00691,-0.710665,0.702393,13
50914425263,0.008048,0.035917,0.22925,-0.040659,-0.007083,-0.710218,0.702771,14
50914458586,0.009838,0.06505,0.229174,-0.0385,-0.00581,-0.702148,0.710966,15
50914525234,-0.000975,0.153778,0.237848,-0.006045,0.000258,-0.661502,0.749919,17
50914558557,-0.011289,0.193706,0.245166,0.011948,0.009035,-0.639115,0.768965,18
50914591881,-0.020295,0.219146,0.252086,0.024135,0.019038,-0.624608,0.780333,19
50914625204,-0.025289,0.226841,0.255855,0.031481,0.02485,-0.617932,0.785208,20
50914691851,-0.023355,0.195569,0.252318,0.02055,0.013515,-0.627228,0.778447,22
50914725175,-0.016074,0.16529,0.247292,0.005219,0.005299,-0.643499,0.765411,23
50914758498,-0.008594,0.130019,0.242097,-0.009745,-0.004596,-0.66415,0.747522,24
50914791822,-0.003351,0.095686,0.237455,-0.022648,-0.014473,-0.684292,0.728713,25
50914858468,0.002218,0.046867,0.240721,-0.035681,-0.022985,-0.712946,0.699933,27
50914891792,0.00336,0.033667,0.242713,-0.035465,-0.023394,-0.721363,0.691253,28
50914925116,0.005292,0.027434,0.243216,-0.034658,-0.021648,-0.725934,0.68655,29
50914991763,0.004301,0.024975,0.245124,-0.035224,-0.018451,-0.727314,0.685152,31
50915025086,0.004252,0.024677,0.244832,-0.037378,-0.01824,-0.726656,0.685741,32
50915058410,0.003501,0.024586,0.243812,-0.039693,-0.017834,-0.726009,0.686307,33
50915091733,0.002925,0.026394,0.242588,-0.039511,-0.016606,-0.72617,0.686178,34
50915158380,0.005935,0.06143,0.241639,-0.028962,-0.007917,-0.723154,0.690034,36
50915191704,0.004269,0.100737,0.241976,-0.019394,-0.004189,-0.708839,0.705092,37
50915225028,-0.002529,0.145467,0.244022,-0.006113,0.00285,-0.685127,0.728392,38
50915291675,-0.025025,0.215099,0.255009,0.022219,0.028151,-0.635276,0.771452,40
50915324998,-0.032412,0.227033,0.259653,0.030252,0.041404,-0.622138,0.781227,41
50915358322,-0.033981,0.221967,0.261883,0.032987,0.049963,-0.62126,0.781314,42
50915391645,-0.030299,0.202303,0.260942,0.030896,0.051329,-0.629381,0.774784,43
50915458292,-0.017121,0.137409,0.254603,0.008341,0.044597,-0.659056,0.750724,45
50915491616,-0.010299,0.104339,0.24773,-0.005489,0.034512,-0.678666,0.733615,46
50915524939,-0.005656,0.076458,0.242354,-0.015199,0.025997,-0.693569,0.71976,47
50915558263,-0.003084,0.056818,0.238802,-0.023518,0.019649,-0.702459,0.711064,48
50915624910,-0.000436,0.036198,0.236879,-0.031433,0.009887,-0.70817,0.705272,50
50915658233,0.000953,0.032832,0.237103,-0.032524,0.009171,-0.708554,0.704847,51
50915691557,0.002918,0.031071,0.237546,-0.03356,0.011475,-0.709854,0.703455,52
50915758204,0.00658,0.027206,0.236948,-0.034493,0.015177,-0.711641,0.701532,54
50915791528,0.008365,0.024823,0.237145,-0.028975,0.01216,-0.715161,0.698253,55
50915824851,0.009738,0.022251,0.234801,-0.025803,0.005463,-0.719863,0.693615,56
50915858175,0.011359,0.019857,0.232977,-0.02618,-0.002657,-0.724658,0.688606,57
50915924822,0.015422,0.017104,0.229234,-0.030617,-0.018439,-0.730377,0.682108,59
50915958145,0.016838,0.016237,0.228506,-0.030138,-0.023784,-0.731,0.681297,60
50915991468,0.017669,0.015225,0.229311,-0.027458,-0.026066,-0.731451,0.680842,61
50916024792,0.019948,0.01601,0.231114,-0.022201,-0.023254,-0.731508,0.681075,62
50916091439,0.02036,0.015081,0.233886,-0.011961,-0.016416,-0.728866,0.684356,64
50916124763,0.020859,0.015397,0.236351,-0.010334,-0.020877,-0.730197,0.68284,65
50916158086,0.021867,0.015424,0.237022,-0.010194,-0.027535,-0.73206,0.680608,66
50916224733,0.023137,0.015864,0.237916,-0.010357,-0.036482,-0.733405,0.678734,68
50916258057,0.023825,0.015933,0.238279,-0.010713,-0.040128,-0.733737,0.678163,69
50916291380,0.024943,0.015586,0.238166,-0.011041,-0.043008,-0.734217,0.677462,70
50916324704,0.026724,0.015403,0.238231,-0.010691,-0.045547,-0.734728,0.676746,71
50916391351,0.029724,0.014015,0.23878,-0.008572,-0.047078,-0.735822,0.675483,73
50916424674,0.030666,0.014191,0.240094,-0.007207,-0.04608,-0.736033,0.675337,74
50916457998,0.032081,0.013618,0.240498,-0.006355,-0.045803,-0.736462,0.674897,75
50916491321,0.033568,0.013062,0.240609,-0.006299,-0.045654,-0.737035,0.674281,76
50916557967,0.036994,0.012347,0.241068,-0.005799,-0.047083,-0.738464,0.672622,78
50916591292,0.038197,0.011923,0.240927,-0.005327,-0.047773,-0.739272,0.671689,79
50916624616,0.040348,0.011705,0.242495,-0.004776,-0.046762,-0.739885,0.671089,80
50916691263,0.042866,0.010358,0.243065,-0.002953,-0.043528,-0.740829,0.670275,82
50916724586,0.043138,0.010473,0.243952,-0.002751,-0.04312,-0.741601,0.669448,83
50916757910,0.043782,0.010281,0.2445,-0.002647,-0.04313,-0.74223,0.668751,84
50916791233,0.044512,0.009997,0.244948,-0.00187,-0.043361,-0.742598,0.66833,85
50916857880,0.044984,0.009731,0.246446,-8.1e-05,-0.04555,-0.74375,0.666904,87
50916891204,0.045638,0.009372,0.247092,0.001503,-0.047257,-0.745161,0.665206,88
50916924527,0.045647,0.009117,0.248865,0.003398,-0.047321,-0.744562,0.665865,89
50916991174,0.04579,0.00888,0.251314,0.005609,-0.045221,-0.744398,0.66618,91
50917024498,0.044741,0.009565,0.254699,0.005115,-0.044521,-0.744994,0.665565,92
50917057821,0.044366,0.010126,0.257051,0.005243,-0.045012,-0.745245,0.665249,93
50917091145,0.044417,0.010556,0.258842,0.0052,-0.044252,-0.744687,0.665925,94
50917157792,0.044595,0.011609,0.26352,0.005909,-0.040726,-0.741565,0.669618,96
50917191116,0.044637,0.012274,0.266608,0.004929,-0.039013,-0.740144,0.671298,97
50917224439,0.045234,0.012832,0.269364,0.003706,-0.034012,-0.738225,0.673686,98
50917257763,0.046119,0.01481,0.273937,0.004524,-0.026637,-0.73616,0.676269,99
50917324410,0.04789,0.021909,0.285691,0.003568,-0.026714,-0.730724,0.68214,101
50917357733,0.048499,0.027277,0.293682,0.005044,-0.030342,-0.726124,0.686876,102
50917391056,0.048733,0.034216,0.303415,0.00675,-0.02896,-0.719129,0.69424,103
50917457704,0.05095,0.0465,0.326321,0.010585,-0.026282,-0.713052,0.700539,105
50917491027,0.05139,0.053409,0.336903,0.011448,-0.028296,-0.712351,0.701159,106
50917524351,0.052502,0.056843,0.347934,0.011457,-0.021823,-0.710573,0.703192,107
50917557674,0.052491,0.062229,0.359145,0.01386,-0.010199,-0.70795,0.706053,108
50917624321,0.050459,0.071547,0.380114,0.014475,0.003839,-0.696792,0.717117,110
50917657645,0.050607,0.074499,0.389315,0.015164,0.006566,-0.696473,0.717393,111
50917690969,0.050687,0.076531,0.397074,0.014771,0.005741,-0.694751,0.719076,112
50917724292,0.05124,0.076507,0.406627,0.023122,0.01007,-0.692844,0.720647,113
50917790939,0.052172,0.077132,0.419704,0.024547,0.006557,-0.692064,0.721389,115
50917824262,0.051867,0.077874,0.424279,0.020029,0.006479,-0.688302,0.725119,116
50917857586,0.052242,0.079163,0.428636,0.016499,0.004999,-0.687044,0.726411,117
50917924233,0.055431,0.087166,0.436622,0.011289,-0.00397,-0.68634,0.727182,119
50917957556,0.057614,0.093295,0.440452,0.013739,-0.004073,-0.684398,0.728968,120
50917990880,0.058912,0.100779,0.4437,0.022138,0.003839,-0.679331,0.733488,121
50918024204,0.058234,0.109143,0.445241,0.024646,0.017014,-0.670104,0.741663,122
50918090851,0.056242,0.124701,0.447995,0.012473,0.042771,-0.6583,0.751436,124
50918124174,0.055649,0.13062,0.448048,0.000328,0.050401,-0.65062,0.757729,125
50918157498,0.056291,0.135594,0.447721,-0.01225,0.056701,-0.642534,0.764058,126
50918190821,0.058703,0.139669,0.44845,-0.013216,0.060988,-0.637777,0.767689,127
50918257468,0.064471,0.146695,0.451026,-0.009931,0.074825,-0.625058,0.77692,129
50918290792,0.067311,0.149686,0.452001,-0.015198,0.079638,-0.622726,0.778228,130
50918324115,0.069731,0.150879,0.450683,-0.024872,0.078988,-0.621178,0.779282,131
50918390762,0.074974,0.151068,0.450502,-0.052103,0.083356,-0.627408,0.772462,133
50918424086,0.078538,0.149263,0.451001,-0.059843,0.086887,-0.631958,0.767788,134
50918457409,0.083919,0.146568,0.452193,-0.056734,0.08752,-0.639493,0.761689,135
