timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
50610029041,-0.056968,0.21263,0.299474,-0.045166,0.075454,-0.585217,0.806094,0
50610062365,-0.053452,0.199863,0.296714,-0.045688,0.07492,-0.594737,0.799117,1
50610129012,-0.031381,0.148548,0.287558,-0.05682,0.068202,-0.632182,0.769718,3
50610162336,-0.020747,0.115487,0.284061,-0.066672,0.063323,-0.656416,0.748775,4
50610195659,-0.011686,0.084355,0.278642,-0.07234,0.059261,-0.678938,0.728216,5
50610228982,-0.006809,0.059261,0.276373,-0.074973,0.055629,-0.693647,0.714239,6
50610295630,-0.000403,0.031219,0.275552,-0.077374,0.054811,-0.712468,0.695268,8
50610328953,0.000982,0.025987,0.276831,-0.075759,0.056775,-0.716629,0.691,9
50610362277,0.000907,0.023523,0.278354,-0.074755,0.057865,-0.719174,0.688369,10
50610428924,0.005497,0.020312,0.278943,-0.074217,0.059269,-0.72117,0.686216,12
50610462247,0.005272,0.021218,0.278749,-0.07647,0.059288,-0.722219,0.684863,13
50610495571,0.00653,0.025797,0.276585,-0.079176,0.060627,-0.720632,0.686108,14
50610528894,0.006657,0.040221,0.276483,-0.07963,0.060881,-0.713612,0.693332,15
50610595541,-0.003615,0.105596,0.281359,-0.071907,0.068716,-0.674274,0.731753,17
50610628865,-0.017336,0.147136,0.287393,-0.063324,0.080104,-0.643037,0.758997,18
50610662189,-0.033471,0.183559,0.294151,-0.053371,0.088864,-0.613373,0.782961,19
50610728836,-0.055247,0.215668,0.299706,-0.0468,0.095206,-0.578564,0.808708,21
50610762159,-0.057073,0.209328,0.298027,-0.049489,0.092011,-0.578377,0.809052,22
50610795483,-0.051308,0.191796,0.293897,-0.051122,0.084527,-0.587939,0.802851,23
50610828806,-0.042016,0.165408,0.289759,-0.054839,0.080835,-0.60401,0.790968,24
50610895453,-0.020541,0.104983,0.281851,-0.067312,0.076713,-0.649204,0.753737,26
50610928777,-0.011699,0.07808,0.278908,-0.071411,0.073597,-0.671458,0.733913,27
50610962100,-0.005726,0.056304,0.27681,-0.076175,0.067489,-0.68782,0.718712,28
50611028747,0.002289,0.030378,0.276129,-0.079076,0.062266,-0.70774,0.699267,30
50611062071,0.00406,0.024717,0.277117,-0.078077,0.063051,-0.712366,0.694596,31
50611095394,0.004199,0.022937,0.27802,-0.07658,0.064977,-0.71493,0.691946,32
50611128718,0.003702,0.023166,0.279163,-0.075549,0.066569,-0.715871,0.690934,33
50611195365,5.3e-05,0.033853,0.281836,-0.073287,0.068322,-0.709627,0.697417,35
50611228689,-0.001509,0.05084,0.283589,-0.071663,0.067033,-0.700873,0.706504,36
50611262012,-0.00416,0.080297,0.286168,-0.069732,0.068399,-0.684506,0.722434,37
50611328659,-0.021621,0.156619,0.295794,-0.064013,0.073214,-0.629243,0.7711,39
50611361983,-0.033669,0.191475,0.301367,-0.057824,0.080085,-0.604003,0.790837,40
50611395306,-0.041993,0.213715,0.305151,-0.053286,0.08803,-0.589952,0.800855,41
50611428629,-0.0484,0.220425,0.305538,-0.056871,0.09195,-0.582993,0.805252,42
50611495277,-0.046874,0.188508,0.29822,-0.070684,0.076635,-0.596087,0.796123,44
50611528600,-0.040445,0.158427,0.294172,-0.074053,0.072413,-0.611806,0.784198,45
50611561924,-0.032543,0.126761,0.29156,-0.074723,0.074339,-0.629863,0.769521,46
50611628571,-0.013086,0.076564,0.287686,-0.084414,0.076939,-0.674143,0.729716,48
50611661895,-0.005259,0.058984,0.286224,-0.090068,0.074212,-0.689566,0.714758,49
50611695218,8e-05,0.048294,0.285574,-0.092193,0.072816,-0.696794,0.707585,50
50611728542,0.003064,0.04221,0.287,-0.09152,0.077061,-0.699621,0.704426,51
50611795189,0.004433,0.038219,0.291903,-0.089716,0.089072,-0.696873,0.705964,53
50611828512,0.00365,0.036993,0.291615,-0.089754,0.088346,-0.695788,0.70712,54
50611861836,0.004398,0.036301,0.292956,-0.088804,0.080695,-0.697505,0.706463,55
50611928483,0.00524,0.033105,0.29532,-0.083711,0.080696,-0.69923,0.705378,57
50611961806,0.00741,0.031192,0.298491,-0.080051,0.085272,-0.702765,0.701742,58
50611995130,0.00938,0.03033,0.299313,-0.074518,0.08765,-0.703996,0.700824,59
50612028453,0.01036,0.02926,0.299737,-0.073378,0.084661,-0.704728,0.700576,60
50612095100,0.011378,0.027494,0.29904,-0.076843,0.081843,-0.70447,0.700799,62
50612128424,0.011868,0.027183,0.298073,-0.078828,0.079578,-0.704942,0.700365,63
50612161747,0.012398,0.027224,0.297423,-0.079241,0.07548,-0.707266,0.698425,64
50612228394,0.011712,0.030489,0.295165,-0.079134,0.071783,-0.707455,0.698636,66
50612261718,0.010632,0.031909,0.295209,-0.078305,0.073528,-0.704119,0.701911,67
50612295041,0.009739,0.031648,0.295342,-0.077372,0.074276,-0.701181,0.70487,68
50612328365,0.009072,0.031907,0.295641,-0.076627,0.073482,-0.699475,0.706728,69
50612395012,0.009286,0.031468,0.297821,-0.076112,0.067042,-0.699566,0.707332,71
50612428336,0.009724,0.030816,0.298829,-0.075341,0.064729,-0.699751,0.707448,72
50612461659,0.010659,0.029883,0.299893,-0.074189,0.062801,-0.700347,0.707154,73
50612528306,0.014516,0.027852,0.302383,-0.072976,0.062083,-0.701836,0.705866,75
50612561630,0.016003,0.026954,0.303548,-0.072189,0.060389,-0.702972,0.704962,76
50612594953,0.01679,0.026033,0.305629,-0.070537,0.059346,-0.703882,0.70431,77
50612628277,0.016934,0.02565,0.307579,-0.068043,0.058731,-0.703716,0.704773,78
50612694924,0.016692,0.024709,0.310537,-0.062858,0.060081,-0.702335,0.706516,80
50612728247,0.016996,0.024242,0.311295,-0.0621,0.059835,-0.702647,0.706293,81
50612761571,0.017622,0.023964,0.311629,-0.062696,0.058924,-0.703378,0.705589,82
50612828218,0.0179,0.022784,0.313282,-0.061811,0.060165,-0.703988,0.704955,84
50612861541,0.017933,0.022548,0.313433,-0.060798,0.061392,-0.70375,0.705174,85
50612894865,0.017319,0.022233,0.313111,-0.060888,0.061523,-0.703682,0.705223,86
50612928188,0.017269,0.022171,0.312454,-0.061535,0.06034,-0.70433,0.704622,87
50612994835,0.016894,0.022599,0.311474,-0.063391,0.059017,-0.705338,0.70356,89
50613028159,0.016711,0.022785,0.311386,-0.063485,0.058995,-0.705801,0.703089,90
50613061483,0.016822,0.02309,0.311496,-0.063036,0.059368,-0.706008,0.70289,91
50613128130,0.018148,0.024585,0.314067,-0.062352,0.058233,-0.707154,0.701894,93
50613161453,0.018764,0.026416,0.315576,-0.062679,0.058677,-0.707001,0.701981,94
50613194777,0.019487,0.028977,0.318655,-0.062309,0.05983,-0.705682,0.703243,95
50613228100,0.019565,0.032829,0.322781,-0.060341,0.057882,-0.704462,0.704799,96
50613294747,0.01866,0.044232,0.335855,-0.053109,0.047171,-0.70159,0.709031,98
50613328071,0.017998,0.051327,0.34385,-0.048243,0.044382,-0.699944,0.711183,99
50613361394,0.017074,0.059406,0.352712,-0.043903,0.042466,-0.697761,0.713722,100
50613428041,0.013572,0.078175,0.373358,-0.039938,0.03163,-0.693789,0.718374,102
50613461365,0.012481,0.08856,0.384895,-0.037673,0.025571,-0.694308,0.718237,103
50613494688,0.011456,0.098281,0.39843,-0.033319,0.021036,-0.694749,0.718172,104
50613528012,0.009951,0.108323,0.412901,-0.028062,0.021562,-0.692181,0.720856,105
50613594659,0.007797,0.127662,0.442887,-0.019035,0.02259,-0.686575,0.726458,107
50613627982,0.007813,0.136526,0.458264,-0.018986,0.01722,-0.683916,0.72911,108
50613661306,0.009059,0.144791,0.474379,-0.021288,0.014202,-0.681,0.731836,109
50613727953,0.014995,0.157058,0.508309,-0.024577,0.014295,-0.677646,0.734839,111
50613761277,0.019546,0.161418,0.524293,-0.024325,0.014251,-0.679326,0.733295,112
50613794600,0.024993,0.164436,0.539271,-0.026379,0.015009,-0.682049,0.730676,113
50613827924,0.030664,0.167119,0.55392,-0.029352,0.020694,-0.683134,0.729409,114
50613894571,0.040641,0.17016,0.580001,-0.042123,0.033075,-0.677304,0.733751,116
50613927894,0.046991,0.170486,0.590868,-0.050867,0.037418,-0.677883,0.732453,117
50613961218,0.053409,0.169889,0.599759,-0.060101,0.041734,-0.677963,0.731446,118
50614027864,0.0663,0.1642,0.614663,-0.070054,0.054472,-0.680737,0.727133,120
50614061188,0.071965,0.160879,0.620607,-0.072724,0.062876,-0.680335,0.726569,121
50614094512,0.077743,0.156062,0.627253,-0.074274,0.076336,-0.679153,0.726228,122
50614127835,0.08343,0.151316,0.631765,-0.076201,0.086859,-0.678807,0.725169,123
50614194483,0.093215,0.141353,0.636388,-0.079183,0.094227,-0.685924,0.717189,125
50614227806,0.09778,0.138155,0.633845,-0.079029,0.087102,-0.700808,0.703588,126
50614261129,0.100575,0.137153,0.629189,-0.089794,0.074629,-0.708711,0.69577,127
50614327776,0.100154,0.138539,0.616402,-0.117085,0.049405,-0.698788,0.70395,129
50614361100,0.099887,0.139563,0.615701,-0.115105,0.05712,-0.692665,0.70972,130
50614394424,0.10176,0.140928,0.615304,-0.107204,0.074276,-0.690081,0.711884,131
50614427747,0.102662,0.141302,0.614514,-0.104734,0.074352,-0.691266,0.711094,132
50614494394,0.106205,0.14358,0.609757,-0.107828,0.065008,-0.69331,0.709555,134
50614527718,0.108975,0.14431,0.608942,-0.105877,0.066151,-0.696077,0.707029,135
50614561041,0.110188,0.144738,0.609074,-0.106459,0.066923,-0.695809,0.707134,136
50614627688,0.111269,0.1475,0.61387,-0.096207,0.079259,-0.693716,0.70938,138
50614661012,0.112137,0.148184,0.61668,-0.090874,0.088606,-0.693168,0.709513,139
50614694335,0.112536,0.148874,0.619394,-0.086836,0.095113,-0.69334,0.709008,140
50614727659,0.113515,0.148909,0.621815,-0.081514,0.102539,-0.694409,0.707557,141
50614794306,0.116047,0.147728,0.625125,-0.077149,0.112853,-0.695026,0.705869,143
50614827629,0.117176,0.146708,0.626193,-0.079999,0.118277,-0.690995,0.708616,144
50614860953,0.119275,0.144984,0.627585,-0.081401,0.125089,-0.687346,0.710832,145
50614927600,0.12187,0.135293,0.631336,-0.074838,0.137595,-0.687118,0.709462,147
50614960923,0.124519,0.131149,0.633101,-0.071065,0.144319,-0.690781,0.704942,148
50614994247,0.124964,0.125266,0.633697,-0.065898,0.154317,-0.695001,0.699154,149
50615027571,0.125571,0.120002,0.633686,-0.065602,0.158239,-0.698002,0.695306,150
50615094217,0.125679,0.112016,0.632509,-0.068282,0.155084,-0.697867,0.695894,152
50615127541,0.124149,0.107916,0.628438,-0.070986,0.15076,-0.697742,0.696699,153
