frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.034031,0.202834,0.225933,0.018744,0.069216,-0.605827,0.792359,-0.0694530005304142,11.843231815695765,0.0317348989674821,0.2883731070918962,9.797058580312132,-0.3238275745717808,0.8990520238876343,0.0706111267209053,-0.5355765223503113,0.5576604672982121,0.5635095318739761,-0.4460578643392184,-0.4153361872901168,0.0443946681916713,0.041890550404787,-0.1498644053936004,-0.0661043524742126,-0.0518450438976287,-0.0375482439994812,0.0864455252885818,0.0444095581769943,0.0184369894444942,0.0355193763971328,-0.2952976821906865,0.1310727318855933
1,-0.033711,0.196831,0.222493,0.016553,0.063033,-0.611063,0.788894,3.940682621876895,11.3446860817194,-1.8339350908041,-0.1068176124805584,9.786837630549073,-0.613836466171965,0.4284222424030304,0.3018865883350372,-1.5156941413879397,0.5428159481459045,0.5827394297102516,-0.4378489530061942,-0.417197747229071,0.2421191930770874,0.0092406226322054,0.0326827727258205,-0.0142163634300231,-0.0548281669616699,-0.0358121395111084,0.0869713053107261,0.0191975943744182,0.3806827401399612,0.0290850885212421,-0.3034351036779582,0.1113795135686174
2,-0.023506,0.150802,0.211209,-0.003389,0.027136,-0.630202,0.77595,5.106322438025474,4.962587336307764,-1.7224387093901634,-0.8102272724740207,9.753523974490165,-0.6186416014313697,-0.4965185523033142,0.3175064325332641,-2.024308919906616,0.530332947907823,0.6011287673622911,-0.4125362401600583,-0.4326721137806936,-0.0478772036731243,0.0535252653062343,0.2235306203365326,0.0743616819381713,-0.0685381591320037,-0.0082305818796157,0.0907765254378318,-0.0067549124360084,0.1381453188866376,0.0298591069877147,-0.2698804784700274,-0.0599698087236844
3,-0.016334,0.11828,0.206107,-0.020758,0.015009,-0.647729,0.76144,2.818479504133761,-4.327042530870437,-1.1305097583174706,-1.5679584879048167,9.678234047967194,-0.2090462532030418,-1.527535080909729,-0.0964663699269294,-1.743323802947998,0.5267701084890574,0.6063907514360416,-0.3780855056240661,-0.4602771001562468,-0.2784696519374847,-0.0068898242898285,0.3586256504058838,0.1607592701911926,-0.0486495196819305,-0.0160046219825744,0.0755189955234527,0.0016460856422781,-0.1221510464191436,0.0106979943811893,-0.2640701847560703,-0.2156033649626187
4,-0.010372,0.086132,0.202886,-0.031573,0.007206,-0.666741,0.744585,1.9736314385250209,-10.27443351596594,0.4471738221248612,-2.158134603960812,9.557219896623492,0.4151873595491051,-1.45462965965271,-0.3372646570205688,-1.4481831789016724,0.5295128531063803,0.5986853303593594,-0.3469974210610422,-0.4906982347757648,-0.0952476486563682,0.0565621703863143,0.1701535433530807,-0.0353431701660156,-0.0001677870750427,-0.0320861935615539,0.0602614618837833,0.0100470837205648,-0.3824386438965797,-0.008463118225336,-0.2582888248756528,-0.3712600280825048
5,-0.00588,0.059257,0.200813,-0.036613,0.003884,-0.683931,0.728617,-0.1780211099401116,-13.29475164347887,1.1267366695195435,-2.592070210860669,9.416891973000764,0.87960439475663,-0.7516828179359436,-0.2832083404064178,-0.728217601776123,0.5289395899305317,0.5909922384891914,-0.3253933484274871,-0.5148497734999816,0.3121265172958374,0.0940909013152122,-0.0232123173773288,-0.0899576544761657,0.0126204192638397,-0.047878086566925,0.0430498532950878,0.0217384733259677,-0.3502747423946857,-0.043461188673973,-0.2400556874401867,-0.4506712723191827
6,-0.00348,0.030627,0.200537,-0.041561,0.008459,-0.705219,0.70772,-0.8542787417769432,-13.220788581645488,1.5441304530717432,-2.6361685880452392,9.393807450011373,0.9886359204269946,0.2795957922935486,-0.095487430691719,0.4065084755420685,0.5292715138791078,0.587513116697129,-0.3231438292554505,-0.5198828809874911,0.2120433151721954,-0.0413029231131076,-0.0252448413521051,-0.0172746181488037,-0.0233304798603057,-0.0324646234512329,0.0225487668067216,0.0100264698266983,-0.2362082182317972,-0.0873058587312698,-0.2197599183864891,-0.4864660411367192
7,-0.003396,0.024158,0.20067,-0.041997,0.00851,-0.709264,0.70364,0.3432359297990798,-10.646296989834308,-0.0313737009722739,-2.427537674177438,9.472238597169518,0.744396517561376,1.0706772804260254,-0.2787440121173858,0.5452201962471008,0.5253639959400351,0.5894016836280889,-0.3386030056725713,-0.5118068310312275,-0.2546737790107727,-0.1458541452884674,0.0107885254546999,-0.0161649584770202,-0.0552521646022796,-0.0095595568418502,0.000435234978795,0.0025179125368595,-0.066108841201663,-0.028630893677473,-0.1799092617742717,-0.2440187458522617
8,-0.003692,0.020903,0.201481,-0.040223,0.010038,-0.711012,0.701956,-0.4030807421699166,-6.697170072478055,-0.5075543853402138,-2.1536273556694385,9.563029459685088,0.2841453881279565,1.3661739826202393,-0.0228169448673725,1.004146695137024,0.515526870940319,0.595002745879954,-0.3626077078598415,-0.498717785609618,-0.2925940155982971,-0.1581622809171676,0.0322633907198905,-0.0352336168289184,-0.0069739818572998,-0.0171645283699035,-0.0216782949864864,-0.0049906442873179,0.1040846438527107,0.0300440676510334,-0.1400631352066993,-0.0015764190038666
9,-0.00624,0.021116,0.203076,-0.036035,0.01419,-0.712368,0.700737,1.6114989389456809,-1.1831558913558722,-1.4462532855570316,-1.6535469594717025,9.664016137522458,-0.2072418341295793,0.9930343627929688,0.3542563915252685,1.4800620079040527,0.5157541276583598,0.6006478446276254,-0.3870252705257535,-0.4726851388208871,-0.190105453133583,-0.106757678091526,0.0260358545929193,-0.0453084707260131,0.0013000965118408,-0.0070247650146484,-0.0320337414741516,-0.037197109311819,0.371052157485485,0.1078600585460662,-0.1147628358639776,0.2438019978290423
