timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
75933144512,0.003204,0.198238,0.385364,0.038543,0.037249,-0.617675,0.784605,0
75933177835,0.002816,0.193321,0.384879,0.036735,0.042884,-0.618056,0.784104,1
75933211159,0.005064,0.176185,0.382121,0.029895,0.046223,-0.62506,0.778633,2
75933277806,0.012937,0.122663,0.372887,0.011869,0.038711,-0.646178,0.762112,4
75933311130,0.017029,0.094387,0.368496,0.000585,0.031731,-0.661241,0.749502,5
75933344453,0.02093,0.069033,0.366098,-0.009108,0.034283,-0.679555,0.732767,6
75933377777,0.023849,0.048765,0.364693,-0.015285,0.029684,-0.691998,0.721127,7
75933411101,0.024876,0.035696,0.363898,-0.016769,0.024746,-0.699291,0.714212,8
75933477748,0.023101,0.025584,0.361635,-0.018279,0.016636,-0.703146,0.710616,10
75933511071,0.02201,0.024948,0.361251,-0.018822,0.016054,-0.702582,0.711173,11
75933544395,0.02136,0.025386,0.361528,-0.017826,0.01756,-0.702383,0.711359,12
75933577719,0.020931,0.025541,0.360542,-0.017871,0.019777,-0.702416,0.711267,13
75933611042,0.020062,0.025666,0.359632,-0.01822,0.021448,-0.702058,0.711563,14
75933677689,0.017937,0.026726,0.357896,-0.020981,0.026921,-0.702735,0.710632,16
75933711013,0.016506,0.031478,0.356217,-0.02326,0.031637,-0.701584,0.711504,17
75933744336,0.015636,0.045425,0.354151,-0.026017,0.037327,-0.697418,0.715219,18
75933777660,0.015551,0.072831,0.35484,-0.020708,0.044333,-0.689461,0.722669,19
75933844307,0.005508,0.153817,0.360493,0.00458,0.049598,-0.654314,0.754581,21
75933877631,-0.002531,0.189542,0.365344,0.019913,0.043485,-0.635752,0.77041,22
75933910954,-0.010351,0.212236,0.370169,0.03016,0.040016,-0.624802,0.779174,23
75933944278,-0.016602,0.219265,0.37471,0.036798,0.043455,-0.618846,0.783446,24
75933977602,-0.01885,0.211597,0.378709,0.043038,0.051235,-0.6164,0.784585,25
75934044249,-0.011484,0.166483,0.379624,0.044247,0.0592,-0.629227,0.773699,27
75934077572,-0.003811,0.135848,0.377825,0.03631,0.05365,-0.644911,0.761508,28
75934110896,0.003384,0.106165,0.373682,0.02392,0.045289,-0.664679,0.745371,29
75934144220,0.00886,0.07991,0.370105,0.013696,0.039079,-0.683916,0.728385,30
75934177543,0.012982,0.057526,0.367844,0.00792,0.031417,-0.69802,0.715345,31
75934244191,0.016789,0.031774,0.36548,-0.000615,0.024682,-0.713006,0.700724,33
75934277514,0.017655,0.026797,0.364518,-0.002626,0.01927,-0.715239,0.698609,34
75934310837,0.018018,0.025139,0.364235,-0.00317,0.016444,-0.715301,0.698616,35
75934344161,0.01798,0.025384,0.36427,-0.003317,0.016099,-0.714514,0.699428,36
75934377485,0.017883,0.026677,0.365424,-0.003461,0.018099,-0.713531,0.700382,37
75934444132,0.015494,0.029601,0.365912,-0.002181,0.021485,-0.709282,0.704594,39
75934477456,0.014637,0.032006,0.365876,-0.00201,0.024379,-0.70674,0.70705,40
75934510779,0.013493,0.037277,0.365537,-0.002625,0.029945,-0.703092,0.710464,41
75934544103,0.012429,0.050264,0.365317,-0.003593,0.038428,-0.69568,0.717314,42
75934577426,0.011176,0.075111,0.366704,-0.002038,0.04817,-0.679601,0.731996,43
75934644074,-0.001287,0.154336,0.372759,0.02468,0.041896,-0.625593,0.778633,45
75934677397,-0.007834,0.192066,0.374714,0.034143,0.035052,-0.610406,0.790576,46
75934710720,-0.01347,0.216858,0.376323,0.036353,0.032029,-0.603633,0.795789,47
75934744044,-0.018101,0.224834,0.377926,0.038496,0.032803,-0.596646,0.80091,48
75934777368,-0.016775,0.215616,0.379376,0.039384,0.039217,-0.598613,0.799108,49
75934844015,-0.004517,0.165397,0.376046,0.030548,0.050521,-0.623548,0.779553,51
75934877339,0.003081,0.13501,0.371985,0.022575,0.046008,-0.644443,0.762933,52
75934910662,0.009841,0.108049,0.367956,0.017034,0.034845,-0.665427,0.745455,53
75934943986,0.01468,0.08617,0.364764,0.00994,0.026956,-0.680774,0.73193,54
75934977310,0.017419,0.070798,0.363732,0.00551,0.022864,-0.691328,0.722159,55
75935043957,0.019694,0.055099,0.366266,0.008558,0.021662,-0.698669,0.715066,57
75935077280,0.019364,0.052834,0.367501,0.011929,0.020156,-0.699586,0.714165,58
75935110604,0.018864,0.052193,0.369217,0.015049,0.018487,-0.699084,0.714643,59
75935143927,0.018175,0.052105,0.371796,0.019866,0.019643,-0.697526,0.716014,60
75935210574,0.01617,0.051172,0.375534,0.026828,0.018362,-0.695602,0.717691,62
75935243898,0.016342,0.050523,0.376421,0.030487,0.013833,-0.697346,0.715953,63
75935277222,0.016915,0.049966,0.376916,0.033923,0.005312,-0.699562,0.713747,64
75935310545,0.017362,0.049608,0.377648,0.037275,-0.001322,-0.701374,0.711817,65
75935343869,0.01748,0.049432,0.378582,0.038646,-0.003675,-0.702328,0.710794,66
75935410516,0.016915,0.050092,0.379828,0.039394,0.006817,-0.698522,0.714471,68
75935443840,0.016043,0.050831,0.38025,0.039997,0.010325,-0.696289,0.716572,69
75935477161,0.015898,0.050945,0.380515,0.041738,0.006754,-0.696296,0.716508,70
75935510487,0.015821,0.051106,0.380707,0.043075,0.001578,-0.697028,0.715747,71
75935543810,0.015748,0.051285,0.381155,0.043928,-0.00047,-0.697744,0.714999,72
75935610458,0.015402,0.051373,0.383647,0.04627,-0.00507,-0.698857,0.713745,74
75935643781,0.015087,0.051717,0.384202,0.047123,-0.007734,-0.698759,0.713762,75
75935677105,0.014146,0.051816,0.384484,0.047818,-0.011092,-0.698491,0.713934,76
75935710429,0.013793,0.05235,0.384591,0.047966,-0.015927,-0.69832,0.714,77
75935743752,0.013655,0.052904,0.384584,0.047505,-0.022065,-0.698487,0.713703,78
75935810399,0.013491,0.053285,0.384458,0.046066,-0.037649,-0.69962,0.712034,80
75935843723,0.013843,0.053297,0.384597,0.045343,-0.043391,-0.699861,0.711517,81
75935877046,0.013887,0.053928,0.386669,0.0456,-0.046116,-0.699993,0.711199,82
75935910370,0.014351,0.054121,0.388123,0.045894,-0.047575,-0.700161,0.710918,83
75935943693,0.015088,0.053999,0.389253,0.046685,-0.048958,-0.700532,0.710408,84
75936010341,0.01645,0.054575,0.392058,0.04856,-0.052535,-0.701309,0.709258,86
75936043664,0.017015,0.054313,0.393562,0.04985,-0.05401,-0.701628,0.708743,87
75936076988,0.017516,0.054294,0.393929,0.051329,-0.05441,-0.701823,0.708413,88
75936110311,0.018124,0.053923,0.394993,0.053246,-0.054051,-0.702142,0.707983,89
75936143635,0.018997,0.05333,0.396518,0.055273,-0.053519,-0.702798,0.707217,90
