timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
76898277389,-0.00206,0.177871,0.397374,0.009933,0.042393,-0.576427,0.815988,0
76898310712,-0.002934,0.169317,0.395584,0.005636,0.050849,-0.577271,0.814948,1
76898344036,0.002403,0.148985,0.393027,-0.000256,0.058487,-0.587849,0.806854,2
76898410683,0.024651,0.095498,0.383753,-0.026575,0.058446,-0.631824,0.772449,4
76898444006,0.034734,0.069538,0.379714,-0.035052,0.04968,-0.655345,0.752879,5
76898477330,0.041689,0.045829,0.377635,-0.04339,0.042528,-0.675938,0.73445,6
76898510654,0.044438,0.027237,0.377225,-0.048262,0.03739,-0.689507,0.721701,7
76898543977,0.045969,0.013781,0.377477,-0.051733,0.032295,-0.699302,0.71222,8
76898610624,0.048736,0.001206,0.375726,-0.061248,0.027107,-0.711303,0.699688,10
76898643948,0.049957,0.002455,0.374766,-0.063406,0.026444,-0.713238,0.697547,11
76898677272,0.049397,0.010935,0.373777,-0.064311,0.024546,-0.708337,0.70251,12
76898710595,0.048318,0.030701,0.37134,-0.065017,0.028121,-0.694399,0.716095,13
76898743919,0.043298,0.064185,0.370632,-0.059211,0.030275,-0.670926,0.738537,14
76898810566,0.014598,0.149377,0.375288,-0.037752,0.031787,-0.599625,0.798758,16
76898843889,-2.9e-05,0.182383,0.382171,-0.02255,0.036721,-0.566669,0.822818,17
76898877213,-0.013676,0.200601,0.387875,-0.00852,0.041542,-0.545669,0.836927,18
76898910537,-0.018621,0.201888,0.387877,-0.0015,0.042975,-0.537748,0.842008,19
76898943860,-0.016183,0.189577,0.385836,-0.000712,0.043717,-0.5429,0.838659,20
76899010507,0.005306,0.142194,0.37407,-0.01659,0.030461,-0.579724,0.814074,22
76899043831,0.018224,0.11394,0.365932,-0.032552,0.021609,-0.606961,0.793771,23
76899077155,0.028789,0.086597,0.35812,-0.048061,0.010386,-0.63468,0.771209,24
76899110478,0.036993,0.063441,0.357301,-0.06096,0.002426,-0.658756,0.749879,25
76899143802,0.0414,0.04366,0.355648,-0.070535,-0.001703,-0.676098,0.733426,26
76899210449,0.046306,0.01643,0.354467,-0.081651,-0.00126,-0.703027,0.706459,28
76899243772,0.047794,0.009093,0.354204,-0.082967,-0.003524,-0.713377,0.695843,29
76899277096,0.047901,0.006087,0.354792,-0.080728,0.000992,-0.72118,0.688028,30
76899310419,0.046697,0.010065,0.354731,-0.076545,0.003955,-0.720475,0.689232,31
76899343743,0.043523,0.023116,0.355733,-0.069414,0.009616,-0.714191,0.696434,32
76899410390,0.034958,0.086228,0.361024,-0.044337,0.019999,-0.676744,0.73461,34
76899443714,0.024285,0.129911,0.367076,-0.02749,0.026182,-0.646845,0.761676,35
76899477038,0.008818,0.170413,0.374695,-0.009489,0.032407,-0.613965,0.788611,36
76899510361,-0.005671,0.197786,0.382811,0.007429,0.030521,-0.583671,0.811382,37
76899543685,-0.016327,0.208997,0.387483,0.017433,0.024915,-0.564673,0.824754,38
76899610332,-0.015435,0.183874,0.389378,0.016284,0.025737,-0.574262,0.818105,40
76899643655,-0.006526,0.156918,0.387238,0.008841,0.025586,-0.593843,0.804126,41
76899676979,0.004776,0.128333,0.382197,-0.004063,0.017738,-0.620586,0.783927,42
76899710303,0.014867,0.104411,0.379054,-0.015917,0.007037,-0.646528,0.762692,43
76899743626,0.021974,0.08467,0.375424,-0.026875,-0.003867,-0.665551,0.745859,44
76899810273,0.026937,0.060117,0.372745,-0.039796,-0.01201,-0.682421,0.729776,46
76899843597,0.026366,0.05473,0.373234,-0.04245,-0.013515,-0.683829,0.728281,47
76899876920,0.025092,0.052759,0.374605,-0.041183,-0.012305,-0.683974,0.728239,48
76899910244,0.025868,0.051738,0.376605,-0.037308,-0.011974,-0.683386,0.729005,49
76899943567,0.025732,0.05116,0.378796,-0.033088,-0.00982,-0.683301,0.729321,50
76900010215,0.025231,0.048235,0.381496,-0.028774,-0.005315,-0.687297,0.725787,52
76900043538,0.028769,0.04499,0.3814,-0.028897,-0.004361,-0.69024,0.72299,53
76900076862,0.029359,0.042609,0.381389,-0.030803,-0.004453,-0.692609,0.720642,54
76900110185,0.031836,0.040468,0.381823,-0.032192,-0.003279,-0.694391,0.71887,55
76900143509,0.032391,0.039086,0.383323,-0.031343,-0.001655,-0.694678,0.718636,56
76900210156,0.032042,0.038395,0.38734,-0.026946,-0.004857,-0.695055,0.718435,58
76900243480,0.032164,0.038679,0.38901,-0.019592,-0.013566,-0.697514,0.716175,59
76900276803,0.031794,0.038743,0.38937,-0.015836,-0.030355,-0.700459,0.712871,60
76900310127,0.0326,0.04056,0.389997,-0.013395,-0.044278,-0.703242,0.709444,61
76900343450,0.032637,0.041046,0.391841,-0.013037,-0.040328,-0.704271,0.708665,62
