timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
76508885730,-0.00677,0.19287,0.435268,0.022812,0.029908,-0.613109,0.789102,0
76508919053,-0.009613,0.188804,0.436148,0.026833,0.029636,-0.611902,0.789923,1
76508952377,-0.008159,0.174118,0.434473,0.02528,0.026244,-0.617282,0.785898,2
76509019024,0.004002,0.125159,0.428533,0.019593,0.017516,-0.644146,0.764451,4
76509052348,0.011984,0.098498,0.425626,0.013225,0.012393,-0.664108,0.747417,5
76509085671,0.018355,0.072949,0.423114,0.006039,0.013118,-0.684189,0.729162,6
76509118995,0.022328,0.050762,0.42094,0.000575,0.012535,-0.699726,0.714301,7
76509152318,0.025324,0.034797,0.421538,-0.005506,0.009123,-0.711831,0.70227,8
76509218965,0.026545,0.016877,0.419168,-0.011257,0.004449,-0.722474,0.691292,10
76509252288,0.026318,0.012715,0.41918,-0.011581,0.002851,-0.725324,0.688305,11
76509285613,0.025938,0.011213,0.418439,-0.013037,0.002784,-0.726286,0.687264,12
76509318936,0.025658,0.011781,0.416879,-0.015882,0.004378,-0.726566,0.686899,13
76509352260,0.025008,0.015,0.415451,-0.02275,0.009543,-0.726157,0.687086,14
76509418907,0.026076,0.068414,0.413704,-0.019048,0.010967,-0.707492,0.70638,16
76509452231,0.018643,0.111024,0.415929,-0.008154,0.013028,-0.682355,0.73086,17
76509485554,0.008165,0.153614,0.418584,0.005128,0.014718,-0.657529,0.753268,18
76509518876,-0.002686,0.186011,0.421462,0.014814,0.017252,-0.637189,0.770372,19
76509552202,-0.012271,0.200191,0.422126,0.020396,0.023847,-0.624564,0.780343,20
76509618848,-0.018012,0.185423,0.42679,0.030229,0.033642,-0.621042,0.782471,22
76509652172,-0.015751,0.162468,0.430265,0.031707,0.033556,-0.626302,0.778212,23
76509685496,-0.010768,0.134851,0.429169,0.028738,0.026016,-0.637096,0.769809,24
76509718819,-0.003547,0.107166,0.426112,0.024297,0.018213,-0.654639,0.755332,25
76509752143,0.002816,0.083034,0.423589,0.015687,0.01322,-0.674053,0.738398,26
76509818790,0.013689,0.046044,0.420368,0.007547,-0.004101,-0.702036,0.71209,28
76509852113,0.01998,0.034665,0.421738,0.004886,-0.010555,-0.712444,0.701633,29
76509885437,0.024295,0.026561,0.422117,0.003068,-0.014169,-0.719853,0.693975,30
76509918761,0.027073,0.021368,0.421528,0.000974,-0.016878,-0.724679,0.688879,31
76509952083,0.0302,0.019139,0.422042,-0.002832,-0.017131,-0.72889,0.684411,32
76510018731,0.033575,0.043626,0.416147,-0.013839,-0.023273,-0.723817,0.68946,34
76510052055,0.030393,0.073163,0.413569,-0.00761,-0.022654,-0.707721,0.706088,35
76510085378,0.0235,0.109564,0.416194,0.006093,-0.014763,-0.684454,0.728881,36
76510118702,0.013886,0.145261,0.42164,0.024766,-0.003826,-0.659735,0.751081,37
76510152026,0.006002,0.173628,0.42788,0.040655,0.008699,-0.640904,0.766494,38
76510218673,-0.005569,0.193586,0.437976,0.053725,0.033861,-0.623066,0.779587,40
76510251997,-0.008223,0.183391,0.439603,0.054117,0.032884,-0.62154,0.780819,41
76510285320,-0.00717,0.16269,0.438743,0.052622,0.028987,-0.626117,0.777412,42
76510318644,-0.003915,0.134443,0.434595,0.043962,0.020451,-0.636956,0.769374,43
76510351967,0.000345,0.10365,0.435218,0.02791,0.013091,-0.653934,0.755923,44
76510418614,0.010277,0.051126,0.428272,0.011921,0.002742,-0.689671,0.724019,46
76510451938,0.015885,0.03464,0.427768,0.003002,-0.006775,-0.701582,0.71255,47
76510485261,0.021739,0.025125,0.426906,-0.001925,-0.015703,-0.711154,0.702858,48
76510518585,0.026532,0.021024,0.426433,-0.001685,-0.022709,-0.715536,0.698205,49
76510551909,0.029148,0.019844,0.426254,-0.001269,-0.023604,-0.717011,0.696661,50
76510618556,0.031033,0.020463,0.427757,0.00171,-0.021224,-0.715065,0.698734,52
76510651879,0.030938,0.020459,0.428351,0.001051,-0.020545,-0.713568,0.700284,53
76510685203,0.031584,0.019875,0.428139,-0.001991,-0.020369,-0.713774,0.700077,54
76510718526,0.033042,0.018823,0.427726,-0.006253,-0.019015,-0.71621,0.697598,55
76510751850,0.034457,0.018206,0.429207,-0.009475,-0.017303,-0.71943,0.694285,56
76510818497,0.037171,0.016756,0.431467,-0.01376,-0.012908,-0.723689,0.689868,58
76510851821,0.03826,0.018846,0.431585,-0.011981,-0.011808,-0.724817,0.688737,59
76510885145,0.039367,0.020208,0.432102,-0.006549,-0.016957,-0.727686,0.68567,60
76510918468,0.039851,0.021143,0.43229,-0.003403,-0.02671,-0.729703,0.683234,61
76510951792,0.040613,0.023171,0.430973,-0.00427,-0.039054,-0.730189,0.682115,62
76511018439,0.040916,0.024943,0.430519,-0.005609,-0.055266,-0.731867,0.67918,64
76511051762,0.040875,0.025647,0.430834,-0.005688,-0.059795,-0.732731,0.677863,65
76511085086,0.040599,0.026114,0.43223,-0.003859,-0.061632,-0.733436,0.676947,66
76511118409,0.040218,0.026572,0.43387,-0.001789,-0.060772,-0.733445,0.677024,67
76511151732,0.040064,0.027804,0.434927,-0.000276,-0.056149,-0.731778,0.679226,68
76511218380,0.037738,0.029876,0.438,0.004631,-0.045143,-0.726625,0.685534,70
76511251704,0.035508,0.029676,0.439352,0.00585,-0.048593,-0.726332,0.685599,71
76511285028,0.033896,0.029987,0.44047,0.005269,-0.050087,-0.72525,0.686641,72
76511318351,0.032952,0.03059,0.441763,0.005924,-0.049884,-0.724482,0.687461,73
76511351675,0.033369,0.029717,0.443114,0.005794,-0.05009,-0.723625,0.688349,74
76511418322,0.032653,0.029323,0.445577,0.004556,-0.054561,-0.722234,0.689479,76
76511451645,0.032342,0.028939,0.447594,0.004233,-0.057038,-0.721783,0.689753,77
76511484969,0.032102,0.028767,0.449102,0.004465,-0.057679,-0.721312,0.69019,78
