timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
71197302993,0.007472,0.192516,0.330438,0.00616,0.027247,-0.61139,0.790837,0
71197336316,0.00892,0.177476,0.332634,0.011657,0.031653,-0.615228,0.787627,1
71197369640,0.015066,0.149439,0.329585,0.00289,0.021967,-0.626382,0.779201,2
71197436287,0.029051,0.076126,0.318102,-0.02758,-0.008579,-0.664708,0.746544,4
71197469611,0.034605,0.0438,0.31409,-0.039982,-0.016115,-0.684829,0.727428,5
71197502934,0.038034,0.021223,0.312294,-0.048067,-0.021385,-0.699161,0.713026,6
71197536258,0.040336,0.003351,0.312056,-0.049865,-0.021361,-0.710302,0.701803,7
71197569581,0.041218,-0.00617,0.312384,-0.048268,-0.018323,-0.716792,0.695373,8
71197636229,0.044966,-0.017601,0.311101,-0.049573,-0.018416,-0.728026,0.683507,10
71197669552,0.046536,-0.017893,0.309564,-0.052244,-0.016158,-0.731398,0.679755,11
71197702876,0.048099,-0.01293,0.308483,-0.051913,-0.011983,-0.731381,0.679885,12
71197736199,0.04968,0.00326,0.308967,-0.045713,-0.002586,-0.724563,0.687687,13
71197769523,0.049037,0.034999,0.309593,-0.034321,0.006212,-0.70767,0.705682,14
71197836170,0.036076,0.12924,0.314816,0.001689,0.008823,-0.660242,0.750999,16
71197869494,0.023842,0.172579,0.319747,0.017384,0.014684,-0.63704,0.770495,17
71197902817,0.01138,0.202049,0.324549,0.025127,0.02226,-0.614998,0.787814,18
71197936141,0.003019,0.213305,0.32859,0.028855,0.031343,-0.60256,0.796936,19
71197969464,-0.000486,0.206673,0.330527,0.032226,0.039302,-0.598356,0.799617,20
71198036112,0.007159,0.156523,0.324157,0.018716,0.034132,-0.612858,0.789234,22
71198069435,0.016692,0.122878,0.321225,-0.001857,0.023854,-0.633191,0.773626,23
71198102759,0.024283,0.088335,0.316844,-0.021104,0.009703,-0.653203,0.756826,24
71198136082,0.030342,0.056085,0.312676,-0.038784,0.001177,-0.674127,0.737596,25
71198169406,0.034371,0.028083,0.314622,-0.050213,-0.00116,-0.692382,0.719781,26
71198236053,0.039754,-0.012747,0.316283,-0.053991,0.00201,-0.71957,0.692315,28
71198269377,0.042207,-0.025755,0.315453,-0.054555,0.001711,-0.732103,0.679004,29
71198302700,0.045329,-0.031531,0.314715,-0.055422,0.00078,-0.741628,0.668517,30
71198336021,0.048117,-0.026143,0.314958,-0.053494,0.001758,-0.743776,0.666283,31
71198369346,0.048524,-0.005017,0.317243,-0.040289,0.01089,-0.733623,0.678274,32
71198435992,0.040941,0.087978,0.328873,0.016057,0.027669,-0.682387,0.730291,34
71198469318,0.028417,0.137472,0.334806,0.0349,0.031087,-0.651021,0.75762,35
71198502642,0.014871,0.176767,0.339371,0.041814,0.036135,-0.622516,0.780653,36
71198535965,0.005083,0.198389,0.341954,0.042876,0.039866,-0.603714,0.795048,37
71198569289,0.000691,0.197695,0.34388,0.040211,0.042188,-0.601068,0.79707,38
71198635936,0.009194,0.144131,0.339968,0.028587,0.04736,-0.620937,0.781906,40
71198669260,0.017022,0.104022,0.337227,0.013004,0.049399,-0.641024,0.765819,41
71198702583,0.024021,0.06661,0.333052,-0.004791,0.046214,-0.662195,0.74789,42
71198735907,0.02986,0.036353,0.328982,-0.019251,0.039259,-0.6827,0.729389,43
71198769230,0.033627,0.013274,0.330735,-0.023915,0.038075,-0.700391,0.712341,44
71198835878,0.037679,-0.007826,0.332672,-0.02508,0.037384,-0.713559,0.699147,46
71198869201,0.040282,-0.012953,0.331903,-0.021659,0.040723,-0.716264,0.696303,47
71198902525,0.041643,-0.014211,0.333594,-0.018016,0.042227,-0.717137,0.695419,48
71198935848,0.042142,-0.014244,0.335363,-0.016304,0.045132,-0.716428,0.696009,49
71198969172,0.042788,-0.014673,0.337092,-0.01717,0.048667,-0.715673,0.696526,50
71199035819,0.042841,-0.014801,0.335372,-0.036447,0.04445,-0.713345,0.698452,52
71199069143,0.044051,-0.014619,0.331102,-0.051587,0.036531,-0.714152,0.69713,53
71199102466,0.045893,-0.014295,0.327672,-0.054996,0.020696,-0.720667,0.690787,54
71199135790,0.048742,-0.013857,0.32555,-0.048826,0.005208,-0.733089,0.678358,55
71199169113,0.052203,-0.00862,0.32188,-0.049478,0.001176,-0.735304,0.675928,56
71199235760,0.051001,-0.002945,0.319448,-0.049056,0.026952,-0.717717,0.694081,58
71199269084,0.051681,0.001124,0.31803,-0.045563,0.029151,-0.718573,0.693345,59
71199302408,0.052042,0.002925,0.314929,-0.051179,0.021294,-0.720764,0.69096,60
71199335731,0.052248,0.003112,0.311853,-0.057144,0.013091,-0.72296,0.688399,61
