frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,0.115495,0.213824,0.612967,0.050354,0.081059,-0.592083,0.800207,0.6320234263781458,14.954358925902843,-2.453561027097702,-0.0631015217449981,9.802734872382878,-0.2698439093193039,-0.945907473564148,0.2543236315250397,-0.9478037357330322,-0.5641782041117175,-0.5826214344493148,0.4175050593693181,0.4098107668264182,0.9666017293930054,0.2941007614135742,-0.3488733470439911,-0.0342592597007751,-0.0725274682044982,-0.2508068084716797,-0.0192324742674827,-0.182580754160881,-0.0880050311893224,0.1337161809206009,-0.3352937386229634,0.1586314594132825
1,0.114511,0.206423,0.615414,0.052694,0.090733,-0.590464,0.800215,4.695036469829082,13.549599680250882,-0.4024614412277936,-0.7820134968373924,9.774265149223805,0.1503222341562155,-1.0007798671722412,-0.7209503650665283,-2.559626340866089,-0.5581228760127853,-0.5826667181403407,0.3909414206890439,0.4429031780553441,0.9648967385292052,0.2782154679298401,-0.2942667007446289,0.093587040901184,0.013040155172348,-0.0302900075912475,0.0208165682852268,-0.1797300577163696,0.0883136587470769,0.1449716389179229,-0.284528158634156,0.3226322273073718
2,0.126191,0.154798,0.613513,0.045953,0.079703,-0.614277,0.783709,2.65256033539772,2.7963737630486487,-1.2279618322879076,-1.7701470937654376,9.630130819055438,0.5454649772679433,-0.7669503688812256,-1.0879275798797607,-2.3377909660339355,-0.5382958420375912,-0.5841819444323861,0.3618293534719651,0.4879021409435511,0.815702497959137,0.2557401657104492,-0.1867733895778656,0.1248392462730407,-0.0165909528732299,0.0173546150326728,0.0354442931711673,-0.132057636976242,0.1613806485235691,0.124340996146202,-0.2687316006958484,0.3378613971538841
3,0.135543,0.118352,0.607662,0.030107,0.069934,-0.636508,0.767502,2.79338744071424,-8.099284941101073,-1.3702847291201352,-2.441140083072334,9.462332704705,0.8218632036015391,-0.3298132121562958,-1.1743334531784058,-1.5254225730895996,-0.5171013273896726,-0.5807010219054038,0.3476822705617319,0.5239365184475768,0.1954741030931472,0.4157862663269043,-0.1770139038562774,0.1075438857078552,-0.0668336153030395,-0.0185078382492065,0.0511428192257881,-0.1108099818229675,0.1274760408341884,0.1298467367887497,-0.0666650137796998,0.5054026871990412
4,0.14434,0.08454,0.60118,0.014044,0.059243,-0.661843,0.747166,2.3335002309560773,-15.634478201603889,-2.6391777067333457,-2.8879072606250644,9.303909736943243,1.125892619910836,-0.9207600355148317,-0.4475392997264862,-0.9473761320114136,-0.5037414928689792,-0.5742606093712171,0.3358871898513657,0.5510435635994732,-0.1120703890919685,0.2315634489059448,-0.0891881212592125,-0.0087476968765258,-0.2110970616340637,-0.140112355351448,0.0682472959160804,-0.1570985615253448,-0.0289741655498743,0.2052698880434036,0.139476275229454,0.622274112714827
5,0.151007,0.055967,0.594896,-0.000489,0.038133,-0.6838,0.728672,2.2536276528179644,-16.778760464686155,-0.0464298888720572,-3.1264635032877326,9.164600050452352,1.551035848546028,-0.9212396144866944,0.2314006835222244,-0.3321450352668762,-0.5084188178331689,-0.5661085463200851,0.3169231653873376,0.5662076281727312,0.5413726568222046,0.1811071336269378,-0.2241180390119552,-0.0902851223945617,0.0570455491542816,-0.140918493270874,0.1050436720252037,-0.2012715637683868,-0.2151443874150514,0.2500893771648407,0.2851560812741517,0.6899796485234052
6,0.158558,0.017736,0.590268,-0.021034,0.010579,-0.709499,0.704313,0.6455608802780508,-13.348659759277105,0.6248199978053569,-3.119220108030736,9.148182584136723,1.6587991809114813,0.0974972173571586,0.0178627781569957,0.3510393500328064,-0.514392089688945,-0.5643201127137836,0.3113961956539343,0.5656642436243742,1.0761157274246216,-0.0245864670723676,-0.2917680442333221,-0.0632854104042053,0.1253625154495239,-0.1818352937698364,0.072640374302864,-0.1646350920200348,-0.2578478031098842,0.2382403910160064,0.3207246766529977,0.6780058637436479
7,0.16021,0.009203,0.590473,-0.025359,0.008928,-0.715654,0.697937,-1.0261831224024296,-9.319840881046652,0.0474894809275865,-2.8415000219762323,9.255047798618676,1.5621620765857398,0.5242478847503662,-0.1899342983961105,1.1919487714767456,-0.5179095012776375,-0.5610939266446234,0.3248469009050062,0.5580482384692521,0.5032976865768433,-0.2593135237693786,-0.236498475074768,-0.0202820897102355,-0.0367681682109832,-0.0053823515772819,0.006595030426979,-0.1182459592819213,-0.1349894852042198,0.1417376399040222,0.212826027470082,0.487662301716581
8,0.160702,0.005472,0.591305,-0.02724,0.008189,-0.717595,0.69588,0.4502803002402186,-3.050114130839705,0.4706558565318584,-2.273614794313908,9.460888351115583,1.2217452958606183,0.9831990003585817,0.2661961615085602,1.7419226169586182,-0.5257361575804013,-0.5612429456366153,0.3503065552037858,0.5346898631121964,0.0644103735685348,-0.1821037679910659,-0.3007271289825439,-0.070495069026947,-0.0875825881958007,0.0313766151666641,-0.0594503059983253,-0.0718568265438079,-0.0115361240148544,0.0452348738908767,0.1048863156244158,0.297320127929002
9,0.159547,0.005368,0.593202,-0.025547,0.006733,-0.715712,0.697895,0.0035937867082655,4.529215793031454,2.244901325526833,-1.5471061078816652,9.6479008690238,0.833593242753297,1.2772297859191897,0.1380033642053604,2.08328628540039,-0.536558771093471,-0.559884888102975,0.3795095317143101,0.5045851970119802,-0.3633233904838562,-0.029866611585021,-0.1076482161879539,-0.0477662086486816,-0.1263791918754577,0.028388500213623,-0.0996640846133232,-0.0438875183463096,0.0445171871185302,-0.0310667380690574,0.0543809940069913,0.1184980768695473
