timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
72939065751,-0.033484,0.173733,0.5177,0.043424,0.015746,-0.624622,0.77956,0
72939099075,-0.035658,0.161002,0.517191,0.046833,0.015627,-0.62156,0.781809,1
72939165722,-0.0275,0.10741,0.508858,0.032545,0.010024,-0.640679,0.767053,3
72939199046,-0.020516,0.074269,0.504521,0.020642,0.007854,-0.660445,0.75055,4
72939232369,-0.014116,0.044304,0.502322,0.0148,0.009175,-0.682104,0.731048,5
72939265693,-0.009344,0.019971,0.50103,0.009947,0.008808,-0.701607,0.71244,6
72939332340,-0.005952,-0.008932,0.498153,0.000769,-0.001499,-0.724303,0.68948,8
72939365664,-0.006314,-0.01511,0.493863,-0.001657,-0.008988,-0.727356,0.686199,9
72939398987,-0.007207,-0.018074,0.49219,-0.005734,-0.013684,-0.728285,0.685114,10
72939432310,-0.008585,-0.018953,0.489858,-0.010015,-0.016218,-0.728097,0.685209,11
72939498958,-0.009163,-0.005294,0.488628,-0.008991,-0.004404,-0.724653,0.689041,13
72939532281,-0.009303,0.02201,0.487914,-0.001137,0.014147,-0.715368,0.698604,14
72939565605,-0.011171,0.063513,0.486088,0.000296,0.02189,-0.701167,0.712661,15
72939632252,-0.032543,0.155453,0.484502,-0.002982,0.005954,-0.651742,0.758411,17
72939665576,-0.047102,0.18619,0.486829,-0.001985,0.008111,-0.626848,0.779097,18
72939698899,-0.058043,0.19866,0.491457,0.004668,0.022847,-0.610734,0.791493,19
72939732223,-0.061981,0.192997,0.496164,0.015495,0.036073,-0.607712,0.793186,20
72939798870,-0.053429,0.141202,0.500804,0.025899,0.050335,-0.623939,0.77942,22
72939832191,-0.043429,0.107658,0.501098,0.025588,0.057342,-0.644798,0.761769,23
72939865517,-0.034655,0.075427,0.49921,0.02106,0.056324,-0.667871,0.741844,24
72939932164,-0.024461,0.025592,0.495808,0.0112,0.045182,-0.70508,0.707598,26
72939965487,-0.020352,0.00672,0.496992,0.008341,0.043316,-0.716143,0.696559,27
72939998811,-0.018957,-0.004158,0.497062,0.007356,0.041311,-0.723665,0.688875,28
72940032135,-0.017627,-0.010685,0.496095,0.005313,0.039432,-0.728578,0.683806,29
72940098782,-0.015569,-0.002361,0.494677,0.002199,0.04225,-0.729323,0.68286,31
72940132105,-0.015283,0.020376,0.494769,0.002586,0.048466,-0.718265,0.694075,32
72940165429,-0.017236,0.05973,0.494723,0.002425,0.051544,-0.69872,0.713532,33
72940198752,-0.024718,0.108107,0.494125,0.002284,0.040908,-0.672379,0.739072,34
72940265400,-0.04934,0.18348,0.495636,0.002039,0.008982,-0.619517,0.784929,36
72940298723,-0.057739,0.195749,0.498864,0.001645,0.015653,-0.606479,0.794944,37
72940332047,-0.058694,0.187377,0.502949,0.007384,0.030117,-0.604218,0.796216,38
72940398694,-0.045948,0.129009,0.505193,0.014855,0.044436,-0.623642,0.780305,40
72940432016,-0.033539,0.09342,0.501782,0.008623,0.044045,-0.646958,0.761204,41
72940465341,-0.021641,0.061819,0.500323,0.008306,0.045547,-0.672892,0.738291,42
72940498664,-0.011911,0.036855,0.499824,0.009066,0.046856,-0.696575,0.715895,43
72940565312,-0.000574,0.010078,0.504266,0.011217,0.04349,-0.719016,0.693541,45
72940598635,-0.00032,0.005528,0.505894,0.011924,0.039765,-0.718389,0.694402,46
72940631959,-0.00168,0.004518,0.505263,0.012192,0.035093,-0.715337,0.697791,47
72940665282,-0.002434,0.004821,0.505871,0.012418,0.032067,-0.713251,0.700065,48
72940731930,-0.002837,0.006528,0.509458,0.011289,0.028848,-0.711282,0.702224,50
72940765253,-0.002759,0.006801,0.510933,0.010877,0.02408,-0.710329,0.703373,51
72940798576,-0.002137,0.006315,0.512561,0.012721,0.022135,-0.710512,0.703222,52
72940865224,0.00126,0.008303,0.513925,0.018168,0.018013,-0.71528,0.698369,54
72940898547,0.002229,0.008798,0.513496,0.017161,0.013554,-0.715103,0.698677,55
72940931871,0.001933,0.011078,0.513691,0.011559,0.011291,-0.711429,0.702572,56
72940965195,0.001751,0.013616,0.512504,0.005413,0.0113,-0.70789,0.706211,57
72941031841,0.002009,0.018792,0.510157,0.00084,0.002316,-0.709698,0.704502,59
72941065165,0.002325,0.020578,0.509215,6.1e-05,-0.002282,-0.712249,0.701923,60
72941098489,0.002437,0.021671,0.507934,-0.000929,-0.003435,-0.712955,0.701201,61
72941165136,0.001887,0.023976,0.509943,-0.002078,-0.001417,-0.712169,0.702003,63
72941198459,0.00215,0.023919,0.509173,-0.003554,-0.001401,-0.712687,0.701471,64
72941231783,0.00176,0.023128,0.509246,-0.0057,-0.002779,-0.713663,0.70046,65
72941265107,0.002492,0.022105,0.50959,-0.006933,-0.003553,-0.715156,0.698922,66
72941331754,0.005099,0.020177,0.511522,-0.00698,-0.003323,-0.718253,0.695739,68
72941365077,0.00452,0.018616,0.513123,-0.006003,-0.005039,-0.719425,0.694525,69
72941398401,0.004563,0.017684,0.51519,-0.003299,-0.006398,-0.720093,0.69384,70
72941431724,0.003503,0.016355,0.517774,0.000201,-0.00667,-0.720103,0.693835,71
72941498371,0.003501,0.014835,0.522641,0.00582,-0.008429,-0.720322,0.693565,73
72941531695,0.004102,0.014146,0.52478,0.007372,-0.010279,-0.720871,0.692954,74
72941565018,0.005244,0.014335,0.526913,0.008838,-0.012577,-0.721993,0.69173,75
72941631665,0.007276,0.012598,0.530514,0.012726,-0.016243,-0.724303,0.689172,77
72941664989,0.007954,0.012036,0.532428,0.015215,-0.017963,-0.725222,0.688113,78
72941698312,0.008099,0.011901,0.53452,0.017977,-0.019568,-0.725671,0.687529,79
72941731637,0.007683,0.011344,0.536391,0.020468,-0.021358,-0.725942,0.687119,80
72941798283,0.007194,0.011349,0.540064,0.02471,-0.025727,-0.726642,0.68609,82
72941831607,0.006854,0.011572,0.541762,0.026637,-0.027653,-0.726699,0.685883,83
72941864931,0.005651,0.011676,0.543626,0.02823,-0.029855,-0.726896,0.685518,84
72941931578,0.004423,0.011797,0.545563,0.030679,-0.03513,-0.727011,0.68504,86
72941964901,0.004091,0.011879,0.546689,0.032364,-0.037427,-0.727277,0.684558,87
72941998224,0.004006,0.012149,0.548312,0.034627,-0.039054,-0.727292,0.684341,88
72942031548,0.003226,0.011981,0.548299,0.037161,-0.040507,-0.727185,0.684237,89
72942098195,0.004174,0.012467,0.552809,0.042035,-0.042419,-0.727194,0.683829,91
72942131519,0.0052,0.012801,0.555657,0.044178,-0.045142,-0.727198,0.683516,92
72942164843,0.006279,0.013415,0.559198,0.04613,-0.049883,-0.727466,0.682772,93
72942198166,0.007344,0.014243,0.563409,0.048253,-0.055873,-0.72805,0.681538,94
72942264813,0.008879,0.015529,0.571828,0.053756,-0.068712,-0.728008,0.679996,96
72942298137,0.009839,0.016744,0.577372,0.056306,-0.074188,-0.727559,0.679694,97
72942331461,0.011591,0.018139,0.584109,0.058781,-0.077617,-0.727169,0.679519,98
72942398107,0.016588,0.022505,0.599821,0.060385,-0.07874,-0.727756,0.67862,100
72942431431,0.019313,0.024738,0.609698,0.057214,-0.078354,-0.727847,0.678841,101
72942464755,0.022755,0.027718,0.620183,0.053869,-0.078959,-0.728292,0.678567,102
72942498078,0.026605,0.031553,0.631115,0.051587,-0.081859,-0.729213,0.677412,103
72942564725,0.03334,0.040662,0.654606,0.047505,-0.090389,-0.727176,0.678814,105
72942598049,0.036965,0.047352,0.665084,0.043005,-0.093352,-0.723796,0.682316,106
72942631372,0.041001,0.053017,0.676851,0.036102,-0.096524,-0.722979,0.68314,107
72942664696,0.045898,0.058199,0.688158,0.030186,-0.102864,-0.725005,0.68035,108
72942731343,0.054985,0.063699,0.709508,0.020575,-0.11188,-0.730195,0.673703,110
72942764667,0.057703,0.063822,0.719466,0.018597,-0.11079,-0.729254,0.674957,111
72942797990,0.059908,0.062834,0.728171,0.015179,-0.10493,-0.726784,0.678634,112
72942864638,0.065835,0.058133,0.738301,-0.001,-0.093272,-0.722496,0.685054,114
72942897961,0.069447,0.055341,0.74104,-0.009195,-0.09015,-0.722775,0.685117,115
72942931285,0.073023,0.051978,0.742477,-0.016219,-0.085713,-0.724155,0.684097,116
72942964608,0.074136,0.048666,0.743015,-0.02185,-0.077636,-0.723129,0.685988,117
72943031255,0.078815,0.042724,0.743251,-0.0322,-0.058581,-0.71983,0.690925,119
72943064579,0.081537,0.039584,0.743557,-0.033112,-0.051218,-0.721787,0.689423,120
72943097902,0.084096,0.036138,0.743946,-0.031702,-0.045967,-0.725227,0.686242,121
72943164549,0.085647,0.031063,0.743134,-0.022236,-0.037764,-0.731992,0.679902,123
72943197873,0.084779,0.029195,0.744012,-0.01611,-0.030087,-0.730568,0.681986,124
72943231197,0.082431,0.027774,0.745207,-0.009478,-0.020439,-0.724572,0.688831,125
72943264520,0.078513,0.026388,0.744403,-0.002441,-0.008121,-0.71703,0.696991,126
72943331167,0.074332,0.021562,0.742937,-0.003052,-0.000918,-0.707677,0.706529,128
72943364491,0.07417,0.016377,0.740247,-0.00467,-0.001752,-0.708366,0.705828,129
72943397814,0.074603,0.013466,0.739471,-0.004004,-0.000307,-0.709987,0.704204,130
72943431138,0.074731,0.010624,0.737575,-0.004174,0.002951,-0.710006,0.704177,131
72943497785,0.074688,0.006633,0.735058,-0.003887,0.009812,-0.709545,0.704581,133
72943531109,0.074147,0.005187,0.733405,-0.005914,0.011545,-0.708171,0.705922,134
72943564432,0.075292,0.004092,0.731627,-0.007561,0.014012,-0.705921,0.708111,135
72943631079,0.0754,0.001426,0.729349,-0.00902,0.013751,-0.704039,0.70997,137
72943664403,0.075066,0.000803,0.727953,-0.010553,0.012012,-0.702641,0.711365,138
72943697726,0.074541,0.000164,0.726357,-0.012058,0.010756,-0.701106,0.712874,139
72943731050,0.075408,-0.000606,0.725272,-0.012993,0.012245,-0.700508,0.713421,140
72943797697,0.075451,-0.001808,0.722744,-0.015544,0.01315,-0.699305,0.714534,142
72943831020,0.076156,-0.002194,0.722703,-0.015907,0.013006,-0.699874,0.71397,143
72943864344,0.076655,-0.00265,0.722525,-0.015358,0.012183,-0.700594,0.713291,144
72943897667,0.077442,-0.004071,0.72192,-0.013841,0.003099,-0.704858,0.709206,145
72943964315,0.07884,-0.00562,0.720356,-0.015353,0.002131,-0.711477,0.702538,147
72943997638,0.079128,-0.006084,0.719112,-0.018978,0.005468,-0.710563,0.703357,148
72944030962,0.078211,-0.006558,0.721648,-0.021215,0.007732,-0.708007,0.705845,149
72944097609,0.076577,-0.007877,0.723914,-0.018142,0.006652,-0.705171,0.708774,151
