frame,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,phone_acc_x,phone_acc_y,phone_acc_z,phone_gravity_x,phone_gravity_y,phone_gravity_z,phone_gyro_x,phone_gyro_y,phone_gyro_z,phone_ori_w,phone_ori_x,phone_ori_y,phone_ori_z,watch_gyro_x,watch_gyro_y,watch_gyro_z,watch_acc_x,watch_acc_y,watch_acc_z,headphone_gyro_x,headphone_gyro_y,headphone_gyro_z,headphone_acc_x,headphone_acc_y,headphone_acc_z
0,-0.023494,0.136677,0.216992,0.002375,-0.024619,-0.616398,0.787046,0.1251684580115601,15.771445708882808,-0.4879541973352432,-0.0919487455801107,9.80610873273015,-0.0462525138780008,-0.3713921904563904,0.0076335668563842,-0.4975246489048004,0.5504277213378265,0.5571621938970287,-0.4380964637083828,-0.4412153626396864,-0.0080981850624084,-0.0372836738824844,-0.0376920998096466,-0.0126174092292785,0.0098780989646911,-0.0104475766420364,0.0331464260816574,0.0074499920010566,-0.1745019959032535,-0.0367881655693054,0.0687055796965956,0.336589769782871
1,-0.028954,0.130138,0.217621,0.008479,-0.015702,-0.607591,0.79405,5.446845601734519,11.95707329893112,1.0817384208858012,-0.5839228278148919,9.788412332519888,-0.1280980817226693,0.6448521018028259,-0.5942801237106323,-1.8397135734558103,0.534429388033911,0.5680014147550297,-0.4288421357457507,-0.4559101657384566,0.0235236547887325,-0.043461088091135,-0.0463969744741916,-0.0139325857162475,0.0093455910682678,-0.0059006810188293,0.0409900024533271,0.0804317072033882,-0.1094675059348344,-0.2663713097572326,0.076980802219361,0.3424544240325689
2,-0.028847,0.109596,0.216269,0.012785,-0.009227,-0.606672,0.794796,4.965039405634999,-0.4202262304991483,0.1649590549996122,-1.3328859957046806,9.709280343616008,-0.3517064191656187,0.6484402418136597,-0.9219344854354858,-1.8180561065673828,0.502311659975929,0.5833950121233284,-0.4214051446479355,-0.4793235850346441,0.0415300875902175,-0.0531361401081085,-0.0746542438864708,-0.0065101385116577,0.0027406513690948,-0.0068174749612808,0.0786018893122673,0.1189479455351829,0.0318593655973672,-0.351017951965332,0.0718166974544525,0.2407389935292303
3,-0.015751,0.050903,0.204702,-0.008031,-0.020477,-0.635135,0.772088,3.3272119933426376,-11.26361055753231,-0.2002968738298863,-1.9432136500380928,9.598740824535488,-0.5083871829025447,0.2983844578266144,-0.485633909702301,-1.338884711265564,0.4749206780118635,0.5944537601132804,-0.4153856765916163,-0.4985275394940579,0.009675751440227,-0.0503597967326641,-0.0834407433867454,-0.0059902667999267,-0.0161919593811035,0.0094537287950515,0.1227373704314231,0.1368840783834457,0.1621867042094469,-0.3064013421535492,-0.0203061443172395,0.1101814994230866
4,-0.00683,0.024416,0.199539,-0.025226,-0.02783,-0.66021,0.750142,1.7613799960725007,-17.935560848557948,0.2137549788832664,-2.429212767782808,9.490613627293705,-0.4444958350872621,-0.4725814759731293,-0.1501616090536117,-1.1766968965530396,0.4608482677541092,0.6007316170394211,-0.4022244454324133,-0.514738721641581,-0.0373159945011138,-0.026679765433073,-0.0351770780980587,0.0043641924858093,-0.0308793783187866,0.0171321481466293,0.1418643146753311,0.1057540401816368,0.1093698907792568,-0.1969173550605774,-0.0239700736522674,0.0495252245388925
5,-0.000504,0.002366,0.197053,-0.034103,-0.030438,-0.678437,0.733236,-0.2473223174422979,-15.621518182265758,1.707481963276863,-2.690362827308476,9.42786695600152,-0.2182881288008764,-0.5845146775245667,0.0569917894899845,-0.2176052629947662,0.4607731896393933,0.6006175895884668,-0.3877990562192178,-0.525888246045807,-0.0441299565136432,0.0342366360127925,0.0344410166144371,-0.0004262924194335,-0.0265026688575744,0.0113608837127685,0.1457446962594986,0.0764096826314926,0.045761634221673,-0.0953166037797927,-0.0240652045898139,0.1353745389990508
6,0.003517,-0.014901,0.196682,-0.037066,-0.029646,-0.692412,0.719939,-2.118171134623885,-8.038578251203894,2.6626328166008,-2.6401550273329017,9.444124263319372,-0.0921577212888281,0.0571760572493076,0.0427671484649181,0.5481408834457397,0.4660830209222142,0.5964239504195261,-0.3859756565666113,-0.5273214624543253,0.0154167283326387,0.0682924464344978,0.0581651888787746,-0.0114856362342834,-0.0129429697990417,-0.003121480345726,0.0924367606639862,0.064822643995285,0.0237573076844215,-0.0741416364908218,0.0156438515946269,0.2397197334840893
7,0.004997,-0.025733,0.197239,-0.037012,-0.024411,-0.699092,0.713656,-1.779060760322213,0.4991834473580122,1.528608912682533,-2.2527751276418564,9.539105563262105,-0.31759178545475,0.9990317821502686,0.3159860968589782,1.4820225238800049,0.4720462851421404,0.5958183593728574,-0.4014886754861657,-0.5108617359254948,0.016003955155611,0.0294294152408838,0.060963436961174,-0.0044319033622741,0.0002113580703735,-0.0153693109750747,0.0589038245379924,0.0525504685938358,-0.0417962377220392,-0.096587136387825,0.0725885586097836,0.278402515360713
8,0.007289,-0.039693,0.199207,-0.034957,-0.015706,-0.708572,0.704597,0.1470141233883798,2.8216058194607494,-2.0228946511268613,-1.5274210180722176,9.655626494839789,-0.7786202742025256,0.9287541508674622,0.6049601435661316,1.999327301979065,0.4811741155717656,0.5955458789501553,-0.4301438034668016,-0.4783021249076127,-0.001558260526508,0.0031636173371225,0.0283895805478096,-3.212690353393555e-05,0.0116438567638397,-0.0086739808320999,0.0503268726170063,0.0617971643805503,-0.0738245301455259,-0.1432918906211853,0.037286943604052,0.2138622386500239
9,0.008079,-0.043671,0.198588,-0.034026,-0.013537,-0.712397,0.700821,1.7998462125889956,4.716474979177117,-2.458922261869908,-0.8688011881262063,9.71367770179212,-1.0295794868424537,0.3348904550075531,0.2518264055252075,1.3658697605133057,0.4935267454586147,0.590892540418475,-0.4509323131944661,-0.4515942772558333,0.0542421527206897,0.0200234502553939,0.00333156529814,-0.0042861104011535,0.0142863988876342,-0.0033491402864456,0.0675303414463996,0.0813549906015396,-0.0617664280831813,-0.173646405339241,-0.0182784378819167,0.0020101707786321
