timestep_pose,pose_x,pose_y,pose_z,ori_x,ori_y,ori_z,ori_w,frame_vio
71583573912,-0.023494,0.136677,0.216992,0.002375,-0.024619,-0.616398,0.787046,0
71583607235,-0.028954,0.130138,0.217621,0.008479,-0.015702,-0.607591,0.79405,1
71583640559,-0.028847,0.109596,0.216269,0.012785,-0.009227,-0.606672,0.794796,2
71583707206,-0.015751,0.050903,0.204702,-0.008031,-0.020477,-0.635135,0.772088,4
71583740530,-0.00683,0.024416,0.199539,-0.025226,-0.02783,-0.66021,0.750142,5
71583773853,-0.000504,0.002366,0.197053,-0.034103,-0.030438,-0.678437,0.733236,6
71583807177,0.003517,-0.014901,0.196682,-0.037066,-0.029646,-0.692412,0.719939,7
71583840500,0.004997,-0.025733,0.197239,-0.037012,-0.024411,-0.699092,0.713656,8
71583907147,0.007289,-0.039693,0.199207,-0.034957,-0.015706,-0.708572,0.704597,10
71583940471,0.008079,-0.043671,0.198588,-0.034026,-0.013537,-0.712397,0.700821,11
71583973795,0.008874,-0.04601,0.197808,-0.035666,-0.013975,-0.715048,0.698026,12
71584007118,0.009169,-0.047009,0.197417,-0.037053,-0.01401,-0.715595,0.697391,13
71584040442,0.006504,-0.047723,0.199986,-0.037522,-0.012807,-0.714951,0.69805,14
71584107089,0.006011,-0.033634,0.201819,-0.029233,-0.004915,-0.707009,0.706583,16
71584140413,0.0064,-0.008203,0.202721,-0.014368,0.003992,-0.695905,0.717979,17
71584173736,0.005465,0.033568,0.207238,0.004559,0.009195,-0.678403,0.734619,18
71584207060,-0.00104,0.081085,0.211312,0.020405,0.006678,-0.652229,0.757718,19
71584240383,-0.010695,0.121391,0.212747,0.026325,0.002717,-0.626462,0.779002,20
71584307030,-0.029482,0.148907,0.21251,0.025086,-0.000423,-0.596478,0.802237,22
71584340354,-0.031443,0.132611,0.210799,0.031911,0.002275,-0.593215,0.804408,23
71584373677,-0.027149,0.102676,0.207714,0.031218,0.005775,-0.601407,0.798312,24
71584407001,-0.017477,0.067962,0.202397,0.020618,0.006061,-0.627124,0.778623,25
71584440325,-0.006213,0.034604,0.198889,0.005547,0.001531,-0.65657,0.754243,26
71584506972,0.005066,-0.013503,0.191442,-0.011668,-0.010006,-0.695389,0.718469,28
71584540296,0.006291,-0.030536,0.188637,-0.018064,-0.013328,-0.704187,0.70966,29
71584573619,0.007179,-0.040684,0.187187,-0.021466,-0.016393,-0.710813,0.702863,30
71584606942,0.007634,-0.047127,0.187079,-0.021329,-0.014569,-0.714596,0.69906,31
71584673590,0.008022,-0.053296,0.18721,-0.02352,-0.013328,-0.718025,0.695492,33
71584706913,0.007888,-0.052389,0.18673,-0.023821,-0.01091,-0.718201,0.695342,34
71584740237,0.007594,-0.046713,0.187152,-0.019529,-0.004504,-0.716328,0.697475,35
71584773560,0.007317,-0.025712,0.189033,-0.005921,0.001953,-0.7072,0.706986,36
71584806884,0.004448,0.010828,0.190594,0.007844,-0.0039,-0.68952,0.724214,37
71584873531,-0.012745,0.101375,0.193565,0.018149,-0.01838,-0.640337,0.76766,39
71584906855,-0.024751,0.133867,0.193998,0.018755,-0.015919,-0.612697,0.789935,40
71584940178,-0.032842,0.149831,0.194529,0.013565,-0.010103,-0.597283,0.801852,41
71584973502,-0.034868,0.143944,0.19422,0.011195,-0.004822,-0.596965,0.802174,42
71585006826,-0.032827,0.119877,0.193399,0.013426,0.00095,-0.600708,0.799355,43
71585073473,-0.018419,0.053456,0.188251,-0.000455,0.0193,-0.630704,0.775783,45
71585106796,-0.011338,0.023773,0.185335,-0.007357,0.022107,-0.653946,0.756182,46
71585140120,-0.005935,0.002566,0.184178,-0.016081,0.022264,-0.67557,0.736784,47
71585173443,-0.003744,-0.011453,0.183637,-0.021572,0.021102,-0.684638,0.728258,48
71585206767,-0.002691,-0.019951,0.184227,-0.022374,0.019422,-0.688996,0.72416,49
71585273414,-0.000446,-0.027719,0.19087,-0.006609,0.029563,-0.689537,0.723616,51
71585306738,0.00033,-0.029193,0.194203,-0.000663,0.031429,-0.688644,0.724418,52
71585340061,0.002693,-0.030581,0.195269,-0.000377,0.02987,-0.68853,0.724593,53
71585373385,0.003771,-0.031074,0.196177,-0.003964,0.027567,-0.688441,0.724758,54
71585406708,0.004674,-0.031375,0.196604,-0.011455,0.026069,-0.688025,0.725128,55
71585473356,0.007836,-0.033806,0.198208,-0.021761,0.0246,-0.686709,0.72619,57
71585506679,0.008797,-0.034721,0.200746,-0.021244,0.02811,-0.685114,0.727583,58
71585540003,0.009138,-0.033843,0.203091,-0.02003,0.03,-0.683455,0.729101,59
71585573326,0.010289,-0.033588,0.205653,-0.016828,0.028078,-0.685386,0.727443,60
71585606650,0.013015,-0.033679,0.207263,-0.012086,0.016407,-0.695922,0.717828,61
71585673297,0.017818,-0.031587,0.205758,-0.020552,-0.006362,-0.705914,0.707971,63
71585706620,0.019675,-0.031322,0.206482,-0.020439,-0.000897,-0.702938,0.710956,64
71585739944,0.021225,-0.029972,0.206986,-0.01873,0.001619,-0.70373,0.710219,65
71585773268,0.022605,-0.029346,0.207091,-0.019517,-0.00286,-0.706341,0.707597,66
71585806591,0.023436,-0.029037,0.207451,-0.019062,-0.008959,-0.709024,0.70487,67
71585873238,0.022736,-0.027021,0.207882,-0.015312,-0.014993,-0.710352,0.70352,69
71585906562,0.023161,-0.026318,0.208022,-0.016367,-0.015231,-0.709002,0.704852,70
71585939886,0.023737,-0.023637,0.206525,-0.018924,-0.016928,-0.708166,0.70559,71
71585973209,0.024876,-0.022679,0.20552,-0.021061,-0.019805,-0.70886,0.704756,72
71586006533,0.026405,-0.023064,0.205241,-0.021838,-0.021577,-0.709921,0.703612,73
71586073180,0.030093,-0.022998,0.205454,-0.022089,-0.020548,-0.711212,0.70233,75
71586106503,0.032074,-0.024004,0.205853,-0.022393,-0.020687,-0.712029,0.701488,76
71586139827,0.033341,-0.026397,0.206473,-0.023022,-0.021747,-0.713115,0.700332,77
71586173151,0.034517,-0.027869,0.207185,-0.023378,-0.023607,-0.714298,0.699052,78
71586206474,0.035474,-0.028649,0.208082,-0.023016,-0.025767,-0.715378,0.697883,79
71586273121,0.035637,-0.028592,0.213007,-0.019827,-0.02809,-0.716127,0.697122,81
71586306445,0.035699,-0.028637,0.214274,-0.017927,-0.028162,-0.716355,0.696937,82
71586339769,0.034407,-0.028448,0.215194,-0.016306,-0.028744,-0.716432,0.696873,83
71586373092,0.033533,-0.028027,0.215909,-0.014924,-0.029734,-0.716227,0.697074,84
71586439739,0.032223,-0.027637,0.215784,-0.014128,-0.031683,-0.715184,0.698074,86
71586473063,0.03156,-0.027305,0.215417,-0.014143,-0.032681,-0.715108,0.698107,87
71586506386,0.030788,-0.026637,0.215239,-0.013612,-0.033128,-0.714799,0.698412,88
71586539710,0.030762,-0.027428,0.215736,-0.012742,-0.032432,-0.714405,0.698864,89
71586573033,0.030409,-0.027459,0.215569,-0.012489,-0.031598,-0.713993,0.699328,90
71586639681,0.029365,-0.027012,0.214589,-0.014142,-0.0313,-0.713962,0.699342,92
71586673004,0.029071,-0.026314,0.214164,-0.015698,-0.03127,-0.714671,0.698585,93
71586706328,0.028923,-0.024921,0.213907,-0.01708,-0.031636,-0.715887,0.69729,94
71586739651,0.02898,-0.023724,0.215199,-0.018295,-0.032235,-0.717322,0.695755,95
71586772975,0.028779,-0.022058,0.216578,-0.017209,-0.034387,-0.718413,0.694553,96
71586839622,0.027959,-0.017626,0.220813,-0.013689,-0.038999,-0.71822,0.694587,98
71586872946,0.0286,-0.014781,0.224431,-0.015133,-0.04083,-0.71829,0.69438,99
71586906269,0.030498,-0.011168,0.229768,-0.018301,-0.042345,-0.719471,0.692989,100
71586939593,0.032684,-0.007795,0.237781,-0.02184,-0.042908,-0.720037,0.692264,101
71586972916,0.034811,-0.003226,0.247168,-0.025524,-0.041637,-0.717132,0.695224,102
71587039564,0.039105,0.006921,0.270055,-0.029737,-0.033797,-0.706438,0.706342,104
71587072887,0.04244,0.011478,0.282375,-0.03316,-0.033833,-0.707122,0.705503,105
71587106211,0.045979,0.015903,0.294767,-0.03452,-0.041158,-0.70936,0.702797,106
71587139534,0.049622,0.020031,0.308308,-0.033075,-0.047632,-0.710317,0.701489,107
71587172858,0.052728,0.024764,0.321527,-0.030076,-0.049528,-0.708258,0.703572,108
71587239505,0.059864,0.035881,0.345019,-0.027047,-0.046389,-0.701573,0.710572,110
71587272829,0.064579,0.041759,0.355641,-0.028237,-0.047931,-0.699772,0.712197,111
71587306152,0.070145,0.046645,0.365553,-0.031641,-0.051254,-0.700504,0.711101,112
71587339476,0.076317,0.050792,0.374335,-0.035549,-0.053386,-0.701994,0.709289,113
71587372798,0.082598,0.052764,0.383259,-0.038619,-0.051775,-0.702845,0.708404,114
71587439446,0.09517,0.049748,0.39889,-0.045238,-0.039911,-0.700414,0.711183,116
71587472770,0.101623,0.04629,0.404869,-0.047663,-0.028331,-0.699746,0.712237,117
71587506093,0.107376,0.042298,0.408979,-0.05007,-0.020669,-0.700599,0.711496,118
71587539417,0.11217,0.037555,0.412215,-0.051312,-0.013945,-0.702749,0.709448,119
71587572740,0.116567,0.034212,0.414016,-0.050845,-0.009244,-0.709134,0.703177,120
71587639388,0.120363,0.032159,0.40691,-0.072209,-0.033509,-0.718877,0.690564,122
71587672711,0.120172,0.032001,0.405865,-0.075421,-0.034351,-0.718712,0.690351,123
71587706034,0.118531,0.031722,0.407248,-0.072561,-0.022426,-0.714014,0.696,124
71587739358,0.116237,0.03101,0.408777,-0.071551,-0.013175,-0.708094,0.70236,125
71587772682,0.114424,0.029679,0.41113,-0.066723,-0.004363,-0.704318,0.706728,126
71587839329,0.114619,0.024963,0.416556,-0.057716,0.023038,-0.702108,0.709354,128
71587872652,0.115495,0.021275,0.418993,-0.054083,0.030212,-0.70276,0.708725,129
71587905976,0.116029,0.016754,0.421844,-0.047602,0.039629,-0.705027,0.70647,130
71587939300,0.115309,0.01066,0.425162,-0.041011,0.048449,-0.702784,0.708565,131
71587972623,0.114105,0.00493,0.428327,-0.034936,0.056199,-0.698824,0.712227,132
71588039270,0.114473,-0.007064,0.430839,-0.030259,0.063651,-0.705984,0.704712,134
71588072594,0.116435,-0.011662,0.429671,-0.031847,0.062886,-0.713853,0.696739,135
71588105917,0.116451,-0.014825,0.428118,-0.036217,0.0592,-0.712607,0.698123,136
71588139241,0.116115,-0.019081,0.424925,-0.040805,0.052965,-0.710665,0.700347,137
71588205888,0.113776,-0.024294,0.422257,-0.044359,0.042908,-0.707064,0.704452,139
